t,predict_test,teacher
501,0.109953,0.117647,5.92032e-05
502,0.217433,0.192157,0.000698106
503,0.358574,0.341176,0.00100079
504,0.434956,0.411765,0.00153861
505,0.279255,0.286275,0.00158789
506,0.149258,0.160784,0.00172075
507,0.12544,0.109804,0.00196524
508,0.10395,0.117647,0.00215285
509,0.223076,0.192157,0.00310886
510,0.35407,0.345098,0.00318936
511,0.448612,0.427451,0.00363716
512,0.294197,0.290196,0.00365317
513,0.151536,0.156863,0.00368155
514,0.117256,0.109804,0.00373708
515,0.0974046,0.113725,0.00400345
516,0.216396,0.180392,0.00529972
517,0.359321,0.345098,0.00550202
518,0.455539,0.443137,0.00565582
519,0.290136,0.298039,0.00571828
520,0.146629,0.160784,0.00591865
521,0.119957,0.109804,0.00602173
522,0.0966238,0.113725,0.0063142
523,0.213848,0.180392,0.00743351
524,0.354546,0.345098,0.00752277
525,0.45994,0.45098,0.00760304
526,0.309658,0.309804,0.00760306
527,0.147854,0.164706,0.00788706
528,0.113912,0.105882,0.00795153
529,0.0958441,0.109804,0.00814641
530,0.186891,0.172549,0.00835209
531,0.332967,0.341176,0.00841948
532,0.475831,0.466667,0.00850347
533,0.322499,0.32549,0.00851241
534,0.148923,0.164706,0.00876152
535,0.119959,0.105882,0.00895968
536,0.0978666,0.105882,0.00902394
537,0.181527,0.164706,0.00930688
538,0.330258,0.333333,0.00931634
539,0.482012,0.482353,0.00931646
540,0.343076,0.34902,0.00935178
541,0.15985,0.176471,0.00962803
542,0.112474,0.109804,0.00963517
543,0.088893,0.101961,0.00980593
544,0.174403,0.152941,0.0102665
545,0.314005,0.313725,0.0102666
546,0.485002,0.490196,0.0102936
547,0.369963,0.368627,0.0102954
548,0.169336,0.184314,0.0105197
549,0.10594,0.109804,0.0105346
550,0.0972616,0.101961,0.0105567
551,0.151601,0.145098,0.010599
552,0.288392,0.294118,0.0106318
553,0.477092,0.494118,0.0109217
554,0.408027,0.396078,0.0110644
555,0.200344,0.196078,0.0110826
556,0.110486,0.109804,0.0110831
557,0.0893413,0.0980392,0.0111588
558,0.125045,0.137255,0.0113078
559,0.273606,0.27451,0.0113087
560,0.464937,0.490196,0.0119467
561,0.434768,0.431373,0.0119582
562,0.215124,0.211765,0.0119695
563,0.111921,0.113725,0.0119728
564,0.0958741,0.0980392,0.0119775
565,0.117788,0.12549,0.0120368
566,0.24388,0.243137,0.0120373
567,0.44937,0.478431,0.0128819
568,0.473615,0.470588,0.0128911
569,0.235731,0.239216,0.0129032
570,0.110342,0.12549,0.0131327
571,0.0982975,0.0941176,0.0131501
572,0.113283,0.113725,0.0131503
573,0.21521,0.219608,0.0131697
574,0.421002,0.45098,0.0140684
575,0.49717,0.505882,0.0141443
576,0.280462,0.262745,0.0144582
577,0.110918,0.12549,0.0146705
578,0.0989604,0.0901961,0.0147473
579,0.0997081,0.101961,0.0147524
580,0.169604,0.188235,0.0150996
581,0.375933,0.407843,0.0161178
582,0.523267,0.537255,0.0163134
583,0.32827,0.305882,0.0168147
584,0.120713,0.141176,0.0172334
585,0.103067,0.0901961,0.017399
586,0.0842316,0.0980392,0.0175897
587,0.151052,0.160784,0.0176844
588,0.355081,0.364706,0.017777
589,0.512966,0.556863,0.019704
590,0.37221,0.352941,0.0200753
591,0.131944,0.14902,0.0203669
592,0.0923839,0.0941176,0.0203699
593,0.0831672,0.0862745,0.0203795
594,0.114655,0.137255,0.0208903
595,0.29665,0.305882,0.0209755
596,0.48927,0.556863,0.0255442
597,0.428725,0.407843,0.0259803
598,0.167394,0.176471,0.0260627
599,0.0918305,0.0941176,0.0260679
600,0.0802992,0.0784314,0.0260714
601,0.102115,0.109804,0.0261305
602,0.254631,0.247059,0.0261878
603,0.47114,0.521569,0.0287309
604,0.483329,0.486275,0.0287396
605,0.233233,0.211765,0.0292004
606,0.0849107,0.0980392,0.0293728
607,0.0824091,0.0784314,0.0293886
608,0.0688641,0.0941176,0.0300264
609,0.211606,0.196078,0.0302675
610,0.423067,0.466667,0.0321684
611,0.551296,0.54902,0.0321736
612,0.314443,0.262745,0.0348462
613,0.0880506,0.117647,0.0357222
614,0.080111,0.0784314,0.035725
615,0.0744721,0.0823529,0.0357871
616,0.147363,0.14902,0.0357899
617,0.364526,0.384314,0.0361814
618,0.564248,0.592157,0.0369604
619,0.391306,0.337255,0.0398819
620,0.0941956,0.133333,0.0414136
621,0.0887763,0.0784314,0.0415207
622,0.0841839,0.0745098,0.0416142
623,0.088591,0.121569,0.0427018
624,0.290183,0.298039,0.0427635
625,0.534972,0.592157,0.0460336
626,0.461533,0.435294,0.0467221
627,0.155154,0.168627,0.0469036
628,0.0924437,0.0823529,0.0470054
629,0.0667241,0.0705882,0.0470204
630,0.0654069,0.0941176,0.0478447
631,0.233547,0.219608,0.048039
632,0.480279,0.52549,0.050083
633,0.518323,0.537255,0.0504414
634,0.246075,0.223529,0.0509497
635,0.0754805,0.0941176,0.0512971
636,0.0683422,0.0666667,0.0512999
637,0.0578409,0.0823529,0.0519007
638,0.172262,0.156863,0.0521378
639,0.386757,0.419608,0.053217
