t,predict_test,teacher
501,0.16761,0.164706,8.43549e-06
502,0.119503,0.117647,1.18809e-05
503,0.128061,0.12549,1.84874e-05
504,0.19998,0.196078,3.37098e-05
505,0.343711,0.337255,7.53945e-05
506,0.412347,0.403922,0.000146382
507,0.285148,0.286275,0.000147651
508,0.164799,0.164706,0.000147659
509,0.117879,0.113725,0.000164914
510,0.125425,0.117647,0.000225414
511,0.192884,0.192157,0.000225943
512,0.345404,0.341176,0.000243818
513,0.426497,0.411765,0.000460863
514,0.28904,0.286275,0.000468508
515,0.160518,0.160784,0.000468579
516,0.114133,0.109804,0.000487321
517,0.121756,0.117647,0.000504204
518,0.193043,0.192157,0.000504989
519,0.347029,0.345098,0.000508717
520,0.428704,0.427451,0.000510287
521,0.289221,0.290196,0.000511237
522,0.158874,0.156863,0.000515283
523,0.109559,0.109804,0.000515343
524,0.117087,0.113725,0.000526641
525,0.186567,0.180392,0.000564767
526,0.344945,0.345098,0.00056479
527,0.448867,0.443137,0.000597616
528,0.302275,0.298039,0.000615562
529,0.158481,0.160784,0.000620868
530,0.106109,0.109804,0.000634525
531,0.113727,0.113725,0.000634525
532,0.182272,0.180392,0.000638059
533,0.340432,0.345098,0.000659832
534,0.446554,0.45098,0.000679427
535,0.307333,0.309804,0.000685532
536,0.161932,0.164706,0.000693225
537,0.107236,0.105882,0.000695058
538,0.110946,0.109804,0.000696363
539,0.173079,0.172549,0.000696644
540,0.33304,0.341176,0.000762847
541,0.460558,0.466667,0.000800162
542,0.319864,0.32549,0.000831822
543,0.165644,0.164706,0.000832702
544,0.102791,0.105882,0.00084226
545,0.105139,0.105882,0.000842813
546,0.16238,0.164706,0.00084822
547,0.324025,0.333333,0.000934873
548,0.470839,0.482353,0.00106744
549,0.336806,0.34902,0.00121661
550,0.172415,0.176471,0.00123306
551,0.106627,0.109804,0.00124315
552,0.103573,0.101961,0.00124576
553,0.151182,0.152941,0.00124885
554,0.302264,0.313725,0.00138021
555,0.478671,0.490196,0.00151303
556,0.368286,0.368627,0.00151315
557,0.180405,0.184314,0.00152843
558,0.106213,0.109804,0.00154133
559,0.0988665,0.101961,0.0015509
560,0.142177,0.145098,0.00155943
561,0.28715,0.294118,0.00160798
562,0.474098,0.494118,0.00200879
563,0.392362,0.396078,0.0020226
564,0.19677,0.196078,0.00202308
565,0.109333,0.109804,0.0020233
566,0.0949649,0.0980392,0.00203275
567,0.129007,0.137255,0.00210078
568,0.268324,0.27451,0.00213905
569,0.471165,0.490196,0.00250124
570,0.416122,0.431373,0.00273381
571,0.215812,0.211765,0.0027502
572,0.113645,0.113725,0.0027502
573,0.0920661,0.0980392,0.00278588
574,0.119397,0.12549,0.00282301
575,0.239902,0.243137,0.00283347
576,0.457675,0.478431,0.00326428
577,0.458355,0.470588,0.00341395
578,0.24527,0.239216,0.0034506
579,0.122188,0.12549,0.00346151
580,0.0911528,0.0941176,0.0034703
581,0.11133,0.113725,0.00347603
582,0.209679,0.219608,0.00357462
583,0.433855,0.45098,0.00386791
584,0.485004,0.505882,0.00430384
585,0.274372,0.262745,0.00443903
586,0.125857,0.12549,0.00443916
587,0.087539,0.0901961,0.00444622
588,0.100897,0.101961,0.00444736
589,0.17993,0.188235,0.00451633
590,0.403354,0.407843,0.00453648
591,0.515779,0.537255,0.00499768
592,0.30834,0.305882,0.00500372
593,0.138799,0.141176,0.00500937
594,0.0913378,0.0901961,0.00501067
595,0.0955467,0.0980392,0.00501689
596,0.154444,0.160784,0.00505709
597,0.351149,0.364706,0.00524088
598,0.533278,0.556863,0.00579712
599,0.356662,0.352941,0.00581096
