t,predict_test,teacher
501,0.128998,0.12549,1.23056e-05
502,0.195698,0.196078,1.245e-05
503,0.350334,0.337255,0.000183509
504,0.411365,0.403922,0.000238909
505,0.26775,0.286275,0.000582058
506,0.177675,0.164706,0.000750247
507,0.105597,0.113725,0.000816318
508,0.133114,0.117647,0.00105556
509,0.196334,0.192157,0.00107301
510,0.351071,0.341176,0.00117091
511,0.408513,0.411765,0.00118148
512,0.264958,0.286275,0.00163589
513,0.177754,0.160784,0.00192387
514,0.0924637,0.109804,0.00222456
515,0.132779,0.117647,0.00245354
516,0.200211,0.192157,0.00251842
517,0.357822,0.345098,0.00268031
518,0.417122,0.427451,0.00278701
519,0.269186,0.290196,0.00322842
520,0.178055,0.156863,0.00367754
521,0.100559,0.109804,0.00376301
522,0.120028,0.113725,0.00380273
523,0.189458,0.180392,0.00388493
524,0.349727,0.345098,0.00390636
525,0.446915,0.443137,0.00392063
526,0.271678,0.298039,0.00461552
527,0.176743,0.160784,0.00487018
528,0.0919386,0.109804,0.00518935
529,0.107213,0.113725,0.00523177
530,0.178335,0.180392,0.005236
531,0.361629,0.345098,0.00550927
532,0.457971,0.45098,0.00555814
533,0.279608,0.309804,0.0064699
534,0.180657,0.164706,0.00672436
535,0.0922276,0.105882,0.00691081
536,0.104256,0.109804,0.00694159
537,0.169843,0.172549,0.00694891
538,0.344695,0.341176,0.00696129
539,0.450045,0.466667,0.00723758
540,0.295195,0.32549,0.00815537
541,0.178709,0.164706,0.00835145
542,0.0920658,0.105882,0.00854235
543,0.0939459,0.105882,0.00868483
544,0.159213,0.164706,0.008715
545,0.326032,0.333333,0.0087683
546,0.473585,0.482353,0.00884517
547,0.317767,0.34902,0.00982193
548,0.17783,0.176471,0.00982378
549,0.0920705,0.109804,0.0101383
550,0.0914849,0.101961,0.010248
551,0.144967,0.152941,0.0103116
552,0.304665,0.313725,0.0103937
553,0.469442,0.490196,0.0108244
554,0.339315,0.368627,0.0116836
555,0.176024,0.184314,0.0117524
556,0.0982429,0.109804,0.011886
557,0.072127,0.101961,0.0127761
558,0.138537,0.145098,0.0128191
559,0.286337,0.294118,0.0128797
560,0.476905,0.494118,0.013176
561,0.372489,0.396078,0.0137324
562,0.180827,0.196078,0.013965
563,0.119973,0.109804,0.0140684
564,0.0618551,0.0980392,0.0153777
565,0.120725,0.137255,0.0156509
566,0.25505,0.27451,0.0160296
567,0.468275,0.490196,0.0165101
568,0.410434,0.431373,0.0169486
569,0.185222,0.211765,0.0176531
570,0.129202,0.113725,0.0178926
571,0.0730758,0.0980392,0.0185158
572,0.0983029,0.12549,0.0192549
573,0.216436,0.243137,0.0199679
574,0.439192,0.478431,0.0215076
575,0.464996,0.470588,0.0215389
576,0.18921,0.239216,0.0240395
577,0.154051,0.12549,0.0248552
578,0.0572406,0.0941176,0.0262152
579,0.0773209,0.113725,0.0275405
580,0.178642,0.219608,0.0292187
581,0.418732,0.45098,0.0302586
582,0.491066,0.505882,0.0304782
583,0.20961,0.262745,0.0333015
584,0.164213,0.12549,0.034801
585,0.0658458,0.0901961,0.0353939
586,0.0484133,0.101961,0.0382612
587,0.163957,0.188235,0.0388507
588,0.362001,0.407843,0.0409522
