t,predict_test,teacher
501,0.534222,0.536295,4.29857e-06
502,0.553835,0.549239,2.54209e-05
503,0.484115,0.472762,0.000154302
504,0.373227,0.379746,0.000196801
505,0.325408,0.339764,0.000402896
506,0.402983,0.408659,0.000435107
507,0.546168,0.549678,0.000447429
508,0.405749,0.41561,0.000544662
509,0.453238,0.456628,0.000556158
510,0.465228,0.479724,0.000766301
511,0.492673,0.500248,0.000823669
512,0.456434,0.455713,0.000824189
513,0.423201,0.427589,0.000843444
514,0.351978,0.364442,0.000998793
515,0.359046,0.337262,0.00147336
516,0.358841,0.325831,0.00256305
517,0.321412,0.295486,0.00323519
518,0.382674,0.35587,0.00395366
519,0.417377,0.389164,0.0047496
520,0.403963,0.374989,0.00558909
521,0.409899,0.395455,0.00579771
522,0.631978,0.608424,0.00635251
523,0.601526,0.581121,0.00676886
524,0.433471,0.414392,0.00713284
525,0.36547,0.358963,0.00717518
526,0.424335,0.411515,0.00733952
527,0.49943,0.49847,0.00734044
528,0.402312,0.384661,0.00765199
529,0.354918,0.352779,0.00765657
530,0.364808,0.362979,0.00765992
531,0.628409,0.646538,0.00798856
532,0.60419,0.604066,0.00798858
533,0.442926,0.454183,0.00811529
534,0.381022,0.404374,0.00866063
535,0.427753,0.422894,0.00868423
536,0.551822,0.568766,0.00897133
537,0.399858,0.410851,0.00909216
538,0.408876,0.412888,0.00910826
539,0.328578,0.354243,0.00976692
540,0.330155,0.349153,0.0101278
541,0.387031,0.371998,0.0103538
542,0.308241,0.302899,0.0103823
543,0.281344,0.276581,0.010405
544,0.38453,0.385997,0.0104072
545,0.442849,0.451736,0.0104862
546,0.331603,0.351927,0.0108992
547,0.305411,0.305162,0.0108993
548,0.412892,0.385972,0.011624
549,0.3172,0.309066,0.0116901
550,0.347075,0.327036,0.0120917
551,0.243809,0.25518,0.012221
552,0.276302,0.268771,0.0122777
553,0.455131,0.458425,0.0122886
554,0.386453,0.404168,0.0126024
555,0.31658,0.326178,0.0126945
556,0.234431,0.265587,0.0136652
557,0.254991,0.27089,0.013918
558,0.344621,0.326889,0.0142324
559,0.424959,0.444007,0.0145952
560,0.281251,0.30764,0.0152916
561,0.240531,0.247438,0.0153393
562,0.302615,0.295516,0.0153897
563,0.281194,0.274041,0.0154409
564,0.233607,0.225753,0.0155026
565,0.226803,0.242393,0.0157456
566,0.19688,0.216193,0.0161186
567,0.351323,0.399295,0.0184198
568,0.390978,0.414556,0.0189758
569,0.300188,0.291996,0.0190429
570,0.227932,0.237635,0.019137
571,0.200056,0.22979,0.0200211
572,0.270371,0.276454,0.0200581
573,0.180385,0.221971,0.0217875
574,0.307,0.302974,0.0218037
575,0.250489,0.281123,0.0227421
576,0.389889,0.414869,0.0233661
577,0.345035,0.361135,0.0236253
578,0.281577,0.298655,0.023917
579,0.553753,0.567193,0.0240976
580,0.430909,0.430302,0.024098
581,0.629309,0.635494,0.0241362
582,0.405695,0.439033,0.0252476
583,0.449941,0.447025,0.0252561
584,0.386513,0.390641,0.0252732
585,0.402646,0.408009,0.0253019
586,0.468414,0.475304,0.0253494
587,0.447138,0.426841,0.0257614
588,0.554117,0.543568,0.0258727
589,0.554987,0.553588,0.0258746
590,0.670459,0.665611,0.0258981
591,0.633909,0.624895,0.0259794
592,0.507084,0.511158,0.025996
593,0.41326,0.424928,0.0261321
594,0.417727,0.411537,0.0261704
595,0.611912,0.623215,0.0262982
596,0.604829,0.634455,0.0271759
597,0.564244,0.590413,0.0278607
598,0.46332,0.494679,0.0288441
599,0.387019,0.410254,0.029384
600,0.571255,0.584843,0.0295686
601,0.520853,0.53661,0.0298169
602,0.556719,0.572812,0.0300759
603,0.540083,0.585398,0.0321293
604,0.592675,0.625609,0.033214
605,0.668792,0.715496,0.0353953
606,0.528556,0.57301,0.0373715
607,0.420484,0.473329,0.0401641
608,0.373363,0.402791,0.04103
609,0.47787,0.478371,0.0410303
610,0.473397,0.494938,0.0414943
611,0.501412,0.487177,0.0416969
612,0.667854,0.67871,0.0418148
613,0.632008,0.649982,0.0421378
614,0.619489,0.657369,0.0435727
615,0.489627,0.544564,0.0465909
616,0.391221,0.424046,0.0476683
617,0.551016,0.5903,0.0492115
618,0.53922,0.577404,0.0506696
619,0.562902,0.602722,0.0522552
620,0.415301,0.462034,0.0544392
621,0.50391,0.52913,0.0550753
622,0.432019,0.447865,0.0553264
623,0.375687,0.415494,0.0569109
624,0.309248,0.35714,0.0592046
625,0.269144,0.309307,0.0608176
626,0.490663,0.512698,0.0613032
627,0.416119,0.423895,0.0613636
628,0.491058,0.497974,0.0614115
629,0.374974,0.380947,0.0614471
630,0.485983,0.478187,0.0615079
631,0.400813,0.38133,0.0618875
632,0.351988,0.346806,0.0619144
633,0.265027,0.280515,0.0621543
634,0.310206,0.31759,0.0622088
635,0.399806,0.403488,0.0622224
636,0.333906,0.327416,0.0622645
637,0.368947,0.357303,0.0624001
638,0.360934,0.359909,0.0624011
639,0.516586,0.524424,0.0624626
640,0.544652,0.540989,0.062476
641,0.417981,0.417355,0.0624764
642,0.304884,0.319176,0.0626806
643,0.388861,0.398823,0.0627799
644,0.291662,0.303174,0.0629124
645,0.32476,0.338544,0.0631024
646,0.279485,0.279683,0.0631025
647,0.249967,0.252282,0.0631078
648,0.384007,0.381232,0.0631155
649,0.342572,0.344171,0.0631181
650,0.336784,0.318469,0.0634535
651,0.301296,0.300151,0.0634548
652,0.609184,0.59239,0.0637369
653,0.397743,0.389306,0.063808
654,0.434452,0.4411,0.0638522
655,0.280749,0.314793,0.0650113
656,0.262692,0.273238,0.0651225
657,0.316478,0.314879,0.0651251
658,0.275864,0.282132,0.0651643
659,0.457847,0.461962,0.0651813
660,0.351755,0.349688,0.0651855
661,0.498459,0.504583,0.065223
662,0.598762,0.593648,0.0652492
663,0.422945,0.42741,0.0652691
664,0.351734,0.337596,0.065469
665,0.310073,0.311463,0.0654709
666,0.308068,0.297868,0.065575
667,0.361057,0.375178,0.0657744
668,0.310246,0.30133,0.0658539
669,0.304892,0.284528,0.0662686
670,0.46533,0.439529,0.0669343
671,0.460654,0.430655,0.0678343
672,0.371137,0.337074,0.0689945
673,0.440535,0.39555,0.0710182
674,0.342531,0.309359,0.0721185
675,0.363102,0.340035,0.0726506
676,0.294343,0.26741,0.073376
677,0.261948,0.235141,0.0740947
678,0.520343,0.49697,0.074641
679,0.543751,0.520117,0.0751995
680,0.420182,0.396309,0.0757695
681,0.355008,0.339983,0.0759952
682,0.468224,0.447464,0.0764262
683,0.388718,0.373379,0.0766614
684,0.289251,0.2843,0.0766859
685,0.236078,0.239094,0.076695
686,0.295248,0.291216,0.0767113
687,0.414231,0.402121,0.0768579
688,0.370735,0.377056,0.0768979
689,0.38529,0.39302,0.0769577
690,0.314434,0.311197,0.0769681
691,0.55181,0.543659,0.0770346
692,0.559754,0.551959,0.0770953
693,0.375001,0.371014,0.0771112
694,0.252261,0.281553,0.0779692
695,0.268698,0.285359,0.0782468
696,0.383834,0.396695,0.0784122
697,0.38277,0.410749,0.079195
698,0.497692,0.497356,0.0791952
699,0.394487,0.426809,0.0802399
700,0.578672,0.579653,0.0802408
701,0.511952,0.51991,0.0803041
702,0.400347,0.419237,0.080661
703,0.290909,0.315053,0.0812439
704,0.334547,0.333367,0.0812453
705,0.317463,0.298898,0.08159
706,0.404704,0.386367,0.0819262
707,0.349405,0.322902,0.0826287
708,0.400466,0.384037,0.0828986
709,0.476576,0.466795,0.0829943
710,0.398703,0.383438,0.0832273
711,0.367981,0.34773,0.0836374
712,0.467264,0.433621,0.0847692
713,0.373391,0.341864,0.0857632
714,0.308788,0.275504,0.086871
715,0.332356,0.307777,0.0874751
716,0.296759,0.278705,0.0878011
717,0.368714,0.368236,0.0878013
718,0.346786,0.337322,0.0878909
719,0.342625,0.324434,0.0882218
720,0.308725,0.30045,0.0882902
721,0.259567,0.272361,0.0884539
722,0.243876,0.238458,0.0884833
723,0.320379,0.320225,0.0884833
724,0.392851,0.389624,0.0884937
725,0.428008,0.429925,0.0884974
726,0.374769,0.37425,0.0884977
727,0.367343,0.363153,0.0885152
728,0.445405,0.439007,0.0885562
729,0.329961,0.321363,0.0886301
730,0.259287,0.255963,0.0886412
731,0.213877,0.234351,0.0890603
732,0.503962,0.534646,0.0900018
733,0.41659,0.438771,0.0904938
734,0.42868,0.442185,0.0906762
735,0.396285,0.416541,0.0910866
736,0.58917,0.580818,0.0911563
737,0.581592,0.592754,0.0912809
738,0.426409,0.43078,0.0913
739,0.2949,0.33205,0.0926801
740,0.233909,0.271684,0.094107
741,0.376517,0.402713,0.0947932
742,0.334918,0.335049,0.0947933
743,0.276194,0.272859,0.0948044
744,0.269266,0.255252,0.0950008
745,0.535064,0.544313,0.0950863
746,0.412662,0.403587,0.0951687
747,0.328867,0.335253,0.0952095
748,0.311101,0.325419,0.0954145
749,0.252684,0.259272,0.0954579
750,0.239601,0.248801,0.0955425
751,0.26416,0.249684,0.0957521
752,0.212334,0.2175,0.0957788
753,0.185416,0.21351,0.0965681
754,0.252731,0.267557,0.0967879
755,0.285476,0.274826,0.0969013
756,0.222538,0.22324,0.0969018
757,0.256989,0.262342,0.0969304
758,0.418074,0.43767,0.0973144
759,0.319962,0.320339,0.0973145
760,0.332087,0.314707,0.0976166
761,0.578206,0.573497,0.0976388
762,0.580423,0.576603,0.0976534
763,0.424034,0.416325,0.0977128
764,0.617513,0.616709,0.0977134
765,0.376743,0.409657,0.0987968
766,0.400927,0.406132,0.0988238
767,0.487872,0.486326,0.0988262
768,0.391246,0.386448,0.0988492
769,0.417489,0.410164,0.0989029
770,0.614628,0.605527,0.0989857
771,0.619577,0.625246,0.0990179
772,0.516304,0.532921,0.099294
773,0.607092,0.631133,0.0998719
774,0.430338,0.456628,0.100563
775,0.358164,0.382317,0.101146
776,0.29257,0.318942,0.101842
777,0.267214,0.283752,0.102115
778,0.420133,0.427996,0.102177
779,0.542113,0.565302,0.102715
780,0.579806,0.627995,0.105037
781,0.5203,0.566985,0.107217
782,0.417501,0.456359,0.108727
783,0.391081,0.401396,0.108833
784,0.339019,0.342179,0.108843
785,0.297276,0.290019,0.108896
786,0.296319,0.275335,0.109336
787,0.457069,0.426171,0.110291
788,0.533703,0.546487,0.110454
789,0.467501,0.48502,0.110761
790,0.502184,0.516986,0.11098
791,0.395801,0.408559,0.111143
792,0.351105,0.347347,0.111157
793,0.341953,0.339282,0.111164
794,0.446026,0.447113,0.111165
795,0.422829,0.421817,0.111166
796,0.357256,0.343053,0.111368
797,0.467817,0.453679,0.111568
798,0.392435,0.376332,0.111827
799,0.329692,0.330373,0.111828
800,0.440185,0.434583,0.111859
801,0.385463,0.372751,0.112021
802,0.3406,0.326381,0.112223
803,0.409286,0.379663,0.1131
804,0.386041,0.346051,0.114699
805,0.341312,0.315684,0.115356
806,0.361407,0.344888,0.115629
807,0.344431,0.314949,0.116498
808,0.279161,0.260673,0.11684
809,0.435533,0.413186,0.11734
810,0.489148,0.485802,0.117351
811,0.426569,0.418832,0.117411
812,0.380157,0.375126,0.117436
813,0.360511,0.350274,0.117541
814,0.411457,0.397339,0.11774
815,0.452074,0.443245,0.117818
816,0.429689,0.405871,0.118385
817,0.32061,0.311902,0.118461
818,0.460719,0.452033,0.118537
819,0.440871,0.426876,0.118732
820,0.394087,0.384157,0.118831
821,0.389099,0.374559,0.119042
822,0.456095,0.440837,0.119275
823,0.469751,0.457739,0.11942
824,0.521434,0.497247,0.120004
825,0.43076,0.417729,0.120174
826,0.394439,0.381574,0.12034
827,0.540757,0.519443,0.120794
828,0.502565,0.472827,0.121678
829,0.433764,0.412413,0.122134
830,0.433858,0.428379,0.122164
831,0.486061,0.47826,0.122225
832,0.44348,0.424612,0.122581
833,0.47736,0.456398,0.123021
834,0.424413,0.398835,0.123675
835,0.52031,0.491734,0.124491
836,0.622194,0.610719,0.124623
837,0.651649,0.6486,0.124632
838,0.562898,0.556649,0.124671
839,0.416409,0.40989,0.124714
840,0.528894,0.540318,0.124844
841,0.458566,0.445633,0.125012
842,0.384942,0.389308,0.125031
843,0.486491,0.496859,0.125138
844,0.46277,0.454209,0.125212
845,0.366485,0.367194,0.125212
846,0.402114,0.388097,0.125409
847,0.376198,0.351284,0.126029
848,0.325865,0.290309,0.127293
849,0.431565,0.391704,0.128882
850,0.428023,0.391825,0.130193
851,0.341227,0.312902,0.130995
852,0.399665,0.354719,0.133015
853,0.319165,0.287543,0.134015
854,0.252257,0.238377,0.134208
855,0.303727,0.278959,0.134821
856,0.291488,0.282476,0.134902
857,0.349932,0.358649,0.134978
858,0.281464,0.267229,0.135181
859,0.363014,0.331868,0.136151
860,0.372902,0.357395,0.136391
861,0.397242,0.376683,0.136814
862,0.270316,0.276118,0.136848
863,0.203982,0.228263,0.137437
864,0.259318,0.278056,0.137789
865,0.375089,0.413879,0.139293
866,0.358585,0.366303,0.139353
867,0.261492,0.272156,0.139466
868,0.478967,0.468236,0.139582
869,0.504379,0.508222,0.139596
870,0.408178,0.41378,0.139628
871,0.346522,0.329297,0.139924
872,0.301422,0.30491,0.139937
873,0.344398,0.316077,0.140739
874,0.333121,0.299103,0.141896
875,0.349013,0.33006,0.142255
876,0.332405,0.306791,0.142911
877,0.459128,0.434454,0.14352
878,0.538244,0.505743,0.144576
879,0.367149,0.35925,0.144639
880,0.360689,0.355546,0.144665
881,0.323598,0.307119,0.144937
882,0.376947,0.357822,0.145303
883,0.347382,0.309359,0.146748
884,0.37203,0.351193,0.147183
885,0.323667,0.320098,0.147195
886,0.335352,0.323281,0.147341
887,0.499273,0.485089,0.147542
888,0.38649,0.361268,0.148178
