t,predict_test,teacher
501,0.179943,0.184258,1.86179e-05
502,0.256258,0.249916,5.88331e-05
503,0.337451,0.363756,0.000750751
504,0.264126,0.275911,0.000889644
505,0.131847,0.156821,0.00151335
506,0.30868,0.336358,0.0022794
507,0.262787,0.298227,0.0035354
508,0.137424,0.162118,0.00414517
509,0.0956743,0.127299,0.00514529
510,0.21039,0.229693,0.0055179
511,0.181721,0.1838,0.00552222
512,0.180686,0.193076,0.00567575
513,0.244777,0.237719,0.00572558
514,0.310297,0.337833,0.00648383
515,0.172265,0.199791,0.00724151
516,0.181316,0.164548,0.0075227
517,0.266012,0.286371,0.00793715
518,0.224496,0.212948,0.00807052
519,0.117982,0.134363,0.00833886
520,0.2353,0.224697,0.00845129
521,0.328656,0.358603,0.00934811
522,0.245745,0.2123,0.0104666
523,0.217773,0.210746,0.010516
524,0.211902,0.207704,0.0105336
525,0.208125,0.224353,0.010797
526,0.187614,0.17155,0.0110551
527,0.299489,0.321405,0.0115354
528,0.202265,0.202837,0.0115357
529,0.113249,0.121461,0.0116031
530,0.06887,0.0815116,0.0117629
531,0.264211,0.29765,0.0128811
532,0.263682,0.30155,0.0143152
533,0.171107,0.184227,0.0144873
534,0.130608,0.139176,0.0145607
535,0.275392,0.279876,0.0145808
536,0.36436,0.430523,0.0189584
537,0.220047,0.235222,0.0191886
538,0.235384,0.251489,0.019448
539,0.239456,0.23621,0.0194585
540,0.147327,0.151207,0.0194736
541,0.185791,0.179177,0.0195173
542,0.07866,0.101294,0.0200296
543,0.065684,0.0848181,0.0203957
544,0.0951584,0.104119,0.020476
545,0.223005,0.233531,0.0205868
546,0.275604,0.276747,0.0205881
547,0.114756,0.144755,0.021488
548,0.169116,0.156899,0.0216373
549,0.180579,0.170355,0.0217418
550,0.270143,0.277094,0.0217902
551,0.0860018,0.134652,0.024157
552,0.18914,0.229546,0.0257897
553,0.235218,0.248863,0.0259759
554,0.14645,0.146563,0.0259759
555,0.0745534,0.0906261,0.0262343
556,0.0183101,0.0636538,0.0282903
557,0.0134422,0.0507973,0.0296857
558,0.17592,0.19453,0.030032
559,0.223313,0.245892,0.0305418
560,0.115282,0.127548,0.0306923
561,0.0262193,0.0653293,0.0322219
562,0.118966,0.114785,0.0322394
563,0.0562205,0.0885239,0.0332829
564,0.0869112,0.0474389,0.0348409
565,0.0242934,0.030244,0.0348764
566,0.0527474,0.0514814,0.034878
567,0.272131,0.306518,0.0360604
568,0.146889,0.201793,0.0390749
569,0.0640525,0.100347,0.0403922
570,0.130791,0.158094,0.0411376
571,0.069437,0.0867865,0.0414387
572,0.268091,0.281405,0.0416159
573,0.192109,0.166372,0.0422783
574,0.101463,0.0910083,0.0423876
575,0.132805,0.0523062,0.0488677
576,0.0914444,0.0835302,0.0489303
577,0.0968408,0.0781361,0.0492802
578,0.00471953,0.0411821,0.0506097
579,0.15698,0.148911,0.0506748
580,0.132848,0.10695,0.0513455
581,0.299133,0.31827,0.0517117
582,0.201183,0.223059,0.0521903
583,0.136558,0.1369,0.0521904
584,0.163682,0.139041,0.0527976
585,0.111145,0.115767,0.0528189
586,0.339727,0.381825,0.0545912
587,0.193443,0.194096,0.0545916
588,0.274094,0.270336,0.0546057
589,0.316272,0.30965,0.0546496
590,0.299772,0.315873,0.0549088
591,0.271209,0.277628,0.05495
592,0.190085,0.198655,0.0550235
593,0.274544,0.283693,0.0551072
594,0.232752,0.246335,0.0552917
595,0.371384,0.390995,0.0556763
596,0.347508,0.373423,0.0563479
597,0.265401,0.274926,0.0564386
598,0.116478,0.161698,0.0584834
599,0.0917875,0.104522,0.0586456
600,0.30441,0.349861,0.0607114
601,0.275563,0.303928,0.0615159
602,0.319165,0.345442,0.0622064
603,0.355363,0.404056,0.0645775
604,0.356088,0.378025,0.0650587
605,0.36161,0.393723,0.06609
606,0.199313,0.251687,0.068833
607,0.194405,0.234003,0.070401
608,0.247253,0.27849,0.0713767
609,0.267736,0.290908,0.0719136
610,0.310368,0.323381,0.072083
611,0.23719,0.241633,0.0721027
612,0.203057,0.197732,0.0721311
613,0.146295,0.132859,0.0723116
614,0.278804,0.286799,0.0723755
615,0.294219,0.311971,0.0726906
616,0.185424,0.191694,0.07273
617,0.355274,0.357467,0.0727348
618,0.332121,0.363208,0.0737011
619,0.369288,0.41452,0.0757471
620,0.14801,0.226102,0.0818454
621,0.175384,0.214383,0.0833663
622,0.168951,0.165668,0.0833771
623,0.155477,0.131556,0.0839493
624,0.0755381,0.0915382,0.0842053
625,0.150563,0.117658,0.0852881
626,0.297612,0.332163,0.0864818
627,0.167875,0.205375,0.0878881
628,0.248183,0.231114,0.0881794
629,0.253383,0.271796,0.0885185
630,0.178672,0.163652,0.0887441
631,0.279264,0.253854,0.0893898
632,0.303077,0.306854,0.089404
633,0.218757,0.205225,0.0895871
634,0.11288,0.116425,0.0895997
635,0.142295,0.144682,0.0896054
636,0.119824,0.0983284,0.0900674
637,0.0991429,0.0971838,0.0900713
638,0.0412997,0.0652007,0.0906425
639,0.18117,0.17849,0.0906497
640,0.312203,0.339545,0.0913973
641,0.141635,0.174091,0.0924507
642,0.109654,0.129265,0.0928353
643,0.251565,0.286805,0.0940771
644,0.149911,0.145275,0.0940986
645,0.187399,0.194796,0.0941533
646,0.135983,0.109261,0.0948674
647,0.0437791,0.063,0.0952368
648,0.107448,0.122418,0.0954609
649,0.0548939,0.0923374,0.0968629
650,0.156271,0.15159,0.0968848
651,0.172448,0.185153,0.0970462
652,0.229607,0.215914,0.0972337
653,0.298458,0.291429,0.0972831
654,0.321655,0.352997,0.0982655
655,0.12598,0.172386,0.100419
656,0.0909637,0.130796,0.102006
657,0.21895,0.200354,0.102351
658,0.091986,0.101091,0.102434
659,0.235484,0.238456,0.102443
660,0.0741026,0.115067,0.104121
661,0.097269,0.0850068,0.104272
662,0.208555,0.235516,0.104998
663,0.114338,0.119974,0.10503
664,0.201841,0.226742,0.10565
665,0.138456,0.158097,0.106036
666,0.185683,0.192301,0.10608
667,0.304594,0.320166,0.106322
668,0.177752,0.163826,0.106516
669,0.135984,0.10953,0.107216
670,0.222608,0.221691,0.107217
671,0.148311,0.153364,0.107242
672,0.178546,0.169455,0.107325
673,0.247759,0.258279,0.107436
674,0.10552,0.133565,0.108222
675,0.230244,0.252842,0.108733
676,0.132049,0.126433,0.108765
677,0.107084,0.0882043,0.109121
678,0.291579,0.294371,0.109129
679,0.187589,0.187246,0.109129
680,0.14358,0.13008,0.109311
681,0.138971,0.130217,0.109388
682,0.13365,0.0817443,0.112082
683,0.234138,0.212355,0.112556
684,0.150135,0.103267,0.114753
685,0.0999684,0.0771117,0.115275
686,0.148264,0.130067,0.115607
687,0.145599,0.148932,0.115618
688,0.109212,0.106643,0.115624
689,0.286599,0.313629,0.116355
690,0.108622,0.142598,0.117509
691,0.234555,0.230121,0.117529
692,0.382558,0.400691,0.117858
693,0.238425,0.270912,0.118913
694,0.0867266,0.127434,0.12057
695,0.0515817,0.0901782,0.12206
696,0.290042,0.367008,0.127984
697,0.308845,0.338689,0.128874
698,0.158738,0.163875,0.128901
699,0.117822,0.126589,0.128978
700,0.171395,0.187305,0.129231
701,0.150826,0.155525,0.129253
702,0.124425,0.124231,0.129253
703,0.245177,0.278627,0.130372
704,0.187416,0.205018,0.130682
705,0.123898,0.12936,0.130711
706,0.232966,0.206512,0.131411
707,0.136869,0.123718,0.131584
708,0.0935037,0.0660736,0.132337
709,0.0983584,0.106872,0.132409
710,0.220338,0.181003,0.133956
711,0.249097,0.239772,0.134043
712,0.276645,0.254027,0.134555
713,0.154819,0.153714,0.134556
714,0.200289,0.173923,0.135251
715,0.164468,0.147854,0.135527
716,0.166801,0.150328,0.135799
717,0.241452,0.244499,0.135808
718,0.169941,0.179314,0.135896
719,0.106686,0.101029,0.135928
720,0.100863,0.0938569,0.135977
721,0.0269811,0.0552553,0.136776
722,0.0670471,0.0747094,0.136835
723,0.210488,0.232904,0.137337
724,0.216839,0.215847,0.137338
725,0.21781,0.213383,0.137358
726,0.185452,0.170396,0.137585
727,0.125562,0.124758,0.137585
728,0.20236,0.172767,0.138461
729,0.128497,0.106875,0.138929
730,0.0915907,0.075723,0.13918
731,0.099068,0.0859449,0.139353
732,0.166919,0.144489,0.139856
733,0.120619,0.113443,0.139907
734,0.142245,0.108095,0.141073
735,0.0964385,0.098079,0.141076
736,0.187078,0.128976,0.144452
737,0.266309,0.257372,0.144532
738,0.282496,0.264425,0.144858
739,0.190322,0.19646,0.144896
740,0.0850237,0.0931504,0.144962
741,0.155484,0.188634,0.146061
742,0.188795,0.17663,0.146209
743,0.10701,0.082655,0.146802
744,-0.0137259,0.045157,0.150269
745,0.0759346,0.0832925,0.150323
