t,predict_test,teacher
501,0.339348,0.337075,5.16238e-06
502,0.509067,0.506931,9.7212e-06
503,0.425918,0.424797,1.09777e-05
504,0.356022,0.355245,1.15804e-05
505,0.27402,0.273552,1.1799e-05
506,0.488984,0.487865,1.30512e-05
507,0.510679,0.51129,1.34246e-05
508,0.316481,0.31657,1.34324e-05
509,0.249872,0.25018,1.35275e-05
510,0.411628,0.411139,1.37665e-05
511,0.384956,0.385571,1.4145e-05
512,0.26253,0.264037,1.64167e-05
513,0.338116,0.338559,1.66123e-05
514,0.414559,0.415043,1.68473e-05
515,0.288117,0.287144,1.77945e-05
516,0.231303,0.231986,1.82608e-05
517,0.416922,0.416575,1.83811e-05
518,0.442495,0.443726,1.98971e-05
519,0.298305,0.297881,2.00771e-05
520,0.247301,0.248317,2.11094e-05
521,0.444952,0.444826,2.11252e-05
522,0.521447,0.520638,2.17797e-05
523,0.41357,0.415451,2.53188e-05
524,0.338838,0.339988,2.66413e-05
525,0.492093,0.49399,3.02394e-05
526,0.479591,0.482621,3.94191e-05
527,0.483542,0.485121,4.19116e-05
528,0.320197,0.323067,5.01535e-05
529,0.306798,0.308636,5.35335e-05
530,0.265579,0.266511,5.44019e-05
531,0.478524,0.479975,5.65084e-05
532,0.325791,0.326908,5.77552e-05
533,0.249367,0.249301,5.77594e-05
534,0.213999,0.215575,6.02434e-05
535,0.401089,0.40265,6.26798e-05
536,0.466458,0.46702,6.29958e-05
537,0.286397,0.288185,6.61942e-05
538,0.290894,0.290989,6.62033e-05
539,0.3032,0.303776,6.65345e-05
540,0.273499,0.271955,6.89166e-05
541,0.218182,0.21851,6.90244e-05
542,0.220021,0.222507,7.52035e-05
543,0.219084,0.222459,8.65955e-05
544,0.220243,0.221469,8.80992e-05
545,0.244493,0.24496,8.83176e-05
546,0.218319,0.219204,8.91019e-05
547,0.186903,0.188661,9.21944e-05
548,0.393996,0.393811,9.22284e-05
549,0.3182,0.317729,9.24498e-05
550,0.370295,0.371885,9.49777e-05
551,0.238026,0.239592,9.74276e-05
552,0.359031,0.358287,9.79821e-05
553,0.380289,0.380222,9.79865e-05
554,0.351036,0.351498,9.82e-05
555,0.234452,0.23573,9.98336e-05
556,0.2486,0.2476,0.000100833
557,0.243225,0.242399,0.000101516
558,0.308484,0.307743,0.000102063
559,0.255193,0.255902,0.000102566
560,0.196629,0.198734,0.000106997
561,0.174559,0.173178,0.000108906
562,0.221233,0.219134,0.00011331
563,0.245571,0.244139,0.00011536
564,0.18592,0.186633,0.000115869
565,0.1748,0.168302,0.000158088
566,0.17733,0.172562,0.00018082
567,0.226543,0.222665,0.00019586
568,0.180011,0.178543,0.000198013
569,0.192904,0.192305,0.000198371
570,0.222645,0.222625,0.000198372
571,0.2666,0.26605,0.000198674
572,0.348579,0.348612,0.000198676
573,0.233493,0.237837,0.000217547
574,0.470264,0.471392,0.000218819
575,0.360476,0.362977,0.000225074
576,0.468426,0.468367,0.000225077
577,0.310297,0.308462,0.000228443
578,0.346005,0.344589,0.000230449
579,0.521478,0.519542,0.000234197
580,0.456957,0.457938,0.000235159
581,0.440051,0.443111,0.000244527
582,0.359804,0.360381,0.000244859
583,0.396268,0.397098,0.000245549
584,0.31316,0.31404,0.000246323
585,0.380453,0.381882,0.000248366
586,0.443808,0.443296,0.000248629
587,0.358922,0.35664,0.000253837
588,0.289365,0.28973,0.00025397
589,0.327453,0.328197,0.000254523
590,0.50671,0.505618,0.000255717
591,0.453805,0.453604,0.000255757
592,0.380172,0.379187,0.000256728
593,0.382511,0.383639,0.000258
594,0.386549,0.386666,0.000258013
595,0.502977,0.501647,0.000259781
596,0.457937,0.456824,0.000261021
597,0.397288,0.39664,0.00026144
598,0.296911,0.296464,0.00026164
599,0.244171,0.245759,0.000264162
600,0.498367,0.497829,0.000264452
601,0.431098,0.433178,0.000268778
602,0.337878,0.33864,0.000269359
