t,predict_test,teacher
501,0.174439,0.184258,9.64109e-05
502,0.260784,0.249916,0.00021451
503,0.341595,0.363756,0.00070561
504,0.289046,0.275911,0.000878132
505,0.139592,0.156821,0.00117497
506,0.296203,0.336358,0.00278737
507,0.289393,0.298227,0.00286542
508,0.13233,0.162118,0.0037527
509,0.109487,0.127299,0.00406996
510,0.229753,0.229693,0.00406997
511,0.171484,0.1838,0.00422165
512,0.204743,0.193076,0.00435776
513,0.243521,0.237719,0.00439144
514,0.315401,0.337833,0.00489462
515,0.184707,0.199791,0.00512217
516,0.202407,0.164548,0.00655548
517,0.271286,0.286371,0.00678304
518,0.219132,0.212948,0.00682128
519,0.131871,0.134363,0.00682749
520,0.218824,0.224697,0.00686198
521,0.335103,0.358603,0.00741424
522,0.233026,0.2123,0.00784377
523,0.226399,0.210746,0.00808878
524,0.211113,0.207704,0.0081004
525,0.230158,0.224353,0.0081341
526,0.18752,0.17155,0.00838914
527,0.296182,0.321405,0.00902538
528,0.193838,0.202837,0.00910635
529,0.109313,0.121461,0.00925393
530,0.0640859,0.0815116,0.00955759
531,0.278136,0.29765,0.00993838
532,0.274888,0.30155,0.0106492
533,0.197014,0.184227,0.0108127
534,0.120217,0.139176,0.0111722
535,0.28147,0.279876,0.0111747
536,0.405309,0.430523,0.0118105
537,0.227164,0.235222,0.0118754
538,0.27465,0.251489,0.0124118
539,0.242687,0.23621,0.0124538
540,0.137608,0.151207,0.0126387
541,0.199211,0.179177,0.0130401
542,0.0483811,0.101294,0.0158398
543,0.0492094,0.0848181,0.0171078
544,0.098456,0.104119,0.0171399
545,0.229266,0.233531,0.0171581
546,0.246035,0.276747,0.0181013
547,0.098763,0.144755,0.0202165
548,0.163514,0.156899,0.0202603
549,0.138473,0.170355,0.0212768
550,0.248972,0.277094,0.0220676
551,0.0741145,0.134652,0.0257324
552,0.206282,0.229546,0.0262737
553,0.252734,0.248863,0.0262886
554,0.156678,0.146563,0.026391
555,0.0838513,0.0906261,0.0264369
556,0.0539015,0.0636538,0.026532
557,0.0260153,0.0507973,0.0271461
558,0.17819,0.19453,0.0274131
559,0.222633,0.245892,0.0279541
560,0.166317,0.127548,0.0294571
561,0.0178679,0.0653293,0.0317097
562,0.132449,0.114785,0.0320217
563,0.055408,0.0885239,0.0331184
564,0.0306632,0.0474389,0.0333998
565,0.00946395,0.030244,0.0338316
566,0.00642612,0.0514814,0.0358616
567,0.223845,0.306518,0.0426963
568,0.191403,0.201793,0.0428043
569,0.0963569,0.100347,0.0428202
570,0.165102,0.158094,0.0428693
571,0.0818595,0.0867865,0.0428936
572,0.235776,0.281405,0.0449756
573,0.203921,0.166372,0.0463855
574,0.0733272,0.0910083,0.0466981
575,0.0939712,0.0523062,0.0484341
576,0.0729349,0.0835302,0.0485464
577,0.0728265,0.0781361,0.0485746
578,0.038193,0.0411821,0.0485835
579,0.147485,0.148911,0.0485855
580,0.141919,0.10695,0.0498083
581,0.275462,0.31827,0.0516408
582,0.242262,0.223059,0.0520096
583,0.126671,0.1369,0.0521142
584,0.194863,0.139041,0.0552303
585,0.120026,0.115767,0.0552485
586,0.326295,0.381825,0.0583321
587,0.194258,0.194096,0.0583321
588,0.262159,0.270336,0.058399
589,0.313717,0.30965,0.0584155
590,0.316596,0.315873,0.0584161
591,0.29618,0.277628,0.0587602
592,0.181597,0.198655,0.0590512
593,0.293056,0.283693,0.0591389
594,0.255773,0.246335,0.059228
595,0.367875,0.390995,0.0597625
596,0.356899,0.373423,0.0600355
597,0.251054,0.274926,0.0606054
598,0.113497,0.161698,0.0629287
599,0.0617888,0.104522,0.0647548
600,0.323683,0.349861,0.0654401
601,0.270092,0.303928,0.066585
602,0.326875,0.345442,0.0669297
603,0.373208,0.404056,0.0678813
604,0.32794,0.378025,0.0703899
605,0.349255,0.393723,0.0723673
606,0.180148,0.251687,0.077485
607,0.181185,0.234003,0.0802748
608,0.293377,0.27849,0.0804964
609,0.287,0.290908,0.0805117
610,0.30715,0.323381,0.0807752
611,0.217698,0.241633,0.081348
612,0.211925,0.197732,0.0815495
613,0.173942,0.132859,0.0832372
614,0.276302,0.286799,0.0833474
615,0.289744,0.311971,0.0838415
616,0.21626,0.191694,0.084445
617,0.356577,0.357467,0.0844458
618,0.338918,0.363208,0.0850358
619,0.376899,0.41452,0.0864511
620,0.152395,0.226102,0.0918838
621,0.163195,0.214383,0.094504
622,0.174593,0.165668,0.0945836
623,0.12263,0.131556,0.0946633
624,0.0771558,0.0915382,0.0948701
625,0.115401,0.117658,0.0948752
626,0.321149,0.332163,0.0949966
627,0.201501,0.205375,0.0950116
628,0.2527,0.231114,0.0954775
629,0.266043,0.271796,0.0955106
630,0.197185,0.163652,0.096635
631,0.283081,0.253854,0.0974892
632,0.2964,0.306854,0.0975985
633,0.26297,0.205225,0.100933
634,0.107949,0.116425,0.101005
635,0.175769,0.144682,0.101971
636,0.100963,0.0983284,0.101978
637,0.118859,0.0971838,0.102448
638,0.0586994,0.0652007,0.10249
639,0.175031,0.17849,0.102502
640,0.32153,0.339545,0.102827
641,0.149417,0.174091,0.103436
642,0.113071,0.129265,0.103698
643,0.278838,0.286805,0.103761
644,0.19751,0.145275,0.10649
645,0.207303,0.194796,0.106646
646,0.122567,0.109261,0.106823
647,0.0227036,0.063,0.108447
648,0.103864,0.122418,0.108791
649,0.0779878,0.0923374,0.108997
650,0.124692,0.15159,0.109721
651,0.181028,0.185153,0.109738
652,0.196249,0.215914,0.110124
653,0.278563,0.291429,0.11029
654,0.306505,0.352997,0.112451
655,0.138927,0.172386,0.113571
656,0.1229,0.130796,0.113633
657,0.263253,0.200354,0.11759
658,0.0840702,0.101091,0.117879
659,0.229943,0.238456,0.117952
660,0.0894295,0.115067,0.118609
661,0.0827902,0.0850068,0.118614
662,0.240507,0.235516,0.118639
663,0.0966376,0.119974,0.119183
664,0.199649,0.226742,0.119917
665,0.147936,0.158097,0.120021
666,0.201946,0.192301,0.120114
667,0.273735,0.320166,0.12227
668,0.187479,0.163826,0.122829
669,0.159084,0.10953,0.125285
670,0.216804,0.221691,0.125308
671,0.125593,0.153364,0.12608
672,0.193443,0.169455,0.126655
673,0.257994,0.258279,0.126655
674,0.0939343,0.133565,0.128226
675,0.237791,0.252842,0.128452
676,0.173263,0.126433,0.130645
677,0.0992803,0.0882043,0.130768
678,0.264258,0.294371,0.131675
679,0.175696,0.187246,0.131808
680,0.117092,0.13008,0.131977
681,0.151418,0.130217,0.132426
682,0.127025,0.0817443,0.134477
683,0.227939,0.212355,0.13472
684,0.151159,0.103267,0.137013
685,0.103579,0.0771117,0.137714
686,0.142804,0.130067,0.137876
687,0.163728,0.148932,0.138095
688,0.109412,0.106643,0.138103
689,0.29496,0.313629,0.138451
690,0.129502,0.142598,0.138623
691,0.212378,0.230121,0.138937
692,0.374994,0.400691,0.139598
693,0.270898,0.270912,0.139598
694,0.0827424,0.127434,0.141595
695,0.0588912,0.0901782,0.142574
696,0.318474,0.367008,0.144929
697,0.28202,0.338689,0.148141
698,0.15822,0.163875,0.148173
699,0.139677,0.126589,0.148344
700,0.188701,0.187305,0.148346
701,0.184267,0.155525,0.149172
702,0.122049,0.124231,0.149177
703,0.261076,0.278627,0.149485
704,0.213428,0.205018,0.149556
705,0.174799,0.12936,0.15162
706,0.229016,0.206512,0.152127
707,0.110826,0.123718,0.152293
708,0.0666047,0.0660736,0.152293
709,0.119941,0.106872,0.152464
710,0.182322,0.181003,0.152466
711,0.236922,0.239772,0.152474
712,0.264641,0.254027,0.152587
713,0.151243,0.153714,0.152593
714,0.203498,0.173923,0.153467
715,0.170154,0.147854,0.153965
716,0.154493,0.150328,0.153982
717,0.236234,0.244499,0.15405
718,0.179869,0.179314,0.154051
719,0.114258,0.101029,0.154226
720,0.101078,0.0938569,0.154278
721,0.0240401,0.0552553,0.155252
722,0.060096,0.0747094,0.155466
723,0.210635,0.232904,0.155962
724,0.209857,0.215847,0.155998
725,0.197351,0.213383,0.156255
726,0.180554,0.170396,0.156358
727,0.147522,0.124758,0.156876
728,0.194126,0.172767,0.157332
729,0.13172,0.106875,0.157949
730,0.11181,0.075723,0.159252
731,0.157249,0.0859449,0.164336
732,0.179805,0.144489,0.165583
733,0.123705,0.113443,0.165689
734,0.142622,0.108095,0.166881
735,0.173661,0.098079,0.172593
736,0.172421,0.128976,0.174481
737,0.277753,0.257372,0.174896
738,0.304171,0.264425,0.176476
739,0.212142,0.19646,0.176722
740,0.0796587,0.0931504,0.176904
741,0.213144,0.188634,0.177504
742,0.197239,0.17663,0.177929
743,0.0989111,0.082655,0.178193
744,0.000197226,0.045157,0.180215
745,0.127939,0.0832925,0.182208
746,0.100204,0.0932549,0.182256
747,0.0803173,0.0666209,0.182444
748,0.115746,0.139596,0.183013
749,0.252185,0.278919,0.183728
750,0.195713,0.174381,0.184183
751,0.178563,0.153463,0.184813
752,0.252657,0.254013,0.184814
753,0.208151,0.212351,0.184832
754,0.066043,0.0988953,0.185911
755,0.225713,0.221511,0.185929
756,0.0793446,0.104299,0.186552
757,0.00305649,0.0534346,0.18909
758,0.0777755,0.0496753,0.189879
759,0.202235,0.216099,0.190072
760,0.0886282,0.129872,0.191773
761,0.0958307,0.12891,0.192867
762,0.172335,0.199788,0.19362
763,0.213927,0.216385,0.193626
764,0.132796,0.149202,0.193896
765,0.0675803,0.080747,0.194069
766,0.288388,0.311775,0.194616
767,0.290879,0.274153,0.194896
768,0.139868,0.136055,0.19491
769,0.225311,0.241357,0.195168
770,0.177978,0.122499,0.198246
771,0.181125,0.153367,0.199016
772,0.244244,0.233605,0.199129
773,0.252347,0.25878,0.199171
774,0.17492,0.175698,0.199171
775,0.172775,0.125562,0.201401
776,0.11231,0.0807357,0.202397
777,0.0927433,0.0879779,0.20242
778,0.33481,0.345008,0.202524
779,0.226714,0.177765,0.20492
780,0.3178,0.311725,0.204957
781,0.279842,0.279758,0.204957
782,0.0781773,0.144654,0.209376
783,0.217497,0.186896,0.210313
784,0.317753,0.317393,0.210313
785,0.277586,0.300437,0.210835
786,0.205348,0.200843,0.210855
787,0.246046,0.240924,0.210881
788,0.214364,0.193065,0.211335
789,0.110729,0.111581,0.211336
790,0.0933411,0.0728683,0.211755
791,0.109111,0.0901805,0.212113
792,0.184555,0.112085,0.217365
793,0.170601,0.125593,0.219391
794,0.285033,0.30661,0.219856
795,0.32667,0.350769,0.220437
796,0.139119,0.176298,0.221819
797,0.196557,0.220722,0.222403
798,0.184301,0.205818,0.222866
799,0.125397,0.142592,0.223162
800,0.182164,0.165431,0.223442
801,0.254563,0.249584,0.223467
802,0.245904,0.259808,0.22366
803,0.146161,0.168973,0.22418
804,0.132714,0.127237,0.22421
805,0.241903,0.260662,0.224562
806,0.148526,0.152779,0.22458
807,0.0966337,0.109856,0.224755
808,0.132839,0.104702,0.225547
809,0.237053,0.247394,0.225654
810,0.158709,0.149745,0.225734
811,0.198231,0.178338,0.22613
812,0.155583,0.154262,0.226132
813,0.180229,0.138381,0.227883
814,0.197805,0.176389,0.228342
815,0.355224,0.38522,0.229241
816,0.266449,0.292012,0.229895
817,0.160117,0.168974,0.229973
818,0.169701,0.142695,0.230703
819,0.209107,0.221698,0.230861
820,0.154508,0.167758,0.231037
821,0.124562,0.141877,0.231337
822,0.0901927,0.0978665,0.231395
823,0.269177,0.285706,0.231669
824,0.21873,0.231905,0.231842
825,0.151607,0.158602,0.231891
826,0.255307,0.243245,0.232037
827,0.355719,0.365771,0.232138
828,0.263215,0.260109,0.232147
829,0.278381,0.289541,0.232272
830,0.290712,0.308482,0.232588
831,0.248056,0.221122,0.233313
832,0.182695,0.171523,0.233438
833,0.236614,0.22151,0.233666
834,0.20484,0.20009,0.233689
835,0.192329,0.19294,0.233689
836,0.265837,0.244371,0.23415
837,0.383014,0.441946,0.237623
838,0.282364,0.321027,0.239118
839,0.10065,0.169186,0.243815
840,0.278368,0.297369,0.244176
841,0.293731,0.32539,0.245178
842,0.180896,0.204489,0.245735
843,0.222303,0.244751,0.246238
844,0.20845,0.228165,0.246627
845,0.136068,0.137938,0.246631
846,0.0857185,0.0945167,0.246708
847,0.0987824,0.109862,0.246831
848,0.237435,0.248807,0.24696
849,0.263154,0.247364,0.24721
850,0.261294,0.254052,0.247262
851,0.252244,0.241211,0.247384
852,0.191231,0.199392,0.24745
853,0.0412719,0.103437,0.251315
854,0.0548205,0.0633828,0.251388
855,0.210968,0.210444,0.251388
856,0.169606,0.14534,0.251977
857,0.205841,0.194207,0.252113
858,0.0992069,0.0960148,0.252123
859,0.0895044,0.0646364,0.252741
860,0.150323,0.117986,0.253787
861,0.172518,0.12415,0.256126
862,0.144938,0.0984843,0.258284
863,0.182396,0.124425,0.261645
864,0.142929,0.101535,0.263358
865,0.141477,0.128608,0.263524
866,0.136815,0.123529,0.2637
867,0.117259,0.0813002,0.264993
868,0.099025,0.0505991,0.267339
869,0.198957,0.183527,0.267577
870,0.184864,0.138852,0.269694
871,0.194786,0.170487,0.270284
872,0.0769846,0.0779165,0.270285
873,0.218083,0.225753,0.270344
874,0.193618,0.159851,0.271484
875,0.248465,0.225014,0.272034
876,0.0851417,0.108418,0.272576
877,0.12837,0.120382,0.27264
878,0.209376,0.151184,0.276026
879,0.153002,0.111877,0.277717
880,0.109436,0.113366,0.277733
881,0.133948,0.117398,0.278007
882,0.227662,0.197767,0.2789
883,0.208809,0.20194,0.278947
884,0.16168,0.14013,0.279412
885,0.229555,0.243671,0.279611
886,0.144425,0.159485,0.279838
887,0.236661,0.242426,0.279871
888,0.145421,0.141953,0.279883
889,0.0706768,0.0743751,0.279897
890,0.108385,0.0926228,0.280145
891,0.192728,0.189278,0.280157
892,0.218855,0.198564,0.280569
893,0.162281,0.14201,0.28098
894,0.1013,0.0994762,0.280983
895,0.100254,0.106486,0.281022
896,0.11694,0.11832,0.281024
897,0.162113,0.1799,0.28134
898,0.201344,0.221573,0.28175
899,0.157423,0.132073,0.282392
900,0.0737372,0.070172,0.282405
901,0.186755,0.209644,0.282929
902,0.127921,0.129992,0.282933
903,0.00835173,0.0631449,0.285935
904,0.210803,0.252624,0.287684
905,0.159135,0.162254,0.287694
906,0.192503,0.177875,0.287908
907,0.157156,0.145548,0.288043
908,0.0563258,0.0768949,0.288466
909,0.00810953,0.0460768,0.289907
910,0.13522,0.154901,0.290295
911,0.185584,0.230482,0.292311
912,0.272469,0.305048,0.293372
913,0.163039,0.166655,0.293385
914,0.0652478,0.0828394,0.293695
915,0.0770449,0.0679074,0.293778
916,0.120404,0.100214,0.294186
917,0.00994801,0.0538636,0.296114
918,0.223309,0.307378,0.303182
919,0.172259,0.176935,0.303204
920,0.205051,0.177051,0.303988
921,0.160891,0.140689,0.304396
922,0.140931,0.0896168,0.307029
923,0.102618,0.0539839,0.309394
924,0.15079,0.0728223,0.315473
925,0.20614,0.208479,0.315479
926,0.257024,0.232903,0.31606
927,0.280206,0.282552,0.316066
928,0.180843,0.165343,0.316306
929,0.171621,0.106415,0.320558
930,0.312792,0.315561,0.320566
931,0.105785,0.145188,0.322118
932,0.160954,0.124151,0.323473
933,0.212655,0.192486,0.323879
934,0.116567,0.119836,0.32389
935,0.211866,0.233173,0.324344
936,0.228042,0.231971,0.324359
937,0.247381,0.243791,0.324372
938,0.0484509,0.117044,0.329077
939,0.281285,0.281947,0.329078
940,0.0365285,0.137905,0.339355
941,0.145,0.144232,0.339356
942,0.105491,0.104342,0.339357
943,0.208556,0.223137,0.33957
944,0.128353,0.107027,0.340024
945,0.0479537,0.0599587,0.340169
946,0.0358172,0.0614354,0.340825
947,0.219862,0.250329,0.341753
948,0.163215,0.180358,0.342047
949,0.164762,0.113653,0.344659
950,0.19178,0.19085,0.34466
951,0.223591,0.205964,0.344971
952,0.120461,0.10178,0.34532
953,0.279266,0.300228,0.345759
954,0.144512,0.140033,0.345779
955,0.141509,0.129923,0.345913
956,0.10162,0.0957087,0.345948
957,0.0744053,0.0559852,0.346288
958,0.0677203,0.0331253,0.347484
959,0.0960036,0.0491211,0.349682
960,0.039253,0.033212,0.349719
961,0.101392,0.0456123,0.35283
962,0.154591,0.125934,0.353651
963,0.161538,0.100924,0.357325
964,0.15781,0.131105,0.358039
965,0.147463,0.0993112,0.360357
966,0.1836,0.164707,0.360714
967,0.131399,0.108409,0.361243
968,0.274071,0.234416,0.362815
969,0.167402,0.154597,0.362979
970,0.21228,0.172445,0.364566
971,0.0835382,0.0814649,0.36457
972,0.214378,0.234964,0.364994
973,0.183939,0.16634,0.365304
974,0.162322,0.0833367,0.371543
975,0.0394735,0.0484159,0.371623
976,0.149491,0.128796,0.372051
977,0.240095,0.188534,0.374709
978,0.107729,0.103682,0.374726
979,0.0633914,0.0689107,0.374756
980,0.0688111,0.06739,0.374758
981,0.0237737,0.0480211,0.375346
982,0.112265,0.145377,0.376443
983,0.0644703,0.0832751,0.376796
984,0.226444,0.253783,0.377544
985,0.26106,0.264373,0.377555
986,0.206882,0.191079,0.377804
987,0.129497,0.125947,0.377817
988,0.199226,0.166659,0.378878
989,0.153047,0.138957,0.379076
990,0.141306,0.125021,0.379341
991,0.167272,0.154874,0.379495
992,0.0875312,0.0857484,0.379498
993,0.125107,0.141626,0.379771
994,0.0402848,0.0689677,0.380594
995,0.102015,0.0839532,0.38092
996,0.0954385,0.094595,0.380921
997,0.028316,0.0530553,0.381533
998,0.261654,0.327772,0.385904
999,0.193883,0.187601,0.385944
1000,0.188593,0.182424,0.385982
1001,0.053931,0.0911638,0.387368
1002,0.108073,0.12159,0.387551
1003,0.263458,0.305137,0.389288
1004,0.119711,0.139317,0.389672
1005,0.124378,0.119914,0.389692
1006,0.120324,0.115675,0.389714
