t,predict_test,teacher
501,0.367483,0.370962,1.21043e-05
502,0.243708,0.255684,0.000155548
503,0.335679,0.35134,0.000400828
504,0.251589,0.258454,0.000447951
505,0.154563,0.181911,0.00119588
506,0.196161,0.214381,0.00152786
507,0.248345,0.259668,0.00165606
508,0.201297,0.192612,0.0017315
509,0.271793,0.266453,0.00176002
510,0.235232,0.2328,0.00176593
511,0.281677,0.275535,0.00180366
512,0.209774,0.22261,0.00196842
513,0.219474,0.220541,0.00196956
514,0.210637,0.202017,0.00204387
515,0.15655,0.159339,0.00205164
516,0.126653,0.126795,0.00205166
517,0.288391,0.293212,0.0020749
518,0.262288,0.275038,0.00223746
519,0.289588,0.291173,0.00223997
520,0.261349,0.265708,0.00225897
521,0.439877,0.436902,0.00226782
522,0.485209,0.488875,0.00228126
523,0.326911,0.338625,0.00241847
524,0.218887,0.219185,0.00241856
525,0.367515,0.348032,0.00279812
526,0.323306,0.330028,0.0028433
527,0.220253,0.224103,0.00285812
528,0.163917,0.161511,0.00286391
529,0.177934,0.171604,0.00290398
530,0.151807,0.143111,0.00297962
531,0.203659,0.202784,0.00298038
532,0.316718,0.32088,0.00299771
533,0.251231,0.245561,0.00302985
534,0.168252,0.160365,0.00309207
535,0.139889,0.140238,0.00309219
536,0.303024,0.309927,0.00313985
537,0.204225,0.211008,0.00318585
538,0.261382,0.269981,0.00325979
539,0.230235,0.233679,0.00327165
540,0.203616,0.196906,0.00331667
541,0.246394,0.244986,0.00331865
542,0.182568,0.173261,0.00340528
543,0.141069,0.142146,0.00340644
544,0.268932,0.259477,0.00349584
545,0.218804,0.232419,0.00368123
546,0.327034,0.312491,0.00389274
547,0.177912,0.176064,0.00389615
548,0.217183,0.19507,0.00438512
549,0.153883,0.144112,0.0044806
550,0.312712,0.29628,0.00475061
551,0.172662,0.165391,0.00480348
552,0.154956,0.135995,0.005163
553,0.195635,0.163338,0.00620608
554,0.219411,0.196281,0.00674105
555,0.149251,0.152075,0.00674902
556,0.0830555,0.100661,0.007059
557,0.12704,0.106293,0.0074894
558,0.166501,0.163405,0.00749899
559,0.153666,0.142092,0.00763294
560,0.0791514,0.0847835,0.00766467
561,0.0562272,0.0516008,0.00768607
562,0.0427748,0.057101,0.00789131
563,0.0803819,0.0869942,0.00793503
564,0.0492686,0.0508568,0.00793756
565,0.125078,0.120221,0.00796115
566,0.0677767,0.0696844,0.00796479
567,0.303617,0.308602,0.00798964
568,0.214289,0.206467,0.00805082
569,0.168184,0.153318,0.00827182
570,0.0693373,0.080014,0.00838581
571,0.103393,0.0973484,0.00842234
572,0.362887,0.376918,0.00861921
573,0.2153,0.19667,0.00896631
574,0.179693,0.136434,0.0108376
575,0.173904,0.161558,0.0109901
576,0.131316,0.112483,0.0113447
577,0.169456,0.173343,0.0113599
578,0.210769,0.211452,0.0113603
579,0.121104,0.119822,0.011362
580,0.0816151,0.0681241,0.011544
581,0.114997,0.117134,0.0115485
582,0.112382,0.103591,0.0116258
583,0.0577673,0.056965,0.0116265
584,0.0820484,0.0630525,0.0119873
585,0.0584509,0.0658027,0.0120414
586,0.30208,0.315176,0.0122128
587,0.244409,0.232261,0.0123604
588,0.189582,0.167283,0.0128576
589,0.329027,0.307848,0.0133062
590,0.228187,0.232091,0.0133215
591,0.383219,0.38335,0.0133215
592,0.244141,0.21321,0.0142782
593,0.281661,0.266552,0.0145064
594,0.285059,0.262303,0.0150243
595,0.317537,0.320657,0.015034
596,0.317222,0.317452,0.0150341
597,0.26883,0.248099,0.0154639
598,0.226808,0.207544,0.015835
599,0.162651,0.134031,0.0166541
600,0.372921,0.354572,0.0169907
601,0.318943,0.314352,0.0170118
602,0.318734,0.302147,0.0172869
603,0.277938,0.245219,0.0183574
604,0.246437,0.243826,0.0183643
605,0.394779,0.378972,0.0186141
606,0.2865,0.268867,0.018925
607,0.278605,0.267846,0.0190408
608,0.378969,0.373021,0.0190762
609,0.339761,0.346739,0.0191249
610,0.332486,0.34194,0.0192143
611,0.259332,0.257724,0.0192168
612,0.313522,0.314243,0.0192174
613,0.303854,0.302808,0.0192185
614,0.376803,0.380259,0.0192304
615,0.430665,0.441127,0.0193399
616,0.268606,0.282159,0.0195235
617,0.245994,0.232853,0.0196962
618,0.169193,0.173903,0.0197184
619,0.383076,0.386794,0.0197322
620,0.243583,0.258851,0.0199653
621,0.313786,0.321014,0.0200176
622,0.266925,0.251256,0.0202631
623,0.195959,0.210917,0.0204869
624,0.156109,0.160298,0.0205044
625,0.161857,0.154661,0.0205562
626,0.250422,0.258786,0.0206262
627,0.204428,0.210447,0.0206624
628,0.200722,0.215588,0.0208834
629,0.236548,0.243352,0.0209297
630,0.262494,0.256045,0.0209712
631,0.316185,0.336009,0.0213642
632,0.330781,0.345025,0.0215671
633,0.231633,0.241036,0.0216555
634,0.225416,0.239786,0.021862
635,0.149034,0.154422,0.0218911
636,0.205996,0.212643,0.0219352
637,0.28152,0.27507,0.0219768
638,0.268525,0.278096,0.0220685
639,0.181558,0.181523,0.0220685
640,0.272359,0.253554,0.0224221
641,0.155998,0.15783,0.0224254
642,0.122619,0.113104,0.022516
643,0.112714,0.102963,0.022611
644,0.097305,0.0688508,0.0234207
645,0.22007,0.220005,0.0234207
646,0.141056,0.127006,0.0236181
647,0.107383,0.0948611,0.0237749
648,0.198566,0.195273,0.0237857
649,0.184197,0.176539,0.0238444
650,0.228352,0.241843,0.0240264
651,0.263452,0.261056,0.0240321
652,0.200943,0.192658,0.0241007
653,0.219114,0.209989,0.024184
654,0.248169,0.235729,0.0243388
655,0.144315,0.139362,0.0243633
656,0.183555,0.180472,0.0243728
657,0.168267,0.147535,0.0248026
658,0.201138,0.185943,0.0250335
659,0.355798,0.363515,0.025093
660,0.188176,0.193014,0.0251165
661,0.164931,0.156909,0.0251808
662,0.399849,0.381573,0.0255148
663,0.18888,0.196934,0.0255797
664,0.253981,0.244318,0.025673
665,0.128471,0.138336,0.0257704
666,0.111916,0.0921087,0.0261627
667,0.24144,0.24012,0.0261644
668,0.133661,0.134377,0.0261649
669,0.259986,0.261614,0.0261676
670,0.311497,0.316992,0.0261978
671,0.289777,0.291197,0.0261998
672,0.29967,0.323455,0.0267656
673,0.316018,0.316511,0.0267658
674,0.175395,0.18368,0.0268345
675,0.242523,0.260481,0.0271569
676,0.123852,0.14957,0.0278184
677,0.14728,0.169456,0.0283102
678,0.407581,0.416126,0.0283832
679,0.249255,0.255227,0.0284189
680,0.210498,0.221021,0.0285296
681,0.186617,0.19183,0.0285568
682,0.136436,0.15266,0.02882
683,0.206892,0.237697,0.0297689
684,0.11377,0.13586,0.0302569
685,0.102747,0.101838,0.0302578
686,0.152642,0.180569,0.0310377
687,0.0901881,0.111698,0.0315004
688,0.172078,0.174054,0.0315043
689,0.345582,0.367594,0.0319888
690,0.210909,0.240333,0.0328546
691,0.303585,0.315984,0.0330084
692,0.332882,0.331073,0.0330116
693,0.228587,0.221052,0.0330684
694,0.124766,0.126301,0.0330708
695,0.0871751,0.0775615,0.0331632
696,0.230703,0.232685,0.0331671
697,0.421791,0.408362,0.0333475
698,0.340217,0.335419,0.0333705
699,0.247936,0.257911,0.03347
700,0.203459,0.206692,0.0334805
701,0.254507,0.243765,0.0335958
702,0.191306,0.203719,0.0337499
703,0.128739,0.118699,0.0338507
704,0.111803,0.109643,0.0338554
705,0.0701345,0.0785395,0.033926
706,0.122959,0.121331,0.0339287
707,0.0951474,0.0889486,0.0339671
708,0.222654,0.221137,0.0339694
709,0.182411,0.185172,0.033977
710,0.21121,0.212145,0.0339779
711,0.275708,0.272344,0.0339892
712,0.26268,0.251458,0.0341152
713,0.12439,0.134905,0.0342257
714,0.108156,0.115381,0.0342779
715,0.23423,0.227683,0.0343208
716,0.323903,0.31782,0.0343578
717,0.319246,0.314385,0.0343814
718,0.244747,0.236817,0.0344443
719,0.273096,0.270996,0.0344487
720,0.179832,0.178157,0.0344515
721,0.120603,0.112733,0.0345135
722,0.128836,0.118962,0.0346109
723,0.272959,0.271997,0.0346119
724,0.185174,0.167898,0.0349103
725,0.201591,0.189995,0.0350448
726,0.127524,0.117237,0.0351506
727,0.214434,0.209638,0.0351736
728,0.304418,0.303145,0.0351753
729,0.184068,0.182023,0.0351794
730,0.121863,0.118675,0.0351896
731,0.0960277,0.112117,0.0354485
732,0.124787,0.114709,0.03555
733,0.0996183,0.0964504,0.0355601
734,0.155439,0.152355,0.0355696
735,0.289882,0.31023,0.0359836
736,0.375662,0.399271,0.036541
737,0.241634,0.264974,0.0370857
738,0.225843,0.225633,0.0370858
739,0.146444,0.153854,0.0371407
740,0.0813513,0.0862104,0.0371643
