t,predict_test,teacher
501,0.342293,0.370962,0.000821944
502,0.285957,0.255684,0.00173839
503,0.336063,0.35134,0.00197177
504,0.248299,0.258454,0.00207489
505,0.15884,0.181911,0.00260717
506,0.229334,0.214381,0.00283075
507,0.272007,0.259668,0.00298301
508,0.228412,0.192612,0.00426471
509,0.287166,0.266453,0.00469374
510,0.272706,0.2328,0.0062863
511,0.30816,0.275535,0.0073507
512,0.231316,0.22261,0.00742649
513,0.240067,0.220541,0.00780779
514,0.225411,0.202017,0.00835506
515,0.190291,0.159339,0.00931313
516,0.141905,0.126795,0.00954145
517,0.279715,0.293212,0.0097236
518,0.265673,0.275038,0.00981129
519,0.302439,0.291173,0.00993821
520,0.261738,0.265708,0.00995397
521,0.371425,0.436902,0.0142413
522,0.436307,0.488875,0.0170047
523,0.314112,0.338625,0.0176056
524,0.189192,0.219185,0.0185051
525,0.326654,0.348032,0.0189622
526,0.318169,0.330028,0.0191028
527,0.236618,0.224103,0.0192595
528,0.162388,0.161511,0.0192602
529,0.19049,0.171604,0.0196169
530,0.149563,0.143111,0.0196585
531,0.262705,0.202784,0.023249
532,0.342185,0.32088,0.0237029
533,0.269095,0.245561,0.0242568
534,0.134828,0.160365,0.0249089
535,0.146808,0.140238,0.0249521
536,0.280837,0.309927,0.0257983
537,0.208059,0.211008,0.025807
538,0.265037,0.269981,0.0258314
539,0.227359,0.233679,0.0258713
540,0.242342,0.196906,0.0279357
541,0.290611,0.244986,0.0300173
542,0.21694,0.173261,0.0319253
543,0.144844,0.142146,0.0319326
544,0.26129,0.259477,0.0319358
545,0.226663,0.232419,0.031969
546,0.295573,0.312491,0.0322552
547,0.11828,0.176064,0.0355943
548,0.227683,0.19507,0.0366579
549,0.150354,0.144112,0.0366969
550,0.278207,0.29628,0.0370235
551,0.197904,0.165391,0.0380806
552,0.156335,0.135995,0.0384943
553,0.210396,0.163338,0.0407088
554,0.230843,0.196281,0.0419033
555,0.213477,0.152075,0.0456735
556,0.103947,0.100661,0.0456843
557,0.144539,0.106293,0.047147
558,0.201379,0.163405,0.048589
559,0.195797,0.142092,0.0514732
560,0.0947165,0.0847835,0.0515719
561,0.0240333,0.0516008,0.0523318
562,0.0428006,0.057101,0.0525363
563,0.0803943,0.0869942,0.0525799
564,0.0210067,0.0508568,0.0534709
565,0.1411,0.120221,0.0539069
566,0.0278809,0.0696844,0.0556544
567,0.248023,0.308602,0.0593243
568,0.18901,0.206467,0.059629
569,0.165914,0.153318,0.0597877
570,0.150745,0.080014,0.0647905
571,0.115345,0.0973484,0.0651144
572,0.312469,0.376918,0.0692681
573,0.184838,0.19667,0.0694081
574,0.157086,0.136434,0.0698346
575,0.191148,0.161558,0.0707102
576,0.137993,0.112483,0.071361
577,0.176858,0.173343,0.0713734
578,0.224049,0.211452,0.0715321
579,0.205289,0.119822,0.0788367
580,0.141482,0.0681241,0.084218
581,0.178201,0.117134,0.0879473
582,0.119676,0.103591,0.088206
583,0.0638358,0.056965,0.0882532
584,0.0349234,0.0630525,0.0890445
585,0.0534945,0.0658027,0.089196
586,0.259789,0.315176,0.0922637
587,0.223383,0.232261,0.0923425
588,0.174267,0.167283,0.0923913
589,0.277271,0.307848,0.0933262
590,0.254602,0.232091,0.093833
591,0.348868,0.38335,0.095022
592,0.19267,0.21321,0.0954439
593,0.257626,0.266552,0.0955236
594,0.271745,0.262303,0.0956128
595,0.310141,0.320657,0.0957234
596,0.331445,0.317452,0.0959192
597,0.265304,0.248099,0.0962152
598,0.266231,0.207544,0.0996594
599,0.194004,0.134031,0.103256
600,0.351854,0.354572,0.103264
601,0.322103,0.314352,0.103324
602,0.319574,0.302147,0.103627
603,0.276662,0.245219,0.104616
604,0.261604,0.243826,0.104932
605,0.366836,0.378972,0.105079
606,0.252842,0.268867,0.105336
607,0.267417,0.267846,0.105336
608,0.369178,0.373021,0.105351
609,0.351589,0.346739,0.105375
610,0.334561,0.34194,0.105429
611,0.249189,0.257724,0.105502
612,0.313695,0.314243,0.105502
613,0.305879,0.302808,0.105512
614,0.364933,0.380259,0.105747
615,0.412382,0.441127,0.106573
616,0.265449,0.282159,0.106852
617,0.250833,0.232853,0.107175
618,0.236822,0.173903,0.111134
619,0.37291,0.386794,0.111327
620,0.257841,0.258851,0.111328
621,0.318376,0.321014,0.111335
622,0.285918,0.251256,0.112536
623,0.235495,0.210917,0.11314
624,0.178392,0.160298,0.113468
625,0.170273,0.154661,0.113712
626,0.271943,0.258786,0.113885
627,0.256676,0.210447,0.116022
628,0.237108,0.215588,0.116485
629,0.248744,0.243352,0.116514
630,0.286963,0.256045,0.11747
631,0.353834,0.336009,0.117788
