t,predict_test,teacher
501,0.330352,0.370962,0.00164921
502,0.242305,0.255684,0.00182821
503,0.345144,0.35134,0.0018666
504,0.243521,0.258454,0.00208958
505,0.168789,0.181911,0.00226176
506,0.226828,0.214381,0.0024167
507,0.276151,0.259668,0.00268838
508,0.240968,0.192612,0.00502676
509,0.302988,0.266453,0.00636157
510,0.266749,0.2328,0.00751411
511,0.28639,0.275535,0.00763196
512,0.219776,0.22261,0.00763999
513,0.231336,0.220541,0.00775653
514,0.231936,0.202017,0.00865168
515,0.19813,0.159339,0.0101565
516,0.134601,0.126795,0.0102174
517,0.279857,0.293212,0.0103958
518,0.264405,0.275038,0.0105088
519,0.290178,0.291173,0.0105098
520,0.26863,0.265708,0.0105184
521,0.387503,0.436902,0.0129587
522,0.451363,0.488875,0.0143658
523,0.322036,0.338625,0.014641
524,0.178442,0.219185,0.016301
525,0.30297,0.348032,0.0183316
526,0.295602,0.330028,0.0195167
527,0.236427,0.224103,0.0196686
528,0.155619,0.161511,0.0197033
529,0.173949,0.171604,0.0197088
530,0.156287,0.143111,0.0198824
531,0.199553,0.202784,0.0198929
532,0.337116,0.32088,0.0201565
533,0.273857,0.245561,0.0209572
534,0.15307,0.160365,0.0210104
535,0.111258,0.140238,0.0218502
536,0.304703,0.309927,0.0218775
537,0.212314,0.211008,0.0218792
538,0.291042,0.269981,0.0223228
539,0.233637,0.233679,0.0223228
540,0.253537,0.196906,0.0255298
541,0.286376,0.244986,0.0272429
542,0.229087,0.173261,0.0303595
543,0.125896,0.142146,0.0306236
544,0.260255,0.259477,0.0306242
545,0.242557,0.232419,0.030727
546,0.287712,0.312491,0.031341
547,0.103198,0.176064,0.0366506
548,0.201851,0.19507,0.0366965
549,0.143285,0.144112,0.0366972
550,0.26943,0.29628,0.0374182
551,0.16818,0.165391,0.0374259
552,0.156414,0.135995,0.0378429
553,0.228325,0.163338,0.0420661
554,0.228237,0.196281,0.0430873
555,0.205568,0.152075,0.0459488
556,0.113915,0.100661,0.0461244
557,0.152444,0.106293,0.0482543
558,0.202529,0.163405,0.0497849
559,0.185198,0.142092,0.0516431
560,0.0643973,0.0847835,0.0520587
561,0.0126821,0.0516008,0.0535734
562,0.0253045,0.057101,0.0545844
563,0.0836895,0.0869942,0.0545953
564,0.0126185,0.0508568,0.0560575
565,0.100619,0.120221,0.0564417
566,0.0303389,0.0696844,0.0579898
567,0.226482,0.308602,0.0647336
568,0.170213,0.206467,0.066048
569,0.159267,0.153318,0.0660834
570,0.14411,0.080014,0.0701917
571,0.131756,0.0973484,0.0713756
572,0.325763,0.376918,0.0739924
573,0.183731,0.19667,0.0741598
574,0.16154,0.136434,0.0747901
575,0.175942,0.161558,0.074997
576,0.166678,0.112483,0.0779342
577,0.175586,0.173343,0.0779392
578,0.207708,0.211452,0.0779532
579,0.176519,0.119822,0.0811678
580,0.114601,0.0681241,0.0833279
581,0.171404,0.117134,0.0862732
582,0.153307,0.103591,0.0887449
