t,predict_test,teacher
501,0.33812,0.337075,1.09174e-06
502,0.506522,0.506931,1.25907e-06
503,0.424733,0.424797,1.2632e-06
504,0.354963,0.355245,1.34302e-06
505,0.272991,0.273552,1.65811e-06
506,0.484858,0.487865,1.07008e-05
507,0.509494,0.51129,1.39255e-05
508,0.314367,0.31657,1.87783e-05
509,0.248954,0.25018,2.02816e-05
510,0.406716,0.411139,3.98397e-05
511,0.38345,0.385571,4.43397e-05
512,0.26243,0.264037,4.69227e-05
513,0.337688,0.338559,4.76807e-05
514,0.414731,0.415043,4.77782e-05
515,0.288791,0.287144,5.04927e-05
516,0.232282,0.231986,5.05805e-05
517,0.418372,0.416575,5.38092e-05
518,0.4441,0.443726,5.39492e-05
519,0.302967,0.297881,7.98151e-05
520,0.249317,0.248317,8.0815e-05
521,0.448676,0.444826,9.56361e-05
522,0.521672,0.520638,9.67049e-05
523,0.415699,0.415451,9.67664e-05
524,0.341304,0.339988,9.84973e-05
525,0.495994,0.49399,0.000102513
526,0.481345,0.482621,0.000104142
527,0.485233,0.485121,0.000104155
528,0.320144,0.323067,0.000112699
529,0.305687,0.308636,0.000121396
530,0.265655,0.266511,0.000122128
531,0.479434,0.479975,0.000122421
532,0.324298,0.326908,0.000129233
533,0.248574,0.249301,0.000129762
534,0.212761,0.215575,0.000137682
535,0.398658,0.40265,0.000153618
536,0.466947,0.46702,0.000153623
537,0.283911,0.288185,0.00017189
538,0.287863,0.290989,0.00018166
539,0.303075,0.303776,0.000182152
540,0.273674,0.271955,0.000185105
541,0.219579,0.21851,0.000186249
542,0.225319,0.222507,0.000194158
543,0.220496,0.222459,0.00019801
544,0.219979,0.221469,0.00020023
545,0.245451,0.24496,0.000200471
546,0.216773,0.219204,0.000206384
547,0.18633,0.188661,0.000211822
548,0.390638,0.393811,0.000221892
549,0.317788,0.317729,0.000221895
550,0.372444,0.371885,0.000222207
551,0.237502,0.239592,0.000226572
552,0.359624,0.358287,0.000228359
553,0.383231,0.380222,0.000237411
554,0.353108,0.351498,0.000240003
555,0.236404,0.23573,0.000240458
556,0.248484,0.2476,0.000241238
557,0.2425,0.242399,0.000241248
558,0.307599,0.307743,0.000241269
559,0.257761,0.255902,0.000244726
560,0.191661,0.198734,0.000294746
561,0.169577,0.173178,0.000307711
562,0.217568,0.219134,0.000310164
563,0.241593,0.244139,0.000316644
564,0.179837,0.186633,0.000362836
565,0.171718,0.168302,0.0003745
566,0.177012,0.172562,0.000394298
567,0.229913,0.222665,0.000446836
568,0.179465,0.178543,0.000447685
569,0.199332,0.192305,0.000497052
570,0.226086,0.222625,0.000509032
571,0.267039,0.26605,0.00051001
572,0.348389,0.348612,0.00051006
573,0.231327,0.237837,0.000552439
574,0.474407,0.471392,0.000561534
575,0.362856,0.362977,0.000561548
576,0.471053,0.468367,0.000568764
577,0.312275,0.308462,0.000583303
578,0.345498,0.344589,0.000584129
579,0.520589,0.519542,0.000585226
580,0.456021,0.457938,0.000588902
581,0.440987,0.443111,0.000593413
582,0.360534,0.360381,0.000593436
583,0.39668,0.397098,0.000593611
584,0.3161,0.31404,0.000597855
585,0.382076,0.381882,0.000597892
586,0.444225,0.443296,0.000598756
587,0.359293,0.35664,0.000605795
588,0.290643,0.28973,0.00060663
589,0.326702,0.328197,0.000608864
590,0.507293,0.505618,0.000611672
591,0.454808,0.453604,0.000613121
592,0.381976,0.379187,0.000620903
593,0.383708,0.383639,0.000620908
594,0.386198,0.386666,0.000621127
595,0.503438,0.501647,0.000624335
