t,predict_test,teacher
0,9.98723e-312,0,
1,0,0,
2,9.98576e-312,0,
3,0.99437,0.0883266,
4,0.865115,0.85358,
5,-0.743751,0.772999,
6,0.998081,0.0301385,
7,-0.527822,-0.906014,
8,-0.206839,0.107213,
9,-0.224179,0.37073,
10,0.339492,-0.813681,
11,0.871078,0.898567,
12,0.692622,-0.993292,
13,-0.373453,0.405019,
14,0.0490963,0.696999,
15,-0.113094,-0.978922,
16,-0.540846,-0.801139,
17,0.0688278,0.882497,
18,0.827924,0.424699,
19,-0.0855904,-0.974493,
20,-0.138603,-0.821721,
21,0.878256,0.942233,
22,0.556778,0.627955,
23,0.431941,0.480942,
24,0.605515,-0.0865212,
25,-0.814398,-0.224246,
26,0.0363051,0.539867,
27,0.73004,-0.890718,
28,0.658294,-0.792975,
29,0.659207,-0.80163,
30,-0.4539,-0.749072,
31,-0.881514,-0.958134,
32,0.341056,-0.799155,
33,0.186131,0.216134,
34,0.343308,-0.777395,
35,-0.176424,-0.36192,
36,-0.604898,0.0768651,
37,-0.420741,-0.320061,
38,-0.71576,0.969515,
39,0.566629,0.500513,
40,-0.174922,-0.383811,
41,-0.931657,-0.878887,
42,0.24806,-0.685233,
43,0.321271,-0.944696,
44,-0.403009,-0.047254,
45,-0.107731,-0.992635,
46,-0.555751,-0.640434,
47,-0.853272,-0.742496,
48,-0.061523,-0.822845,
49,-0.807655,-0.119962,
50,0.80674,0.105679,
51,-0.761019,0.57476,
52,0.0495988,0.702636,
53,-0.832754,-0.492098,
54,0.833723,0.505287,
55,0.820897,0.322383,
56,-0.40214,-0.0336052,
57,0.168778,0.471005,
58,0.131824,0.877635,
59,0.227877,-0.424025,
60,0.913071,0.978995,
61,-0.478042,-0.941104,
62,-0.537969,-0.827353,
63,0.066897,0.867829,
64,0.899876,0.999998,
65,-0.0138808,-0.216316,
66,0.081201,0.956717,
67,0.53097,0.883984,
68,-0.909309,-0.989329,
69,-0.720068,0.950727,
70,0.584807,0.23639,
71,-0.940397,-0.805333,
72,0.766251,-0.505645,
73,0.0815764,0.958416,
74,-0.10404,-0.997987,
75,0.784272,-0.244553,
76,-0.244831,0.647431,
77,0.0768494,0.934605,
78,0.304598,-0.997393,
79,-0.277478,0.938071,
80,0.142017,0.78999,
81,0.275673,-0.927873,
82,-0.74737,0.735705,
83,0.380409,-0.302898,
84,0.295499,-0.997501,
85,-0.292122,0.992353,
86,0.526466,0.914822,
87,-0.286937,0.97902,
88,0.505577,0.996166,
89,0.762684,-0.553169,
90,-0.976662,-0.358442,
91,-0.00378186,-0.0593704,
92,-0.852416,-0.733426,
93,0.573903,0.398547,
94,-0.871865,-0.903924,
95,-0.289379,0.986116,
96,0.883674,0.967297,
97,-0.240393,0.592774,
98,0.52584,0.918749,
99,0.54319,0.778561,
100,-0.397279,0.0427284,
101,0.545478,0.755505,
102,-0.69414,0.995767,
103,0.157268,0.621953,
104,-0.981984,-0.279232,
105,0.418085,0.280274,
106,-0.0587184,-0.797021,
107,0.529185,0.896744,
108,-0.0652146,-0.854397,
109,-0.461998,-0.827062,
110,0.663385,-0.839114,
111,0.10265,0.999134,
112,-0.859837,-0.807509,
113,-0.0550499,-0.760915,
114,0.48553,0.974278,
115,-0.616088,0.250026,
116,-0.071377,-0.900617,
117,-0.539274,-0.815664,
118,0.0164951,0.256215,
119,-0.582863,-0.265942,
120,-0.901392,-0.999761,
121,0.0377238,0.558489,
122,-0.655443,0.76491,
123,-0.207373,0.115563,
124,-0.785269,0.229329,
125,0.0196206,0.303343,
126,-0.79573,0.06703,
127,-0.422564,-0.347065,
128,-0.536483,-0.840238,
129,0.935336,0.849872,
130,-0.443362,-0.629674,
131,-0.532755,-0.870532,
132,-0.816887,-0.262162,
133,0.140133,0.807784,
134,-0.164147,-0.533877,
135,-0.264314,0.846956,
136,0.62599,-0.397003,
137,-0.42048,-0.316179,
138,0.434783,0.519592,
139,0.225896,-0.395651,
140,-0.14618,-0.748235,
141,0.503746,0.998269,
142,-0.144375,-0.766748,
143,-0.143235,-0.778115,
144,-0.276191,0.930877,
145,-0.693323,0.994505,
146,0.874381,0.920113,
147,0.83282,0.492997,
148,0.563917,0.536928,
149,0.232658,-0.490784,
150,-0.928001,-0.90482,
151,0.308648,-0.990789,
152,-0.740461,0.804742,
153,-0.411281,-0.176276,
154,-0.27837,0.942836,
155,-0.45071,-0.714945,
156,-0.852062,-0.729635,
157,-0.695726,0.997747,
158,-0.676763,0.934121,
159,0.877423,0.937774,
