t,predict_test,teacher
t,predict_test,teacher
501,0.834569,0.893924,0.0035231
502,0.352441,0.802016,0.205641
503,0.219875,-0.136659,0.332757
504,0.913883,0.998589,0.339932
505,0.272317,0.290749,0.340272
506,0.206363,0.135771,0.345255
507,0.825597,0.0232372,0.989037
508,-0.448955,-0.49771,0.991414
509,0.164648,0.334198,1.02016
510,-0.0192975,-0.166395,1.0418
511,-0.777597,-0.896696,1.05598
512,-0.402459,-0.430375,1.05676
513,0.709995,0.795228,1.06403
514,0.730084,0.885182,1.08808
515,-0.0541835,0.185307,1.14544
516,-0.318179,-0.230699,1.15309
517,-0.16419,-0.651056,1.39013
518,-0.203203,-0.782864,1.72614
519,-0.0530389,-0.000320102,1.72892
520,0.918234,0.835321,1.73579
521,0.814307,0.990208,1.76673
522,0.430321,0.443633,1.76691
523,-0.0440299,-0.234392,1.80315
524,0.931652,0.0554909,2.5708
525,0.815255,0.645432,2.59964
526,0.660806,0.784364,2.61491
527,0.423971,0.928803,2.86977
528,0.337342,0.40238,2.874
529,-0.326002,-0.845574,3.14395
530,-0.80801,-0.965804,3.16885
531,-0.648687,-0.903893,3.23398
532,0.148031,0.408152,3.30164
533,-0.0217203,0.230553,3.36529
534,-0.312992,0.272536,3.70813
535,-0.33542,-0.776893,3.90303
536,0.139025,-0.190609,4.01168
537,-0.417637,-0.511094,4.02042
538,0.424785,0.999336,4.35053
539,0.31031,0.790552,4.58116
540,-0.44035,-0.965442,4.85688
541,-0.416808,-0.517296,4.86698
542,-0.332363,-0.161345,4.89623
543,0.00947758,0.264752,4.96139
544,-0.837023,-0.958287,4.9761
545,-0.873336,-0.989181,4.98952
546,0.320934,0.32751,4.98956
547,-0.144578,-0.186744,4.99134
548,0.359701,0.587177,5.04308
549,0.106626,0.334962,5.09522
550,0.345123,0.0915885,5.1595
551,-0.249935,-0.209041,5.16117
552,-0.465893,-0.999945,5.44638
553,0.0375665,0.139331,5.45674
554,0.154861,-0.287994,5.65286
555,-0.113777,0.0985071,5.69792
556,-0.579218,-0.421433,5.72282
557,-0.36788,-0.171663,5.76132
558,-0.906171,-0.72654,5.79359
559,0.0171601,-0.0606497,5.79964
560,-0.562258,-0.794822,5.85373
561,-0.541588,-0.958733,6.02774
562,-0.71253,-0.44759,6.09793
563,0.944876,0.999997,6.10097
564,1.55778,0.991216,6.42196
565,0.705657,0.639907,6.42629
566,0.863264,0.782441,6.43282
567,-1.16938,-0.84147,6.54034
568,-0.702937,-0.736256,6.54145
569,-0.605911,-0.916902,6.63817
570,0.69159,0.943473,6.70161
571,-0.317755,-0.387151,6.70643
572,0.740975,0.972634,6.76009
573,0.111992,0.853874,7.31048
574,0.331735,0.650358,7.412
575,0.842691,0.779441,7.416
576,0.509778,0.914435,7.57975
577,1.02364,0.825913,7.61885
578,0.827427,0.745823,7.62551
579,0.738982,0.988588,7.68781
580,0.78137,0.993724,7.7329
581,0.32589,0.258894,7.73739
582,0.327415,-0.185428,8.0004
583,0.923816,0.999385,8.00611
584,0.240983,0.273272,8.00715
585,-0.667771,-0.914053,8.06781
586,-0.069047,0.11098,8.10022
587,0.419362,0.429703,8.10033
588,0.903924,0.995178,8.10865
589,0.936841,0.716116,8.15737
590,0.394055,0.965792,8.48425
591,0.168825,0.472524,8.57649
592,0.778788,0.852984,8.58199
593,0.952606,0.99583,8.58386
594,0.39246,0.578617,8.61852
595,0.454325,0.704312,8.68101
596,0.983485,0.710281,8.75565
597,0.335413,0.622317,8.83796
598,0.953784,0.990044,8.83928
599,-0.565203,-0.599729,8.84047
600,-0.42041,-0.781252,8.97068
601,0.415683,-0.597166,9.99654
602,0.762691,0.99073,10.0485
603,-0.777831,-0.864183,10.056
604,-0.556657,-0.264046,10.1416
605,-0.465859,-0.462358,10.1416
606,1.18321,0.994864,10.1771
607,0.394136,0.192765,10.2177
608,0.596305,0.904837,10.3128
609,0.515663,0.322274,10.3502
610,0.725962,0.884907,10.3755
611,0.345074,0.518649,10.4056
612,0.355233,0.313009,10.4074
613,0.859234,0.876444,10.4077
614,0.544046,0.996598,10.6125
615,0.516602,0.359256,10.6373
616,0.3593,0.357088,10.6373
617,0.468006,0.472122,10.6373
618,0.835007,0.806697,10.6381
619,0.885195,0.992082,10.6495
620,0.522463,0.98808,10.8663
621,0.629522,0.84584,10.9131
622,-0.963176,-0.894724,10.9178
623,-0.789559,0.121102,11.7471
624,0.33232,0.0738175,11.8139
625,-0.661845,-0.0147473,12.2327
626,-0.514421,-0.700674,12.2674
627,-0.595868,-0.851148,12.3325
628,-0.236382,0.265841,12.5848
629,0.223752,0.510433,12.6669
630,0.565193,0.654256,12.6749
631,0.694564,0.816322,12.6897
632,0.700245,0.588615,12.7022
633,0.682052,0.861688,12.7344
634,-0.255446,-0.668566,12.9051
635,-0.945564,-0.968291,12.9056
636,-1.28063,-0.963633,13.0061
637,-0.498893,-0.657144,13.0311
