t,predict_test,teacher
501,1.03914,0.893924,0.0210875
502,0.442152,0.802016,0.15059
503,0.655861,-0.136659,0.778677
504,0.816888,0.998589,0.811692
505,-0.175615,0.290749,1.02919
506,0.109448,0.135771,1.02988
507,0.0132857,0.0232372,1.02998
508,-0.151082,-0.49771,1.15013
509,0.0334745,0.334198,1.24056
510,-0.243431,-0.166395,1.2465
511,-0.851067,-0.896696,1.24858
512,-0.310328,-0.430375,1.26299
513,0.686561,0.795228,1.2748
514,0.531948,0.885182,1.39958
515,0.254086,0.185307,1.40431
516,-0.306848,-0.230699,1.4101
517,-0.486949,-0.651056,1.43704
518,-0.541552,-0.782864,1.49527
519,0.0113592,-0.000320102,1.4954
520,0.622414,0.835321,1.54073
521,0.967976,0.990208,1.54123
522,0.895186,0.443633,1.74513
523,0.0205416,-0.234392,1.81012
524,0.814812,0.0554909,2.38669
525,1.02416,0.645432,2.53012
526,0.814698,0.784364,2.53104
527,0.593397,0.928803,2.64354
528,0.167921,0.40238,2.69851
529,-0.493176,-0.845574,2.8227
530,-0.828013,-0.965804,2.84168
531,-0.720184,-0.903893,2.87543
532,-0.0889924,0.408152,3.12258
533,0.317951,0.230553,3.13022
534,-0.277107,0.272536,3.43233
535,-0.547848,-0.776893,3.48479
536,-0.00499393,-0.190609,3.51925
537,-0.321794,-0.511094,3.55508
538,0.320558,0.999336,4.01582
539,0.508011,0.790552,4.09565
540,-0.370739,-0.965442,4.44932
541,-0.34977,-0.517296,4.47739
542,-0.289777,-0.161345,4.49388
543,0.19501,0.264752,4.49874
544,-0.801352,-0.958287,4.52337
545,-0.892125,-0.989181,4.53279
546,-0.241954,0.32751,4.85708
547,-0.181054,-0.186744,4.85711
548,0.516803,0.587177,4.86207
549,0.377934,0.334962,4.86391
550,0.308842,0.0915885,4.91111
551,-0.408999,-0.209041,4.9511
552,-0.545138,-0.999945,5.15795
553,0.383154,0.139331,5.2174
554,0.0840264,-0.287994,5.35579
555,0.047496,0.0985071,5.3584
556,-0.606956,-0.421433,5.39282
557,-0.476453,-0.171663,5.48571
558,-0.785585,-0.72654,5.4892
559,-0.212026,-0.0606497,5.51211
560,-0.381458,-0.794822,5.68298
561,-0.515654,-0.958733,5.8793
562,-0.761204,-0.44759,5.97766
563,0.712857,0.999997,6.0601
564,2.5613,0.991216,8.52527
565,1.13059,0.639907,8.76605
566,1.00245,0.782441,8.81445
567,-0.893945,-0.84147,8.81721
568,-0.666031,-0.736256,8.82214
569,-0.256381,-0.916902,9.25842
570,0.696766,0.943473,9.31929
571,-0.127123,-0.387151,9.3869
572,0.438254,0.972634,9.67247
573,0.00585178,0.853874,10.3916
574,0.228216,0.650358,10.5698
575,0.745797,0.779441,10.5709
576,0.607143,0.914435,10.6654
577,1.03012,0.825913,10.7071
578,0.538272,0.745823,10.7501
579,1.19822,0.988588,10.7941
580,0.764762,0.993724,10.8465
581,0.271667,0.258894,10.8467
582,0.678181,-0.185428,11.5925
583,0.728787,0.999385,11.6657
584,-0.116116,0.273272,11.8173
585,-0.388424,-0.914053,12.0936
586,0.0808922,0.11098,12.0945
587,0.108584,0.429703,12.1977
588,0.807635,0.995178,12.2328
589,0.960653,0.716116,12.2926
590,0.568641,0.965792,12.4504
591,0.524767,0.472524,12.4531
592,0.877203,0.852984,12.4537
593,0.83569,0.99583,12.4793
594,0.533559,0.578617,12.4813
595,0.647304,0.704312,12.4846
596,0.824168,0.710281,12.4976
597,0.493845,0.622317,12.5141
598,0.785821,0.990044,12.5558
599,-0.931131,-0.599729,12.6656
600,-0.439702,-0.781252,12.7823
601,-0.290864,-0.597166,12.8761
602,0.773867,0.99073,12.9231
603,-0.85664,-0.864183,12.9232
604,-0.237666,-0.264046,12.9239
605,0.0749238,-0.462358,13.2125
606,0.804405,0.994864,13.2488
607,0.366341,0.192765,13.2789
608,0.852614,0.904837,13.2817
609,0.132697,0.322274,13.3176
610,0.64035,0.884907,13.3774
611,0.258029,0.518649,13.4453
612,0.419018,0.313009,13.4566
613,0.597368,0.876444,13.5345
614,0.657317,0.996598,13.6496
615,0.734496,0.359256,13.7904
616,0.273783,0.357088,13.7973
617,0.596212,0.472122,13.8127
618,0.57722,0.806697,13.8654
619,0.753879,0.992082,13.9221
620,0.6558,0.98808,14.0325
621,0.251423,0.84584,14.3859
622,-1.08976,-0.894724,14.4239
623,-0.435252,0.121102,14.7334
624,0.652042,0.0738175,15.0678
625,-0.249623,-0.0147473,15.1229
626,-0.4669,-0.700674,15.1776
627,-0.578877,-0.851148,15.2517
628,0.0246524,0.265841,15.3099
629,0.0232818,0.510433,15.5472
630,0.77122,0.654256,15.5609
631,0.717307,0.816322,15.5707
632,0.79256,0.588615,15.6123
633,0.414058,0.861688,15.8127
634,-0.264202,-0.668566,15.9762
635,-0.69462,-0.968291,16.0511
636,-0.850161,-0.963633,16.0639
637,-0.477782,-0.657144,16.0961
638,-0.544223,-0.703637,16.1215
639,-0.16398,0.0665471,16.1747
640,0.535802,0.92195,16.3238
641,0.253792,0.27212,16.3241
642,-0.0731622,-0.156583,16.3311
643,0.512404,0.646301,16.349
644,-0.511797,-0.991784,16.5794
645,-0.722281,-0.670822,16.582
646,-0.742278,-0.948834,16.6247
647,-0.109683,0.748853,17.3618
648,-0.440207,-0.814084,17.5016
649,-0.550138,0.104203,17.9297
650,-0.887871,-0.992908,17.9408
651,-0.0871027,0.0939907,17.9736
652,0.472306,0.945659,18.1976
653,0.437164,0.154226,18.2777
654,-0.0997999,-0.303183,18.319
655,0.968267,0.958601,18.3191
656,0.470385,0.519686,18.3216
657,-0.629824,-0.603311,18.3223
658,-0.905845,-0.966654,18.326
659,0.489103,0.764425,18.4018
660,-0.618588,-0.464268,18.4256
661,-0.115111,0.377848,18.6686
662,0.669449,0.96918,18.7584
663,-0.121943,-0.731988,19.1306
664,0.46652,0.862266,19.2872
665,-0.350385,-0.303739,19.2894
666,-0.819828,-0.901196,19.296
667,0.110484,0.264764,19.3198
668,-0.905921,-0.967937,19.3236
669,-0.280847,-0.0121827,19.3958
670,0.67252,0.999993,19.5031
671,0.481725,0.0407418,19.6975
672,0.991936,0.9571,19.6987
673,0.68462,0.816989,19.7163
674,-0.592489,-0.730934,19.7354
675,0.581691,0.510553,19.7405
676,-0.652081,-0.978239,19.8469
677,-0.581468,-0.954174,19.9858
678,0.721161,0.808808,19.9935
679,0.35356,0.339733,19.9937
680,0.780031,0.962239,20.0269
681,-0.253096,0.238656,20.2687
682,0.511602,0.24973,20.3373
683,0.0822497,0.183615,20.3475
684,-0.567292,-0.711477,20.3683
685,-0.938995,-0.767814,20.3976
686,-0.681726,-0.413831,20.4694
687,-0.7202,-0.0423377,20.9289
688,-0.697644,-0.910881,20.9744
689,-0.122217,0.342627,21.1904
690,-0.189416,0.137729,21.2975
691,0.474157,0.963821,21.5372
692,0.94931,0.198259,22.1013
693,0.662705,0.979508,22.2017
694,-0.121115,0.397203,22.4703
695,-0.711098,-0.8944,22.5039
696,-0.386226,-0.818648,22.6909
697,0.392066,0.361557,22.6918
698,0.736412,0.85889,22.7068
699,0.733862,0.0210029,23.215
700,0.505185,0.235446,23.2878
701,0.766089,0.983863,23.3352
702,0.390884,0.601561,23.3796
703,0.515255,0.53662,23.38
704,-0.209516,-0.301294,23.3885
705,-0.783139,-0.925811,23.4088
706,-0.411885,-0.762262,23.5316
707,-0.668537,-0.623232,23.5336
708,-0.747176,-0.368825,23.6768
709,-0.696794,-0.969468,23.7511
710,-0.9375,-0.998197,23.7548
711,-0.428125,-0.353295,23.7604
712,0.08024,0.286563,23.803
713,-0.657817,-0.813848,23.8273
714,-0.522073,-0.899322,23.9697
715,-0.649154,-0.922316,24.0443
716,-0.872291,-0.970668,24.0539
717,0.0655352,0.502242,24.2447
718,0.236087,0.47202,24.3003
719,0.2703,0.454307,24.3342
720,-0.50216,-0.676634,24.3646
721,-0.432518,-0.454708,24.3651
722,0.217712,-0.249194,24.5831
723,-1.02283,-0.968074,24.5861
724,-0.0810101,0.422259,24.8394
725,0.700097,0.904622,24.8812
726,1.16477,0.838834,24.9875
727,1.16855,0.999975,25.0159
728,1.22809,0.889322,25.1306
729,0.564333,0.502605,25.1344
730,-0.492093,-0.0484684,25.3313
731,-1.14601,-0.907383,25.3882
732,-1.06755,-0.79043,25.465
733,-0.896974,-0.960466,25.469
734,-0.152753,-0.410688,25.5355
735,0.955833,0.854076,25.5459
736,0.814951,0.779177,25.5472
737,0.297104,-0.0279938,25.6529
738,0.791975,0.0986929,26.1335
739,0.480562,0.870072,26.2852
740,-0.778817,-0.968899,26.3214
741,-0.325794,-0.891783,26.6417
742,-0.59917,-0.306243,26.7275
743,0.372984,0.670683,26.8161
744,0.31277,0.606735,26.9026
745,-0.74887,-0.616832,26.92
746,-0.631291,-0.332713,27.0091
747,-0.252013,-0.801454,27.311
748,-0.617929,-0.69282,27.3166
749,-1.03291,-0.99087,27.3184
750,-0.845818,-0.990474,27.3393
751,-0.610501,-0.940371,27.4481
752,0.264278,0.268132,27.4482
753,0.45028,0.75021,27.5381
754,0.535773,0.863113,27.6453
755,0.780841,0.174184,28.0133
756,0.0138425,-0.0255767,28.0148
757,-0.659468,-0.987816,28.1227
758,0.272615,0.868647,28.4779
759,0.091678,-0.209917,28.5689
760,0.699888,0.996816,28.657
761,0.776577,-0.1119,29.4464
762,0.58076,0.661315,29.4529
763,0.636516,0.672159,29.4542
764,0.367846,-0.205368,29.7828
765,0.461536,0.645769,29.8167
766,0.499517,0.708004,29.8602
767,0.104421,0.507091,30.0223
768,-0.774492,-0.979831,30.0645
769,-0.140131,-0.403208,30.1337
770,-0.104069,-0.128412,30.1343
771,0.291968,0.591913,30.2242
772,0.815056,0.999963,30.2584
773,0.915901,0.742045,30.2887
774,0.388542,0.406057,30.289
775,-0.573996,-0.995193,30.4664
776,-0.490236,-0.456691,30.4675
777,0.964768,0.926023,30.469
778,-1.24659,-0.856219,30.6214
779,-0.193038,-0.127934,30.6256
780,0.498872,0.75313,30.6903
781,-0.284788,-0.794015,30.9496
782,1.16731,0.9969,30.9786
783,0.870436,0.946508,30.9844
784,0.636692,0.82722,31.0207
785,0.272567,0.385303,31.0334
786,0.596701,0.775711,31.0655
787,0.501012,0.552315,31.0681
788,0.596468,0.708144,31.0806
789,-0.180051,-0.0571495,31.0957
790,0.395244,0.616812,31.1448
791,0.667673,0.819136,31.1677
