t,predict_test,teacher
501,0.377995,0.0881271,0.0840232
502,-0.0363706,-0.173912,0.102941
503,-0.83237,-0.978932,0.124421
504,0.0947043,0.761162,0.568588
505,0.618716,0.428213,0.604879
506,0.275573,0.202869,0.610165
507,-0.277362,0.0348518,0.707642
508,-0.352181,-0.704298,0.831629
509,0.134607,0.489164,0.95734
510,0.0148245,-0.248139,1.02649
511,-0.348202,-0.995243,1.44515
512,-0.592991,-0.618916,1.44582
513,0.622939,0.981678,1.57452
514,0.0284011,0.998229,2.51508
515,0.0311171,0.275949,2.57503
516,-0.233995,-0.342141,2.58672
517,-0.231802,-0.874043,2.99919
518,-0.689002,-0.975478,3.08126
519,-0.116854,-0.000480153,3.09481
520,0.258646,0.996155,3.63873
521,0.353118,0.544093,3.6752
522,-0.730092,-0.771581,3.67692
523,-0.360703,-0.937685,4.00983
524,-0.0745207,-0.996534,4.85993
525,-0.141743,-0.495503,4.98508
526,0.666011,0.976269,5.08134
527,0.884672,0.976772,5.08982
528,0.0239695,0.581989,5.40121
529,-0.30512,-0.99824,5.88163
530,-0.728938,-0.382031,6.00197
531,-0.469185,-0.992521,6.27585
532,0.159148,0.589665,6.46119
533,0.419762,0.341929,6.46725
534,-0.348337,0.402313,7.03073
535,-0.42178,-0.972229,7.33372
536,-0.247886,-0.283723,7.33501
537,-0.488141,-0.720613,7.38905
538,0.574435,0.74468,7.41803
539,0.30391,0.979419,7.87435
540,-0.53038,-0.924946,8.03003
541,-0.583551,-0.728091,8.05092
542,0.484437,0.970601,8.28728
543,1.52418,0.920311,8.65194
544,0.0357807,-0.343484,8.79578
545,-0.377195,-0.844832,9.01446
546,0.403191,0.479865,9.02034
547,-0.281455,-0.278056,9.02035
548,0.361985,0.808353,9.2196
549,0.173301,0.490225,9.32004
550,0.25323,0.137142,9.33351
551,-0.760171,-0.310664,9.53557
552,-0.512653,-0.718162,9.5778
553,0.547974,0.208145,9.69329
554,0.558019,-0.424307,10.6583
555,-0.186267,0.147461,10.7696
556,-0.54319,-0.607205,10.7737
557,0.409211,0.966704,11.0845
558,0.276501,0.343731,11.089
559,-0.634274,-0.0909047,11.3843
560,-0.482279,-0.981486,11.6335
561,-0.365117,-0.93835,11.9621
562,0.0894728,0.767347,12.4216
563,1.04624,-0.709644,15.5048
564,0.737957,-0.832921,17.9724
565,0.873025,0.50487,18.1079
566,1.46237,0.22109,19.6487
567,-0.364518,0.0707397,19.8382
568,-0.892075,-0.9462,19.8411
569,-0.76078,-0.985656,19.8917
570,0.645487,0.961431,19.9915
571,-0.363634,-0.561592,20.0307
572,0.517784,0.907429,20.1825
573,0.433917,0.999362,20.5022
574,0.140776,0.873372,21.0389
575,0.421193,-0.228111,21.4605
576,0.27286,0.987169,21.9708
577,0.500344,-0.112825,22.3467
578,0.540637,0.952899,22.5167
579,0.443227,0.848015,22.6806
580,0.357432,0.81547,22.8904
581,-0.216218,-0.923835,23.3911
582,-0.15875,-0.961121,24.0349
583,0.189426,0.668934,24.2648
584,-0.425668,0.403362,24.9521
585,-0.443488,-0.987394,25.2479
586,0.102402,0.166041,25.252
587,0.3926,0.618038,25.3028
588,0.746529,0.595613,25.3256
589,0.599158,-0.364842,26.2549
590,0.0849975,0.381968,26.3431
591,-0.602123,-0.739661,26.362
592,-0.0280104,-0.0382742,26.3621
593,0.336343,0.60389,26.4337
594,0.373214,0.798951,26.6149
595,0.840836,0.921599,26.6214
596,0.133008,-0.376439,26.881
597,0.0277506,-0.533935,27.1965
598,1.17767,0.542622,27.5998
599,-0.646349,-0.821903,27.6306
600,-0.278222,-0.974617,28.1155
601,-0.404356,-0.81916,28.2876
602,0.671101,0.835913,28.3148
603,-0.399034,-0.00551087,28.4696
604,-0.711091,-0.920741,28.5136
605,-1.02928,-0.751159,28.5909
606,0.550002,0.591813,28.5927
607,0.672205,0.28688,28.7412
608,0.740374,0.99211,28.8045
609,0.348704,0.472562,28.8199
610,0.570276,0.998281,29.0031
611,0.176115,0.729714,29.3095
612,0.630262,0.459595,29.3387
613,0.0894023,0.999493,30.1669
614,0.249232,0.61441,30.3003
615,-0.536478,-0.851894,30.3998
616,0.584907,0.520745,30.4039
617,0.620485,0.672472,30.4066
618,0.767123,0.986748,30.4548
619,0.0187777,0.561762,30.7496
620,0.179072,0.525723,30.8698
621,0.471543,0.998284,31.1473
622,-0.949812,-0.995869,31.1494
623,0.772405,0.983466,31.1939
624,0.404514,0.993865,31.5413
625,0.468951,0.999755,31.823
626,-0.950517,-0.918596,31.824
627,-0.48942,-0.999052,32.0838
628,0.109642,0.392746,32.1639
629,0.174208,0.719813,32.4616
630,0.554294,0.877103,32.5658
631,0.480846,-0.137836,32.9486
632,0.237896,-0.58654,33.6283
633,0.856044,0.999917,33.649
634,-0.0752455,-0.890489,34.3136
635,-0.48323,-0.918452,34.503
636,-0.808728,-0.37057,34.695
637,-0.630838,-0.879845,34.757
638,-0.394847,-0.921045,35.0339
639,0.161169,0.0997284,35.0377
640,0.604843,0.982224,35.1801
641,0.0360185,0.401719,35.3138
642,0.461899,-0.233665,35.7976
643,0.589265,0.869452,35.8761
644,-0.0109423,-0.558841,36.1763
645,-0.58929,-0.892553,36.2683
646,-0.0894887,-0.9543,37.0162
647,0.574886,0.296764,37.0935
648,0.268485,0.143572,37.1091
649,0.654805,0.987765,37.22
650,-0.375008,-0.821561,37.4194
651,-0.0116607,0.140726,37.4426
652,0.471183,0.958635,37.6802
653,-0.448611,-0.973147,37.9554
654,-0.949836,-0.895142,37.9584
655,0.617542,0.345036,38.0326
656,0.507185,0.730958,38.0827
657,-0.611053,-0.825715,38.1288
658,-0.720104,-0.386598,38.24
659,0.812269,0.964942,38.2633
660,-0.0925054,-0.662545,38.5883
661,0.206066,0.549033,38.7059
662,0.583326,0.400466,38.7393
663,-0.13578,-0.943106,39.3911
664,0.501262,0.999937,39.6398
665,-0.156228,-0.446564,39.7241
666,-0.13401,-0.112744,39.7245
667,0.213653,0.391203,39.756
668,-0.409759,-0.393588,39.7563
669,-0.370582,-0.0182735,39.8804
670,0.62445,0.703102,39.8866
671,0.343963,0.0610916,39.9666
672,0.54912,0.337668,40.0113
673,0.623993,0.990693,40.1458
674,-0.33009,-0.942333,40.5207
675,0.18296,0.719958,40.809
676,-0.356038,-0.890706,41.0949
677,-0.554217,-0.946192,41.2485
678,0.877154,0.987605,41.2607
679,0.629074,0.496837,41.2782
680,0.582245,0.93165,41.4003
681,-0.368432,0.353652,41.9217
682,0.477059,0.369622,41.9333
683,0.0373219,0.273466,41.989
684,-0.434273,-0.927398,42.2322
685,0.0438216,-0.966988,43.2539
686,0.103717,0.802104,43.7417
687,-0.491484,0.997983,45.9602
688,-0.565429,-0.146793,46.1354
689,0.300033,0.500838,46.1758
690,-0.148447,0.205772,46.3012
691,0.193578,0.928412,46.8412
692,-0.194333,-0.955522,47.4206
693,0.287481,0.886436,47.7794
694,-0.0595122,0.57508,48.1821
695,-0.5548,-0.995967,48.3767
696,0.0430279,-0.991272,49.4465
697,0.72128,0.526864,49.4843
698,0.325915,-0.021147,49.6047
699,0.109554,-0.999504,50.8347
700,-0.793448,-0.937118,50.8554
701,0.0883328,0.870018,51.4664
702,0.319651,0.823856,51.7206
703,0.314033,0.751043,51.9116
704,0.081191,-0.443118,52.1865
705,-0.887934,-0.979271,52.1949
706,-0.522656,-0.963612,52.3893
707,-0.342173,0.532451,53.1543
708,0.0524297,0.843722,53.7804
709,-0.281572,-0.915608,54.1824
710,-0.544505,-0.767859,54.2323
711,-0.301282,-0.515539,54.2782
712,0.509181,0.422277,54.2858
713,-0.398225,-0.989552,54.6354
714,-0.229657,-0.994331,55.2201
715,-0.581259,-0.981957,55.3807
716,-0.616605,-0.912601,55.4683
717,0.745692,0.709849,55.4696
718,-0.311671,0.672344,56.4379
719,0.342906,0.649853,56.5321
720,-0.709737,-0.89781,56.5675
721,-0.220068,0.759621,57.5273
722,1.00698,0.929489,57.5333
723,-0.530648,-0.918965,57.6841
724,0.687457,0.60829,57.6903
725,0.184905,0.124617,57.694
726,0.979576,-0.0780099,58.8125
727,0.0323868,0.699618,59.2577
728,0.063244,0.0729297,59.2577
729,0.524837,0.710293,59.2921
730,-0.488686,-0.0726671,59.4652
731,0.207153,-0.13432,59.5818
732,-0.289301,0.202127,59.8233
733,-0.642369,-0.354343,59.9063
734,-0.0817099,-0.593027,60.1677
735,0.625144,-0.0351305,60.6037
736,-0.1258,-0.228727,60.6143
737,-0.0762457,-0.999118,61.466
738,0.147688,-0.989027,62.7581
739,0.429518,0.999925,63.0835
740,-0.340789,-0.398898,63.0868
741,-0.417416,-0.0810224,63.2
742,0.204627,0.892983,63.6738
743,1.49127,0.451193,64.7556
744,-0.0958749,0.558749,65.1841
745,-0.168302,0.542767,65.6897
746,-0.489683,0.873345,67.5476
747,-0.490164,0.175302,67.9904
748,-0.466352,-0.911981,68.189
749,-0.528052,-0.550153,68.1895
750,-0.397481,-0.546512,68.2117
751,-0.430743,-0.965149,68.4973
752,0.231515,0.396022,68.5244
753,0.64597,0.955859,68.6204
754,0.479456,0.999962,68.8913
755,0.0126728,-0.965714,69.8486
756,0.291929,-0.0383598,69.9577
757,-0.239713,-0.852,70.3326
758,0.480856,0.999969,70.602
759,0.517068,-0.311941,71.2893
760,0.687449,0.786509,71.2991
761,-0.0965055,-0.985887,72.0901
762,-0.470015,-0.467925,72.0901
763,0.105045,-0.448526,72.3965
764,-0.905951,-0.952254,72.3987
765,0.726301,0.868934,72.419
766,0.669188,0.924606,72.4843
767,0.118752,0.715758,72.8407
768,-0.834664,-0.46499,72.9774
769,-0.217479,-0.583092,73.111
770,-0.0520308,-0.191952,73.1306
771,0.45361,0.8135,73.2601
772,0.496632,0.716119,73.3083
773,-0.281795,-0.311358,73.3092
774,0.789833,0.586882,73.3504
775,-0.32677,-0.803134,73.5773
776,0.460651,0.757444,73.6654
777,0.42744,-0.203381,74.0633
778,-0.304925,0.0289332,74.1748
779,0.0173464,-0.191243,74.2183
780,0.178031,-0.287472,74.435
781,-1.29687,-0.19349,75.6524
782,0.498676,0.618839,75.6669
783,0.626971,0.957509,75.7761
784,0.607181,0.994002,75.9257
785,0.448792,0.559104,75.9379
786,0.190146,0.971567,76.5485
787,0.640953,0.769277,76.565
788,0.888598,0.92472,76.5663
789,0.159426,-0.0856659,76.6264
790,0.251084,0.839862,76.973
791,0.490675,0.99144,77.2238
792,-0.553721,-0.999503,77.4225
793,-0.246555,-0.935827,77.8976
794,-0.177253,-0.714928,78.1867
795,-0.340777,-0.122624,78.2343
796,-0.394916,-0.268155,78.2504
797,0.613628,0.984488,78.3879
798,-0.188233,-0.673008,78.6229
799,-0.619402,0.285889,79.4425
800,-0.19414,-0.586602,79.5965
801,0.0921862,0.706383,79.9737
802,0.861497,0.982849,79.9885
803,0.590947,0.706278,80.0018
804,-0.659887,-0.145095,80.2668
805,0.437223,-0.208048,80.6831
806,-0.552961,-0.50048,80.6859
807,-0.163069,-0.630847,80.9047
