t,predict_test,teacher
501,-0.00469488,0.0881271,0.00861592
502,-0.22829,-0.173912,0.0115728
503,-0.877881,-0.978932,0.0217841
504,0.2513,0.761162,0.281744
505,0.314759,0.428213,0.294616
506,0.202671,0.202869,0.294616
507,0.18043,0.0348518,0.315809
508,0.0362525,-0.704298,0.864224
509,0.126905,0.489164,0.995456
510,0.215729,-0.248139,1.21063
511,-0.163701,-0.995243,1.90209
512,-0.318455,-0.618916,1.99237
513,0.316741,0.981678,2.43451
514,0.210234,0.998229,3.05545
515,0.431477,0.275949,3.07963
516,-0.147008,-0.342141,3.11771
517,-0.0567595,-0.874043,3.78566
518,-0.260815,-0.975478,4.29641
519,0.0836346,-0.000480153,4.30348
520,0.418164,0.996155,4.63755
521,0.211988,0.544093,4.74785
522,-0.359793,-0.771581,4.91742
523,-0.280092,-0.937685,5.34985
524,0.117751,-0.996534,6.59148
525,-0.0588391,-0.495503,6.78215
526,0.331641,0.976269,7.1977
527,0.19867,0.976772,7.80314
528,0.812214,0.581989,7.85614
529,0.261179,-0.99824,9.44228
530,-0.166742,-0.382031,9.48863
531,-0.276917,-0.992521,10.0007
532,0.103471,0.589665,10.2371
533,0.0769261,0.341929,10.3073
534,-0.0708933,0.402313,10.5313
535,-0.0589306,-0.972229,11.3654
536,0.393196,-0.283723,11.8236
537,0.25801,-0.720613,12.7813
538,0.437048,0.74468,12.8759
539,0.659945,0.979419,12.978
540,0.0514678,-0.924946,13.9314
541,-0.388825,-0.728091,14.0465
542,0.213078,0.970601,14.6203
543,0.622365,0.920311,14.7091
544,-0.295368,-0.343484,14.7114
545,-0.910187,-0.844832,14.7157
546,-0.174999,0.479865,15.1445
547,0.0751045,-0.278056,15.2692
548,0.408788,0.808353,15.4289
549,0.409764,0.490225,15.4354
550,0.248046,0.137142,15.4477
551,-0.0249574,-0.310664,15.5293
552,-0.323007,-0.718162,15.6854
553,0.128164,0.208145,15.6918
554,-0.112989,-0.424307,15.7888
555,0.45096,0.147461,15.8809
556,-0.2352,-0.607205,16.0193
557,0.0666387,0.966704,16.8294
558,0.00188496,0.343731,16.9462
559,-0.00612825,-0.0909047,16.9534
560,0.0275572,-0.981486,17.9716
561,-0.193136,-0.93835,18.5269
562,-0.0153643,0.767347,19.1396
563,0.46566,-0.709644,20.5209
564,1.14754,-0.832921,24.4432
565,0.562498,0.50487,24.4465
566,0.384399,0.22109,24.4731
567,-0.15,0.0707397,24.5219
568,-0.523927,-0.9462,24.7002
569,-0.930415,-0.985656,24.7032
570,0.160894,0.961431,25.3441
571,0.160913,-0.561592,25.8661
572,-0.0159572,0.907429,26.7188
573,0.496085,0.999362,26.972
574,0.402925,0.873372,27.1934
575,-0.143282,-0.228111,27.2006
576,-0.135898,0.987169,28.4618
577,0.0606687,-0.112825,28.4919
578,0.688095,0.952899,28.5621
579,0.134495,0.848015,29.0712
580,-0.11113,0.81547,29.9298
581,-0.423928,-0.923835,30.1797
582,-0.555311,-0.961121,30.3443
583,0.182046,0.668934,30.5814
584,0.180985,0.403362,30.6309
585,-0.30667,-0.987394,31.0942
586,0.32652,0.166041,31.12
587,0.394108,0.618038,31.1701
588,0.070016,0.595613,31.4464
589,-0.070508,-0.364842,31.533
590,-0.638901,0.381968,32.5752
591,-0.646417,-0.739661,32.5839
592,-0.163099,-0.0382742,32.5995
593,0.335742,0.60389,32.6714
594,0.740918,0.798951,32.6747
595,0.130881,0.921599,33.3
596,-0.306481,-0.376439,33.3049
597,-0.0415819,-0.533935,33.5473
598,0.133806,0.542622,33.7144
599,-0.686409,-0.821903,33.7328
600,-0.532104,-0.974617,33.9286
601,0.0107713,-0.81916,34.6174
602,-0.00757017,0.835913,35.3288
603,-0.837703,-0.00551087,36.0214
604,-0.322035,-0.920741,36.3798
605,-0.254795,-0.751159,36.6262
606,0.285875,0.591813,36.7198
607,0.637768,0.28688,36.8429
608,0.724621,0.99211,36.9145
609,0.379388,0.472562,36.9232
610,0.379016,0.998281,37.3067
611,0.190002,0.729714,37.5979
612,0.340437,0.459595,37.6121
613,0.196748,0.999493,38.2565
614,-0.0246072,0.61441,38.6649
615,-0.372667,-0.851894,38.8945
616,0.146255,0.520745,39.0348
617,0.66106,0.672472,39.0349
618,0.53174,0.986748,39.242
619,-0.258785,0.561762,39.9153
620,0.130889,0.525723,40.0711
621,0.203904,0.998284,40.7022
622,-0.0484942,-0.995869,41.5997
623,0.231452,0.983466,42.1652
624,0.609991,0.993865,42.3126
625,0.248949,0.999755,42.8763
626,-0.294141,-0.918596,43.2662
627,-0.326376,-0.999052,43.7187
628,-0.24836,0.392746,44.1297
629,0.545063,0.719813,44.1603
630,0.855273,0.877103,44.1608
631,-0.229821,-0.137836,44.1692
632,0.0643456,-0.58654,44.5929
633,0.259224,0.999917,45.1415
634,0.106226,-0.890489,46.1349
635,-0.184193,-0.918452,46.6741
636,-0.431655,-0.37057,46.6778
637,-0.615284,-0.879845,46.7478
638,-0.464277,-0.921045,46.9564
639,-0.138778,0.0997284,47.0133
640,0.418093,0.982224,47.3316
641,0.315487,0.401719,47.339
642,0.309967,-0.233665,47.6345
643,0.326816,0.869452,47.929
644,-0.330666,-0.558841,47.9811
645,-0.453324,-0.892553,48.174
646,-0.247199,-0.9543,48.674
647,0.0329567,0.296764,48.7436
648,0.0589602,0.143572,48.7507
649,-0.16569,0.987765,50.0812
650,-0.969646,-0.821561,50.1031
651,-0.633283,0.140726,50.7022
652,0.371166,0.958635,51.0473
653,-0.190984,-0.973147,51.6591
654,-0.466843,-0.895142,51.8425
655,0.0290169,0.345036,51.9424
656,0.546037,0.730958,51.9766
657,0.292776,-0.825715,53.2276
658,-0.355758,-0.386598,53.2286
659,0.192736,0.964942,53.8249
660,0.523188,-0.662545,55.2308
661,0.297538,0.549033,55.2941
662,0.428107,0.400466,55.2949
663,0.35357,-0.943106,56.9762
664,0.638817,0.999937,57.1066
665,0.337546,-0.446564,57.7215
666,-0.0919994,-0.112744,57.7219
667,-0.24705,0.391203,58.1293
668,-0.536773,-0.393588,58.1498
669,0.211783,-0.0182735,58.2027
670,0.472468,0.703102,58.2559
671,0.532188,0.0610916,58.4778
672,0.585212,0.337668,58.5391
673,0.734583,0.990693,58.6047
674,-0.129486,-0.942333,59.2654
675,0.300211,0.719958,59.4416
676,-0.286599,-0.890706,59.8065
677,-0.0920151,-0.946192,60.5362
678,0.444965,0.987605,60.8306
679,-0.176767,0.496837,61.2844
680,0.393945,0.93165,61.5735
681,0.111909,0.353652,61.6319
682,0.218136,0.369622,61.6549
683,0.21469,0.273466,61.6583
684,0.0780992,-0.927398,62.6693
685,-0.38153,-0.966988,63.0121
686,0.00755064,0.802104,63.6434
687,-0.214444,0.997983,65.1134
688,-0.690652,-0.146793,65.4092
689,-0.0320115,0.500838,65.6931
690,-0.0128021,0.205772,65.7409
691,0.258702,0.928412,66.1894
692,-0.297978,-0.955522,66.6218
693,0.10519,0.886436,67.2321
694,0.183177,0.57508,67.3857
695,-0.138965,-0.995967,68.1201
696,0.0531911,-0.991272,69.2111
697,0.507107,0.526864,69.2114
698,-0.0471156,-0.021147,69.2121
699,-0.368633,-0.999504,69.6101
700,-0.93339,-0.937118,69.6101
701,0.000589269,0.870018,70.366
702,0.628998,0.823856,70.404
703,0.608306,0.751043,70.4244
704,0.328397,-0.443118,71.0196
705,-0.186857,-0.979271,71.6475
