t,predict_test,teacher
501,0.655607,0.949741,0.0865147
502,0.940904,0.992559,0.0891829
503,1.12828,0.70643,0.267144
504,0.818017,0.977158,0.292469
505,0.463309,0.750492,0.374943
506,0.512226,0.752769,0.432804
507,0.623992,0.934556,0.529255
508,-0.0691077,-0.203327,0.54727
509,-0.496263,-0.738173,0.60579
510,-0.0940359,-0.110477,0.60606
511,0.198122,0.391899,0.64361
512,-0.260835,-0.511458,0.706422
513,-0.173096,-0.312829,0.725948
514,0.381829,0.723082,0.842401
515,0.221198,0.309308,0.850165
516,-0.312091,-0.543321,0.903632
517,-0.0528928,-0.0875673,0.904835
518,0.256044,0.52147,0.975285
519,-0.093842,-0.209622,0.98869
520,-0.373181,-0.589545,1.0355
521,0.399087,0.705855,1.12961
522,1.05112,0.799887,1.19273
523,1.06265,0.850415,1.23777
524,0.888646,0.997074,1.24953
525,0.895749,0.821024,1.25511
526,0.997574,0.828743,1.28361
527,1.03493,0.967158,1.28821
528,0.250697,0.343966,1.29691
529,-0.129674,-0.322451,1.33407
530,-0.405822,-0.602627,1.3728
531,0.062444,-0.210358,1.44722
532,-0.121153,0.076012,1.4861
533,-0.496403,-0.768286,1.56002
534,-0.392627,-0.663668,1.63348
535,-0.0397334,-0.144039,1.64436
536,0.545803,0.849036,1.73631
537,-0.157012,-0.51209,1.86239
538,-0.0904516,-0.0889308,1.86239
539,0.0752257,0.241174,1.88993
540,0.0527831,0.109088,1.8931
541,-0.210999,-0.333341,1.90807
542,-0.809658,-0.993781,1.94197
543,-0.799415,-0.985198,1.97648
544,-0.960201,-0.966312,1.97652
545,-0.967171,-0.994621,1.97728
546,-0.511574,-0.677669,2.00486
547,-0.719556,-0.93027,2.04926
548,0.0130957,0.228495,2.09566
549,0.213804,0.452326,2.15255
550,0.237464,0.362809,2.16826
551,-0.443234,-0.481074,2.1697
552,-0.373564,-0.75257,2.31334
553,0.417824,0.61045,2.35045
554,-0.0727142,-0.153759,2.35701
555,-0.363204,-0.597762,2.41203
556,-0.518949,-0.913991,2.56809
557,-0.570301,-0.795586,2.61884
558,-0.330882,-0.55913,2.67094
559,-0.402401,-0.685497,2.75108
560,-0.949622,-0.998221,2.75345
561,-1.14156,-0.990412,2.77629
562,-0.99877,-0.954077,2.77829
563,-1.12846,-0.983439,2.79932
564,0.184515,-0.190858,2.94023
565,-0.638009,0.663543,4.63426
566,-1.15423,0.494708,7.35326
567,-0.716483,-0.781798,7.35753
568,-0.860347,-0.948795,7.36535
569,-0.923752,-0.965157,7.36707
570,-0.257267,-0.184174,7.37241
571,-0.0599746,-0.275224,7.41874
572,0.77916,0.924881,7.43998
573,0.109579,-0.0266122,7.45852
574,0.312606,0.638405,7.56467
575,0.825242,0.995177,7.59355
576,0.773545,0.906812,7.61131
577,0.69472,0.991553,7.69942
578,0.359983,0.398398,7.70089
579,1.06551,0.947747,7.71476
580,1.00601,0.999981,7.7148
581,0.889562,0.973418,7.72183
582,0.757879,0.99668,7.77885
583,0.787847,0.999997,7.82386
584,0.618318,0.946359,7.93147
585,0.285708,0.325404,7.93305
586,0.658869,0.772109,7.94587
587,0.142903,0.180179,7.94726
588,0.159281,0.289348,7.96418
589,0.41662,0.683795,8.03556
590,0.976852,0.979894,8.03557
591,1.26307,0.708277,8.34336
592,0.893444,0.991668,8.35301
593,0.813733,0.992602,8.38501
594,0.682655,0.920903,8.44177
595,0.848047,0.994069,8.46309
596,0.943985,0.986052,8.46486
597,0.796837,0.974944,8.49658
598,0.519643,0.805939,8.57855
599,-0.102717,0.143735,8.63929
600,0.308984,0.76617,8.84831
601,0.184151,0.509032,8.95385
602,0.295727,0.401412,8.96502
603,0.525821,0.90208,9.10659
604,0.754083,0.963274,9.15036
605,1.29684,0.168836,10.4227
606,0.887278,0.952185,10.427
607,0.81545,0.999538,10.4608
608,0.979604,0.995166,10.4611
