t,predict_test,teacher
501,-0.102038,-0.00331926,0.00974545
502,-0.535994,-0.571624,0.0110149
503,-0.164988,-0.0348205,0.0279586
504,0.267534,0.38375,0.0414647
505,-0.731553,-0.50502,0.092782
506,-0.138935,0.519976,0.526946
507,-0.69823,-0.859837,0.553062
508,0.537679,0.132115,0.717544
509,-0.347443,-0.052924,0.804285
510,0.536025,0.774345,0.861082
511,0.340601,0.562689,0.910405
512,-0.656066,-0.635738,0.910818
513,1.33651,0.995008,1.02745
514,-0.643688,-0.54745,1.03671
515,-1.09349,-0.986186,1.04822
516,-0.173613,-0.259319,1.05557
517,0.714323,0.823939,1.06758
518,0.282938,0.138772,1.08836
519,0.24669,-0.146317,1.24282
520,0.787279,0.919269,1.26024
521,1.07507,0.9995,1.26595
522,-0.0675621,-0.551372,1.50002
523,-0.0394373,-0.0276344,1.50016
524,-0.414892,-0.841579,1.68223
525,-0.352407,-0.980716,2.077
526,1.50111,0.997818,2.3303
527,-1.03218,-0.785792,2.39101
528,0.964261,0.806381,2.41593
529,-0.417755,-0.0991539,2.51744
530,0.314146,0.69497,2.66247
531,0.426018,0.0934084,2.7731
532,-0.784999,-0.881917,2.78249
533,-0.0162856,-0.536256,3.05286
534,-0.487419,-0.974496,3.2901
535,1.01701,0.987498,3.29098
536,-0.194926,-0.493894,3.38036
537,-0.298134,-0.641262,3.49809
538,0.712587,0.835382,3.51317
539,-0.482392,-0.356681,3.52898
540,0.419035,0.494675,3.5347
541,-0.380572,-0.585423,3.57666
542,-0.636177,-0.770177,3.59462
543,0.29617,0.00862943,3.6773
544,-1.07608,-0.979652,3.68659
545,0.887855,0.388464,3.93599
546,-0.829998,-0.826281,3.936
547,1.20927,0.997238,3.98096
548,-0.324288,-0.0574349,4.05217
549,1.06206,0.987174,4.05777
550,0.188129,0.558079,4.19464
551,-0.450201,-0.718126,4.26642
552,-0.701367,-0.79285,4.27479
553,0.700339,0.83138,4.29196
554,0.332197,0.997424,4.73449
555,-0.0463138,-0.10619,4.73807
556,-0.390752,-0.864002,4.96204
557,-0.196229,-0.309022,4.97476
558,0.426833,0.320832,4.986
559,-1.18457,-0.990675,5.02359
560,0.501366,0.272319,5.07606
561,1.14187,0.999304,5.09638
562,-0.394702,-0.191907,5.13751
563,0.644764,0.908615,5.20712
564,0.167,0.979345,5.86703
565,-0.17149,-0.535128,5.99926
566,0.0870012,-0.356487,6.19594
567,0.461398,0.999196,6.48517
568,-1.05942,-0.996024,6.48919
569,0.470954,0.0479207,6.66814
570,-0.156373,0.221114,6.81064
571,-0.450233,-0.666923,6.85759
572,0.38152,-0.614549,7.84975
573,-0.425334,-0.750282,7.95534
574,-0.956965,-0.92026,7.95669
575,-0.424267,-0.971122,8.25574
576,0.554595,0.273445,8.33478
577,-0.240925,0.0973385,8.4492
578,0.0862649,0.475163,8.60045
579,1.01566,0.928499,8.60804
580,-0.400423,-0.363084,8.60944
581,-0.785882,-0.807505,8.6099
582,-0.337081,-0.945221,8.97974
583,1.03556,0.965595,8.98463
584,-0.276921,-0.681549,9.14836
585,0.417849,0.394243,9.14892
586,-0.825382,-0.708096,9.16267
587,-0.0388042,-0.445788,9.32831
588,-0.252183,-0.387949,9.34674
589,-0.301102,-0.870775,9.67127
590,0.24863,0.210478,9.67272
591,0.732466,0.838813,9.68403
592,0.822827,0.998554,9.71491
593,-0.280584,0.456449,10.2581
594,0.23486,0.462262,10.3098
595,-0.566075,-0.559238,10.3099
596,0.368075,0.248631,10.3242
597,-0.395271,-0.45088,10.3272
598,-0.111086,-0.0127192,10.3369
599,-0.290399,-0.828074,10.626
600,0.296891,0.569472,10.7003
601,-0.0130546,-0.389635,10.8421
602,0.372307,0.69589,10.9468
603,-0.0598156,-0.213491,10.9705
604,1.13856,0.981083,10.9953
605,-0.417547,-0.333995,11.0022
606,-0.454266,-0.931642,11.2301
607,0.369073,0.856171,11.4674
608,0.390806,0.902396,11.7291
609,-0.553209,-0.698687,11.7503
610,-0.0582909,-0.0939989,11.7516
611,-0.282849,-0.642127,11.8806
612,-0.344323,-0.382316,11.8821
613,-0.028037,-0.0934076,11.8863
614,-1.12948,-0.989301,11.906
615,-0.234474,-0.0165398,11.9535
616,0.563433,0.959069,12.11
617,1.07523,0.995927,12.1163
618,0.892296,0.99723,12.1273
619,0.268525,0.799939,12.4097
620,0.299422,0.78584,12.6463
621,-0.272767,0.139511,12.8163
622,-0.276092,-0.701988,12.9977
623,0.506419,0.745507,13.0549
624,0.00851088,0.0857941,13.0608
625,0.427256,0.203212,13.111
626,-0.322055,-0.561198,13.1682
627,0.398574,0.64326,13.2281
628,0.337215,0.344586,13.2281
629,-0.336936,-0.534306,13.2671
630,0.190839,0.129285,13.2709
631,-0.0173025,0.0213921,13.2724
632,0.960808,0.913429,13.2746
633,-0.388484,-0.889485,13.5256
634,1.06276,0.912315,13.5483
635,0.510813,0.840607,13.657
636,0.152773,0.127412,13.6577
637,-0.959377,-0.879489,13.664
638,-0.462353,-0.57217,13.6761
639,-0.557693,-0.540179,13.6764
640,0.158897,0.103332,13.6795
641,-0.699901,-0.953676,13.7439
642,1.07818,0.93542,13.7643
643,-0.172765,0.382753,14.0729
644,0.164648,-0.524935,14.5484
645,-0.0883743,-0.546258,14.7581
646,-0.296329,-0.979993,15.2255
647,0.439295,0.967458,15.5044
648,0.243645,0.297724,15.5073
649,0.497401,0.821894,15.6126
650,0.2535,0.532529,15.6905
651,0.824567,0.805113,15.6909
652,-0.249026,-0.273732,15.6915
653,1.08191,0.957075,15.7071
654,0.527329,0.80407,15.7837
655,-1.04019,-0.942733,15.7931
656,0.338532,0.692188,15.9182
657,0.01831,0.458434,16.1119
658,0.236714,0.640031,16.2746
659,0.46209,0.419726,16.2764
660,-1.02427,-0.933951,16.2845
661,-0.540162,-0.771379,16.338
662,-0.344767,-0.900981,16.6474
663,0.440457,0.46544,16.648
664,1.04124,0.986374,16.651
665,-0.49442,-0.270702,16.7011
666,0.442742,0.494818,16.7038
667,0.720827,0.926285,16.746
668,0.10447,-0.48126,17.0891
669,-1.16745,-0.989526,17.1207
670,-0.155458,-0.0602469,17.1298
671,0.651963,0.924318,17.204
672,-0.191547,0.336805,17.4831
673,0.0091421,0.0968679,17.4908
674,-1.06574,-0.985373,17.4973
675,1.16248,0.913259,17.5594
676,-0.143638,0.0722099,17.606
