t,predict_test,teacher
501,-0.844601,-0.871504,0.000723816
502,-0.897658,-0.897167,0.000724056
503,-0.89691,-0.918112,0.00117355
504,0.962466,0.966915,0.00119334
505,-0.357884,-0.323771,0.00235703
506,0.720614,0.700105,0.00277764
507,-0.655019,-0.673516,0.0031198
508,0.992344,0.996646,0.00313831
509,-0.92476,-0.940362,0.00338173
510,0.959412,0.944651,0.00359962
511,0.131734,0.102098,0.0044779
512,-0.7785,-0.748,0.00540813
513,-0.676841,-0.654848,0.0058918
514,-0.960761,-0.935808,0.00651444
515,0.475502,0.472826,0.0065216
516,-0.934158,-0.939102,0.00654605
517,0.800465,0.819782,0.00691919
518,1.0323,0.998229,0.00808028
519,0.459103,0.52925,0.0130008
520,0.306058,0.296849,0.0130856
521,-0.802454,-0.808604,0.0131234
522,-0.956049,-0.930179,0.0137927
523,-0.0976609,-0.091996,0.0138248
524,0.942501,0.945656,0.0138347
525,0.625151,0.6097,0.0140735
526,-0.947274,-0.954345,0.0141235
527,-0.10707,-0.127988,0.014561
528,0.892382,0.87338,0.0149221
529,-0.287777,-0.325043,0.0163108
530,0.946979,0.998391,0.018954
531,0.968663,0.977658,0.0190349
532,-0.505197,-0.555597,0.0215751
533,-0.74856,-0.744279,0.0215934
534,0.687827,0.684879,0.0216021
535,-0.984336,-0.999992,0.0218472
536,-0.646691,-0.624645,0.0223332
537,-0.965357,-0.956066,0.0224195
538,-0.0927552,-0.153886,0.0261565
539,-0.758355,-0.7699,0.0262898
540,0.35796,0.361172,0.0263001
541,-0.0138686,-0.00972093,0.0263173
542,-0.221156,-0.209633,0.0264501
543,0.859618,0.880048,0.0268675
544,0.939849,0.988773,0.029261
545,0.711263,0.692187,0.0296249
546,-0.802243,-0.811792,0.0297161
547,-0.973486,-0.962205,0.0298434
548,-0.199511,-0.190386,0.0299266
549,-0.47723,-0.490578,0.0301048
550,0.148862,0.120538,0.0309071
551,0.535107,0.544636,0.0309979
552,-0.114261,-0.0899016,0.0315913
553,-0.153012,-0.129991,0.0321212
554,-0.258203,-0.237033,0.0325694
555,-0.358734,-0.347248,0.0327013
556,0.981111,0.982384,0.0327029
557,-0.882801,-0.866033,0.0329841
558,0.826266,0.844538,0.033318
559,0.58179,0.557713,0.0338976
560,0.930576,0.922711,0.0339595
561,-0.803223,-0.797319,0.0339944
562,-0.978074,-0.992799,0.0342112
563,-0.992896,-0.990947,0.034215
564,-0.647981,-0.627758,0.0346239
565,-0.726158,-0.741297,0.0348531
566,-0.184435,-0.167032,0.035156
567,-0.173727,-0.133266,0.0367931
568,0.965837,0.97451,0.0368683
569,0.917836,0.934551,0.0371477
570,-0.271723,-0.299347,0.0379108
571,-0.680242,-0.650331,0.0388054
572,-0.9406,-0.916344,0.0393938
573,0.641564,0.669769,0.0401893
574,-0.250249,-0.288803,0.0416758
575,0.729789,0.719462,0.0417825
576,0.930569,0.9212,0.0418702
577,-0.643349,-0.661053,0.0421837
578,0.573232,0.567364,0.0422181
579,-0.724383,-0.735389,0.0423392
580,-0.969522,-0.945323,0.0429248
581,0.00164237,-0.0085615,0.0430289
582,0.903629,0.894992,0.0431035
583,-0.967306,-0.938231,0.0439489
584,0.329298,0.3942,0.0481613
585,0.946696,0.975901,0.0490142
586,-0.478583,-0.495951,0.0493158
587,-0.464263,-0.473257,0.0493967
588,-0.971105,-0.970673,0.0493969
589,0.994926,0.989849,0.0494227
590,0.653683,0.649464,0.0494405
591,-0.164543,-0.174509,0.0495398
592,-0.764401,-0.762987,0.0495418
593,0.525768,0.50795,0.0498593
594,0.566576,0.526619,0.0514558
595,-0.927584,-0.918144,0.0515449
596,0.749346,0.743009,0.0515851
597,-1.01381,-0.999932,0.0517776
598,-0.887694,-0.88644,0.0517792
599,0.876632,0.915929,0.0533235
600,0.903359,0.900991,0.0533291
601,-0.328227,-0.283,0.0553746
602,-0.420773,-0.453897,0.0564718
