t,predict_test,teacher
501,1.08725,0.977669,0.0120077
502,-0.717993,-0.77833,0.0156484
503,-0.0888178,-0.00331926,0.0229584
504,-0.41796,-0.571624,0.046571
505,-0.13874,-0.0348205,0.0573704
506,0.387411,0.38375,0.0573838
507,-0.640583,-0.50502,0.0757613
508,0.494263,0.519976,0.0764224
509,-0.864919,-0.859837,0.0764483
510,0.238152,0.132115,0.087692
511,-0.139028,-0.052924,0.0951059
512,0.836378,0.774345,0.098954
513,0.622094,0.562689,0.102483
514,-0.583649,-0.635738,0.105196
515,1.1132,0.995008,0.119165
516,-0.383301,-0.54745,0.14611
517,-1.01076,-0.986186,0.146714
518,-0.301554,-0.259319,0.148497
519,0.93632,0.823939,0.161127
520,0.222316,0.138772,0.168106
521,-0.0939571,-0.146317,0.170848
522,1.03294,0.919269,0.18377
523,1.29824,0.9995,0.273017
524,-0.464652,-0.551372,0.280538
525,-0.0843037,-0.0276344,0.283749
526,-0.717285,-0.841579,0.299198
527,-0.981542,-0.980716,0.299199
528,1.10802,0.997818,0.311343
529,-0.807304,-0.785792,0.311806
530,0.840839,0.806381,0.312993
531,-0.00308765,-0.0991539,0.322222
532,0.796564,0.69497,0.332543
533,0.0923936,0.0934084,0.332545
534,-0.9379,-0.881917,0.335679
535,-0.34183,-0.536256,0.37348
536,-0.837263,-0.974496,0.392313
537,1.11179,0.987498,0.407762
538,-0.522172,-0.493894,0.408561
539,-0.69666,-0.641262,0.41163
540,0.78223,0.835382,0.414456
541,-0.355642,-0.356681,0.414457
542,0.450049,0.494675,0.416448
543,-0.605074,-0.585423,0.416834
544,-0.734363,-0.770177,0.418117
545,0.121888,0.00862943,0.430944
546,-1.07993,-0.979652,0.440999
547,0.505324,0.388464,0.454655
548,-0.899273,-0.826281,0.459983
549,0.937198,0.997238,0.463588
550,0.063449,-0.0574349,0.478201
551,0.943218,0.987174,0.480133
552,0.7449,0.558079,0.515035
553,-0.799441,-0.718126,0.521647
554,-0.67477,-0.79285,0.53559
555,0.729501,0.83138,0.545969
556,0.954719,0.997424,0.547793
557,-0.088081,-0.10619,0.548121
558,-0.793828,-0.864002,0.553045
559,-0.275416,-0.309022,0.554174
560,0.340618,0.320832,0.554566
561,-1.01386,-0.990675,0.555104
562,0.307458,0.272319,0.556338
563,0.981233,0.999304,0.556665
564,-0.430049,-0.191907,0.613376
565,0.860528,0.908615,0.615689
566,0.689676,0.979345,0.699597
567,-0.543743,-0.535128,0.699671
568,-0.396074,-0.356487,0.701238
569,0.863107,0.999196,0.719758
570,-0.98595,-0.996024,0.71986
571,0.208482,0.0479207,0.74564
572,0.164675,0.221114,0.748825
573,-0.636156,-0.666923,0.749772
574,-0.631791,-0.614549,0.750069
575,-0.6317,-0.750282,0.764131
576,-0.945402,-0.92026,0.764763
577,-0.826686,-0.971122,0.785624
578,0.510757,0.273445,0.841942
579,-0.0444701,0.0973385,0.862051
580,0.43278,0.475163,0.863848
581,1.04763,0.928499,0.87804
582,-0.358273,-0.363084,0.878063
583,-0.773541,-0.807505,0.879217
584,-0.830407,-0.945221,0.892399
585,1.08467,0.965595,0.906577
586,-0.830404,-0.681549,0.928735
587,0.292846,0.394243,0.939016
588,-0.655489,-0.708096,0.941784
589,-0.308998,-0.445788,0.960495
590,-0.344983,-0.387949,0.962341
591,-0.865335,-0.870775,0.962371
592,0.144493,0.210478,0.966725
593,0.710367,0.838813,0.983224
594,1.06551,0.998554,0.987707
595,0.333887,0.456449,1.00273
596,0.349463,0.462262,1.01545
597,-0.425654,-0.559238,1.0333
598,0.236191,0.248631,1.03345
599,-0.383616,-0.45088,1.03798
600,-0.07919,-0.0127192,1.04239
601,-0.775894,-0.828074,1.04512
602,0.455751,0.569472,1.05805
603,-0.342882,-0.389635,1.06024
604,0.707118,0.69589,1.06036
605,-0.144002,-0.213491,1.06519
606,1.04829,0.981083,1.06971
607,-0.361159,-0.333995,1.07045
608,-0.73338,-0.931642,1.10975
609,0.823502,0.856171,1.11082
610,0.931052,0.902396,1.11164
611,-0.693954,-0.698687,1.11166
612,-0.167317,-0.0939989,1.11704
613,-0.633674,-0.642127,1.11711
614,-0.388455,-0.382316,1.11715
615,-0.119242,-0.0934076,1.11782
616,-0.984489,-0.989301,1.11784
617,-0.170526,-0.0165398,1.14155
618,1.03769,0.959069,1.14773
619,1.03923,0.995927,1.14961
620,1.14082,0.99723,1.17023
621,0.740049,0.799939,1.17381
622,0.788936,0.78584,1.17382
623,-0.130202,0.139511,1.24657
624,-0.755125,-0.701988,1.24939
625,0.696822,0.745507,1.25176
626,0.0416502,0.0857941,1.25371
627,0.279582,0.203212,1.25954
628,-0.592699,-0.561198,1.26054
629,0.693917,0.64326,1.2631
630,0.241333,0.344586,1.27376
631,-0.59018,-0.534306,1.27688
632,0.246413,0.129285,1.2906
633,-0.0132869,0.0213921,1.29181
