t,predict_test,teacher
t,predict_test,teacher
t,predict_test,teacher
t,predict_test,teacher
t,predict_test,teacher
t,predict_test,teacher
t,predict_test,teacher
t,predict_test,teacher
t,predict_test,teacher
t,predict_test,teacher
t,predict_test,teacher
t,predict_test,teacher
t,predict_test,teacher
t,predict_test,teacher
t,predict_test,teacher
t,predict_test,teacher
t,predict_test,teacher
t,predict_test,teacher
501,0.324866,0.0774961,0.061192
502,-0.347479,0.705134,1.16919
503,0.56033,0.32816,1.22309
504,0.43855,1.06228,1.61213
505,0.0239285,-0.482721,1.86882
506,0.504046,0.992986,2.10788
507,-0.25568,-0.525614,2.18075
508,0.476382,0.911046,2.36968
509,-0.178687,-0.320924,2.38991
510,0.888657,1.12805,2.44722
511,-0.248968,-0.878501,2.84353
512,0.484196,0.258397,2.89451
513,-0.18815,0.643336,3.58588
514,0.142459,0.497478,3.71192
515,0.172895,0.845786,4.1647
516,0.315723,0.148212,4.19276
517,-0.288883,1.22246,6.47692
518,-0.376993,-1.04871,6.92812
519,-0.0131832,-0.173658,6.95387
520,-0.125037,0.643024,7.54379
521,0.529125,0.369947,7.56913
522,0.570354,1.00226,7.75567
523,0.140633,-0.297006,7.9472
524,1.44479,1.17516,8.0199
525,-0.532053,-1.0212,8.25916
526,0.172745,-0.106939,8.33738
527,-0.307591,0.677825,9.30842
528,0.440447,0.325022,9.32175
529,0.422812,1.05495,9.72135
530,0.375454,-0.461664,10.4221
531,1.18139,1.01761,10.4489
532,-0.541472,-0.58832,10.4511
533,0.271366,0.822136,10.7545
534,-0.256172,-0.123271,10.7721
535,0.840457,1.22633,10.921
536,-0.20787,-1.1414,11.7925
537,0.49901,-0.456227,12.705
538,-0.123978,0.36577,12.9449
539,0.282056,0.675476,13.0996
540,0.512207,0.470916,13.1013
541,0.449695,0.893145,13.298
542,-0.134479,0.0242786,13.3232
543,1.3138,1.26773,13.3253
544,-0.0659204,-1.24269,14.7101
545,0.000353668,-0.781133,15.3208
546,-0.132922,-0.226977,15.3297
547,0.402021,0.694252,15.4151
548,0.812544,0.258462,15.7221
549,0.551976,1.11472,16.0388
550,-0.216306,-0.661595,16.237
551,-0.503333,0.722582,17.7399
552,-0.339861,0.0711456,17.9088
553,0.106016,1.20892,19.1252
554,-0.150299,-1.02382,19.8883
555,0.38396,-0.102767,20.1252
556,0.00347618,0.676916,20.5787
557,0.387589,0.328717,20.5822
558,0.453257,1.05208,20.9408
559,0.183226,-0.451049,21.3431
560,1.22679,1.0322,21.3809
561,-0.403458,-0.627425,21.4311
562,0.309122,0.758593,21.6331
563,-0.253686,0.00509971,21.7001
564,0.847756,1.22834,21.8449
565,-0.188558,-1.1097,22.6934
566,0.481341,-0.356426,23.3953
567,-0.0500357,0.490492,23.6875
568,0.384204,0.557494,23.7175
569,0.51325,0.711868,23.7569
570,0.337315,0.456608,23.7712
571,0.776342,0.920569,23.792
572,-0.168284,-0.0485244,23.8063
573,0.181691,1.2729,24.997
574,-0.130151,-1.28049,26.3203
575,0.0892963,-0.914517,27.328
576,-0.106321,-0.555702,27.5299
577,0.284447,0.292587,27.53
578,0.841167,0.713504,27.5463
579,0.65349,0.374558,27.6241
580,0.0281621,1.01854,28.6049
581,-0.413809,-0.340821,28.6102
582,0.472113,1.14376,29.0614
583,-0.352298,-0.932717,29.3982
584,0.275772,0.126027,29.4207
585,-0.187405,0.69916,30.2067
586,0.690346,0.354624,30.3194
587,0.245836,1.03227,30.9379
588,0.335789,-0.38764,31.4612
589,0.195475,1.09931,32.2781
590,-0.458916,-0.807576,32.3997
591,0.404584,0.416496,32.3998
592,-0.212609,0.513809,32.9275
593,0.826821,0.755181,32.9327
594,0.0432442,0.355331,33.0301
595,0.352693,1.05123,33.518
596,-0.181493,-0.440318,33.585
597,0.272434,1.04415,34.1805
598,-0.271249,-0.659139,34.331
599,0.258074,0.706096,34.5317
600,-0.093267,0.103515,34.5705
601,0.986388,1.19576,34.6143
602,-0.149163,-0.970168,35.2883
603,0.466523,0.0408774,35.4695
604,0.00918786,0.707496,35.9571
605,0.303736,0.309546,35.9572
606,0.346868,1.07914,36.4934
607,0.117305,-0.537819,36.9226
608,0.635151,0.919322,37.0033
609,-0.293524,-0.340918,37.0056
610,0.4825,1.11314,37.4033
611,-0.159165,-0.837901,37.864
612,0.773519,0.3527,38.0411
613,-0.272488,0.572774,38.7555
614,0.127137,0.646585,39.0254
615,0.138005,0.587369,39.2273
616,0.32277,0.711283,39.3782
617,-0.331326,0.467832,40.0169
618,-0.0016809,0.906025,40.8408
619,-0.180217,-0.0107504,40.8695
620,-0.0275105,1.27195,42.5581
621,0.00151318,-1.26879,44.1718
622,0.133156,-0.870409,45.1789
623,-0.087862,-0.441637,45.3041
624,0.350235,0.465779,45.3175
625,0.837068,0.564441,45.3918
626,0.620107,0.693233,45.3971
627,-0.0389403,0.496682,45.684
628,-0.22072,0.863361,46.8593
629,0.241332,0.105675,46.8777
630,0.159544,1.24333,48.0522
631,-0.145287,-1.13156,49.025
632,0.029523,-0.418619,49.2258
