t,predict_test,teacher
501,0.661969,0.325409,0.113273
502,0.192155,0.594893,0.275471
503,1.17702,0.602165,0.605934
504,0.915972,0.670824,0.666032
505,0.27996,0.550643,0.739301
506,0.0971132,0.776757,1.20122
507,-0.237726,0.320502,1.51283
508,0.155981,1.08922,2.38376
509,-0.57591,-0.564801,2.38389
510,0.712805,0.880165,2.4119
511,-0.110769,-0.254006,2.43241
512,0.868243,1.17372,2.52573
513,-0.501414,-1.00488,2.77921
514,-0.132646,-0.0615716,2.78426
515,0.141933,0.693229,3.08818
516,0.681861,0.308735,3.22741
517,-0.0482066,1.07452,4.48793
518,-0.145829,-0.523825,4.63082
519,0.750847,0.938208,4.66592
520,-0.172165,-0.389475,4.71314
521,0.732424,1.0691,4.82649
522,-0.448592,-0.716994,4.89853
523,0.216645,0.601016,5.04627
524,-0.207411,0.279193,5.28306
525,1.2171,1.07118,5.30435
526,0.0766262,-0.522628,5.66345
527,0.950946,0.938957,5.6636
528,-0.0766039,-0.391084,5.7625
529,0.741227,1.06756,5.86899
530,-0.456143,-0.712889,5.93491
531,0.215775,0.608773,6.08936
532,-0.216818,0.267287,6.32371
533,1.20885,1.08261,6.33965
534,0.0401031,-0.560684,6.70059
535,0.935498,0.884671,6.70318
536,-0.043506,-0.263905,6.75175
537,0.883341,1.1679,6.83273
538,-0.508825,-0.988749,7.06305
539,-0.123045,-0.0183049,7.07402
540,0.120066,0.702906,7.41373
541,0.735729,0.3028,7.60115
542,0.0676895,1.08251,8.63101
543,-0.167977,-0.549714,8.77673
544,0.760303,0.901692,8.79672
545,-0.140223,-0.303183,8.82328
546,0.829137,1.14182,8.92105
547,-0.489799,-0.916208,9.10288
548,-0.0425766,0.167333,9.14694
549,0.0355977,0.685937,9.56988
550,0.972999,0.391486,9.90804
551,0.648476,0.991215,10.0255
552,-0.0614728,-0.258064,10.0642
553,0.755944,1.20413,10.265
554,-0.39072,-1.10732,10.7785
555,-0.197876,-0.355367,10.8033
556,0.293863,0.491005,10.8422
557,0.377522,0.555869,10.874
558,0.0673725,0.714715,11.2931
559,0.598915,0.451616,11.3148
560,0.233885,0.928875,11.7978
561,-0.361404,-0.0724465,11.8813
562,0.564384,1.27131,12.381
563,-0.55167,-1.28447,12.918
564,-0.135179,-0.928417,13.5472
565,0.481412,-0.592082,14.6996
566,0.153767,0.23069,14.7055
567,1.02444,0.747871,14.782
568,1.18108,0.286172,15.5829
569,0.935079,1.10971,15.6134
570,-0.251546,-0.638183,15.7629
571,0.82717,0.762725,15.767
572,-0.0067305,-0.00590313,15.767
573,1.10028,1.22877,15.7835
574,-0.391594,-1.11559,16.3077
575,0.172566,-0.373733,16.6061
576,0.354368,0.469775,16.6195
577,0.353494,0.578916,16.6703
578,0.146149,0.671731,16.9465
579,0.654959,0.541963,16.9593
580,0.133203,0.790307,17.3911
581,-0.241709,0.288171,17.6718
582,0.238478,1.12083,18.4504
583,-0.586671,-0.672322,18.4577
584,0.717158,0.703427,18.4579
585,0.00911538,0.10557,18.4672
586,1.18504,1.19543,18.4673
587,-0.21905,-0.968986,19.0297
588,0.55923,0.0441194,19.2951
589,0.297884,0.706579,19.4621
590,0.862909,0.31428,19.7631
591,0.326634,1.07369,20.3212
592,-0.170158,-0.519658,20.4433
593,0.769014,0.944045,20.474
594,-0.169888,-0.403607,20.5286
595,0.691989,1.05515,20.6605
596,-0.45562,-0.679775,20.7107
597,0.24955,0.669615,20.8872
598,-0.266167,0.16833,21.076
599,1.15506,1.16122,21.076
600,-0.204587,-0.83729,21.4763
601,0.731346,0.366888,21.6092
602,0.200135,0.560364,21.7389
603,1.21279,0.670456,22.0331
604,0.858435,0.538793,22.1352
605,0.405179,0.79472,22.287
606,-0.157493,0.277426,22.4761
607,0.253161,1.13066,23.2461
608,-0.604427,-0.706536,23.2566
609,0.698951,0.640329,23.26
610,0.0325567,0.214009,23.2929
611,1.22565,1.12798,23.3025
612,-0.0132971,-0.717069,23.7978
613,0.850445,0.618531,23.8515
614,0.0856847,0.249267,23.8783
615,1.24686,1.09857,23.9003
616,0.0474202,-0.614823,24.3389
617,0.899967,0.800361,24.3488
618,-0.0202076,-0.0812563,24.3525
619,1.02945,1.23086,24.3931
620,-0.496583,-1.14542,24.8141
621,-0.0607231,-0.46751,24.9795
622,0.313988,0.350383,24.9809
623,0.238435,0.687871,25.1829
624,0.465613,0.442682,25.1834
625,0.909824,0.932008,25.1839
626,-0.239015,-0.0832892,25.2081
627,0.582653,1.26989,25.6804
628,-0.546198,-1.28266,26.2228
629,-0.190284,-0.922325,26.7587
630,0.432755,-0.575755,27.7758
631,0.104957,0.259212,27.7996
632,1.00307,0.733207,27.8724
633,1.07699,0.325135,28.4377
634,0.928659,1.07196,28.4582
635,-0.269007,-0.511211,28.5169
636,0.78618,0.955718,28.5456
637,-0.174869,-0.43212,28.6118
638,0.606291,1.0253,28.7874
639,-0.471141,-0.601363,28.8043
640,0.31642,0.801297,29.0394
641,-0.387872,-0.0793157,29.1346
642,0.929589,1.23158,29.2258
643,-0.587158,-1.14731,29.5396
644,-0.079055,-0.473359,29.6951
645,0.313524,0.342113,29.6959
646,0.233772,0.694135,29.9078
647,0.488983,0.428081,29.9115
648,0.918047,0.951686,29.9127
649,-0.256948,-0.139564,29.9264
650,0.62103,1.25824,30.3325
651,-0.51088,-1.25829,30.8911
652,-0.275578,-0.839146,31.2087
653,0.402985,-0.363319,31.7959
654,0.0963344,0.563456,32.0141
655,1.1804,0.446529,32.5527
