t,predict_test,teacher
501,0.437447,0.602165,0.0271322
502,0.0673792,0.670824,0.391278
503,0.106781,0.550643,0.588291
504,0.71126,0.776757,0.592581
505,-0.51421,0.320502,1.28932
506,0.145803,1.08922,2.17935
507,-0.0715581,-0.564801,2.42264
508,-0.0267976,0.880165,3.24522
509,-0.0799973,-0.254006,3.2755
510,0.185233,1.17372,4.25261
511,0.271718,-1.00488,5.88231
512,0.411852,-0.0615716,6.10644
513,-0.817001,0.693229,8.38723
514,0.517291,0.308735,8.43073
515,0.704373,1.07452,8.56774
516,0.146749,-0.523825,9.01741
517,1.07163,0.938208,9.03521
518,-0.429613,-0.389475,9.03682
519,0.291076,1.0691,9.64214
520,-0.0359327,-0.716994,10.106
521,0.344734,0.601016,10.1717
522,0.0197777,0.279193,10.239
523,0.711283,1.07118,10.3685
524,0.329188,-0.522628,11.0941
525,0.363495,0.938957,11.4252
526,-0.0616124,-0.391084,11.5338
527,0.548086,1.06756,11.8036
528,-0.230102,-0.712889,12.0367
529,0.620559,0.608773,12.0369
530,-0.00670023,0.267287,12.1119
531,0.835517,1.08261,12.173
532,0.165669,-0.560684,12.7006
533,0.392627,0.884671,12.9427
534,0.104561,-0.263905,13.0784
535,0.484343,1.1679,13.5457
536,-0.191128,-0.988749,14.1819
537,0.569732,-0.0183049,14.5277
538,-0.0871975,0.702906,15.1519
539,0.895933,0.3028,15.5037
540,0.423195,1.08251,15.9384
541,0.206119,-0.549714,16.5097
542,1.22509,0.901692,16.6143
543,-0.442802,-0.303183,16.6338
544,0.253339,1.14182,17.4232
545,-0.0536626,-0.916208,18.1672
546,0.322107,0.167333,18.1911
547,-0.0542353,0.685937,18.739
548,0.701635,0.391486,18.8352
549,0.598411,0.991215,18.9895
550,0.166779,-0.258064,19.17
551,0.937293,1.20413,19.2412
552,-0.266166,-1.10732,19.9487
553,0.0192094,-0.355367,20.089
554,-0.062397,0.491005,20.3953
555,0.603281,0.555869,20.3975
556,0.658906,0.714715,20.4006
557,0.270804,0.451616,20.4333
558,0.610899,0.928875,20.5344
559,-0.251754,-0.0724465,20.5666
560,0.0917244,1.27131,21.958
561,-0.178704,-1.28447,23.1807
562,0.193186,-0.928417,24.4387
563,-0.099355,-0.592082,24.6815
564,0.63137,0.23069,24.8421
565,0.94104,0.747871,24.8794
566,0.952429,0.286172,25.3233
567,0.677534,1.10971,25.51
568,-0.598598,-0.638183,25.5116
569,1.24627,0.762725,25.7454
570,-0.84435,-0.00590313,26.4484
571,0.382167,1.22877,27.1652
572,0.0653692,-1.11559,28.5598
573,0.250537,-0.373733,28.9495
574,0.132209,0.469775,29.0635
575,0.607914,0.578916,29.0643
576,0.564323,0.671731,29.0759
577,0.455121,0.541963,29.0834
578,0.492522,0.790307,29.1721
579,0.0865857,0.288171,29.2127
580,-0.32566,1.12083,31.3051
581,-0.233508,-0.672322,31.4976
582,0.158291,0.703427,31.7948
583,-0.124576,0.10557,31.8478
584,0.239032,1.19543,32.7624
585,0.220866,-0.968986,34.1782
586,0.252455,0.0441194,34.2216
587,-0.683827,0.706579,36.1548
588,0.424227,0.31428,36.1669
589,0.480888,1.07369,36.5183
590,0.263651,-0.519658,37.1319
591,1.07912,0.944045,37.1502
592,-0.410968,-0.403607,37.1502
593,0.183461,1.05515,37.9101
594,0.0528694,-0.679775,38.4468
595,0.351164,0.669615,38.5482
596,-0.111057,0.16833,38.6263
597,0.62508,1.16122,38.9137
598,0.360842,-0.83729,40.3493
599,0.37564,0.366888,40.3493
600,-0.181563,0.560364,40.8998
601,0.675904,0.670456,40.8998
602,0.00291714,0.538793,41.187
603,0.290199,0.79472,41.4415
604,0.745564,0.277426,41.6607
605,-0.152516,1.13066,43.3072
606,-0.244719,-0.706536,43.5205
607,-0.0148802,0.640329,43.9498
608,-0.0902729,0.214009,44.0424
609,0.500537,1.12798,44.4361
610,-0.00361053,-0.717069,44.9451
611,0.243953,0.618531,45.0854
612,-0.344543,0.249267,45.438
613,0.294145,1.09857,46.0851
614,0.191536,-0.614823,46.7353
615,0.426321,0.800361,46.8752
616,-0.0556299,-0.0812563,46.8759
617,0.423318,1.23086,47.528
618,-0.189995,-1.14542,48.4409
619,0.491025,-0.46751,49.3596
620,-0.151425,0.350383,49.6115
621,0.839747,0.687871,49.6345
622,0.306323,0.442682,49.6531
623,0.376378,0.932008,49.9618
624,0.185042,-0.0832892,50.0338
625,0.550034,1.26989,50.552
626,-0.484385,-1.28266,51.1893
627,-0.156909,-0.922325,51.7751
628,0.151707,-0.575755,52.3043
629,0.782925,0.259212,52.5786
630,0.55286,0.733207,52.6111
631,0.92741,0.325135,52.9739
632,0.568248,1.07196,53.2276
633,-0.343815,-0.511211,53.2556
634,1.14089,0.955718,53.2899
635,-0.916879,-0.43212,53.5249
636,0.267823,1.0253,54.0987
637,0.0125999,-0.601363,54.4756
638,0.384901,0.801297,54.649
639,0.143224,-0.0793157,54.6985
640,0.727017,1.23158,54.9531
641,0.216682,-1.14731,56.8136
642,0.597382,-0.473359,57.9601
643,-0.239186,0.342113,58.298
644,0.746933,0.694135,58.3008
645,0.51419,0.428081,58.3082
646,0.471499,0.951686,58.5388
647,0.222812,-0.139564,58.6701
648,0.594863,1.25824,59.1101
649,-0.289647,-1.25829,60.0484
650,-0.1242,-0.839146,60.5596
651,0.131039,-0.363319,60.8039
652,0.685966,0.563456,60.819
653,0.546426,0.446529,60.8289
654,0.762005,0.889893,60.8453
655,0.203844,0.0252855,60.8772
656,0.299549,1.26607,61.8113
657,0.329771,-1.23653,64.2646
658,-0.185472,-0.76079,64.5956
659,0.0271026,-0.181281,64.6391
660,0.384707,0.725755,64.7554
661,0.282848,0.208207,64.7609
662,0.683118,1.15704,64.9855
663,-0.182074,-0.811763,65.382
664,0.767485,0.424568,65.4996
665,-0.0335434,0.50411,65.7887
666,0.131156,0.771592,66.1989
667,0.142134,0.317737,66.2297
668,0.171855,1.09014,67.073
669,0.561949,-0.568441,68.3507
670,-0.359188,0.874666,69.8731
671,0.262213,-0.241589,70.1269
672,0.068429,1.18069,71.3641
673,-0.0477186,-1.02411,72.3174
674,0.714987,-0.11412,73.0048
675,-0.526468,0.674534,74.4472
676,0.478557,0.32877,74.4697
677,0.895084,1.05103,74.494
678,0.192849,-0.447912,74.9046
679,0.972044,1.03443,74.9085
680,-0.335801,-0.632451,74.9965
681,0.290416,0.750339,75.208
682,0.000293804,0.0220526,75.2085
683,0.391087,1.22442,75.9029
684,0.154646,-1.09227,77.4577
685,0.494372,-0.302959,78.0935
686,-0.229692,0.54382,78.6918
687,0.586318,0.495076,78.7001
688,0.430322,0.820006,78.852
689,0.417373,0.207149,78.8961
690,0.54801,1.18593,79.3031
691,-0.132449,-0.906847,79.9028
692,-0.0439363,0.204458,79.9645
693,-0.196964,0.669422,80.7151
694,0.464067,0.433962,80.716
695,0.148862,0.937174,81.3374
696,0.260861,-0.0994249,81.4672
697,0.964445,1.26731,81.559
698,-0.735426,-1.27834,81.8537
699,0.276064,-0.907627,83.2549
700,-0.112253,-0.536805,83.4351
701,0.611594,0.324288,83.5176
702,0.813293,0.691731,83.5324
703,0.853885,0.427399,83.7143
704,0.486743,0.951782,83.9306
705,0.0532751,-0.140024,83.9679
706,0.858675,1.25809,84.1275
707,-0.495405,-1.2579,84.7089
708,0.197002,-0.8378,85.7797
709,-0.0188426,-0.360042,85.8961
710,0.415339,0.567177,85.9192
711,0.685207,0.441621,85.9785
712,0.739019,0.897112,86.0035
713,0.248446,0.00575217,86.0624
714,0.268377,1.26909,87.0638
715,0.0528816,-1.25309,88.7694
716,-0.250088,-0.817602,89.0914
717,0.00574538,-0.31179,89.1923
718,0.357308,0.618621,89.2605
719,0.292809,0.370694,89.2666
720,0.791061,0.993207,89.3075
721,-0.0332987,-0.269837,89.3634
722,0.551304,1.19603,89.7791
723,0.0244346,-1.08362,91.0069
724,-0.159069,-0.285115,91.0228
725,0.0345545,0.561108,91.3
726,0.449294,0.473687,91.3006
727,0.47777,0.854201,91.4423
728,0.522878,0.120582,91.6042
729,0.506864,1.2359,92.1357
730,-0.669815,-1.10227,92.3227
731,0.388038,-0.330224,92.8386
732,-0.133314,0.516652,93.261
733,0.293955,0.527232,93.3154
734,0.282105,0.765833,93.5494
735,0.380811,0.337069,93.5514
