t,predict_test,teacher
501,0.777147,0.602165,0.0306185
502,0.253774,0.670824,0.20455
503,0.80013,0.550643,0.266793
504,0.76813,0.776757,0.266868
505,0.304603,0.320502,0.26712
506,0.911501,1.08922,0.298703
507,-0.423346,-0.564801,0.318713
508,0.816921,0.880165,0.322713
509,-0.578509,-0.254006,0.428015
510,0.964796,1.17372,0.471666
511,-0.308124,-1.00488,0.957131
512,0.288868,-0.0615716,1.07994
513,0.82915,0.693229,1.09841
514,0.570383,0.308735,1.16687
515,0.611475,1.07452,1.38129
516,-0.388626,-0.523825,1.39957
517,0.816366,0.938208,1.41441
518,-0.246205,-0.389475,1.43494
519,1.10085,1.0691,1.43595
520,-0.535087,-0.716994,1.46904
521,0.562013,0.601016,1.47056
522,0.291526,0.279193,1.47071
523,0.655671,1.07118,1.64336
524,-0.257198,-0.522628,1.71381
525,0.408618,0.938957,1.99507
526,-0.763588,-0.391084,2.13383
527,1.77872,1.06756,2.63957
528,-1.14624,-0.712889,2.82737
529,0.891731,0.608773,2.90743
530,0.451371,0.267287,2.94132
531,0.570743,1.08261,3.20333
532,-0.302866,-0.560684,3.2698
533,0.314181,0.884671,3.59526
534,-0.72583,-0.263905,3.80863
535,1.91504,1.1679,4.36685
536,-1.29941,-0.988749,4.46336
537,0.192092,-0.0183049,4.50763
538,0.649465,0.702906,4.51048
539,0.476174,0.3028,4.54054
540,0.642055,1.08251,4.73454
541,-0.552688,-0.549714,4.73455
542,0.516992,0.901692,4.88254
543,-0.148762,-0.303183,4.90639
544,1.20474,1.14182,4.91035
545,-0.93302,-0.916208,4.91063
546,0.14375,0.167333,4.91119
547,0.566467,0.685937,4.92546
548,0.531063,0.391486,4.94494
549,1.00914,0.991215,4.94526
550,-0.400837,-0.258064,4.96565
551,1.06618,1.20413,4.98468
552,-1.05448,-1.10732,4.98747
553,-0.0828216,-0.355367,5.06175
554,0.434616,0.491005,5.06493
555,0.476997,0.555869,5.07115
556,0.519178,0.714715,5.10938
557,0.314136,0.451616,5.12828
558,1.21334,0.928875,5.20921
559,-0.300276,-0.0724465,5.26111
560,0.870104,1.27131,5.42208
561,-0.919964,-1.28447,5.55495
562,-0.90965,-0.928417,5.5553
563,-0.178954,-0.592082,5.72597
564,0.57237,0.23069,5.84272
565,0.620119,0.747871,5.85904
566,0.534126,0.286172,5.92052
567,0.948375,1.10971,5.94655
568,-0.574728,-0.638183,5.95057
569,1.01116,0.762725,6.01229
570,-0.521152,-0.00590313,6.27777
571,1.00677,1.22877,6.32706
572,-0.453141,-1.11559,6.7659
573,-0.292226,-0.373733,6.77254
574,0.67795,0.469775,6.81588
575,0.794472,0.578916,6.86234
576,0.680349,0.671731,6.86242
577,0.230281,0.541963,6.95956
578,0.970083,0.790307,6.99188
579,-0.197267,0.288171,7.22753
580,0.71478,1.12083,7.39241
581,-0.612559,-0.672322,7.39598
582,0.441011,0.703427,7.46484
583,-0.231904,0.10557,7.57873
584,1.05507,1.19543,7.59843
585,-0.629074,-0.968986,7.71397
586,0.12821,0.0441194,7.72104
587,0.387677,0.706579,7.82274
588,0.0847267,0.31428,7.87544
589,1.46003,1.07369,8.02469
590,-0.712365,-0.519658,8.06183
591,0.898644,0.944045,8.06389
592,-0.514009,-0.403607,8.07608
593,1.03326,1.05515,8.07656
594,-0.797351,-0.679775,8.09038
595,0.525832,0.669615,8.11105
596,0.181216,0.16833,8.11122
597,0.807969,1.16122,8.236
598,-0.663965,-0.83729,8.26604
