t,predict_test,teacher
501,0.139082,0.602165,0.214446
502,0.354244,0.670824,0.314669
503,0.607047,0.550643,0.317851
504,0.275507,0.776757,0.569102
505,-0.181486,0.320502,0.821094
506,0.333657,1.08922,1.39196
507,0.00499075,-0.564801,1.71663
508,0.182837,0.880165,2.20289
509,0.164438,-0.254006,2.37799
510,0.376797,1.17372,3.01308
511,0.281548,-1.00488,4.66797
512,0.74086,-0.0615716,5.31186
513,0.206105,0.693229,5.54916
514,0.4366,0.308735,5.5655
515,0.75558,1.07452,5.66723
516,0.317641,-0.523825,6.3753
517,0.91806,0.938208,6.3757
518,-0.917139,-0.389475,6.65413
519,0.129731,1.0691,7.53654
520,0.0460903,-0.716994,8.11883
521,0.48005,0.601016,8.13347
522,0.0420422,0.279193,8.18971
523,0.578023,1.07118,8.43291
524,0.310442,-0.522628,9.12691
525,0.375575,0.938957,9.44431
526,-0.020576,-0.391084,9.58159
527,0.129637,1.06756,10.4613
528,0.297151,-0.712889,11.4815
529,0.517471,0.608773,11.4898
530,0.0166684,0.267287,11.5526
531,0.560954,1.08261,11.8247
532,0.298718,-0.560684,12.5633
533,0.373582,0.884671,12.8245
534,-0.0149627,-0.263905,12.8865
535,0.0997605,1.1679,14.0274
536,0.341331,-0.988749,15.7965
537,0.497448,-0.0183049,16.0625
538,-0.0022256,0.702906,16.5597
539,0.352963,0.3028,16.5623
540,0.687257,1.08251,16.7185
541,0.30088,-0.549714,17.442
542,0.897367,0.901692,17.442
543,-0.952707,-0.303183,17.8639
544,0.135884,1.14182,18.8758
545,0.0604458,-0.916208,19.8297
546,0.473593,0.167333,19.9234
547,0.0343321,0.685937,20.348
548,0.471461,0.391486,20.3544
549,0.544435,0.991215,20.554
550,0.318813,-0.258064,20.8868
551,0.749839,1.20413,21.0932
552,-0.940716,-1.10732,21.121
553,0.328363,-0.355367,21.5885
554,-0.18288,0.491005,22.0426
555,0.471582,0.555869,22.0497
556,0.43417,0.714715,22.1284
557,0.404718,0.451616,22.1306
558,0.203002,0.928875,22.6575
559,0.390748,-0.0724465,22.872
560,0.0441777,1.27131,24.3779
561,-0.0228275,-1.28447,25.9696
562,0.0448331,-0.928417,26.9168
563,-0.0352017,-0.592082,27.227
564,0.402477,0.23069,27.2565
565,0.76258,0.747871,27.2567
566,0.489335,0.286172,27.298
567,0.209209,1.10971,28.1089
568,-0.121313,-0.638183,28.376
569,0.0630937,0.762725,28.8655
570,-0.488695,-0.00590313,29.0986
571,-0.269467,1.22877,31.3433
572,-0.14958,-1.11559,32.2765
573,0.396326,-0.373733,32.8695
574,-0.0433006,0.469775,33.1327
575,0.0232816,0.578916,33.4414
576,0.952143,0.671731,33.5201
577,0.345396,0.541963,33.5587
578,-0.036588,0.790307,34.2425
579,0.44084,0.288171,34.2658
580,0.0112428,1.12083,35.497
581,0.020196,-0.672322,35.9765
582,0.00890339,0.703427,36.4589
583,0.0241166,0.10557,36.4655
584,0.307104,1.19543,37.2547
585,0.310236,-0.968986,38.8911
586,0.68979,0.0441194,39.308
587,0.0767403,0.706579,39.7047
588,0.112828,0.31428,39.7452
589,0.825705,1.07369,39.8067
590,0.401787,-0.519658,40.6558
591,0.781877,0.944045,40.6821
592,-0.996297,-0.403607,41.0334
593,0.215024,1.05515,41.7392
594,0.0338101,-0.679775,42.2484
595,0.50512,0.669615,42.2755
596,0.0644696,0.16833,42.2862
597,0.590896,1.16122,42.6115
598,0.292832,-0.83729,43.8887
599,0.393437,0.366888,43.8894
600,0.0396769,0.560364,44.1605
601,-0.0579938,0.670456,44.6911
602,0.643941,0.538793,44.7022
603,0.392838,0.79472,44.8637
604,-0.0695603,0.277426,44.9841
605,0.0410524,1.13066,46.1714
606,0.209056,-0.706536,47.0097
607,0.0965636,0.640329,47.3054
608,0.0217285,0.214009,47.3423
609,0.299947,1.12798,48.028
610,0.325149,-0.717069,49.1142
611,0.677546,0.618531,49.1177
612,0.0119462,0.249267,49.174
613,0.184403,1.09857,50.0097
614,0.605105,-0.614823,51.4979
615,0.467335,0.800361,51.6088
616,-0.164025,-0.0812563,51.6157
617,0.141418,1.23086,52.8026
618,0.458757,-1.14542,55.3759
619,0.492432,-0.46751,56.2974
620,-0.0288018,0.350383,56.4412
621,0.0220282,0.687871,56.8846
622,1.02295,0.442682,57.2213
623,0.314224,0.932008,57.6029
624,-0.168344,-0.0832892,57.6102
625,0.543646,1.26989,58.1376
626,-0.140109,-1.28266,59.443
627,0.155039,-0.922325,60.6037
628,-0.322888,-0.575755,60.6677
629,0.225996,0.259212,60.6688
630,0.712697,0.733207,60.6692
631,0.447862,0.325135,60.6842
632,0.193342,1.07196,61.4562
633,-0.120757,-0.511211,61.6087
634,0.0876794,0.955718,62.3622
635,-0.49167,-0.43212,62.3657
636,-0.190973,1.0253,63.845
637,-0.270688,-0.601363,63.9544
638,0.465699,0.801297,64.067
639,0.0596549,-0.0793157,64.0863
640,0.589148,1.23158,64.499
641,0.260034,-1.14731,66.4796
642,0.435859,-0.473359,67.3063
643,0.114798,0.342113,67.358
644,-0.0631917,0.694135,67.9315
645,0.980422,0.428081,68.2366
646,0.288722,0.951686,68.6761
647,-0.18245,-0.139564,68.678
648,0.532883,1.25824,69.2041
649,-0.148775,-1.25829,70.4351
650,0.148041,-0.839146,71.4097
651,-0.324011,-0.363319,71.4112
652,0.282428,0.563456,71.4902
653,0.691593,0.446529,71.5502
654,0.426408,0.889893,71.7651
655,0.180494,0.0252855,71.7892
656,0.0701168,1.26607,73.2195
657,0.169739,-1.23653,75.1971
658,-0.162006,-0.76079,75.5556
659,-0.39659,-0.181281,75.602
660,-0.0524575,0.725755,76.2076
661,0.538347,0.208207,76.3166
662,0.437881,1.15704,76.8338
663,0.064854,-0.811763,77.6022
664,0.188926,0.424568,77.6577
665,0.0195853,0.50411,77.8925
666,-0.409969,0.771592,79.2886
667,0.220124,0.317737,79.2981
668,0.274917,1.09014,79.9627
669,-0.261595,-0.568441,80.0569
670,0.310074,0.874666,80.3756
671,0.0909397,-0.241589,80.4862
672,0.0801353,1.18069,81.6974
673,0.114144,-1.02411,82.993
674,0.644136,-0.11412,83.568
675,0.150967,0.674534,83.8421
676,0.380104,0.32877,83.8447
677,0.795904,1.05103,83.9098
678,0.31098,-0.447912,84.4858
679,0.907245,1.03443,84.5019
680,-0.847935,-0.632451,84.5484
681,0.142284,0.750339,84.9181
682,-0.0143485,0.0220526,84.9194
683,0.507586,1.22442,85.4333
684,0.0761847,-1.09227,86.7986
685,0.470518,-0.302959,87.3968
686,0.154802,0.54382,87.5482
687,-0.0527071,0.495076,87.8482
688,0.876094,0.820006,87.8514
689,0.33133,0.207149,87.8668
690,0.228066,1.18593,88.7843
691,0.072357,-0.906847,89.7431
692,0.133872,0.204458,89.7481
693,-0.118437,0.669422,90.3688
694,-0.0113929,0.433962,90.5672
695,0.320898,0.937174,90.947
696,0.547404,-0.0994249,91.3654
697,0.708156,1.26731,91.678
698,-0.837932,-1.27834,91.872
699,0.431498,-0.907627,93.6652
700,-0.181676,-0.536805,93.7914
701,0.253373,0.324288,93.7964
702,0.713225,0.691731,93.7969
703,0.439002,0.427399,93.797
704,0.192789,0.951782,94.3731
705,-0.0986687,-0.140024,94.3748
706,0.149693,1.25809,95.6033
707,-0.466727,-1.2579,96.2293
708,-0.0538294,-0.8378,96.8439
709,-0.430829,-0.360042,96.8489
710,0.234958,0.567177,96.9592
711,0.677864,0.441621,97.0151
712,0.417385,0.897112,97.2452
713,0.176008,0.00575217,97.2742
714,0.0716821,1.26909,98.708
715,0.166181,-1.25309,100.722
716,-0.160015,-0.817602,101.155
717,-0.399408,-0.31179,101.162
718,-0.0446513,0.618621,101.602
719,0.562444,0.370694,101.639
720,0.428612,0.993207,101.958
721,0.0996515,-0.269837,102.094
722,0.12006,1.19603,103.252
723,0.129404,-1.08362,104.724
724,-0.174638,-0.285115,104.736
725,-0.349696,0.561108,105.565
726,0.322581,0.473687,105.588
727,0.317166,0.854201,105.877
728,0.355915,0.120582,105.932
729,0.490012,1.2359,106.488
730,-0.0307602,-1.10227,107.636
731,0.151916,-0.330224,107.869
732,-0.148109,0.516652,108.311
733,0.016177,0.527232,108.572
734,0.445157,0.765833,108.675
735,0.503168,0.337069,108.702
736,0.177116,1.07069,109.501
737,0.333322,-0.5038,110.202
738,0.122469,0.965866,110.913
739,-0.0538602,-0.457195,111.076
740,0.0173205,0.997121,112.036
741,0.0802017,-0.52911,112.407
742,0.679877,0.907196,112.459
743,0.197419,-0.31094,112.717
744,0.631839,1.1368,112.972
745,0.26691,-0.902527,114.34
746,0.492943,0.200663,114.425
747,0.147614,0.67287,114.701
748,0.397704,0.426344,114.702
749,0.458333,0.947384,114.941
750,0.29049,-0.128649,115.117
751,0.659309,1.26104,115.479
752,-0.858916,-1.26492,115.643
753,0.354332,-0.861724,117.122
754,-0.218507,-0.419072,117.162
755,0.269055,0.495613,117.214
756,0.697162,0.530393,117.242
757,0.425523,0.754841,117.35
758,0.184432,0.361419,117.381
759,0.00931527,1.04358,118.451
760,0.205984,-0.416253,118.838
761,-0.247198,1.0705,120.575
762,-0.285492,-0.729235,120.771
763,-0.0727627,0.576653,121.193
764,-0.00878382,0.315689,121.299
765,0.69333,1.03347,121.414
766,0.245649,-0.400585,121.832
767,0.490299,1.08539,122.186
768,0.0431885,-0.769463,122.846
769,0.266479,0.496714,122.899
770,0.181539,0.423747,122.958
771,0.570323,0.897628,123.065
772,0.0963548,-0.000906481,123.075
773,0.406344,1.26929,123.819
774,-0.0415451,-1.2558,125.294
775,0.42449,-0.827054,126.86
776,-0.0243828,-0.334366,126.956
777,0.119791,0.595363,127.182
778,0.599761,0.403451,127.221
779,0.436995,0.950727,127.485
780,0.110883,-0.1444,127.55
781,0.102222,1.25603,128.881
782,0.151581,-1.25196,130.851
783,-0.15275,-0.817568,131.293
784,-0.393413,-0.311373,131.3
785,0.0830502,0.618995,131.587
786,0.615112,0.370171,131.647
787,0.366607,0.993861,132.041
788,0.145378,-0.271811,132.215
789,0.104594,1.19472,133.403
790,0.116858,-1.07986,134.835
791,-0.181401,-0.274106,134.844
792,-0.352253,0.570855,135.696
793,0.324766,0.461542,135.715
794,0.311065,0.873027,136.03
795,0.355848,0.0714155,136.111
796,0.540618,1.25477,136.621
797,-0.103427,-1.18279,137.786
798,0.164182,-0.582175,138.343
799,-0.159108,0.170663,138.452
800,0.0361909,0.784571,139.012
801,0.509528,0.189425,139.115
802,0.480504,1.18514,139.611
803,-0.0758889,-0.909541,140.306
804,0.409673,0.197371,140.351
805,-0.165013,0.6726,141.053
806,-0.174245,0.425863,141.413
807,0.219323,0.947877,141.944
808,0.331449,-0.130099,142.157
809,0.589774,1.26067,142.607
810,-0.88604,-1.26402,142.75
811,0.403579,-0.858656,144.343
812,-0.191382,-0.411414,144.391
813,0.280273,0.505437,144.442
814,0.698435,0.518923,144.474
815,0.42656,0.774638,144.595
816,0.18436,0.315587,144.613
817,0.0180384,1.09296,145.768
818,0.202845,-0.577705,146.377
819,-0.231983,0.860647,147.571
820,-0.305462,-0.21031,147.58
821,-0.0984889,1.19627,149.257
822,0.0777467,-1.06658,150.566
823,0.626933,-0.233763,151.307
824,0.137211,0.603521,151.524
825,0.296408,0.419938,151.54
826,0.901773,0.934169,151.541
827,0.306499,-0.0957604,151.703
828,0.647139,1.26741,152.087
829,-0.388406,-1.2776,152.878
830,0.18458,-0.904933,154.065
831,-0.173893,-0.529745,154.192
832,0.126365,0.335639,154.235
833,0.67061,0.683362,154.236
834,0.404714,0.446915,154.237
835,0.173886,0.925382,154.802
836,-0.100034,-0.0647914,154.803
837,0.156327,1.27174,156.047
838,-0.459441,-1.28368,156.727
839,-0.0469431,-0.925449,157.499
840,-0.427911,-0.584144,157.523
841,0.164927,0.244652,157.529
842,0.692714,0.74096,157.532
