t,predict_test,teacher
501,0.170233,0.164706,3.05475e-05
502,0.121098,0.117647,4.24576e-05
503,0.128974,0.12549,5.45928e-05
504,0.201804,0.196078,8.73709e-05
505,0.344738,0.337255,0.000143369
506,0.403093,0.403922,0.000144055
507,0.277682,0.286275,0.00021788
508,0.170176,0.164706,0.000247807
509,0.118403,0.113725,0.000269687
510,0.116932,0.117647,0.000270198
511,0.189114,0.192157,0.000279459
512,0.356941,0.341176,0.000527979
513,0.419916,0.411765,0.000594421
514,0.282247,0.286275,0.000610641
515,0.169711,0.160784,0.00069032
516,0.116073,0.109804,0.000729623
517,0.114002,0.117647,0.000742911
518,0.193575,0.192157,0.000744922
519,0.355702,0.345098,0.000857368
520,0.424284,0.427451,0.000867397
521,0.286074,0.290196,0.00088439
522,0.163393,0.156863,0.000927029
523,0.1086,0.109804,0.000928478
524,0.119489,0.113725,0.000961697
525,0.18095,0.180392,0.000962008
526,0.344922,0.345098,0.000962039
527,0.452756,0.443137,0.00105455
528,0.295011,0.298039,0.00106372
529,0.159677,0.160784,0.00106495
530,0.115769,0.109804,0.00110053
531,0.116242,0.113725,0.00110686
532,0.176255,0.180392,0.00112397
533,0.34068,0.345098,0.00114349
534,0.451041,0.45098,0.00114349
535,0.298399,0.309804,0.00127357
536,0.163746,0.164706,0.00127449
537,0.114632,0.105882,0.00135104
538,0.10327,0.109804,0.00139374
539,0.173191,0.172549,0.00139415
540,0.334424,0.341176,0.00143975
541,0.464069,0.466667,0.0014465
542,0.309946,0.32549,0.00168812
543,0.165381,0.164706,0.00168858
544,0.109417,0.105882,0.00170107
545,0.108027,0.105882,0.00170567
546,0.161293,0.164706,0.00171732
547,0.321795,0.333333,0.00185045
548,0.4757,0.482353,0.00189472
549,0.322254,0.34902,0.00261114
550,0.16781,0.176471,0.00268615
551,0.114367,0.109804,0.00270698
552,0.106623,0.101961,0.00272871
553,0.141359,0.152941,0.00286286
554,0.300842,0.313725,0.00302883
555,0.484231,0.490196,0.00306442
556,0.346797,0.368627,0.003541
557,0.175165,0.184314,0.0036247
558,0.116794,0.109804,0.00367357
559,0.105906,0.101961,0.00368914
560,0.139412,0.145098,0.00372147
561,0.276815,0.294118,0.00402086
562,0.477368,0.494118,0.00430142
563,0.371065,0.396078,0.00492711
564,0.182115,0.196078,0.00512207
565,0.115573,0.109804,0.00515536
566,0.101027,0.0980392,0.00516428
567,0.130057,0.137255,0.00521609
568,0.260784,0.27451,0.00540448
569,0.469413,0.490196,0.00583641
570,0.396917,0.431373,0.00702362
571,0.195441,0.211765,0.00729006
572,0.113896,0.113725,0.00729009
573,0.103412,0.0980392,0.00731896
574,0.126916,0.12549,0.007321
575,0.226005,0.243137,0.00761451
576,0.452099,0.478431,0.00830791
577,0.440874,0.470588,0.00919082
578,0.210225,0.239216,0.0100313
579,0.117708,0.12549,0.0100918
580,0.114119,0.0941176,0.0104919
581,0.103048,0.113725,0.0106059
582,0.197086,0.219608,0.0111131
583,0.433268,0.45098,0.0114269
584,0.46656,0.505882,0.0129731
585,0.236046,0.262745,0.013686
586,0.121314,0.12549,0.0137034
587,0.104696,0.0901961,0.0139137
588,0.103684,0.101961,0.0139166
589,0.169174,0.188235,0.0142799
590,0.396171,0.407843,0.0144162
591,0.510207,0.537255,0.0151478
592,0.27929,0.305882,0.0158549
593,0.13146,0.141176,0.0159493
594,0.106069,0.0901961,0.0162013
595,0.0922426,0.0980392,0.0162349
596,0.152867,0.160784,0.0162976
597,0.337315,0.364706,0.0170478
598,0.531533,0.556863,0.0176894
599,0.319994,0.352941,0.0187749
600,0.139444,0.14902,0.0188666
601,0.0947244,0.0941176,0.018867
602,0.107021,0.0862745,0.0192974
603,0.113698,0.137255,0.0198523
604,0.294257,0.305882,0.0199875
605,0.534514,0.556863,0.0204869
606,0.385408,0.407843,0.0209903
607,0.164327,0.176471,0.0211377
608,0.100659,0.0941176,0.0211805
609,0.0906504,0.0784314,0.0213298
610,0.0941526,0.109804,0.0215748
611,0.233612,0.247059,0.0217556
612,0.517219,0.521569,0.0217745
613,0.467149,0.486275,0.0221403
614,0.20175,0.211765,0.0222406
615,0.0959136,0.0980392,0.0222451
616,0.0838088,0.0784314,0.022274
617,0.0988879,0.0941176,0.0222968
618,0.176738,0.196078,0.0226708
619,0.451788,0.466667,0.0228922
620,0.538783,0.54902,0.022997
621,0.245364,0.262745,0.0232991
622,0.105655,0.117647,0.0234429
623,0.0992796,0.0784314,0.0238775
624,0.0799394,0.0823529,0.0238833
625,0.131101,0.14902,0.0242044
626,0.363571,0.384314,0.0246347
627,0.592393,0.592157,0.0246347
628,0.318279,0.337255,0.0249948
629,0.125914,0.133333,0.0250499
630,0.0877532,0.0784314,0.0251368
