t,predict_test,teacher
501,0.170124,0.164706,2.93612e-05
502,0.12422,0.117647,7.25676e-05
503,0.121488,0.12549,8.85869e-05
504,0.201388,0.196078,0.00011678
505,0.349205,0.337255,0.000259585
506,0.398247,0.403922,0.000291785
507,0.28184,0.286275,0.000311454
508,0.168592,0.164706,0.000326552
509,0.122652,0.113725,0.000406228
510,0.113367,0.117647,0.000424544
511,0.189001,0.192157,0.000434504
512,0.360929,0.341176,0.00082468
513,0.412084,0.411765,0.000824782
514,0.284273,0.286275,0.000828788
515,0.169152,0.160784,0.000898804
516,0.11884,0.109804,0.000980458
517,0.108871,0.117647,0.00105747
518,0.194359,0.192157,0.00106232
519,0.360325,0.345098,0.00129417
520,0.41782,0.427451,0.00138693
521,0.288887,0.290196,0.00138864
522,0.163092,0.156863,0.00142745
523,0.112691,0.109804,0.00143579
524,0.114743,0.113725,0.00143682
525,0.182707,0.180392,0.00144218
526,0.350462,0.345098,0.00147095
527,0.440922,0.443137,0.00147586
528,0.294554,0.298039,0.00148801
529,0.159748,0.160784,0.00148908
530,0.116833,0.109804,0.00153848
531,0.113202,0.113725,0.00153876
532,0.181318,0.180392,0.00153961
533,0.342628,0.345098,0.00154571
534,0.439926,0.45098,0.0016679
535,0.301657,0.309804,0.00173428
536,0.161336,0.164706,0.00174564
537,0.115597,0.105882,0.00184002
538,0.103594,0.109804,0.00187857
539,0.180055,0.172549,0.00193491
540,0.335815,0.341176,0.00196365
541,0.454938,0.466667,0.00210121
542,0.313287,0.32549,0.00225012
543,0.16323,0.164706,0.0022523
544,0.110168,0.105882,0.00227066
545,0.104405,0.105882,0.00227284
546,0.168118,0.164706,0.00228449
547,0.328134,0.333333,0.00231152
548,0.463627,0.482353,0.00266219
549,0.326672,0.34902,0.0031616
550,0.165084,0.176471,0.00329126
551,0.110973,0.109804,0.00329263
552,0.105635,0.101961,0.00330613
553,0.149288,0.152941,0.00331948
554,0.307889,0.313725,0.00335354
555,0.470123,0.490196,0.00375648
556,0.349516,0.368627,0.00412175
557,0.173612,0.184314,0.00423628
558,0.111605,0.109804,0.00423952
559,0.10429,0.101961,0.00424495
560,0.149152,0.145098,0.00426138
561,0.28521,0.294118,0.00434072
562,0.464914,0.494118,0.00519359
563,0.374319,0.396078,0.00566707
564,0.179882,0.196078,0.00592939
565,0.110638,0.109804,0.00593009
566,0.100568,0.0980392,0.00593649
567,0.141579,0.137255,0.00595518
568,0.272225,0.27451,0.0059604
569,0.456578,0.490196,0.00709055
570,0.399333,0.431373,0.00811707
571,0.193455,0.211765,0.00845232
572,0.10743,0.113725,0.00849195
573,0.098018,0.0980392,0.00849195
574,0.139246,0.12549,0.00868117
575,0.238149,0.243137,0.00870606
576,0.442888,0.478431,0.00996937
577,0.435317,0.470588,0.0112134
578,0.211602,0.239216,0.0119759
579,0.108941,0.12549,0.0122498
580,0.103137,0.0941176,0.0123312
581,0.117066,0.113725,0.0123423
582,0.212653,0.219608,0.0123907
583,0.42373,0.45098,0.0131333
584,0.461313,0.505882,0.0151197
585,0.245032,0.262745,0.0154334
586,0.113804,0.12549,0.01557
587,0.0913084,0.0901961,0.0155712
588,0.112518,0.101961,0.0156827
589,0.184154,0.188235,0.0156993
590,0.399403,0.407843,0.0157706
591,0.4985,0.537255,0.0172725
592,0.285695,0.305882,0.0176801
593,0.120555,0.141176,0.0181054
594,0.0905382,0.0901961,0.0181055
595,0.101803,0.0980392,0.0181196
596,0.172861,0.160784,0.0182655
597,0.340769,0.364706,0.0188385
598,0.522317,0.556863,0.0200318
599,0.333355,0.352941,0.0204155
600,0.133444,0.14902,0.0206581
601,0.084732,0.0941176,0.0207462
602,0.101289,0.0862745,0.0209716
603,0.130282,0.137255,0.0210202
604,0.308276,0.305882,0.021026
605,0.51869,0.556863,0.0224831
606,0.389693,0.407843,0.0228125
607,0.158129,0.176471,0.0231489
608,0.0913587,0.0941176,0.0231565
609,0.0904223,0.0784314,0.0233003
610,0.109732,0.109804,0.0233003
611,0.244449,0.247059,0.0233071
612,0.510376,0.521569,0.0234324
613,0.463958,0.486275,0.0239304
614,0.198125,0.211765,0.0241165
615,0.094813,0.0980392,0.0241269
616,0.0773977,0.0784314,0.024128
617,0.113718,0.0941176,0.0245121
618,0.184369,0.196078,0.0246493
619,0.456294,0.466667,0.0247568
620,0.531629,0.54902,0.0250593
621,0.244948,0.262745,0.025376
622,0.0997435,0.117647,0.0256965
623,0.0815031,0.0784314,0.025706
624,0.0965718,0.0823529,0.0259082
625,0.144131,0.14902,0.0259321
626,0.364657,0.384314,0.0263184
627,0.591505,0.592157,0.0263189
628,0.325681,0.337255,0.0264528
629,0.126106,0.133333,0.0265051
630,0.0729498,0.0784314,0.0265351
631,0.0848946,0.0745098,0.0266429
632,0.119837,0.121569,0.0266459
633,0.296667,0.298039,0.0266478
