t,predict_test,teacher
501,0.160757,0.164706,1.5594e-05
502,0.120967,0.117647,2.66153e-05
503,0.132991,0.12549,8.28816e-05
504,0.19899,0.196078,9.13583e-05
505,0.344992,0.337255,0.000151228
506,0.416131,0.403922,0.000300295
507,0.284851,0.286275,0.000302322
508,0.158781,0.164706,0.000337422
509,0.118191,0.113725,0.000357361
510,0.129221,0.117647,0.000491324
511,0.190524,0.192157,0.000493991
512,0.347299,0.341176,0.000531483
513,0.430014,0.411765,0.000864515
514,0.286836,0.286275,0.000864831
515,0.156149,0.160784,0.000886321
516,0.112481,0.109804,0.000893489
517,0.125859,0.117647,0.000960928
518,0.19101,0.192157,0.000962244
519,0.351335,0.345098,0.00100115
520,0.432308,0.427451,0.00102473
521,0.29279,0.290196,0.00103146
522,0.152613,0.156863,0.00104953
523,0.108682,0.109804,0.00105078
524,0.119212,0.113725,0.00108089
525,0.185537,0.180392,0.00110735
526,0.343135,0.345098,0.0011112
527,0.453901,0.443137,0.00122705
528,0.301053,0.298039,0.00123614
529,0.153055,0.160784,0.00129588
530,0.107248,0.109804,0.00130241
531,0.114333,0.113725,0.00130278
532,0.180081,0.180392,0.00130288
533,0.338937,0.345098,0.00134084
534,0.450943,0.45098,0.00134084
535,0.306124,0.309804,0.00135439
536,0.157328,0.164706,0.00140882
537,0.108032,0.105882,0.00141345
538,0.108852,0.109804,0.00141435
539,0.167894,0.172549,0.00143602
540,0.330488,0.341176,0.00155025
541,0.463238,0.466667,0.00156201
542,0.320733,0.32549,0.00158464
543,0.1612,0.164706,0.00159694
544,0.103668,0.105882,0.00160184
545,0.100964,0.105882,0.00162603
546,0.158181,0.164706,0.0016686
547,0.31922,0.333333,0.0018678
548,0.471741,0.482353,0.00198042
549,0.337342,0.34902,0.00211678
550,0.17019,0.176471,0.00215623
551,0.109864,0.109804,0.00215623
552,0.0989041,0.101961,0.00216557
553,0.144528,0.152941,0.00223636
554,0.293348,0.313725,0.00265159
555,0.473897,0.490196,0.00291725
556,0.36386,0.368627,0.00293998
557,0.178395,0.184314,0.00297501
558,0.109943,0.109804,0.00297503
559,0.0936921,0.101961,0.0030434
560,0.135931,0.145098,0.00312743
561,0.277935,0.294118,0.00338932
562,0.465591,0.494118,0.00420308
563,0.393156,0.396078,0.00421162
564,0.189258,0.196078,0.00425813
565,0.115304,0.109804,0.00428838
566,0.089517,0.0980392,0.00436101
567,0.121171,0.137255,0.0046197
568,0.258975,0.27451,0.00486104
569,0.45926,0.490196,0.00581806
570,0.415719,0.431373,0.0060631
571,0.209662,0.211765,0.00606752
572,0.119374,0.113725,0.00609944
573,0.0893244,0.0980392,0.00617538
574,0.110818,0.12549,0.00639066
575,0.230867,0.243137,0.00654122
576,0.439576,0.478431,0.00805095
577,0.457898,0.470588,0.00821198
578,0.229538,0.239216,0.00830564
579,0.130501,0.12549,0.00833076
580,0.0974505,0.0941176,0.00834187
581,0.100622,0.113725,0.00851358
582,0.196777,0.219608,0.00903481
583,0.417054,0.45098,0.0101858
584,0.471245,0.505882,0.0113856
585,0.264071,0.262745,0.0113873
586,0.132051,0.12549,0.0114304
587,0.0893252,0.0901961,0.0114311
588,0.0867106,0.101961,0.0116637
589,0.170911,0.188235,0.0119638
590,0.388368,0.407843,0.0123431
591,0.499395,0.537255,0.0137765
592,0.304521,0.305882,0.0137783
593,0.138321,0.141176,0.0137865
594,0.0989981,0.0901961,0.013864
595,0.0838011,0.0980392,0.0140667
596,0.147515,0.160784,0.0142428
597,0.336808,0.364706,0.0150211
598,0.513407,0.556863,0.0169095
599,0.350636,0.352941,0.0169148
600,0.154642,0.14902,0.0169464
601,0.0948138,0.0941176,0.0169469
602,0.0761562,0.0862745,0.0170493
603,0.123783,0.137255,0.0172308
604,0.293317,0.305882,0.0173887
605,0.51676,0.556863,0.0189969
606,0.412937,0.407843,0.0190229
607,0.17127,0.176471,0.0190499
608,0.104244,0.0941176,0.0191524
609,0.0748709,0.0784314,0.0191651
610,0.10074,0.109804,0.0192473
611,0.234743,0.247059,0.019399
612,0.502669,0.521569,0.0197562
613,0.472604,0.486275,0.019943
614,0.212234,0.211765,0.0199433
615,0.104259,0.0980392,0.019982
616,0.0702226,0.0784314,0.0200493
617,0.0832845,0.0941176,0.0201667
618,0.18883,0.196078,0.0202192
619,0.444986,0.466667,0.0206893
620,0.531429,0.54902,0.0209987
621,0.255185,0.262745,0.0210559
622,0.1147,0.117647,0.0210646
623,0.0819395,0.0784314,0.0210769
624,0.078057,0.0823529,0.0210953
625,0.148463,0.14902,0.0210957
626,0.35976,0.384314,0.0216985
627,0.572458,0.592157,0.0220866
628,0.329652,0.337255,0.0221444
629,0.137232,0.133333,0.0221596
630,0.079477,0.0784314,0.0221607
631,0.0651203,0.0745098,0.0222488
632,0.114553,0.121569,0.022298
633,0.291536,0.298039,0.0223403
634,0.557912,0.592157,0.0235131
635,0.433675,0.435294,0.0235157
636,0.168362,0.168627,0.0235157
637,0.0935671,0.0823529,0.0236415
638,0.0629507,0.0705882,0.0236998
639,0.0847412,0.0941176,0.0237878
640,0.212099,0.219608,0.0238441
641,0.508256,0.52549,0.0241412
642,0.523451,0.537255,0.0243317
643,0.220759,0.223529,0.0243394
644,0.100008,0.0941176,0.0243741
645,0.0637621,0.0666667,0.0243825
646,0.0675415,0.0823529,0.0246019
647,0.159814,0.156863,0.0246106
648,0.403857,0.419608,0.0248587
649,0.587808,0.615686,0.0256359
650,0.312377,0.317647,0.0256637
651,0.118528,0.121569,0.0256729
652,0.0784412,0.0705882,0.0257346
653,0.0612164,0.0666667,0.0257643
654,0.106614,0.113725,0.0258149
655,0.290555,0.301961,0.0259449
656,0.595135,0.619608,0.0265439
657,0.432297,0.443137,0.0266614
658,0.164036,0.160784,0.026672
659,0.086607,0.0784314,0.0267388
660,0.0596573,0.0666667,0.0267879
661,0.0811652,0.0901961,0.0268695
662,0.20721,0.207843,0.0268699
663,0.506089,0.529412,0.0274138
664,0.548987,0.584314,0.0286618
665,0.23779,0.239216,0.0286639
666,0.106819,0.0980392,0.028741
667,0.0722158,0.0705882,0.0287436
668,0.0639991,0.0745098,0.0288541
669,0.138657,0.141176,0.0288604
670,0.368257,0.384314,0.0291183
671,0.605683,0.662745,0.0323744
672,0.367486,0.360784,0.0324193
673,0.130611,0.129412,0.0324207
674,0.0885646,0.0745098,0.0326183
675,0.0590167,0.0666667,0.0326768
676,0.093809,0.0980392,0.0326947
677,0.242843,0.247059,0.0327125
678,0.563318,0.607843,0.0346949
679,0.523918,0.537255,0.0348728
680,0.190924,0.2,0.0349552
681,0.112821,0.0862745,0.0356599
682,0.0673851,0.0627451,0.0356815
683,0.0616275,0.0745098,0.0358474
684,0.149318,0.152941,0.0358605
685,0.415536,0.435294,0.0362509
686,0.622473,0.678431,0.0393823
687,0.326981,0.321569,0.0394116
688,0.115381,0.117647,0.0394167
689,0.0910828,0.0705882,0.0398368
690,0.0592372,0.0666667,0.0398919
691,0.100053,0.0980392,0.039896
692,0.253362,0.262745,0.0399841
693,0.591266,0.643137,0.0426746
694,0.517286,0.52549,0.042742
695,0.176724,0.180392,0.0427554
696,0.109599,0.0862745,0.0432994
697,0.0731754,0.0588235,0.0435054
698,0.0656316,0.0745098,0.0435842
699,0.154811,0.145098,0.0436786
700,0.411426,0.439216,0.0444508
701,0.649637,0.705882,0.0476144
702,0.331554,0.329412,0.047619
703,0.115477,0.109804,0.0476512
704,0.0812307,0.0666667,0.0478633
705,0.0506665,0.054902,0.0478812
706,0.0815277,0.0862745,0.0479037
707,0.229469,0.235294,0.0479377
708,0.603864,0.639216,0.0491874
709,0.551958,0.572549,0.0496114
710,0.18608,0.192157,0.0496483
711,0.102257,0.0784314,0.050216
712,0.0618718,0.054902,0.0502646
713,0.0526179,0.0627451,0.0503671
714,0.126578,0.117647,0.0504469
715,0.359638,0.372549,0.0506136
716,0.695194,0.741176,0.052728
717,0.399043,0.388235,0.0528448
718,0.1158,0.121569,0.0528781
719,0.0865431,0.0627451,0.0534444
720,0.0496823,0.0509804,0.0534461
721,0.0671403,0.0705882,0.053458
722,0.181977,0.160784,0.0539071
723,0.501092,0.537255,0.0552149
724,0.686391,0.698039,0.0553506
725,0.239843,0.25098,0.0554746
726,0.0939909,0.0862745,0.0555341
727,0.0632805,0.054902,0.0556043
728,0.0443401,0.0509804,0.0556484
729,0.0886528,0.0784314,0.0557529
730,0.238218,0.231373,0.0557998
731,0.653571,0.690196,0.0571412
732,0.593943,0.588235,0.0571737
733,0.161071,0.172549,0.0573055
734,0.0948007,0.0705882,0.0578917
735,0.0577065,0.0470588,0.0580051
736,0.0457673,0.0470588,0.0580068
737,0.0983726,0.0862745,0.0581531
738,0.295509,0.301961,0.0581947
739,0.766023,0.780392,0.0584012
740,0.482002,0.482353,0.0584013
741,0.126311,0.129412,0.058411
742,0.0770192,0.054902,0.0589001
743,0.0421591,0.0431373,0.0589011
744,0.0449701,0.0431373,0.0589044
745,0.101907,0.0901961,0.0590416
746,0.339011,0.337255,0.0590447
747,0.820515,0.835294,0.0592631
748,0.442572,0.439216,0.0592744
749,0.101877,0.105882,0.0592904
750,0.0561891,0.0470588,0.0593738
751,0.0356852,0.0392157,0.0593862
752,0.0389138,0.0392157,0.0593863
753,0.0937233,0.0823529,0.0595156
754,0.327871,0.301961,0.0601869
755,0.838167,0.866667,0.0609991
756,0.522086,0.490196,0.0620161
757,0.0932969,0.109804,0.0622886
758,0.0644646,0.0470588,0.0625916
759,0.0400695,0.0392157,0.0625923
760,0.0333932,0.0313725,0.0625964
761,0.0677887,0.0509804,0.0628789
762,0.19645,0.168627,0.063653
763,0.723889,0.729412,0.0636835
764,0.788527,0.764706,0.064251
765,0.159121,0.172549,0.0644313
766,0.0704125,0.054902,0.0646719
767,0.0544467,0.0352941,0.0650387
768,0.0259271,0.0313725,0.0650683
769,0.0407039,0.027451,0.065244
770,0.0567471,0.0392157,0.0655513
771,0.188661,0.145098,0.067449
772,0.727181,0.768627,0.0691669
773,0.860364,0.85098,0.0692549
774,0.168152,0.168627,0.0692552
775,0.0472925,0.0470588,0.0692552
776,0.0544696,0.0313725,0.0697887
777,0.0194138,0.0313725,0.0699317
778,0.0213117,0.0235294,0.0699366
779,0.0280176,0.0196078,0.0700073
780,0.0689927,0.027451,0.071733
781,0.217132,0.0705882,0.0932083
782,0.35349,0.211765,0.113294
783,0.436093,0.203922,0.167198
784,0.172315,0.156863,0.167437
785,0.135139,0.145098,0.167536
786,0.139523,0.160784,0.167988
787,0.142314,0.2,0.171316
788,0.207227,0.254902,0.173589
789,0.239608,0.290196,0.176148
790,0.224631,0.282353,0.17948
791,0.201156,0.235294,0.180645
792,0.192395,0.196078,0.180659
793,0.199825,0.184314,0.180899
794,0.219931,0.211765,0.180966
795,0.26245,0.258824,0.180979
796,0.296588,0.298039,0.180981
797,0.281708,0.282353,0.180982
798,0.229352,0.231373,0.180986
799,0.189518,0.192157,0.180993
800,0.183617,0.188235,0.181014
801,0.21142,0.219608,0.181081
802,0.26478,0.270588,0.181115
803,0.295889,0.309804,0.181308
804,0.277419,0.282353,0.181333
805,0.217932,0.227451,0.181423
806,0.183736,0.192157,0.181494
807,0.182756,0.188235,0.181524
808,0.211703,0.223529,0.181664
809,0.268836,0.278431,0.181756
810,0.299916,0.309804,0.181854
811,0.270385,0.282353,0.181997
812,0.218077,0.219608,0.182
813,0.177861,0.188235,0.182107
814,0.181437,0.192157,0.182222
815,0.219195,0.227451,0.18229
816,0.272767,0.286275,0.182473
817,0.303037,0.313725,0.182587
818,0.266851,0.27451,0.182646
819,0.207914,0.219608,0.182782
820,0.180996,0.184314,0.182793
821,0.180859,0.188235,0.182848
822,0.218343,0.235294,0.183135
823,0.28451,0.294118,0.183227
824,0.303634,0.321569,0.183549
825,0.267472,0.266667,0.18355
826,0.19805,0.211765,0.183738
827,0.175207,0.176471,0.183739
828,0.178864,0.188235,0.183827
829,0.2246,0.235294,0.183942
830,0.291365,0.305882,0.184152
831,0.313602,0.317647,0.184169
832,0.253976,0.262745,0.184246
833,0.193905,0.2,0.184283
834,0.167261,0.172549,0.184311
835,0.178887,0.184314,0.18434
836,0.230578,0.243137,0.184498
837,0.303933,0.313725,0.184594
838,0.314934,0.32549,0.184705
839,0.251973,0.254902,0.184714
840,0.183721,0.192157,0.184785
841,0.161617,0.168627,0.184834
842,0.179441,0.188235,0.184911
843,0.239231,0.247059,0.184973
844,0.309467,0.32549,0.185229
845,0.320051,0.321569,0.185232
846,0.239518,0.25098,0.185363
847,0.181093,0.184314,0.185374
848,0.158423,0.164706,0.185413
849,0.178996,0.188235,0.185498
850,0.246275,0.258824,0.185656
851,0.322259,0.337255,0.185881
852,0.318874,0.321569,0.185888
853,0.230614,0.243137,0.186045
854,0.174425,0.176471,0.186049
855,0.153844,0.160784,0.186097
856,0.180032,0.188235,0.186164
857,0.253683,0.266667,0.186333
858,0.333103,0.341176,0.186398
859,0.314256,0.321569,0.186452
860,0.226723,0.235294,0.186525
861,0.167121,0.172549,0.186555
862,0.152517,0.156863,0.186574
863,0.181537,0.192157,0.186686
864,0.261784,0.278431,0.186963
865,0.343123,0.352941,0.18706
866,0.310478,0.321569,0.187183
867,0.220398,0.223529,0.187193
868,0.157809,0.164706,0.18724
869,0.147933,0.156863,0.18732
870,0.185751,0.196078,0.187427
871,0.2726,0.286275,0.187614
872,0.348844,0.360784,0.187756
873,0.30872,0.321569,0.187921
874,0.214871,0.223529,0.187996
875,0.159075,0.160784,0.187999
876,0.14666,0.14902,0.188005
877,0.179778,0.196078,0.18827
878,0.277243,0.294118,0.188555
879,0.360108,0.372549,0.18871
880,0.310334,0.321569,0.188836
881,0.209379,0.211765,0.188842
882,0.147441,0.156863,0.188931
883,0.143043,0.14902,0.188966
884,0.184396,0.2,0.18921
885,0.286576,0.301961,0.189447
886,0.36426,0.384314,0.189849
887,0.31158,0.321569,0.189948
888,0.203621,0.211765,0.190015
889,0.149962,0.152941,0.190024
890,0.140877,0.14902,0.19009
891,0.182699,0.203922,0.19054
892,0.292199,0.313725,0.191004
893,0.369749,0.392157,0.191506
894,0.307874,0.317647,0.191601
895,0.198859,0.203922,0.191627
896,0.145142,0.14902,0.191642
897,0.138211,0.145098,0.191689
898,0.18306,0.203922,0.192125
899,0.299107,0.321569,0.192629
900,0.379918,0.4,0.193032
901,0.305223,0.317647,0.193187
902,0.195567,0.196078,0.193187
903,0.138234,0.141176,0.193196
904,0.131511,0.145098,0.19338
905,0.185057,0.207843,0.1939
906,0.309594,0.329412,0.194292
907,0.382265,0.411765,0.195163
908,0.30937,0.313725,0.195182
909,0.186526,0.196078,0.195273
910,0.142122,0.137255,0.195296
911,0.130614,0.141176,0.195408
912,0.181187,0.2,0.195762
913,0.307473,0.337255,0.196649
914,0.400856,0.419608,0.197001
915,0.305394,0.313725,0.19707
916,0.18299,0.184314,0.197072
917,0.128972,0.133333,0.197091
918,0.12391,0.133333,0.19718
919,0.180221,0.2,0.197571
920,0.317984,0.341176,0.198109
921,0.409162,0.431373,0.198602
922,0.307149,0.317647,0.198712
923,0.180691,0.184314,0.198725
924,0.128879,0.129412,0.198726
925,0.121206,0.129412,0.198793
926,0.174759,0.196078,0.199247
927,0.317534,0.345098,0.200007
928,0.419049,0.443137,0.200588
929,0.311333,0.317647,0.200627
930,0.175861,0.180392,0.200648
931,0.124619,0.12549,0.200649
932,0.116503,0.12549,0.200729
933,0.171961,0.192157,0.201137
934,0.319807,0.345098,0.201777
935,0.426417,0.45098,0.20238
936,0.31503,0.32549,0.20249
937,0.177412,0.180392,0.202499
938,0.123393,0.121569,0.202502
939,0.11213,0.121569,0.202591
940,0.165204,0.184314,0.202956
941,0.314458,0.337255,0.203476
942,0.433389,0.458824,0.204123
943,0.327496,0.333333,0.204157
944,0.175847,0.176471,0.204157
945,0.115779,0.117647,0.204161
946,0.105692,0.117647,0.204304
947,0.160269,0.168627,0.204374
948,0.303554,0.329412,0.205042
949,0.453486,0.466667,0.205216
950,0.336649,0.341176,0.205236
951,0.173168,0.176471,0.205247
952,0.111601,0.113725,0.205252
953,0.100269,0.113725,0.205433
954,0.155256,0.160784,0.205463
955,0.298776,0.313725,0.205687
956,0.453667,0.478431,0.2063
957,0.363694,0.356863,0.206347
958,0.17469,0.184314,0.206439
959,0.115385,0.109804,0.206471
960,0.0959064,0.105882,0.20657
961,0.13982,0.152941,0.206742
962,0.288536,0.301961,0.206923
963,0.458768,0.482353,0.207479
964,0.376954,0.380392,0.207491
965,0.185539,0.188235,0.207498
966,0.110773,0.105882,0.207522
967,0.0893883,0.0941176,0.207544
968,0.122898,0.137255,0.20775
969,0.267839,0.282353,0.207961
970,0.4754,0.482353,0.208009
971,0.39642,0.403922,0.208066
972,0.195299,0.196078,0.208066
973,0.104742,0.109804,0.208092
974,0.0888981,0.0941176,0.208119
975,0.12125,0.12549,0.208137
976,0.246351,0.258824,0.208293
977,0.464834,0.47451,0.208386
978,0.424847,0.435294,0.208495
979,0.212424,0.215686,0.208506
980,0.112267,0.109804,0.208512
981,0.0848365,0.0862745,0.208514
982,0.104032,0.117647,0.208699
983,0.222927,0.231373,0.208771
984,0.448626,0.462745,0.20897
985,0.459192,0.466667,0.209026
986,0.231771,0.235294,0.209038
987,0.113023,0.113725,0.209039
988,0.0829386,0.0862745,0.20905
989,0.0959061,0.105882,0.20915
990,0.197016,0.207843,0.209267
991,0.426769,0.435294,0.209339
992,0.482464,0.501961,0.20972
993,0.2635,0.266667,0.20973
994,0.121714,0.12549,0.209744
995,0.0869935,0.0862745,0.209744
996,0.0898611,0.0980392,0.209811
