t,predict_test,teacher
501,0.132567,0.12549,5.0088e-05
502,0.199155,0.196078,5.95519e-05
503,0.33788,0.337255,5.99426e-05
504,0.402557,0.403922,6.18035e-05
505,0.271426,0.286275,0.000282281
506,0.168511,0.164706,0.000296762
507,0.124564,0.113725,0.000414245
508,0.131035,0.117647,0.000593478
509,0.200088,0.192157,0.000656387
510,0.345848,0.341176,0.00067821
511,0.421172,0.411765,0.000766716
512,0.274986,0.286275,0.000894139
513,0.166959,0.160784,0.00093227
514,0.121095,0.109804,0.00105975
515,0.123144,0.117647,0.00108997
516,0.192767,0.192157,0.00109034
517,0.348936,0.345098,0.00110507
518,0.425766,0.427451,0.00110791
519,0.27645,0.290196,0.00129686
520,0.164993,0.156863,0.00136297
521,0.113324,0.109804,0.00137536
522,0.116863,0.113725,0.0013852
523,0.186933,0.180392,0.00142798
524,0.344109,0.345098,0.00142896
525,0.437069,0.443137,0.00146578
526,0.290632,0.298039,0.00152066
527,0.161959,0.160784,0.00152204
528,0.108614,0.109804,0.00152345
529,0.109789,0.113725,0.00153895
530,0.17687,0.180392,0.00155136
531,0.33581,0.345098,0.00163762
532,0.44426,0.45098,0.00168279
533,0.301218,0.309804,0.0017565
534,0.166667,0.164706,0.00176035
535,0.106893,0.105882,0.00176137
536,0.109091,0.109804,0.00176188
537,0.174881,0.172549,0.00176732
538,0.333669,0.341176,0.00182369
539,0.451221,0.466667,0.00206225
540,0.314109,0.32549,0.00219178
541,0.170089,0.164706,0.00222076
542,0.102352,0.105882,0.00223322
543,0.102594,0.105882,0.00224404
544,0.161669,0.164706,0.00225326
545,0.319747,0.333333,0.00243786
546,0.457352,0.482353,0.00306292
547,0.333342,0.34902,0.00330871
548,0.172928,0.176471,0.00332126
549,0.0985301,0.109804,0.00344836
550,0.0963208,0.101961,0.00348017
551,0.157972,0.152941,0.00350548
552,0.305195,0.313725,0.00357825
553,0.465898,0.490196,0.00416864
554,0.366241,0.368627,0.00417433
555,0.183647,0.184314,0.00417478
556,0.104317,0.109804,0.00420489
557,0.0900016,0.101961,0.00434791
558,0.142579,0.145098,0.00435426
559,0.280128,0.294118,0.00454996
560,0.454065,0.494118,0.00615415
561,0.387595,0.396078,0.00622611
562,0.192817,0.196078,0.00623675
563,0.106005,0.109804,0.00625118
564,0.0867429,0.0980392,0.00637879
565,0.135051,0.137255,0.00638364
566,0.258202,0.27451,0.00664958
567,0.445361,0.490196,0.00865977
568,0.408987,0.431373,0.00916087
569,0.204516,0.211765,0.00921342
570,0.112489,0.113725,0.00921494
571,0.0798532,0.0980392,0.00954567
572,0.123069,0.12549,0.00955154
573,0.237765,0.243137,0.0095804
574,0.423258,0.478431,0.0126245
575,0.441329,0.470588,0.0134806
576,0.223612,0.239216,0.0137241
577,0.121728,0.12549,0.0137382
578,0.0734309,0.0941176,0.0141662
579,0.111423,0.113725,0.0141715
580,0.213453,0.219608,0.0142093
581,0.402952,0.45098,0.0165161
582,0.474841,0.505882,0.0174797
583,0.251307,0.262745,0.0176105
584,0.144718,0.12549,0.0179802
585,0.0720115,0.0901961,0.0183109
586,0.0897557,0.101961,0.0184599
587,0.17901,0.188235,0.018545
588,0.365213,0.407843,0.0203623
589,0.492677,0.537255,0.0223495
590,0.285463,0.305882,0.0227664
591,0.157324,0.141176,0.0230272
592,0.072636,0.0901961,0.0233355
593,0.0839318,0.0980392,0.0235345
594,0.167286,0.160784,0.0235768
595,0.331727,0.364706,0.0246644
596,0.493196,0.556863,0.0287179
597,0.343564,0.352941,0.0288058
598,0.166499,0.14902,0.0291113
599,0.0701353,0.0941176,0.0296865
600,0.0719357,0.0862745,0.0298921
601,0.128558,0.137255,0.0299677
602,0.278044,0.305882,0.0307427
603,0.494646,0.556863,0.0346136
604,0.400426,0.407843,0.0346686
605,0.176466,0.176471,0.0346686
606,0.0819978,0.0941176,0.0348155
607,0.0677863,0.0784314,0.0349288
608,0.119395,0.109804,0.0350208
609,0.239715,0.247059,0.0350747
610,0.484193,0.521569,0.0364716
611,0.479329,0.486275,0.0365199
612,0.195139,0.211765,0.0367963
613,0.107453,0.0980392,0.0368849
614,0.0655228,0.0784314,0.0370515
615,0.0915228,0.0941176,0.0370583
616,0.191133,0.196078,0.0370827
617,0.417658,0.466667,0.0394846
618,0.527714,0.54902,0.0399385
619,0.246656,0.262745,0.0401974
620,0.12375,0.117647,0.0402346
621,0.0574966,0.0784314,0.0406729
622,0.0729102,0.0823529,0.0407621
623,0.156736,0.14902,0.0408216
624,0.355426,0.384314,0.0416561
625,0.558596,0.592157,0.0427824
626,0.343839,0.337255,0.0428258
627,0.144044,0.133333,0.0429405
628,0.0590235,0.0784314,0.0433172
629,0.0631596,0.0745098,0.043446
630,0.112183,0.121569,0.0435341
631,0.275675,0.298039,0.0440343
