t,predict_test,teacher
501,0.542289,0.51508,0.000740349
502,0.6033,0.66014,0.00397121
503,0.548797,0.601267,0.00672424
504,0.447974,0.458017,0.00682509
505,0.347791,0.366507,0.00717537
506,0.431021,0.503886,0.0124846
507,0.47364,0.491417,0.0128006
508,0.398967,0.407311,0.0128702
509,0.444723,0.396775,0.0151692
510,0.493586,0.531997,0.0166447
511,0.465185,0.479897,0.0168611
512,0.454915,0.466776,0.0170018
513,0.545099,0.600192,0.020037
514,0.47411,0.496933,0.0205579
515,0.384258,0.375588,0.0206331
516,0.365959,0.359229,0.0206784
517,0.439071,0.487243,0.022999
518,0.428647,0.38423,0.0249719
519,0.408458,0.373359,0.0262038
520,0.415246,0.423293,0.0262685
521,0.465092,0.475595,0.0263788
522,0.547807,0.464227,0.0333645
523,0.570639,0.555351,0.0335982
524,0.498443,0.499353,0.0335991
525,0.446621,0.401398,0.0356441
526,0.398466,0.342646,0.0387601
527,0.448272,0.478344,0.0396644
528,0.401968,0.388069,0.0398576
529,0.374868,0.348026,0.0405781
530,0.34909,0.322822,0.0412681
531,0.614271,0.6097,0.041289
532,0.599787,0.655962,0.0444446
533,0.482415,0.502501,0.0448481
534,0.386893,0.401488,0.0450611
535,0.441008,0.476257,0.0463036
536,0.533856,0.510709,0.0468394
537,0.426943,0.404582,0.0473394
538,0.413831,0.367717,0.0494658
539,0.355878,0.337782,0.0497933
540,0.314302,0.29294,0.0502496
541,0.373818,0.384512,0.050364
542,0.341243,0.328987,0.0505142
543,0.277568,0.287028,0.0506037
544,0.350629,0.29995,0.0531721
545,0.370302,0.357372,0.0533393
546,0.411545,0.494601,0.0602376
547,0.334852,0.34066,0.0602714
548,0.446412,0.5715,0.0759184
549,0.394588,0.43849,0.0778458
550,0.374159,0.352325,0.0783225
551,0.273802,0.274629,0.0783232
552,0.264156,0.256607,0.0783802
553,0.333174,0.319638,0.0785634
554,0.376247,0.370403,0.0785976
555,0.30418,0.305508,0.0785993
556,0.317046,0.330285,0.0787746
557,0.256667,0.263228,0.0788177
558,0.354553,0.455751,0.0890587
559,0.455885,0.442439,0.0892395
560,0.322163,0.317657,0.0892598
561,0.209918,0.248346,0.0907366
562,0.244494,0.257128,0.0908962
563,0.271179,0.29239,0.0913461
564,0.224646,0.236459,0.0914856
565,0.236327,0.225141,0.0916108
566,0.196817,0.221407,0.0922154
567,0.254834,0.240909,0.0924094
568,0.319725,0.313919,0.0924431
569,0.315244,0.313906,0.0924449
570,0.319216,0.251864,0.0969812
