t,predict_test,teacher
501,-nan(ind),0.51508,-nan(ind)
502,-nan(ind),0.66014,-nan(ind)
503,-nan(ind),0.601267,-nan(ind)
504,-nan(ind),0.458017,-nan(ind)
505,-nan(ind),0.366507,-nan(ind)
506,-nan(ind),0.503886,-nan(ind)
507,-nan(ind),0.491417,-nan(ind)
508,-nan(ind),0.407311,-nan(ind)
509,-nan(ind),0.396775,-nan(ind)
510,-nan(ind),0.531997,-nan(ind)
511,-nan(ind),0.479897,-nan(ind)
512,-nan(ind),0.466776,-nan(ind)
513,-nan(ind),0.600192,-nan(ind)
514,-nan(ind),0.496933,-nan(ind)
515,-nan(ind),0.375588,-nan(ind)
516,-nan(ind),0.359229,-nan(ind)
517,-nan(ind),0.487243,-nan(ind)
518,-nan(ind),0.38423,-nan(ind)
519,-nan(ind),0.373359,-nan(ind)
520,-nan(ind),0.423293,-nan(ind)
521,-nan(ind),0.475595,-nan(ind)
522,-nan(ind),0.464227,-nan(ind)
523,-nan(ind),0.555351,-nan(ind)
524,-nan(ind),0.499353,-nan(ind)
525,-nan(ind),0.401398,-nan(ind)
526,-nan(ind),0.342646,-nan(ind)
527,-nan(ind),0.478344,-nan(ind)
528,-nan(ind),0.388069,-nan(ind)
529,-nan(ind),0.348026,-nan(ind)
530,-nan(ind),0.322822,-nan(ind)
531,-nan(ind),0.6097,-nan(ind)
532,-nan(ind),0.655962,-nan(ind)
533,-nan(ind),0.502501,-nan(ind)
534,-nan(ind),0.401488,-nan(ind)
535,-nan(ind),0.476257,-nan(ind)
536,-nan(ind),0.510709,-nan(ind)
537,-nan(ind),0.404582,-nan(ind)
538,-nan(ind),0.367717,-nan(ind)
539,-nan(ind),0.337782,-nan(ind)
540,-nan(ind),0.29294,-nan(ind)
541,-nan(ind),0.384512,-nan(ind)
542,-nan(ind),0.328987,-nan(ind)
543,-nan(ind),0.287028,-nan(ind)
544,-nan(ind),0.29995,-nan(ind)
545,-nan(ind),0.357372,-nan(ind)
546,-nan(ind),0.494601,-nan(ind)
547,-nan(ind),0.34066,-nan(ind)
548,-nan(ind),0.5715,-nan(ind)
549,-nan(ind),0.43849,-nan(ind)
550,-nan(ind),0.352325,-nan(ind)
551,-nan(ind),0.274629,-nan(ind)
552,-nan(ind),0.256607,-nan(ind)
553,-nan(ind),0.319638,-nan(ind)
554,-nan(ind),0.370403,-nan(ind)
555,-nan(ind),0.305508,-nan(ind)
556,-nan(ind),0.330285,-nan(ind)
557,-nan(ind),0.263228,-nan(ind)
558,-nan(ind),0.455751,-nan(ind)
559,-nan(ind),0.442439,-nan(ind)
560,-nan(ind),0.317657,-nan(ind)
561,-nan(ind),0.248346,-nan(ind)
562,-nan(ind),0.257128,-nan(ind)
563,-nan(ind),0.29239,-nan(ind)
564,-nan(ind),0.236459,-nan(ind)
565,-nan(ind),0.225141,-nan(ind)
566,-nan(ind),0.221407,-nan(ind)
567,-nan(ind),0.240909,-nan(ind)
568,-nan(ind),0.313919,-nan(ind)
569,-nan(ind),0.313906,-nan(ind)
570,-nan(ind),0.251864,-nan(ind)
571,-nan(ind),0.210675,-nan(ind)
572,-nan(ind),0.273004,-nan(ind)
573,-nan(ind),0.227685,-nan(ind)
574,-nan(ind),0.19825,-nan(ind)
575,-nan(ind),0.284396,-nan(ind)
576,-nan(ind),0.25933,-nan(ind)
577,-nan(ind),0.351018,-nan(ind)
578,-nan(ind),0.315836,-nan(ind)
579,-nan(ind),0.322866,-nan(ind)
580,-nan(ind),0.46154,-nan(ind)
581,-nan(ind),0.405,-nan(ind)
582,-nan(ind),0.482672,-nan(ind)
583,-nan(ind),0.346092,-nan(ind)
584,-nan(ind),0.329698,-nan(ind)
585,-nan(ind),0.391592,-nan(ind)
586,-nan(ind),0.511303,-nan(ind)
587,-nan(ind),0.443789,-nan(ind)
588,-nan(ind),0.413024,-nan(ind)
589,-nan(ind),0.551978,-nan(ind)
590,-nan(ind),0.572845,-nan(ind)
591,-nan(ind),0.66708,-nan(ind)
592,-nan(ind),0.546214,-nan(ind)
593,-nan(ind),0.476496,-nan(ind)
594,-nan(ind),0.396214,-nan(ind)
595,-nan(ind),0.460606,-nan(ind)
596,-nan(ind),0.686404,-nan(ind)
597,-nan(ind),0.595453,-nan(ind)
598,-nan(ind),0.485898,-nan(ind)
599,-nan(ind),0.399347,-nan(ind)
600,-nan(ind),0.576766,-nan(ind)
601,-nan(ind),0.61512,-nan(ind)
602,-nan(ind),0.588146,-nan(ind)
603,-nan(ind),0.621432,-nan(ind)
604,-nan(ind),0.557867,-nan(ind)
605,-nan(ind),0.646668,-nan(ind)
606,-nan(ind),0.568053,-nan(ind)
607,-nan(ind),0.534716,-nan(ind)
608,-nan(ind),0.481131,-nan(ind)
609,-nan(ind),0.393409,-nan(ind)
610,-nan(ind),0.485192,-nan(ind)
611,-nan(ind),0.455771,-nan(ind)
612,-nan(ind),0.630529,-nan(ind)
613,-nan(ind),0.709714,-nan(ind)
614,-nan(ind),0.661226,-nan(ind)
615,-nan(ind),0.662999,-nan(ind)
616,-nan(ind),0.490337,-nan(ind)
617,-nan(ind),0.517569,-nan(ind)
618,-nan(ind),0.675772,-nan(ind)
619,-nan(ind),0.652171,-nan(ind)
620,-nan(ind),0.503613,-nan(ind)
621,-nan(ind),0.461826,-nan(ind)
622,-nan(ind),0.421699,-nan(ind)
623,-nan(ind),0.407992,-nan(ind)
624,-nan(ind),0.357146,-nan(ind)
625,-nan(ind),0.435052,-nan(ind)
626,-nan(ind),0.360479,-nan(ind)
627,-nan(ind),0.336823,-nan(ind)
628,-nan(ind),0.43289,-nan(ind)
629,-nan(ind),0.538147,-nan(ind)
630,-nan(ind),0.403517,-nan(ind)
631,-nan(ind),0.423629,-nan(ind)
632,-nan(ind),0.347238,-nan(ind)
633,-nan(ind),0.287563,-nan(ind)
634,-nan(ind),0.256059,-nan(ind)
635,-nan(ind),0.313468,-nan(ind)
636,-nan(ind),0.399214,-nan(ind)
637,-nan(ind),0.323689,-nan(ind)
638,-nan(ind),0.326291,-nan(ind)
639,-nan(ind),0.42142,-nan(ind)
640,-nan(ind),0.582142,-nan(ind)
641,-nan(ind),0.434321,-nan(ind)
642,-nan(ind),0.362263,-nan(ind)
643,-nan(ind),0.33201,-nan(ind)
644,-nan(ind),0.265798,-nan(ind)
645,-nan(ind),0.316586,-nan(ind)
646,-nan(ind),0.26515,-nan(ind)
647,-nan(ind),0.248184,-nan(ind)
648,-nan(ind),0.300758,-nan(ind)
649,-nan(ind),0.295132,-nan(ind)
650,-nan(ind),0.427398,-nan(ind)
651,-nan(ind),0.348239,-nan(ind)
652,-nan(ind),0.341929,-nan(ind)
653,-nan(ind),0.532365,-nan(ind)
654,-nan(ind),0.356623,-nan(ind)
655,-nan(ind),0.286741,-nan(ind)
656,-nan(ind),0.24797,-nan(ind)
657,-nan(ind),0.231306,-nan(ind)
658,-nan(ind),0.29971,-nan(ind)
659,-nan(ind),0.310406,-nan(ind)
660,-nan(ind),0.273098,-nan(ind)
661,-nan(ind),0.371851,-nan(ind)
662,-nan(ind),0.583756,-nan(ind)
663,-nan(ind),0.408625,-nan(ind)
664,-nan(ind),0.499178,-nan(ind)
665,-nan(ind),0.345093,-nan(ind)
666,-nan(ind),0.330242,-nan(ind)
667,-nan(ind),0.376573,-nan(ind)
668,-nan(ind),0.290827,-nan(ind)
669,-nan(ind),0.526957,-nan(ind)
670,-nan(ind),0.399228,-nan(ind)
671,-nan(ind),0.38782,-nan(ind)
672,-nan(ind),0.497992,-nan(ind)
673,-nan(ind),0.371827,-nan(ind)
674,-nan(ind),0.354796,-nan(ind)
675,-nan(ind),0.339871,-nan(ind)
676,-nan(ind),0.269991,-nan(ind)
677,-nan(ind),0.401887,-nan(ind)
678,-nan(ind),0.312723,-nan(ind)
679,-nan(ind),0.431556,-nan(ind)
680,-nan(ind),0.409537,-nan(ind)
681,-nan(ind),0.326894,-nan(ind)
