t,predict_test,teacher
501,0.48003,0.51508,0.00122846
502,0.5807,0.66014,0.00753922
503,0.574594,0.601267,0.00825068
504,0.42286,0.458017,0.00948664
505,0.311327,0.366507,0.0125315
506,0.428411,0.503886,0.018228
507,0.489345,0.491417,0.0182323
508,0.400797,0.407311,0.0182747
509,0.392918,0.396775,0.0182896
510,0.487271,0.531997,0.0202899
511,0.438928,0.479897,0.0219684
512,0.442958,0.466776,0.0225357
513,0.592004,0.600192,0.0226028
514,0.457114,0.496933,0.0241883
515,0.351511,0.375588,0.024768
516,0.33098,0.359229,0.0255661
517,0.491909,0.487243,0.0255878
518,0.375412,0.38423,0.0256656
519,0.36056,0.373359,0.0258294
520,0.422024,0.423293,0.025831
521,0.474145,0.475595,0.0258331
522,0.469733,0.464227,0.0258634
523,0.554936,0.555351,0.0258636
524,0.504532,0.499353,0.0258904
525,0.402085,0.401398,0.0258909
526,0.363027,0.342646,0.0263063
527,0.472775,0.478344,0.0263373
528,0.375572,0.388069,0.0264935
529,0.38708,0.348026,0.0280187
530,0.340455,0.322822,0.0283296
531,0.587107,0.6097,0.02884
532,0.635305,0.655962,0.0292667
533,0.470087,0.502501,0.0303174
534,0.370092,0.401488,0.0313031
535,0.450395,0.476257,0.0319719
536,0.534961,0.510709,0.0325601
537,0.404876,0.404582,0.0325602
538,0.413171,0.367717,0.0346263
539,0.349432,0.337782,0.034762
540,0.268823,0.29294,0.0353436
541,0.376708,0.384512,0.0354045
542,0.332873,0.328987,0.0354196
543,0.296828,0.287028,0.0355156
544,0.26956,0.29995,0.0364392
545,0.378938,0.357372,0.0369043
546,0.473643,0.494601,0.0373435
547,0.317483,0.34066,0.0378807
548,0.487411,0.5715,0.0449517
549,0.408024,0.43849,0.0458799
550,0.32613,0.352325,0.0465661
551,0.276667,0.274629,0.0465702
552,0.265877,0.256607,0.0466562
553,0.337696,0.319638,0.0469823
554,0.381868,0.370403,0.0471137
555,0.311219,0.305508,0.0471463
556,0.331936,0.330285,0.0471491
557,0.230175,0.263228,0.0482415
558,0.392922,0.455751,0.052189
559,0.458316,0.442439,0.0524411
560,0.335551,0.317657,0.0527613
561,0.254939,0.248346,0.0528047
562,0.228301,0.257128,0.0536357
