t,predict_test,teacher
501,0.478232,0.51508,0.00135773
502,0.598921,0.66014,0.0051055
503,0.565787,0.601267,0.00636432
504,0.407171,0.458017,0.00894959
505,0.329165,0.366507,0.010344
506,0.443276,0.503886,0.0140176
507,0.482177,0.491417,0.0141029
508,0.417972,0.407311,0.0142166
509,0.403098,0.396775,0.0142566
510,0.504886,0.531997,0.0149916
511,0.458243,0.479897,0.0154605
512,0.444167,0.466776,0.0159716
513,0.603476,0.600192,0.0159824
514,0.478027,0.496933,0.0163399
515,0.354212,0.375588,0.0167968
516,0.343348,0.359229,0.017049
517,0.496901,0.487243,0.0171423
518,0.385323,0.38423,0.0171435
519,0.381553,0.373359,0.0172106
520,0.438515,0.423293,0.0174424
521,0.467178,0.475595,0.0175132
522,0.480863,0.464227,0.01779
523,0.576592,0.555351,0.0182412
524,0.505614,0.499353,0.0182803
525,0.397756,0.401398,0.0182936
526,0.355005,0.342646,0.0184464
527,0.48924,0.478344,0.0185651
528,0.401509,0.388069,0.0187457
529,0.373807,0.348026,0.0194103
530,0.347729,0.322822,0.0200307
531,0.619437,0.6097,0.0201255
532,0.641236,0.655962,0.0203424
533,0.486115,0.502501,0.0206109
534,0.37749,0.401488,0.0211868
535,0.460081,0.476257,0.0214484
536,0.539245,0.510709,0.0222627
537,0.418624,0.404582,0.0224599
538,0.4266,0.367717,0.025927
539,0.387556,0.337782,0.0284045
540,0.310199,0.29294,0.0287023
541,0.387009,0.384512,0.0287086
542,0.325964,0.328987,0.0287177
543,0.310336,0.287028,0.0292609
544,0.307703,0.29995,0.029321
545,0.362622,0.357372,0.0293486
546,0.469465,0.494601,0.0299804
547,0.288608,0.34066,0.0326899
548,0.490108,0.5715,0.0393145
549,0.409257,0.43849,0.0401691
550,0.330955,0.352325,0.0406258
551,0.283725,0.274629,0.0407085
552,0.248352,0.256607,0.0407766
553,0.329911,0.319638,0.0408822
554,0.377443,0.370403,0.0409317
555,0.286902,0.305508,0.0412779
556,0.350348,0.330285,0.0416804
557,0.231213,0.263228,0.0427053
558,0.392812,0.455751,0.0466667
559,0.450604,0.442439,0.0467334
560,0.345705,0.317657,0.0475201
561,0.231859,0.248346,0.0477919
562,0.1951,0.257128,0.0516394
563,0.286541,0.29239,0.0516736
564,0.233678,0.236459,0.0516813
565,0.227472,0.225141,0.0516868
566,0.216892,0.221407,0.0517071
567,0.236445,0.240909,0.0517271
568,0.280719,0.313919,0.0528293
569,0.319481,0.313906,0.0528604
570,0.316934,0.251864,0.0570944
571,0.220965,0.210675,0.0572003
572,0.273281,0.273004,0.0572004
573,0.225768,0.227685,0.0572041
574,0.195301,0.19825,0.0572128
575,0.247723,0.284396,0.0585577
576,0.245666,0.25933,0.0587444
577,0.342664,0.351018,0.0588142
578,0.311156,0.315836,0.0588361
579,0.351506,0.322866,0.0596564
580,0.458289,0.46154,0.0596669
581,0.515439,0.405,0.0718637
582,0.496616,0.482672,0.0720581
583,0.361536,0.346092,0.0722966
584,0.358849,0.329698,0.0731464
585,0.415837,0.391592,0.0737342
586,0.541827,0.511303,0.0746659
587,0.466744,0.443789,0.0751929
588,0.437695,0.413024,0.0758015
589,0.543779,0.551978,0.0758687
590,0.601832,0.572845,0.076709
591,0.662437,0.66708,0.0767305
592,0.532924,0.546214,0.0769071
593,0.458158,0.476496,0.0772434
594,0.37683,0.396214,0.0776192
595,0.462,0.460606,0.0776211
596,0.667369,0.686404,0.0779834
597,0.561158,0.595453,0.0791596
598,0.452165,0.485898,0.0802976
599,0.374578,0.399347,0.080911
600,0.545614,0.576766,0.0818815
601,0.567692,0.61512,0.0841309
602,0.562869,0.588146,0.0847698
603,0.577353,0.621432,0.0867127
604,0.536042,0.557867,0.0871891
605,0.620856,0.646668,0.0878553
606,0.536076,0.568053,0.0888778
607,0.497438,0.534716,0.0902675
608,0.405808,0.481131,0.0959411
609,0.375818,0.393409,0.0962505
610,0.463226,0.485192,0.096733
611,0.449611,0.455771,0.096771
612,0.610906,0.630529,0.097156
613,0.661622,0.709714,0.0994689
614,0.622982,0.661226,0.100931
615,0.598939,0.662999,0.105035
616,0.41907,0.490337,0.110114
617,0.4539,0.517569,0.114168
618,0.642619,0.675772,0.115267
619,0.629101,0.652171,0.115799
620,0.461252,0.503613,0.117594
621,0.404531,0.461826,0.120876
622,0.40346,0.421699,0.121209
623,0.397902,0.407992,0.121311
624,0.32582,0.357146,0.122292
625,0.437662,0.435052,0.122299
626,0.380963,0.360479,0.122719
627,0.378505,0.336823,0.124456
628,0.439869,0.43289,0.124505
629,0.553924,0.538147,0.124754
630,0.459142,0.403517,0.127848
631,0.441115,0.423629,0.128153
632,0.378742,0.347238,0.129146
633,0.331093,0.287563,0.131041
634,0.286831,0.256059,0.131988
635,0.339802,0.313468,0.132681
636,0.41937,0.399214,0.133087
637,0.345933,0.323689,0.133582
638,0.345798,0.326291,0.133963
639,0.43124,0.42142,0.134059
640,0.571132,0.582142,0.13418
641,0.422029,0.434321,0.134331
642,0.395341,0.362263,0.135426
643,0.384048,0.33201,0.138134
644,0.298625,0.265798,0.139211
645,0.34181,0.316586,0.139848
646,0.275655,0.26515,0.139958
647,0.281163,0.248184,0.141045
648,0.317136,0.300758,0.141314
649,0.288112,0.295132,0.141363
650,0.424766,0.427398,0.14137
651,0.350756,0.348239,0.141376
652,0.394097,0.341929,0.144098
653,0.525258,0.532365,0.144148
654,0.401459,0.356623,0.146159
655,0.352564,0.286741,0.150491
656,0.292533,0.24797,0.152477
657,0.246954,0.231306,0.152722
