t,predict_test,teacher
501,0.478738,0.51508,0.00132068
502,0.598425,0.66014,0.00512949
503,0.576674,0.601267,0.00573431
504,0.41056,0.458017,0.00798649
505,0.325805,0.366507,0.00964316
506,0.436734,0.503886,0.0141525
507,0.461,0.491417,0.0150777
508,0.416706,0.407311,0.0151659
509,0.389888,0.396775,0.0152134
510,0.498434,0.531997,0.0163398
511,0.458687,0.479897,0.0167897
512,0.446743,0.466776,0.017191
513,0.583316,0.600192,0.0174758
514,0.480889,0.496933,0.0177332
515,0.345158,0.375588,0.0186592
516,0.355805,0.359229,0.0186709
517,0.480402,0.487243,0.0187177
518,0.382294,0.38423,0.0187214
519,0.368976,0.373359,0.0187407
520,0.418636,0.423293,0.0187623
521,0.454786,0.475595,0.0191954
522,0.479726,0.464227,0.0194356
523,0.563948,0.555351,0.0195095
524,0.513773,0.499353,0.0197174
525,0.423561,0.401398,0.0202086
526,0.355005,0.342646,0.0203614
527,0.468812,0.478344,0.0204522
528,0.398083,0.388069,0.0205525
529,0.366632,0.348026,0.0208987
530,0.335748,0.322822,0.0210657
531,0.594317,0.6097,0.0213024
532,0.631122,0.655962,0.0219194
533,0.472649,0.502501,0.0228106
534,0.366003,0.401488,0.0240698
535,0.45352,0.476257,0.0245867
536,0.528587,0.510709,0.0249064
537,0.43214,0.404582,0.0256658
538,0.407839,0.367717,0.0272756
539,0.372166,0.337782,0.0284578
540,0.283512,0.29294,0.0285467
541,0.379361,0.384512,0.0285733
542,0.338909,0.328987,0.0286717
543,0.302153,0.287028,0.0289005
544,0.312983,0.29995,0.0290703
545,0.353723,0.357372,0.0290836
546,0.471173,0.494601,0.0296325
547,0.283494,0.34066,0.0329005
548,0.481483,0.5715,0.0410036
549,0.401803,0.43849,0.0423495
550,0.329688,0.352325,0.0428619
551,0.295854,0.274629,0.0433124
552,0.271997,0.256607,0.0435492
553,0.328222,0.319638,0.0436229
554,0.368556,0.370403,0.0436263
555,0.301396,0.305508,0.0436432
556,0.344036,0.330285,0.0438323
557,0.229694,0.263228,0.0449569
558,0.390495,0.455751,0.0492152
559,0.462525,0.442439,0.0496187
560,0.33195,0.317657,0.049823
561,0.242974,0.248346,0.0498518
562,0.21828,0.257128,0.051361
563,0.287055,0.29239,0.0513895
564,0.212661,0.236459,0.0519558
565,0.203303,0.225141,0.0524327
566,0.20651,0.221407,0.0526546
567,0.279722,0.240909,0.054161
568,0.308629,0.313919,0.054189
569,0.306402,0.313906,0.0542453
570,0.304325,0.251864,0.0569975
571,0.243846,0.210675,0.0580978
572,0.284053,0.273004,0.0582199
573,0.261859,0.227685,0.0593878
574,0.232952,0.19825,0.060592
575,0.269732,0.284396,0.060807
576,0.269458,0.25933,0.0609096
577,0.343556,0.351018,0.0609653
578,0.330406,0.315836,0.0611776
579,0.356117,0.322866,0.0622832
580,0.449811,0.46154,0.0624208
581,0.478623,0.405,0.0678411
582,0.495743,0.482672,0.068012
583,0.356121,0.346092,0.0681126
584,0.340121,0.329698,0.0682212
585,0.426132,0.391592,0.0694142
586,0.53796,0.511303,0.0701248
587,0.455499,0.443789,0.0702619
588,0.421766,0.413024,0.0703383
589,0.549589,0.551978,0.070344
590,0.601987,0.572845,0.0711933
591,0.661509,0.66708,0.0712243
592,0.538753,0.546214,0.07128
593,0.463,0.476496,0.0714621
594,0.383007,0.396214,0.0716366
595,0.452846,0.460606,0.0716968
596,0.651746,0.686404,0.0728979
597,0.552645,0.595453,0.0747305
598,0.440593,0.485898,0.0767831
599,0.372266,0.399347,0.0775165
600,0.538319,0.576766,0.0789946
601,0.559657,0.61512,0.0820708
602,0.562434,0.588146,0.0827319
603,0.592721,0.621432,0.0835562
604,0.543015,0.557867,0.0837768
605,0.624282,0.646668,0.084278
606,0.544247,0.568053,0.0848447
607,0.532324,0.534716,0.0848504
608,0.449732,0.481131,0.0858363
609,0.373448,0.393409,0.0862347
610,0.464887,0.485192,0.086647
611,0.452828,0.455771,0.0866557
612,0.616206,0.630529,0.0868608
613,0.679472,0.709714,0.0877754
614,0.626775,0.661226,0.0889622
615,0.615015,0.662999,0.0912647
616,0.411599,0.490337,0.0974644
617,0.454404,0.517569,0.101454
618,0.612802,0.675772,0.105419
619,0.621555,0.652171,0.106357
620,0.471472,0.503613,0.10739
621,0.412535,0.461826,0.109819
622,0.397841,0.421699,0.110389
623,0.393225,0.407992,0.110607
624,0.329591,0.357146,0.111366
625,0.412154,0.435052,0.11189
626,0.41321,0.360479,0.114671
627,0.379069,0.336823,0.116456
628,0.450997,0.43289,0.116783
629,0.534231,0.538147,0.116799
630,0.455654,0.403517,0.119517
631,0.443454,0.423629,0.11991
632,0.391159,0.347238,0.121839
633,0.320566,0.287563,0.122928
634,0.276758,0.256059,0.123357
635,0.320726,0.313468,0.123409
636,0.411265,0.399214,0.123555
637,0.334187,0.323689,0.123665
638,0.334465,0.326291,0.123732
639,0.428667,0.42142,0.123784
640,0.569352,0.582142,0.123948
641,0.41992,0.434321,0.124155
642,0.376515,0.362263,0.124358
643,0.368097,0.33201,0.12566
644,0.309418,0.265798,0.127563
645,0.331977,0.316586,0.1278
646,0.27763,0.26515,0.127956
647,0.280418,0.248184,0.128995
648,0.314493,0.300758,0.129184
649,0.295149,0.295132,0.129184
650,0.419011,0.427398,0.129254
651,0.36616,0.348239,0.129575
652,0.392088,0.341929,0.132091
653,0.506769,0.532365,0.132746
654,0.409855,0.356623,0.13558
655,0.33081,0.286741,0.137522
656,0.298381,0.24797,0.140063
657,0.23971,0.231306,0.140134
658,0.306684,0.29971,0.140182
659,0.351105,0.310406,0.141839
660,0.321423,0.273098,0.144174
661,0.389164,0.371851,0.144474
662,0.575819,0.583756,0.144537
663,0.386928,0.408625,0.145008
664,0.489573,0.499178,0.1451
665,0.325538,0.345093,0.145482
666,0.329626,0.330242,0.145483
667,0.390373,0.376573,0.145673
668,0.2697,0.290827,0.146119
669,0.479663,0.526957,0.148356
670,0.425165,0.399228,0.149029
671,0.386807,0.38782,0.14903
672,0.48143,0.497992,0.149304
673,0.372753,0.371827,0.149305
674,0.375218,0.354796,0.149722
675,0.364037,0.339871,0.150306
676,0.258497,0.269991,0.150438
677,0.395917,0.401887,0.150474
678,0.39124,0.312723,0.156639
