t,predict_test,teacher
501,0.332292,0.340665,7.01051e-05
502,0.398903,0.365275,0.00120101
503,0.46679,0.482385,0.0014442
504,0.323116,0.332479,0.00153186
505,0.290381,0.277742,0.00169159
506,0.428025,0.37875,0.00411962
507,0.508812,0.49503,0.00430956
508,0.35686,0.327201,0.0051892
509,0.28536,0.272052,0.00536631
510,0.268393,0.24419,0.0059521
511,0.339232,0.332189,0.0060017
512,0.332681,0.31493,0.00631682
513,0.32368,0.251295,0.0115563
514,0.342829,0.310121,0.0126261
515,0.289274,0.25414,0.0138605
516,0.239834,0.224799,0.0140865
517,0.304709,0.266674,0.0155332
518,0.423131,0.413805,0.0156202
519,0.395698,0.374556,0.0160672
520,0.278601,0.269408,0.0161517
521,0.320072,0.265896,0.0190867
522,0.484356,0.461456,0.0196111
523,0.453781,0.445369,0.0196819
524,0.33013,0.340442,0.0197882
525,0.366872,0.369257,0.0197939
526,0.409746,0.417968,0.0198615
527,0.504177,0.543951,0.0214435
528,0.346639,0.359535,0.0216098
529,0.263704,0.286992,0.0221522
530,0.267493,0.276866,0.0222401
531,0.419156,0.388299,0.0231922
532,0.4364,0.435733,0.0231926
533,0.250058,0.281809,0.0242008
534,0.202763,0.233438,0.0251417
535,0.246242,0.240325,0.0251767
536,0.473994,0.510237,0.0264903
537,0.333993,0.323717,0.0265958
538,0.333112,0.297565,0.0278594
539,0.226257,0.249839,0.0284155
540,0.223122,0.232809,0.0285094
541,0.316254,0.304648,0.0286441
542,0.169865,0.218061,0.0309669
543,0.266399,0.270667,0.0309852
544,0.324549,0.298947,0.0316406
545,0.25737,0.240191,0.0319358
546,0.279775,0.279017,0.0319363
547,0.162188,0.206779,0.0339247
548,0.303178,0.268358,0.0351372
549,0.298211,0.297386,0.0351379
550,0.321205,0.320319,0.0351386
551,0.243392,0.22002,0.0356849
552,0.232038,0.199481,0.0367449
553,0.448355,0.497962,0.0392057
554,0.378042,0.358113,0.0396029
555,0.276272,0.265917,0.0397101
556,0.189982,0.201181,0.0398355
