t,predict_test,teacher
501,6.97421e-47,-0.897167,0.804909
502,6.17177e-47,-0.918112,1.64784
503,5.46166e-47,0.966915,2.58276
504,4.83326e-47,-0.323771,2.68759
505,4.27715e-47,0.700105,3.17774
506,3.78503e-47,-0.673516,3.63136
507,3.34954e-47,0.996646,4.62467
508,2.96415e-47,-0.940362,5.50895
509,2.6231e-47,0.944651,6.40131
510,2.32129e-47,0.102098,6.41174
511,2.05421e-47,-0.748,6.97124
512,1.81786e-47,-0.654848,7.40007
513,1.6087e-47,-0.935808,8.2758
514,1.42361e-47,0.472826,8.49937
515,1.25981e-47,-0.939102,9.38128
516,1.11486e-47,0.819782,10.0533
517,9.86585e-48,0.998229,11.0498
518,8.73071e-48,0.52925,11.3299
519,7.72617e-48,0.296849,11.418
520,6.83722e-48,-0.808604,12.0719
521,6.05054e-48,-0.930179,12.9371
522,5.35438e-48,-0.091996,12.9455
523,4.73832e-48,0.945656,13.8398
524,4.19314e-48,0.6097,14.2115
525,3.71069e-48,-0.954345,15.1223
526,3.28374e-48,-0.127988,15.1387
527,2.90592e-48,0.87338,15.9015
528,2.57157e-48,-0.325043,16.0071
529,2.2757e-48,0.998391,17.0039
530,2.01386e-48,0.977658,17.9597
531,1.78215e-48,-0.555597,18.2684
532,1.5771e-48,-0.744279,18.8224
533,1.39564e-48,0.684879,19.2914
534,1.23506e-48,-0.999992,20.2914
535,1.09296e-48,-0.624645,20.6816
536,9.67206e-49,-0.956066,21.5957
537,8.55921e-49,-0.153886,21.6193
538,7.57441e-49,-0.7699,22.2121
539,6.70292e-49,0.361172,22.3425
540,5.93169e-49,-0.00972093,22.3426
541,5.24921e-49,-0.209633,22.3866
542,4.64525e-49,0.880048,23.1611
543,4.11077e-49,0.988773,24.1387
544,3.6378e-49,0.692187,24.6179
545,3.21924e-49,-0.811792,25.2769
546,2.84884e-49,-0.962205,26.2027
547,2.52106e-49,-0.190386,26.239
548,2.23099e-49,-0.490578,26.4796
549,1.9743e-49,0.120538,26.4941
550,1.74714e-49,0.544636,26.7908
551,1.54612e-49,-0.0899016,26.7989
552,1.36823e-49,-0.129991,26.8158
553,1.2108e-49,-0.237033,26.8719
554,1.07149e-49,-0.347248,26.9925
555,9.48207e-50,0.982384,27.9576
556,8.39109e-50,-0.866033,28.7076
557,7.42563e-50,0.844538,29.4209
558,6.57125e-50,0.557713,29.7319
559,5.81518e-50,0.922711,30.5833
560,5.1461e-50,-0.797319,31.219
561,4.554e-50,-0.992799,32.2047
562,4.03003e-50,-0.990947,33.1866
563,3.56634e-50,-0.627758,33.5807
564,3.15601e-50,-0.741297,34.1302
565,2.79288e-50,-0.167032,34.1581
566,2.47154e-50,-0.133266,34.1759
567,2.18717e-50,0.97451,35.1256
568,1.93552e-50,0.934551,35.999
569,1.71282e-50,-0.299347,36.0886
570,1.51575e-50,-0.650331,36.5115
571,1.34135e-50,-0.916344,37.3512
572,1.18702e-50,0.669769,37.7998
573,1.05044e-50,-0.288803,37.8832
574,9.29582e-51,0.719462,38.4008
575,8.22626e-51,0.9212,39.2494
576,7.27977e-51,-0.661053,39.6864
577,6.44218e-51,0.567364,40.0083
578,5.70095e-51,-0.735389,40.5491
579,5.04502e-51,-0.945323,41.4427
580,4.46455e-51,-0.0085615,41.4428
581,3.95087e-51,0.894992,42.2438
582,3.49629e-51,-0.938231,43.1241
583,3.09401e-51,0.3942,43.2795
584,2.73802e-51,0.975901,44.2319
585,2.42299e-51,-0.495951,44.4778
586,2.14421e-51,-0.473257,44.7018
587,1.8975e-51,-0.970673,45.644
588,1.67918e-51,0.989849,46.6238
589,1.48598e-51,0.649464,47.0456
590,1.315e-51,-0.174509,47.0761
591,1.1637e-51,-0.762987,47.6582
592,1.02981e-51,0.50795,47.9162
593,9.11322e-52,0.526619,48.1936
594,8.06468e-52,-0.918144,49.0366
595,7.13677e-52,0.743009,49.5886
596,6.31563e-52,-0.999932,50.5885
597,5.58897e-52,-0.88644,51.3743
598,4.94592e-52,0.915929,52.2132
599,4.37685e-52,0.900991,53.025
600,3.87326e-52,-0.283,53.1051
601,3.42761e-52,-0.453897,53.3111
602,3.03324e-52,-0.981326,54.2741
603,2.68424e-52,-0.992098,55.2583
604,2.3754e-52,-0.818769,55.9287
605,2.10209e-52,0.945665,56.823
606,1.86023e-52,-0.28063,56.9018
607,1.6462e-52,0.423943,57.0815
608,1.45679e-52,-0.999222,58.0799
609,1.28917e-52,-0.308669,58.1752
610,1.14084e-52,0.227821,58.2271
611,1.00958e-52,-0.965582,59.1595
612,8.93422e-53,-0.306785,59.2536
613,7.90627e-53,0.53047,59.535
614,6.99659e-53,-0.892263,60.3311
615,6.19158e-53,-0.0900724,60.3392
616,5.47919e-53,-0.678874,60.8001
617,4.84877e-53,-0.716676,61.3137
618,4.29088e-53,-0.83944,62.0184
619,3.79718e-53,0.922798,62.8699
620,3.36029e-53,-0.548558,63.1709
621,2.97366e-53,0.479037,63.4003
622,2.63152e-53,-0.651773,63.8251
623,2.32874e-53,0.282436,63.9049
624,2.0608e-53,0.987461,64.88
625,1.82369e-53,-0.806914,65.5311
626,1.61386e-53,-0.232616,65.5852
627,1.42817e-53,0.921784,66.4349
628,1.26385e-53,-0.213776,66.4806
629,1.11844e-53,0.995822,67.4723
630,9.89751e-54,0.0712521,67.4773
631,8.75872e-54,-0.642059,67.8896
632,7.75097e-54,0.999938,68.8894
633,6.85916e-54,-0.635054,69.2927
634,6.06996e-54,-0.185337,69.3271
635,5.37156e-54,0.995228,70.3176
636,4.75352e-54,0.426876,70.4998
637,4.20659e-54,-0.896184,71.3029
638,3.72259e-54,-0.945598,72.1971
639,3.29428e-54,0.338248,72.3115
640,2.91525e-54,0.879983,73.0859
641,2.57983e-54,0.156661,73.1104
642,2.283e-54,0.259063,73.1775
643,2.02032e-54,-0.713815,73.6871
644,1.78787e-54,-0.770168,74.2802
645,1.58216e-54,0.619333,74.6638
646,1.40012e-54,-0.753066,75.2309
647,1.23903e-54,0.845602,75.9459
648,1.09647e-54,-0.900694,76.7572
649,9.70309e-55,0.220614,76.8059
650,8.58668e-55,0.0220394,76.8064
651,7.59872e-55,0.12265,76.8214
652,6.72443e-55,-0.897554,77.627
653,5.95073e-55,0.0278897,77.6278
654,5.26605e-55,0.905919,78.4485
655,4.66015e-55,0.997578,79.4436
656,4.12397e-55,0.514345,79.7082
657,3.64947e-55,-0.218945,79.7561
658,3.22957e-55,0.991948,80.7401
659,2.85799e-55,0.768256,81.3303
660,2.52915e-55,-0.203477,81.3717
661,2.23815e-55,0.997197,82.3661
662,1.98064e-55,0.46233,82.5798
663,1.75275e-55,-0.999627,83.5791
664,1.55108e-55,-0.924856,84.4345
665,1.37262e-55,0.36066,84.5645
666,1.21469e-55,0.238372,84.6214
667,1.07493e-55,-0.586264,84.9651
668,9.5125e-56,0.534842,85.2511
669,8.41801e-56,-0.948397,86.1506
670,7.44946e-56,-0.964929,87.0817
