t,predict_test,teacher
501,7.8773e-47,-0.897167,0.804909
502,6.97096e-47,-0.918112,1.64784
503,6.1689e-47,0.966915,2.58276
504,5.45912e-47,-0.323771,2.68759
505,4.831e-47,0.700105,3.17774
506,4.27516e-47,-0.673516,3.63136
507,3.78327e-47,0.996646,4.62467
508,3.34798e-47,-0.940362,5.50895
509,2.96276e-47,0.944651,6.40131
510,2.62188e-47,0.102098,6.41174
511,2.32021e-47,-0.748,6.97124
512,2.05325e-47,-0.654848,7.40007
513,1.81701e-47,-0.935808,8.2758
514,1.60795e-47,0.472826,8.49937
515,1.42294e-47,-0.939102,9.38128
516,1.25922e-47,0.819782,10.0533
517,1.11434e-47,0.998229,11.0498
518,9.86125e-48,0.52925,11.3299
519,8.72664e-48,0.296849,11.418
520,7.72257e-48,-0.808604,12.0719
521,6.83403e-48,-0.930179,12.9371
522,6.04772e-48,-0.091996,12.9455
523,5.35188e-48,0.945656,13.8398
524,4.73611e-48,0.6097,14.2115
525,4.19118e-48,-0.954345,15.1223
526,3.70896e-48,-0.127988,15.1387
527,3.28221e-48,0.87338,15.9015
528,2.90457e-48,-0.325043,16.0071
529,2.57038e-48,0.998391,17.0039
530,2.27463e-48,0.977658,17.9597
531,2.01292e-48,-0.555597,18.2684
532,1.78132e-48,-0.744279,18.8224
533,1.57636e-48,0.684879,19.2914
534,1.39499e-48,-0.999992,20.2914
535,1.23449e-48,-0.624645,20.6816
536,1.09245e-48,-0.956066,21.5957
537,9.66755e-49,-0.153886,21.6193
538,8.55522e-49,-0.7699,22.2121
539,7.57088e-49,0.361172,22.3425
540,6.69979e-49,-0.00972093,22.3426
541,5.92893e-49,-0.209633,22.3866
542,5.24676e-49,0.880048,23.1611
543,4.64308e-49,0.988773,24.1387
544,4.10886e-49,0.692187,24.6179
545,3.6361e-49,-0.811792,25.2769
546,3.21774e-49,-0.962205,26.2027
547,2.84751e-49,-0.190386,26.239
548,2.51989e-49,-0.490578,26.4796
549,2.22995e-49,0.120538,26.4941
550,1.97338e-49,0.544636,26.7908
551,1.74633e-49,-0.0899016,26.7989
552,1.5454e-49,-0.129991,26.8158
553,1.36759e-49,-0.237033,26.8719
554,1.21024e-49,-0.347248,26.9925
555,1.07099e-49,0.982384,27.9576
556,9.47765e-50,-0.866033,28.7076
557,8.38717e-50,0.844538,29.4209
558,7.42217e-50,0.557713,29.7319
559,6.56819e-50,0.922711,30.5833
560,5.81247e-50,-0.797319,31.219
561,5.1437e-50,-0.992799,32.2047
562,4.55188e-50,-0.990947,33.1866
563,4.02815e-50,-0.627758,33.5807
564,3.56468e-50,-0.741297,34.1302
565,3.15454e-50,-0.167032,34.1581
566,2.79158e-50,-0.133266,34.1759
567,2.47039e-50,0.97451,35.1256
568,2.18615e-50,0.934551,35.999
569,1.93462e-50,-0.299347,36.0886
570,1.71203e-50,-0.650331,36.5115
571,1.51504e-50,-0.916344,37.3512
572,1.34073e-50,0.669769,37.7998
573,1.18647e-50,-0.288803,37.8832
574,1.04995e-50,0.719462,38.4008
575,9.29148e-51,0.9212,39.2494
576,8.22243e-51,-0.661053,39.6864
577,7.27637e-51,0.567364,40.0083
578,6.43917e-51,-0.735389,40.5491
579,5.6983e-51,-0.945323,41.4427
580,5.04266e-51,-0.0085615,41.4428
581,4.46247e-51,0.894992,42.2438
582,3.94902e-51,-0.938231,43.1241
583,3.49466e-51,0.3942,43.2795
584,3.09257e-51,0.975901,44.2319
585,2.73675e-51,-0.495951,44.4778
586,2.42186e-51,-0.473257,44.7018
587,2.14321e-51,-0.970673,45.644
588,1.89662e-51,0.989849,46.6238
589,1.6784e-51,0.649464,47.0456
590,1.48528e-51,-0.174509,47.0761
591,1.31439e-51,-0.762987,47.6582
592,1.16316e-51,0.50795,47.9162
593,1.02933e-51,0.526619,48.1936
594,9.10897e-52,-0.918144,49.0366
595,8.06092e-52,0.743009,49.5886
596,7.13345e-52,-0.999932,50.5885
597,6.31269e-52,-0.88644,51.3743
598,5.58637e-52,0.915929,52.2132
599,4.94361e-52,0.900991,53.025
600,4.37481e-52,-0.283,53.1051
601,3.87146e-52,-0.453897,53.3111
602,3.42601e-52,-0.981326,54.2741
603,3.03183e-52,-0.992098,55.2583
604,2.68299e-52,-0.818769,55.9287
605,2.37429e-52,0.945665,56.823
606,2.10111e-52,-0.28063,56.9018
607,1.85936e-52,0.423943,57.0815
608,1.64543e-52,-0.999222,58.0799
609,1.45611e-52,-0.308669,58.1752
610,1.28857e-52,0.227821,58.2271
611,1.14031e-52,-0.965582,59.1595
612,1.00911e-52,-0.306785,59.2536
613,8.93005e-53,0.53047,59.535
614,7.90258e-53,-0.892263,60.3311
615,6.99333e-53,-0.0900724,60.3392
616,6.18869e-53,-0.678874,60.8001
617,5.47663e-53,-0.716676,61.3137
618,4.84651e-53,-0.83944,62.0184
619,4.28888e-53,0.922798,62.8699
620,3.79541e-53,-0.548558,63.1709
621,3.35872e-53,0.479037,63.4003
622,2.97227e-53,-0.651773,63.8251
623,2.63029e-53,0.282436,63.9049
624,2.32765e-53,0.987461,64.88
625,2.05984e-53,-0.806914,65.5311
626,1.82284e-53,-0.232616,65.5852
627,1.61311e-53,0.921784,66.4349
628,1.42751e-53,-0.213776,66.4806
629,1.26326e-53,0.995822,67.4723
630,1.11791e-53,0.0712521,67.4773
631,9.89289e-54,-0.642059,67.8896
632,8.75464e-54,0.999938,68.8894
633,7.74735e-54,-0.635054,69.2927
634,6.85596e-54,-0.185337,69.3271
635,6.06713e-54,0.995228,70.3176
636,5.36906e-54,0.426876,70.4998
637,4.75131e-54,-0.896184,71.3029
638,4.20463e-54,-0.945598,72.1971
639,3.72086e-54,0.338248,72.3115
640,3.29274e-54,0.879983,73.0859
641,2.91389e-54,0.156661,73.1104
642,2.57862e-54,0.259063,73.1775
643,2.28193e-54,-0.713815,73.6871
644,2.01938e-54,-0.770168,74.2802
645,1.78703e-54,0.619333,74.6638
646,1.58142e-54,-0.753066,75.2309
647,1.39947e-54,0.845602,75.9459
648,1.23845e-54,-0.900694,76.7572
649,1.09595e-54,0.220614,76.8059
650,9.69857e-55,0.0220394,76.8064
651,8.58267e-55,0.12265,76.8214
652,7.59517e-55,-0.897554,77.627
653,6.72129e-55,0.0278897,77.6278
654,5.94795e-55,0.905919,78.4485
655,5.2636e-55,0.997578,79.4436
656,4.65798e-55,0.514345,79.7082
657,4.12204e-55,-0.218945,79.7561
658,3.64777e-55,0.991948,80.7401
659,3.22807e-55,0.768256,81.3303
660,2.85665e-55,-0.203477,81.3717
661,2.52797e-55,0.997197,82.3661
662,2.23711e-55,0.46233,82.5798
663,1.97971e-55,-0.999627,83.5791
664,1.75193e-55,-0.924856,84.4345
665,1.55036e-55,0.36066,84.5645
666,1.37198e-55,0.238372,84.6214
667,1.21412e-55,-0.586264,84.9651
668,1.07443e-55,0.534842,85.2511
669,9.50806e-56,-0.948397,86.1506
670,8.41409e-56,-0.964929,87.0817
671,7.44598e-56,0.0977164,87.0912
672,6.58927e-56,-0.662235,87.5298
673,5.83112e-56,0.998885,88.5275
674,5.1602e-56,-0.640987,88.9384
675,4.56648e-56,0.238586,88.9953
676,4.04107e-56,-0.970388,89.937
677,3.57612e-56,0.509642,90.1967
678,3.16466e-56,-0.538863,90.4871
679,2.80054e-56,0.928367,91.349
680,2.47832e-56,0.941774,92.2359
681,2.19317e-56,0.205012,92.2779
682,1.94083e-56,0.588404,92.6241
683,1.71752e-56,-0.0734158,92.6295
684,1.51991e-56,0.897322,93.4347
685,1.34503e-56,0.773195,94.0325
686,1.19027e-56,-0.287154,94.115
687,1.05332e-56,0.692368,94.5944
688,9.3213e-57,0.612508,94.9695
689,8.24881e-57,-0.999894,95.9693
690,7.29972e-57,0.947228,96.8666
691,6.45983e-57,0.646493,97.2845
692,5.71658e-57,0.358754,97.4132
693,5.05884e-57,-0.579444,97.749
694,4.47679e-57,-0.515999,98.0152
695,3.9617e-57,-0.621658,98.4017
696,3.50587e-57,-0.195095,98.4398
697,3.1025e-57,0.920927,99.2879
698,2.74553e-57,0.806484,99.9383
699,2.42964e-57,-0.98448,100.907
700,2.15009e-57,0.954398,101.818
701,1.9027e-57,-0.956564,102.733
702,1.68378e-57,-0.942002,103.621
703,1.49005e-57,0.920504,104.468
704,1.31861e-57,0.646248,104.886
705,1.16689e-57,-0.880228,105.661
706,1.03263e-57,0.504265,105.915
