t,predict_test,teacher
501,-0.00942161,-0.871504,0.743187
502,-0.0962708,-0.897167,1.38462
503,-0.161206,-0.918112,1.95753
504,0.0617654,0.966915,2.77682
505,0.010773,-0.323771,2.88874
506,-0.0535867,0.700105,3.45679
507,0.00570908,-0.673516,3.91814
508,-0.0276613,0.996646,4.96735
509,0.0149891,-0.940362,5.88004
510,0.000146701,0.944651,6.77213
511,0.0185224,0.102098,6.77912
512,-0.00268858,-0.748,7.33461
513,0.0733364,-0.654848,7.86486
514,-0.0729665,-0.935808,8.60936
515,0.0871036,0.472826,8.75814
516,0.0189757,-0.939102,9.67605
517,0.0450722,0.819782,10.2762
518,0.00263342,0.998229,11.2674
519,0.0727981,0.52925,11.4758
520,-0.0889421,0.296849,11.6246
521,0.00548387,-0.808604,12.2874
522,0.0588097,-0.930179,13.2655
523,-0.0693914,-0.091996,13.266
524,0.0544999,0.945656,14.0601
525,0.02472,0.6097,14.4023
526,0.0207744,-0.954345,15.3532
527,0.0200198,-0.127988,15.3751
528,0.106954,0.87338,15.9625
529,2.18161e-05,-0.325043,16.0682
530,0.038742,0.998391,16.9891
531,0.09007,0.977658,17.7769
532,-0.0775415,-0.555597,18.0054
533,0.0145154,-0.744279,18.5812
534,0.0440762,0.684879,18.9918
535,-0.100901,-0.999992,19.8002
536,0.0832957,-0.624645,20.3014
537,-0.0930852,-0.956066,21.0461
538,-0.0247597,-0.153886,21.0628
539,0.130587,-0.7699,21.8737
540,-0.0122028,0.361172,22.0131
541,-0.0369651,-0.00972093,22.0138
542,-0.0560764,-0.209633,22.0374
543,-0.00782124,0.880048,22.8257
544,-0.0612016,0.988773,23.9282
545,0.024986,0.692187,24.3733
546,0.0284613,-0.811792,25.0793
547,-0.0295154,-0.962205,25.9492
548,-0.0468641,-0.190386,25.9698
549,0.0828696,-0.490578,26.2987
550,-0.166113,0.120538,26.3809
551,-0.0301033,0.544636,26.7112
552,-0.0205986,-0.0899016,26.716
553,0.0262399,-0.129991,26.7404
554,0.00111306,-0.237033,26.7971
555,0.03759,-0.347248,26.9452
556,-0.0116179,0.982384,27.9332
557,0.0753606,-0.866033,28.8195
558,0.058771,0.844538,29.4369
559,-0.0488382,0.557713,29.8048
560,-0.17728,0.922711,31.0148
561,-0.0597399,-0.797319,31.5588
562,-0.0269209,-0.992799,32.4917
563,0.0495704,-0.990947,33.5744
564,0.0437641,-0.627758,34.0253
565,0.0201642,-0.741297,34.6052
566,0.0154668,-0.167032,34.6385
567,-0.0490866,-0.133266,34.6456
568,-0.0152011,0.97451,35.6251
569,-0.0112456,0.934551,36.5196
570,0.00769303,-0.299347,36.6139
571,0.0442654,-0.650331,37.0964
572,0.028392,-0.916344,37.9889
573,-0.0149679,0.669769,38.4578
574,-0.0131108,-0.288803,38.5338
575,-0.0276648,0.719462,39.092
576,0.0453591,0.9212,39.8591
577,0.0568843,-0.661053,40.3745
578,0.0489336,0.567364,40.6433
579,0.114948,-0.735389,41.3663
580,-0.0830419,-0.945323,42.1099
581,0.00501995,-0.0085615,42.11
582,-0.00706737,0.894992,42.9238
583,0.011908,-0.938231,43.8265
584,-0.0537191,0.3942,44.0272
585,0.0202049,0.975901,44.9405
586,0.025203,-0.495951,45.2121
587,-0.0448565,-0.473257,45.3956
588,-0.0572151,-0.970673,46.23
589,0.0197977,0.989849,47.171
590,0.0481021,0.649464,47.5327
591,-0.12769,-0.174509,47.5349
592,0.121713,-0.762987,48.3176
593,-0.0291962,0.50795,48.6061
594,0.0368262,0.526619,48.846
595,-0.00866839,-0.918144,49.6731
596,0.0665648,0.743009,50.1307
597,0.00870008,-0.999932,51.148
598,0.00772042,-0.88644,51.9476
599,-0.0321453,0.915929,52.8464
600,-0.0483034,0.900991,53.7476
601,-0.0187538,-0.283,53.8174
602,0.0100986,-0.453897,54.0327
603,-0.0456744,-0.981326,54.9081
604,-0.11835,-0.992098,55.6716
605,0.00612041,-0.818769,56.352
606,0.0452303,0.945665,57.1628
607,-0.00129757,-0.28063,57.2408
608,-0.0190521,0.423943,57.4371
609,0.0325756,-0.999222,58.5017
610,-0.111005,-0.308669,58.5407
611,0.00495586,0.227821,58.5904
612,-0.0343368,-0.965582,59.4576
613,-0.0318308,-0.306785,59.5332
614,0.0200949,0.53047,59.7937
615,0.0257038,-0.892263,60.6364
616,-0.0353866,-0.0900724,60.6394
617,-0.0637253,-0.678874,61.0178
618,-0.0431571,-0.716676,61.4714
619,-0.0200358,-0.83944,62.1428
