t,predict_test,teacher
501,0.584211,0.550643,0.00112684
502,0.312503,0.776757,0.216658
503,-0.542794,0.320502,0.961937
504,0.219114,1.08922,1.71902
505,0.0327059,-0.564801,2.07603
506,0.219556,0.880165,2.51244
507,0.17037,-0.254006,2.69253
508,-0.0361038,1.17372,4.15621
509,0.281354,-1.00488,5.8106
510,0.702058,-0.0615716,6.39373
511,0.451644,0.693229,6.45209
512,0.800152,0.308735,6.69359
513,0.509605,1.07452,7.01272
514,-0.0154615,-0.523825,7.27115
515,0.476402,0.938208,7.48442
516,-0.340944,-0.389475,7.48677
517,0.37019,1.0691,7.97524
518,-0.145876,-0.716994,8.30142
519,0.474169,0.601016,8.31751
520,0.271198,0.279193,8.31757
521,0.634769,1.07118,8.50802
522,0.243279,-0.522628,9.09464
523,0.222473,0.938957,9.60799
524,0.336496,-0.391084,10.1374
525,0.55339,1.06756,10.4017
526,0.0621961,-0.712889,11.0025
527,0.762612,0.608773,11.0262
528,0.43759,0.267287,11.0552
529,0.668458,1.08261,11.2267
530,0.0183244,-0.560684,11.5619
531,0.1674,0.884671,12.0764
532,0.300335,-0.263905,12.3948
533,0.555226,1.1679,12.7701
534,0.0826033,-0.988749,13.9179
535,0.748716,-0.0183049,14.5063
536,0.457424,0.702906,14.5665
537,0.680905,0.3028,14.7095
538,0.100673,1.08251,15.6735
539,-0.00394634,-0.549714,15.9713
540,0.425423,0.901692,16.1982
541,-0.465996,-0.303183,16.2247
542,0.333549,1.14182,16.878
543,-0.144123,-0.916208,17.4741
544,0.486511,0.167333,17.576
545,0.29227,0.685937,17.731
546,0.652243,0.391486,17.799
547,0.303223,0.991215,18.2723
548,0.0957069,-0.258064,18.3974
549,0.424403,1.20413,19.0054
550,-0.40697,-1.10732,19.4959
551,0.170995,-0.355367,19.773
552,-0.255538,0.491005,20.3303
553,0.559009,0.555869,20.3303
554,0.370606,0.714715,20.4487
555,0.326059,0.451616,20.4645
556,0.365889,0.928875,20.7814
557,-0.126132,-0.0724465,20.7843
558,0.141319,1.27131,22.0612
559,-0.352236,-1.28447,22.9303
560,0.286893,-0.928417,24.4072
561,0.048141,-0.592082,24.8171
562,0.516349,0.23069,24.8987
563,0.627109,0.747871,24.9133
564,0.431287,0.286172,24.9344
565,0.206725,1.10971,25.7497
566,0.208948,-0.638183,26.4674
567,0.845751,0.762725,26.4743
568,-1.06241,-0.00590313,27.5905
