t,predict_test,teacher
501,0.502874,0.550643,0.00228183
502,0.609065,0.776757,0.0304024
503,0.281841,0.320502,0.031897
504,0.284565,1.08922,0.679362
505,-0.00163186,-0.564801,0.996522
506,-0.195868,0.880165,2.15437
507,-0.478694,-0.254006,2.20485
508,-0.133461,1.17372,3.91358
509,0.28439,-1.00488,5.57579
510,0.216652,-0.0615716,5.6532
511,0.332013,0.693229,5.78368
512,0.436758,0.308735,5.80007
513,1.14756,1.07452,5.8054
514,-0.615675,-0.523825,5.81384
515,0.82947,0.938208,5.82566
516,-0.303845,-0.389475,5.83299
517,1.00494,1.0691,5.83711
518,-0.585818,-0.716994,5.85432
519,0.679405,0.601016,5.86046
520,0.0759598,0.279193,5.90177
521,0.931627,1.07118,5.92124
522,-0.356535,-0.522628,5.94883
523,0.648495,0.938957,6.0332
524,-0.34137,-0.391084,6.03567
525,0.798338,1.06756,6.10815
526,-0.445853,-0.712889,6.17946
527,0.104911,0.608773,6.43333
528,-0.209315,0.267287,6.66048
529,0.953869,1.08261,6.67706
530,-0.388616,-0.560684,6.70667
531,0.716547,0.884671,6.73493
532,-0.519167,-0.263905,6.80009
533,0.848561,1.1679,6.90207
534,-0.616273,-0.988749,7.0408
535,-0.085634,-0.0183049,7.04534
536,-0.218877,0.702906,7.89502
537,0.437178,0.3028,7.91308
538,1.06779,1.08251,7.91329
539,-0.75502,-0.549714,7.95545
540,0.886784,0.901692,7.95567
541,-0.554355,-0.303183,8.01876
542,1.24936,1.14182,8.03032
543,-1.15281,-0.916208,8.0863
544,0.316165,0.167333,8.10845
545,0.606751,0.685937,8.11472
546,0.535498,0.391486,8.13546
547,0.982298,0.991215,8.13554
548,-0.06091,-0.258064,8.17441
549,1.14095,1.20413,8.1784
550,-1.04362,-1.10732,8.18246
551,-0.348841,-0.355367,8.1825
552,0.556103,0.491005,8.18674
553,0.451319,0.555869,8.19767
554,0.685235,0.714715,8.19854
555,0.396692,0.451616,8.20156
556,0.660332,0.928875,8.27367
557,0.144019,-0.0724465,8.32053
558,0.898425,1.27131,8.45957
559,-0.85527,-1.28447,8.64379
560,-0.0722495,-0.928417,9.37681
561,-0.0521526,-0.592082,9.66833
562,0.599823,0.23069,9.80459
563,0.520883,0.747871,9.85612
564,0.195069,0.286172,9.86442
565,1.18572,1.10971,9.87019
566,-0.422941,-0.638183,9.91652
567,0.961476,0.762725,9.95602
568,0.0402049,-0.00590313,9.95815
569,0.346525,1.22877,10.7365
570,-0.352605,-1.11559,11.3187
571,0.348758,-0.373733,11.8406
572,0.514289,0.469775,11.8426
573,0.400921,0.578916,11.8743
574,0.360373,0.671731,11.9713
575,0.793059,0.541963,12.0343
576,0.611755,0.790307,12.0662
577,-0.0593294,0.288171,12.1869
578,1.16048,1.12083,12.1885
579,-0.194335,-0.672322,12.417
580,0.0394377,0.703427,12.8579
581,-0.38825,0.10557,13.1017
582,-0.0195188,1.19543,14.5778
583,-0.329476,-0.968986,14.9868
584,0.663292,0.0441194,15.3702
585,0.065983,0.706579,15.7805
586,0.356545,0.31428,15.7823
587,1.27941,1.07369,15.8246
588,-0.807242,-0.519658,15.9073
589,0.984876,0.944045,15.909
590,-0.547379,-0.403607,15.9297
591,0.923426,1.05515,15.947
592,-0.58138,-0.679775,15.9567
