t,predict_test,teacher
501,0.175869,0.164706,0.000124606
502,0.125618,0.117647,0.000188141
503,0.130355,0.12549,0.000211805
504,0.19979,0.196078,0.000225584
505,0.343264,0.337255,0.000261697
506,0.406318,0.403922,0.00026744
507,0.284973,0.286275,0.000269135
508,0.172853,0.164706,0.000335511
509,0.119861,0.113725,0.000373153
510,0.122369,0.117647,0.000395446
511,0.189345,0.192157,0.00040335
512,0.352944,0.341176,0.000541818
513,0.419296,0.411765,0.000598542
514,0.28679,0.286275,0.000598808
515,0.172839,0.160784,0.000744117
516,0.119363,0.109804,0.000835494
517,0.119907,0.117647,0.0008406
518,0.192028,0.192157,0.000840616
519,0.35113,0.345098,0.000877007
520,0.421346,0.427451,0.000914272
521,0.28823,0.290196,0.000918138
522,0.163391,0.156863,0.000960756
523,0.112595,0.109804,0.000968545
524,0.12125,0.113725,0.00102516
525,0.183931,0.180392,0.00103768
526,0.343786,0.345098,0.0010394
527,0.446471,0.443137,0.00105052
528,0.29719,0.298039,0.00105124
529,0.161616,0.160784,0.00105193
530,0.110813,0.109804,0.00105295
531,0.114685,0.113725,0.00105387
532,0.181068,0.180392,0.00105433
533,0.339334,0.345098,0.00108755
534,0.445571,0.45098,0.00111681
535,0.299965,0.309804,0.00121361
536,0.160476,0.164706,0.0012315
537,0.105776,0.105882,0.00123151
538,0.105282,0.109804,0.00125196
539,0.178192,0.172549,0.00128381
540,0.335115,0.341176,0.00132055
541,0.460959,0.466667,0.00135312
542,0.310051,0.32549,0.00159149
543,0.158418,0.164706,0.00163103
544,0.0976364,0.105882,0.00169903
545,0.105184,0.105882,0.00169952
546,0.167612,0.164706,0.00170796
547,0.327267,0.333333,0.00174476
548,0.471338,0.482353,0.00186609
549,0.326871,0.34902,0.00235664
550,0.157937,0.176471,0.00270015
551,0.0912346,0.109804,0.00304497
552,0.0965992,0.101961,0.00307371
553,0.151129,0.152941,0.003077
554,0.309716,0.313725,0.00309308
555,0.483102,0.490196,0.0031434
