t,predict_test,teacher
501,0.130064,0.12549,2.09167e-05
502,0.195131,0.196078,2.1814e-05
503,0.336267,0.337255,2.27891e-05
504,0.400784,0.403922,3.26347e-05
505,0.282108,0.286275,4.99948e-05
506,0.175421,0.164706,0.000164813
507,0.122331,0.113725,0.000238871
508,0.125487,0.117647,0.000300337
509,0.197066,0.192157,0.000324436
510,0.343382,0.341176,0.000329299
511,0.415759,0.411765,0.00034525
512,0.295704,0.286275,0.000434162
513,0.179578,0.160784,0.000787362
514,0.11464,0.109804,0.000810746
515,0.117955,0.117647,0.000810841
516,0.189427,0.192157,0.000818294
517,0.341637,0.345098,0.000830273
518,0.419431,0.427451,0.000894601
519,0.294059,0.290196,0.000909523
520,0.171681,0.156863,0.00112911
521,0.110923,0.109804,0.00113036
522,0.117352,0.113725,0.00114351
523,0.186756,0.180392,0.00118402
524,0.347729,0.345098,0.00119094
525,0.437155,0.443137,0.00122673
526,0.293495,0.298039,0.00124738
527,0.177209,0.160784,0.00151717
528,0.116814,0.109804,0.0015663
529,0.111219,0.113725,0.00157259
530,0.177102,0.180392,0.00158341
531,0.344608,0.345098,0.00158365
532,0.442816,0.45098,0.00165031
533,0.308631,0.309804,0.00165169
534,0.176296,0.164706,0.00178601
535,0.110096,0.105882,0.00180376
536,0.109748,0.109804,0.00180377
537,0.177887,0.172549,0.00183227
538,0.345303,0.341176,0.00184929
539,0.455665,0.466667,0.00197033
540,0.328963,0.32549,0.00198239
541,0.176033,0.164706,0.0021107
542,0.105961,0.105882,0.0021107
543,0.103586,0.105882,0.00211597
544,0.168886,0.164706,0.00213345
545,0.333706,0.333333,0.00213359
546,0.471136,0.482353,0.00225942
547,0.344296,0.34902,0.00228172
548,0.177828,0.176471,0.00228357
549,0.101758,0.109804,0.00234831
550,0.0962003,0.101961,0.00238149
551,0.160433,0.152941,0.00243762
552,0.323205,0.313725,0.00252747
553,0.484793,0.490196,0.00255667
554,0.384246,0.368627,0.0028006
555,0.194138,0.184314,0.00289712
556,0.103297,0.109804,0.00293946
557,0.0942864,0.101961,0.00299835
558,0.147689,0.145098,0.00300507
559,0.302047,0.294118,0.00306794
560,0.471819,0.494118,0.00356518
561,0.399691,0.396078,0.00357823
562,0.192461,0.196078,0.00359131
563,0.104206,0.109804,0.00362266
564,0.0873299,0.0980392,0.00373735
565,0.136096,0.137255,0.00373869
566,0.285736,0.27451,0.00386472
567,0.47128,0.490196,0.00422254
568,0.431504,0.431373,0.00422256
569,0.202372,0.211765,0.00431079
570,0.102786,0.113725,0.00443047
571,0.0788299,0.0980392,0.00479947
572,0.12797,0.12549,0.00480562
573,0.262812,0.243137,0.00519272
574,0.46295,0.478431,0.0054324
575,0.466398,0.470588,0.00544996
576,0.222574,0.239216,0.00572689
577,0.116785,0.12549,0.00580266
578,0.0755338,0.0941176,0.00614802
579,0.114844,0.113725,0.00614927
580,0.233346,0.219608,0.006338
581,0.445522,0.45098,0.00636779
582,0.500681,0.505882,0.00639484
583,0.275759,0.262745,0.00656421
584,0.123221,0.12549,0.00656936
