t,predict_test,teacher
501,0.0125907,0.12549,0.0127463
502,0.0123487,0.196078,0.0465029
503,0.0121113,0.337255,0.152221
504,0.0118785,0.403922,0.305919
505,0.0116502,0.286275,0.381337
506,0.0114263,0.164706,0.404832
507,0.0112066,0.113725,0.415342
508,0.0109912,0.117647,0.426718
509,0.0107799,0.192157,0.459615
510,0.0105727,0.341176,0.568914
511,0.0103695,0.411765,0.730032
512,0.0101702,0.286275,0.806266
513,0.00997468,0.160784,0.829009
514,0.00978294,0.109804,0.839014
515,0.00959489,0.117647,0.850689
516,0.00941046,0.192157,0.884085
517,0.00922957,0.345098,0.996893
518,0.00905216,0.427451,1.17195
519,0.00887816,0.290196,1.25109
520,0.0087075,0.156863,1.27304
521,0.00854012,0.109804,1.28329
522,0.00837596,0.113725,1.29439
523,0.00821496,0.180392,1.32404
524,0.00805705,0.345098,1.43763
525,0.00790218,0.443137,1.62706
526,0.00775028,0.298039,1.71133
527,0.0076013,0.160784,1.7348
528,0.00745519,0.109804,1.74527
529,0.00731188,0.113725,1.7566
530,0.00717133,0.180392,1.7866
531,0.00703349,0.345098,1.90089
532,0.00689829,0.45098,2.0981
533,0.00676569,0.309804,2.18993
534,0.00663564,0.164706,2.21492
535,0.00650808,0.105882,2.22479
536,0.00638299,0.109804,2.23549
537,0.00626029,0.172549,2.26314
538,0.00613995,0.341176,2.37539
539,0.00602193,0.466667,2.58758
540,0.00590618,0.32549,2.68972
541,0.00579265,0.164706,2.71497
542,0.0056813,0.105882,2.72501
543,0.00557209,0.105882,2.73507
544,0.00546499,0.164706,2.76043
545,0.00535994,0.333333,2.868
546,0.00525691,0.482353,3.09562
547,0.00515586,0.34902,3.21386
548,0.00505675,0.176471,3.24324
549,0.00495955,0.109804,3.25423
550,0.00486422,0.101961,3.26366
551,0.00477072,0.152941,3.28562
552,0.00467901,0.313725,3.38113
553,0.00458907,0.490196,3.61694
554,0.00450086,0.368627,3.74953
555,0.00441434,0.184314,3.78189
556,0.00432949,0.109804,3.79302
557,0.00424627,0.101961,3.80257
558,0.00416465,0.145098,3.82243
559,0.00408459,0.294118,3.90655
560,0.00400608,0.494118,4.14676
561,0.00392907,0.396078,4.30054
562,0.00385355,0.196078,4.33749
563,0.00377947,0.109804,4.34873
564,0.00370683,0.0980392,4.35763
565,0.00363557,0.137255,4.37548
566,0.00356569,0.27451,4.44889
567,0.00349715,0.490196,4.68577
568,0.00342993,0.431373,4.8689
569,0.003364,0.211765,4.91233
570,0.00329933,0.113725,4.92453
571,0.00323591,0.0980392,4.93352
572,0.00317371,0.12549,4.94848
573,0.0031127,0.243137,5.00609
574,0.00305287,0.478431,5.23207
575,0.00299419,0.470588,5.45072
576,0.00293663,0.239216,5.50655
577,0.00288019,0.12549,5.52158
578,0.00282482,0.0941176,5.52991
579,0.00277052,0.113725,5.54222
580,0.00271727,0.219608,5.58927
581,0.00266504,0.45098,5.79025
582,0.00261381,0.505882,6.04353
583,0.00256357,0.262745,6.11123
584,0.00251429,0.12549,6.12635
585,0.00246596,0.0901961,6.13405
586,0.00241856,0.101961,6.14395
587,0.00237207,0.188235,6.1785
588,0.00232647,0.407843,6.34294
589,0.00228175,0.537255,6.62914
590,0.00223789,0.305882,6.72134
591,0.00219487,0.141176,6.74066
592,0.00215268,0.0901961,6.74841
593,0.00211131,0.0980392,6.75761
594,0.00207072,0.160784,6.7828
595,0.00203092,0.364706,6.91433
596,0.00199188,0.556863,7.22221
