t,predict_test,teacher
501,0.53561,0.536295,4.69269e-07
502,0.549013,0.549239,5.20179e-07
503,0.482775,0.472762,0.000100785
504,0.415402,0.379746,0.00137212
505,0.340346,0.339764,0.00137246
506,0.482749,0.408659,0.00686178
507,0.522058,0.549678,0.00762462
508,0.409427,0.41561,0.00766286
509,0.418868,0.456628,0.00908869
510,0.504673,0.479724,0.00971112
511,0.504004,0.500248,0.00972524
512,0.477354,0.455713,0.0101936
513,0.455706,0.427589,0.0109841
514,0.450263,0.364442,0.0183493
515,0.417001,0.337262,0.0247076
516,0.377953,0.325831,0.0274243
517,0.416068,0.295486,0.0419643
518,0.41253,0.35587,0.0451747
519,0.412009,0.389164,0.0456966
520,0.401797,0.374989,0.0464153
521,0.508189,0.395455,0.0591243
522,0.640019,0.608424,0.0601226
523,0.593054,0.581121,0.060265
524,0.446158,0.414392,0.0612741
525,0.417904,0.358963,0.0647482
526,0.430493,0.411515,0.0651084
527,0.502478,0.49847,0.0651244
528,0.406028,0.384661,0.065581
529,0.36091,0.352779,0.0656471
530,0.375519,0.362979,0.0658044
531,0.606229,0.646538,0.0674291
532,0.595537,0.604066,0.0675019
533,0.454577,0.454183,0.067502
534,0.368979,0.404374,0.0687549
535,0.446837,0.422894,0.0693281
536,0.505479,0.568766,0.0733334
537,0.405765,0.410851,0.0733593
538,0.377671,0.412888,0.0745995
539,0.362413,0.354243,0.0746663
540,0.36886,0.349153,0.0750547
541,0.402842,0.371998,0.076006
542,0.306111,0.302899,0.0760163
543,0.250031,0.276581,0.0767212
544,0.375511,0.385997,0.0768312
545,0.403893,0.451736,0.0791201
546,0.452689,0.351927,0.0892731
547,0.3587,0.305162,0.0921393
548,0.44164,0.385972,0.0952383
549,0.351677,0.309066,0.097054
550,0.324998,0.327036,0.0970581
551,0.234108,0.25518,0.0975022
552,0.277791,0.268771,0.0975835
553,0.422397,0.458425,0.0988815
554,0.411701,0.404168,0.0989383
555,0.306333,0.326178,0.0993321
556,0.290147,0.265587,0.0999353
557,0.257927,0.27089,0.100103
558,0.361304,0.326889,0.101288
559,0.399671,0.444007,0.103253
560,0.268843,0.30764,0.104759
561,0.196914,0.247438,0.107311
562,0.280536,0.295516,0.107536
563,0.265882,0.274041,0.107602
564,0.207409,0.225753,0.107939
565,0.219309,0.242393,0.108472
566,0.182839,0.216193,0.109584
567,0.38933,0.399295,0.109683
568,0.386386,0.414556,0.110477
569,0.291387,0.291996,0.110477
570,0.270108,0.237635,0.111532
571,0.211808,0.22979,0.111855
572,0.215376,0.276454,0.115586
573,0.193826,0.221971,0.116378
574,0.242306,0.302974,0.120058
575,0.310163,0.281123,0.120902
576,0.356353,0.414869,0.124326
577,0.318068,0.361135,0.126181
578,0.307736,0.298655,0.126263
579,0.424571,0.567193,0.146604
580,0.452765,0.430302,0.147109
581,0.482461,0.635494,0.170528
582,0.435131,0.439033,0.170543
583,0.412911,0.447025,0.171707
584,0.370759,0.390641,0.172102
585,0.408051,0.408009,0.172102
586,0.475091,0.475304,0.172102
587,0.450623,0.426841,0.172668
588,0.479906,0.543568,0.176721
589,0.559925,0.553588,0.176761
590,0.638043,0.665611,0.177521
591,0.611041,0.624895,0.177713
592,0.482645,0.511158,0.178526
593,0.401309,0.424928,0.179084
594,0.415156,0.411537,0.179097
595,0.542117,0.623215,0.185674
596,0.635189,0.634455,0.185674
597,0.570033,0.590413,0.186089
598,0.447522,0.494679,0.188313
599,0.373293,0.410254,0.189679
600,0.505576,0.584843,0.195963
601,0.509994,0.53661,0.196671
602,0.524017,0.572812,0.199052
603,0.577462,0.585398,0.199115
604,0.611438,0.625609,0.199316
605,0.683706,0.715496,0.200327
606,0.530229,0.57301,0.202157
607,0.428884,0.473329,0.204132
608,0.43458,0.402791,0.205143
609,0.452769,0.478371,0.205798
610,0.50057,0.494938,0.20583
611,0.504389,0.487177,0.206126
612,0.652715,0.67871,0.206802
613,0.645883,0.649982,0.206819
614,0.595142,0.657369,0.210691
615,0.52369,0.544564,0.211127
616,0.419065,0.424046,0.211152
617,0.517307,0.5903,0.21648
618,0.57756,0.577404,0.21648
619,0.583214,0.602722,0.21686
620,0.426913,0.462034,0.218094
621,0.45598,0.52913,0.223444
622,0.404341,0.447865,0.225339
623,0.406178,0.415494,0.225426
624,0.341012,0.35714,0.225686
625,0.356892,0.309307,0.22795
626,0.498451,0.512698,0.228153
627,0.447354,0.423895,0.228703
628,0.492153,0.497974,0.228737
