t,predict_test,teacher
501,0.549582,0.536295,0.00017653
502,0.55299,0.549239,0.000190604
503,0.494948,0.472762,0.000682795
504,0.404087,0.379746,0.00127529
505,0.362383,0.339764,0.00178692
506,0.474234,0.408659,0.0060871
507,0.522409,0.549678,0.00683071
508,0.425618,0.41561,0.00693087
509,0.408512,0.456628,0.00924605
510,0.527081,0.479724,0.0114887
511,0.522746,0.500248,0.0119949
512,0.48818,0.455713,0.0130491
513,0.478866,0.427589,0.0156784
514,0.466558,0.364442,0.026106
515,0.424481,0.337262,0.0337132
516,0.392093,0.325831,0.0381038
517,0.420563,0.295486,0.053748
518,0.420877,0.35587,0.0579739
519,0.417471,0.389164,0.0587752
520,0.393994,0.374989,0.0591364
521,0.51149,0.395455,0.0726006
522,0.622971,0.608424,0.0728122
523,0.590418,0.581121,0.0728987
524,0.432343,0.414392,0.0732209
525,0.435795,0.358963,0.0791241
526,0.430005,0.411515,0.079466
527,0.485803,0.49847,0.0796264
528,0.389858,0.384661,0.0796534
529,0.365765,0.352779,0.0798221
530,0.372292,0.362979,0.0799088
531,0.619151,0.646538,0.0806589
532,0.609156,0.604066,0.0806848
533,0.469483,0.454183,0.0809189
534,0.366048,0.404374,0.0823878
535,0.445878,0.422894,0.0829161
536,0.48028,0.568766,0.0907459
537,0.393744,0.410851,0.0910386
538,0.389489,0.412888,0.0915861
539,0.389357,0.354243,0.0928191
540,0.372888,0.349153,0.0933825
541,0.403351,0.371998,0.0943655
542,0.308642,0.302899,0.0943985
543,0.271636,0.276581,0.094423
544,0.385623,0.385997,0.0944231
545,0.393858,0.451736,0.097773
546,0.453997,0.351927,0.108191
547,0.344568,0.305162,0.109744
548,0.428974,0.385972,0.111593
549,0.361369,0.309066,0.114329
550,0.320022,0.327036,0.114378
551,0.244691,0.25518,0.114488
552,0.284442,0.268771,0.114734
553,0.420401,0.458425,0.116179
554,0.408517,0.404168,0.116198
555,0.309005,0.326178,0.116493
556,0.282685,0.265587,0.116785
557,0.252748,0.27089,0.117115
558,0.371616,0.326889,0.119115
559,0.395391,0.444007,0.121479
560,0.253409,0.30764,0.12442
561,0.221342,0.247438,0.125101
562,0.272003,0.295516,0.125653
563,0.249377,0.274041,0.126262
564,0.209237,0.225753,0.126535
565,0.204214,0.242393,0.127992
566,0.187235,0.216193,0.128831
567,0.359559,0.399295,0.13041
568,0.361591,0.414556,0.133215
569,0.26425,0.291996,0.133985
570,0.284685,0.237635,0.136199
571,0.222507,0.22979,0.136252
572,0.220438,0.276454,0.139389
573,0.188068,0.221971,0.140539
574,0.240538,0.302974,0.144437
575,0.343159,0.281123,0.148286
576,0.36454,0.414869,0.150818
577,0.332633,0.361135,0.151631
578,0.31895,0.298655,0.152043
579,0.455038,0.567193,0.164621
580,0.46473,0.430302,0.165807
581,0.48514,0.635494,0.188413
582,0.428494,0.439033,0.188524
583,0.397807,0.447025,0.190947
584,0.362004,0.390641,0.191767
585,0.384111,0.408009,0.192338
586,0.458515,0.475304,0.19262
587,0.434559,0.426841,0.192679
588,0.469173,0.543568,0.198214
589,0.531683,0.553588,0.198694
