t,predict_test,teacher
501,0.529047,0.536295,5.25442e-05
502,0.524495,0.549239,0.000664775
503,0.494572,0.472762,0.00114044
504,0.39475,0.379746,0.00136556
505,0.325183,0.339764,0.00157814
506,0.438221,0.408659,0.00245208
507,0.518873,0.549678,0.00340105
508,0.40736,0.41561,0.00346912
509,0.391364,0.456628,0.00772848
510,0.515707,0.479724,0.00902322
511,0.525445,0.500248,0.00965815
512,0.438436,0.455713,0.00995662
513,0.468066,0.427589,0.011595
514,0.496244,0.364442,0.0289666
515,0.41089,0.337262,0.0343878
516,0.327659,0.325831,0.0343911
517,0.395087,0.295486,0.0443114
518,0.438051,0.35587,0.0510652
519,0.399787,0.389164,0.051178
520,0.37416,0.374989,0.0511787
521,0.493889,0.395455,0.0608679
522,0.553417,0.608424,0.0638937
523,0.519982,0.581121,0.0676317
524,0.420463,0.414392,0.0676685
525,0.436226,0.358963,0.0736382
526,0.443102,0.411515,0.0746359
527,0.46526,0.49847,0.0757388
528,0.367682,0.384661,0.0760271
529,0.354617,0.352779,0.0760304
530,0.413618,0.362979,0.0785948
531,0.57612,0.646538,0.0835534
532,0.590526,0.604066,0.0837367
533,0.450944,0.454183,0.0837472
534,0.391205,0.404374,0.0839206
535,0.453517,0.422894,0.0848584
536,0.513159,0.568766,0.0879506
537,0.344155,0.410851,0.0923989
538,0.396645,0.412888,0.0926628
539,0.385735,0.354243,0.0936545
540,0.369157,0.349153,0.0940547
541,0.359831,0.371998,0.0942027
542,0.266835,0.302899,0.0955034
543,0.285593,0.276581,0.0955846
544,0.370764,0.385997,0.0958167
545,0.381019,0.451736,0.100818
546,0.44996,0.351927,0.110428
547,0.330935,0.305162,0.111092
548,0.43442,0.385972,0.11344
549,0.341428,0.309066,0.114487
550,0.332986,0.327036,0.114522
551,0.196185,0.25518,0.118003
552,0.245899,0.268771,0.118526
553,0.414298,0.458425,0.120473
554,0.371149,0.404168,0.121563
555,0.307984,0.326178,0.121894
556,0.300546,0.265587,0.123116
557,0.292151,0.27089,0.123568
558,0.360749,0.326889,0.124715
559,0.403201,0.444007,0.12638
560,0.263672,0.30764,0.128313
561,0.252881,0.247438,0.128343
562,0.283239,0.295516,0.128494
563,0.261595,0.274041,0.128648
564,0.209067,0.225753,0.128927
565,0.201455,0.242393,0.130603
566,0.21059,0.216193,0.130634
567,0.366708,0.399295,0.131696
568,0.32958,0.414556,0.138917
569,0.281129,0.291996,0.139035
