t,predict_test,teacher
501,0.548131,0.51508,0.00109237
502,0.594252,0.66014,0.00543367
503,0.531418,0.601267,0.0103126
504,0.424353,0.458017,0.0114458
505,0.339263,0.366507,0.012188
506,0.404068,0.503886,0.0221515
507,0.459098,0.491417,0.0231961
508,0.402015,0.407311,0.0232241
509,0.425813,0.396775,0.0240673
510,0.497785,0.531997,0.0252378
511,0.470032,0.479897,0.0253351
512,0.464629,0.466776,0.0253397
513,0.549511,0.600192,0.0279083
514,0.491189,0.496933,0.0279413
515,0.380381,0.375588,0.0279643
516,0.362403,0.359229,0.0279744
517,0.42817,0.487243,0.031464
518,0.42146,0.38423,0.0328502
519,0.402467,0.373359,0.0336974
520,0.405919,0.423293,0.0339992
521,0.479697,0.475595,0.0340161
522,0.56041,0.464227,0.0432674
523,0.563704,0.555351,0.0433371
524,0.484599,0.499353,0.0435548
525,0.447282,0.401398,0.0456601
526,0.392696,0.342646,0.0481651
527,0.441221,0.478344,0.0495433
528,0.38982,0.388069,0.0495464
529,0.370568,0.348026,0.0500545
530,0.347288,0.322822,0.0506531
531,0.586088,0.6097,0.0512106
532,0.600536,0.655962,0.0542826
533,0.485667,0.502501,0.054566
534,0.376683,0.401488,0.0551813
535,0.439772,0.476257,0.0565124
536,0.522296,0.510709,0.0566467
537,0.442157,0.404582,0.0580585
538,0.432477,0.367717,0.0622524
539,0.344999,0.337782,0.0623045
540,0.300541,0.29294,0.0623622
541,0.374774,0.384512,0.0624571
542,0.356513,0.328987,0.0632148
543,0.294714,0.287028,0.0632738
544,0.357274,0.29995,0.0665599
545,0.36453,0.357372,0.0666112
546,0.411767,0.494601,0.0734726
547,0.347653,0.34066,0.0735215
548,0.444399,0.5715,0.0896762
549,0.391533,0.43849,0.0918811
550,0.354432,0.352325,0.0918856
551,0.251799,0.274629,0.0924068
552,0.2613,0.256607,0.0924288
553,0.33012,0.319638,0.0925387
554,0.363021,0.370403,0.0925932
555,0.319896,0.305508,0.0928002
556,0.317384,0.330285,0.0929666
557,0.252601,0.263228,0.0930796
558,0.348508,0.455751,0.104581
559,0.451798,0.442439,0.104668
560,0.317982,0.317657,0.104668
561,0.189597,0.248346,0.10812
562,0.234708,0.257128,0.108622
563,0.261247,0.29239,0.109592
564,0.242357,0.236459,0.109627
565,0.258334,0.225141,0.110729
566,0.17722,0.221407,0.112681
567,0.276324,0.240909,0.113936
568,0.312526,0.313919,0.113938
569,0.294751,0.313906,0.114305
570,0.326035,0.251864,0.119806
571,0.253137,0.210675,0.121609
572,0.225417,0.273004,0.123873
573,0.206566,0.227685,0.124319
574,0.228897,0.19825,0.125259
575,0.260078,0.284396,0.12585
576,0.322598,0.25933,0.129853
577,0.321356,0.351018,0.130733
578,0.33032,0.315836,0.130943
579,0.42605,0.322866,0.14159
580,0.427738,0.46154,0.142732
581,0.498106,0.405,0.151401
582,0.440195,0.482672,0.153205
583,0.396996,0.346092,0.155797
