t,predict_test,teacher
501,0.547018,0.51508,0.00102004
502,0.590907,0.66014,0.00581322
503,0.534349,0.601267,0.0102912
504,0.429406,0.458017,0.0111098
505,0.349402,0.366507,0.0114023
506,0.432905,0.503886,0.0164406
507,0.474161,0.491417,0.0167383
508,0.385449,0.407311,0.0172162
509,0.416724,0.396775,0.0176142
510,0.485873,0.531997,0.0197416
511,0.480313,0.479897,0.0197418
512,0.459646,0.466776,0.0197926
513,0.539613,0.600192,0.0234624
514,0.473873,0.496933,0.0239942
515,0.371238,0.375588,0.0240131
516,0.368072,0.359229,0.0240913
517,0.432922,0.487243,0.0270421
518,0.423926,0.38423,0.0286179
519,0.396519,0.373359,0.0291543
520,0.397364,0.423293,0.0298265
521,0.472797,0.475595,0.0298344
522,0.558645,0.464227,0.0387492
523,0.56445,0.555351,0.038832
524,0.486406,0.499353,0.0389996
525,0.444347,0.401398,0.0408441
526,0.395536,0.342646,0.0436415
527,0.451316,0.478344,0.044372
528,0.38627,0.388069,0.0443753
529,0.367354,0.348026,0.0447489
530,0.342482,0.322822,0.0451354
531,0.592119,0.6097,0.0454445
532,0.61084,0.655962,0.0474805
533,0.484754,0.502501,0.0477955
534,0.392552,0.401488,0.0478754
535,0.432202,0.476257,0.0498161
536,0.517847,0.510709,0.0498671
537,0.411332,0.404582,0.0499127
538,0.425131,0.367717,0.053209
539,0.356706,0.337782,0.0535671
540,0.305736,0.29294,0.0537308
541,0.364621,0.384512,0.0541265
542,0.346192,0.328987,0.0544225
543,0.29584,0.287028,0.0545002
544,0.356162,0.29995,0.05766
545,0.369652,0.357372,0.0578108
546,0.404993,0.494601,0.0658404
547,0.334108,0.34066,0.0658833
548,0.445193,0.5715,0.0818369
549,0.382804,0.43849,0.0849378
550,0.355704,0.352325,0.0849492
551,0.259661,0.274629,0.0851733
552,0.266659,0.256607,0.0852743
553,0.320481,0.319638,0.0852751
554,0.371401,0.370403,0.085276
555,0.314085,0.305508,0.0853496
556,0.311342,0.330285,0.0857085
557,0.246665,0.263228,0.0859828
558,0.355737,0.455751,0.0959855
559,0.450368,0.442439,0.0960484
560,0.308183,0.317657,0.0961382
561,0.217352,0.248346,0.0970988
562,0.234815,0.257128,0.0975967
563,0.252829,0.29239,0.0991618
564,0.228726,0.236459,0.0992216
565,0.255622,0.225141,0.100151
566,0.206905,0.221407,0.100361
567,0.282149,0.240909,0.102062
568,0.341171,0.313919,0.102804
569,0.317925,0.313906,0.10282
570,0.342111,0.251864,0.110965
571,0.271954,0.210675,0.11472
572,0.236791,0.273004,0.116032
573,0.231476,0.227685,0.116046
574,0.217895,0.19825,0.116432
575,0.237003,0.284396,0.118678
576,0.311481,0.25933,0.121398
577,0.304609,0.351018,0.123551
578,0.317589,0.315836,0.123555
579,0.434561,0.322866,0.13603
580,0.444779,0.46154,0.136311
581,0.517805,0.405,0.149036
582,0.449219,0.482672,0.150155
583,0.404939,0.346092,0.153618
584,0.364573,0.329698,0.154835
585,0.428768,0.391592,0.156217
586,0.529888,0.511303,0.156562
587,0.456037,0.443789,0.156712
588,0.455031,0.413024,0.158477
589,0.52232,0.551978,0.159356
590,0.621143,0.572845,0.161689
591,0.665627,0.66708,0.161691
592,0.570588,0.546214,0.162285
593,0.473128,0.476496,0.162296
594,0.409131,0.396214,0.162463
595,0.477656,0.460606,0.162754
596,0.582042,0.686404,0.173645
597,0.574244,0.595453,0.174095
598,0.462965,0.485898,0.174621
599,0.370935,0.399347,0.175428
600,0.540143,0.576766,0.176769
601,0.564503,0.61512,0.179332
602,0.585498,0.588146,0.179339
603,0.575765,0.621432,0.181424
604,0.546358,0.557867,0.181556
605,0.601796,0.646668,0.18357
606,0.560841,0.568053,0.183622
607,0.509807,0.534716,0.184242
608,0.472502,0.481131,0.184317
609,0.414354,0.393409,0.184756
610,0.425602,0.485192,0.188307
611,0.462395,0.455771,0.18835
612,0.632162,0.630529,0.188353
613,0.687239,0.709714,0.188858
614,0.671396,0.661226,0.188962
615,0.584699,0.662999,0.195093
616,0.413594,0.490337,0.200982
617,0.481743,0.517569,0.202266
618,0.559178,0.675772,0.21586
619,0.598622,0.652171,0.218728
620,0.437907,0.503613,0.223045
621,0.450865,0.461826,0.223165
622,0.373359,0.421699,0.225502
623,0.384525,0.407992,0.226052
624,0.359364,0.357146,0.226057
625,0.411808,0.435052,0.226598
626,0.466456,0.360479,0.237829
627,0.386598,0.336823,0.240306
628,0.43337,0.43289,0.240306
629,0.493239,0.538147,0.242323
630,0.520636,0.403517,0.25604
631,0.431909,0.423629,0.256109
632,0.374537,0.347238,0.256854
633,0.298595,0.287563,0.256976
634,0.292865,0.256059,0.25833
635,0.333195,0.313468,0.258719
636,0.373032,0.399214,0.259405
637,0.36734,0.323689,0.26131
638,0.339041,0.326291,0.261473
639,0.426682,0.42142,0.261501
640,0.543195,0.582142,0.263017
641,0.441044,0.434321,0.263063
642,0.362105,0.362263,0.263063
643,0.421528,0.33201,0.271076
644,0.269669,0.265798,0.271091
645,0.315693,0.316586,0.271092
646,0.29379,0.26515,0.271912
647,0.238635,0.248184,0.272003
648,0.331011,0.300758,0.272919
649,0.365284,0.295132,0.27784
650,0.38612,0.427398,0.279544
651,0.388258,0.348239,0.281145
652,0.448108,0.341929,0.29242
653,0.423907,0.532365,0.304183
654,0.421987,0.356623,0.308455
655,0.328797,0.286741,0.310224
656,0.294171,0.24797,0.312358
657,0.251858,0.231306,0.312781
658,0.262337,0.29971,0.314178
659,0.355026,0.310406,0.316168
660,0.285804,0.273098,0.31633
661,0.389675,0.371851,0.316648
662,0.58093,0.583756,0.316656
663,0.430103,0.408625,0.317117
664,0.451295,0.499178,0.31941
665,0.370939,0.345093,0.320078
666,0.301508,0.330242,0.320903
667,0.367076,0.376573,0.320994
668,0.313153,0.290827,0.321492
669,0.402746,0.526957,0.33692
670,0.492046,0.399228,0.345536
671,0.42676,0.38782,0.347052
672,0.42191,0.497992,0.35284
673,0.431991,0.371827,0.35646
674,0.340934,0.354796,0.356652
675,0.386388,0.339871,0.358816
676,0.314182,0.269991,0.360769
677,0.333744,0.401887,0.365412
678,0.443207,0.312723,0.382438
679,0.460809,0.431556,0.383294
680,0.395208,0.409537,0.3835
681,0.360964,0.326894,0.38466
682,0.466863,0.483857,0.384949
683,0.437297,0.443611,0.384989
684,0.340831,0.317705,0.385524
685,0.315719,0.30626,0.385613
686,0.288776,0.251173,0.387027
687,0.324813,0.312306,0.387184
688,0.375458,0.379702,0.387202
689,0.488094,0.488707,0.387202
690,0.354223,0.37491,0.38763
691,0.409859,0.343747,0.392001
692,0.491322,0.586045,0.400973
693,0.429528,0.477643,0.403288
694,0.294866,0.334979,0.404897
695,0.298998,0.287284,0.405035
696,0.296526,0.373456,0.410953
697,0.361561,0.428302,0.415407
698,0.398939,0.391386,0.415464
699,0.434919,0.525471,0.423664
700,0.526136,0.466594,0.427209
701,0.47404,0.449821,0.427796
702,0.436052,0.438842,0.427804
703,0.424134,0.423452,0.427804
704,0.34927,0.315625,0.428936
705,0.278706,0.269965,0.429013
706,0.372121,0.383626,0.429145
707,0.341036,0.332974,0.42921
708,0.40601,0.369125,0.43057
709,0.464642,0.418186,0.432729
710,0.412709,0.423633,0.432848
711,0.367075,0.374816,0.432908
712,0.413736,0.366948,0.435097
713,0.342905,0.31255,0.436018
714,0.329854,0.317314,0.436176
715,0.336208,0.266631,0.441017
716,0.314393,0.330283,0.441269
717,0.323682,0.29147,0.442307
718,0.315118,0.292882,0.442801
719,0.319453,0.33236,0.442968
720,0.300939,0.290257,0.443082
721,0.269967,0.255976,0.443278
722,0.279497,0.27572,0.443292
723,0.365703,0.276905,0.451177
724,0.357146,0.318864,0.452643
725,0.368852,0.353227,0.452887
726,0.350651,0.325332,0.453528
727,0.424548,0.463821,0.45507
728,0.493367,0.421563,0.460226
729,0.36615,0.321132,0.462253
730,0.276852,0.258076,0.462605
731,0.241094,0.227211,0.462798
732,0.309334,0.281932,0.463549
733,0.34711,0.32533,0.464023
734,0.4369,0.418331,0.464368
735,0.549599,0.524477,0.464999
736,0.579565,0.446544,0.482694
737,0.506258,0.479901,0.483388
738,0.483032,0.515697,0.484456
739,0.392355,0.37071,0.484924
740,0.265053,0.283284,0.485256
741,0.305459,0.26952,0.486548
742,0.293719,0.318383,0.487156
743,0.242113,0.259036,0.487443
744,0.224797,0.237985,0.487617
745,0.519702,0.545122,0.488263
746,0.427179,0.417342,0.48836
747,0.342608,0.342771,0.48836
748,0.337209,0.36001,0.488879
749,0.30268,0.346254,0.490778
750,0.238043,0.263621,0.491432
751,0.271989,0.286825,0.491652
752,0.283389,0.327642,0.493611
753,0.268047,0.255595,0.493766
754,0.261275,0.223737,0.495175
755,0.344649,0.530891,0.529861
756,0.234413,0.350137,0.543253
757,0.217381,0.287828,0.548216
758,0.343953,0.422731,0.554422
759,0.34309,0.423318,0.560858
760,0.305399,0.330186,0.561473
761,0.429603,0.374485,0.564511
762,0.474952,0.547552,0.569781
763,0.468626,0.530812,0.573649
764,0.549164,0.43459,0.586776
765,0.364029,0.3459,0.587104
766,0.37599,0.283035,0.595745
767,0.369912,0.302756,0.600255
768,0.335836,0.304166,0.601258
769,0.38916,0.354456,0.602462
770,0.557424,0.456269,0.612694
771,0.589222,0.570314,0.613052
772,0.52894,0.508378,0.613475
773,0.562829,0.509062,0.616366
774,0.439043,0.436995,0.61637
775,0.341634,0.322849,0.616723
776,0.313207,0.278397,0.617934
777,0.300468,0.276381,0.618515
778,0.370611,0.288926,0.625187
779,0.445584,0.383602,0.629029
780,0.541399,0.554834,0.629209
781,0.575981,0.587611,0.629344
782,0.434417,0.428142,0.629384
783,0.413032,0.485114,0.63458
784,0.407493,0.411957,0.6346
785,0.327449,0.331376,0.634615
786,0.273235,0.273404,0.634615
787,0.318394,0.277179,0.636314
788,0.446666,0.525801,0.642576
789,0.448364,0.458309,0.642675
790,0.507672,0.513309,0.642707
791,0.499064,0.541333,0.644493
792,0.349284,0.389209,0.646087
793,0.317492,0.35262,0.647321
794,0.451575,0.50282,0.649947
795,0.474566,0.52172,0.652171
796,0.368557,0.388188,0.652556
797,0.418463,0.417708,0.652557
798,0.388892,0.429633,0.654217
799,0.317321,0.347893,0.655151
800,0.416802,0.43834,0.655615
801,0.457427,0.530512,0.660957
802,0.372584,0.405222,0.662022
803,0.358043,0.343697,0.662228
804,0.351327,0.339947,0.662357
805,0.450668,0.520532,0.667238
806,0.412456,0.386705,0.667901
807,0.361879,0.375272,0.668081
808,0.284644,0.309942,0.66872
809,0.33252,0.302824,0.669602
810,0.393172,0.408081,0.669825
811,0.444104,0.460744,0.670101
812,0.423782,0.418603,0.670128
813,0.461378,0.438226,0.670664
814,0.381423,0.348596,0.671742
815,0.475357,0.588812,0.684614
816,0.460046,0.499049,0.686135
817,0.355088,0.381226,0.686819
818,0.385364,0.336711,0.689186
819,0.391242,0.391945,0.689186
820,0.366202,0.384189,0.68951
821,0.383621,0.375462,0.689576
822,0.402103,0.377834,0.690165
823,0.528596,0.604996,0.696002
824,0.496763,0.479167,0.696312
825,0.432202,0.44337,0.696436
826,0.523466,0.546986,0.69699
827,0.526627,0.443585,0.703886
828,0.488363,0.501318,0.704053
829,0.459591,0.445184,0.704261
830,0.457785,0.437164,0.704686
831,0.497715,0.48137,0.704953
832,0.432475,0.395252,0.706339
833,0.50777,0.583801,0.71212
834,0.494525,0.51947,0.712742
835,0.476657,0.434547,0.714515
836,0.569173,0.620476,0.717147
837,0.671928,0.730328,0.720558
838,0.591697,0.643125,0.723203
839,0.429418,0.467273,0.724636
840,0.506738,0.531947,0.725271
841,0.503214,0.60934,0.736534
842,0.406305,0.463533,0.739809
843,0.500045,0.60185,0.750173
844,0.461991,0.539032,0.756108
845,0.35165,0.424323,0.76139
846,0.389573,0.422469,0.762472
847,0.399106,0.412884,0.762662
848,0.489047,0.521718,0.763729
849,0.454025,0.392261,0.767544
850,0.397597,0.412852,0.767776
851,0.355046,0.39311,0.769225
852,0.351367,0.327341,0.769803
853,0.296408,0.299287,0.769811
854,0.270894,0.255683,0.770042
855,0.311349,0.240625,0.775044
856,0.294472,0.281455,0.775213
857,0.298022,0.263547,0.776402
858,0.274583,0.227173,0.77865
859,0.369672,0.363627,0.778686
860,0.452708,0.406826,0.780791
861,0.44315,0.389017,0.783722
862,0.314618,0.290701,0.784294
863,0.239194,0.242622,0.784305
864,0.205983,0.211316,0.784334
865,0.321029,0.388898,0.78894
866,0.367793,0.414441,0.791116
