t,unit,input,output
500,1,0,-0.0426264
500,2,0,-0.0425408
500,3,0,-0.0424549
500,4,0,-0.0423675
500,5,0,-0.0422809
500,6,0,-0.0421939
500,7,0,-0.0421065
500,8,0,-0.0420188
500,9,0,-0.0419307
500,10,0,-0.0418423
500,11,0,-0.0417535
500,12,0,-0.0416644
500,13,0,-0.041575
500,14,0,-0.0414852
500,15,0,-0.0500498
500,16,0,-0.0499682
500,17,0,-0.0498861
500,18,0,-0.0498037
500,19,0,-0.049719
500,20,0,-0.0496357
500,21,0,-0.0495503
500,22,0,-0.0494663
500,23,0,-0.0493819
500,24,0,-0.0492971
500,25,0,-0.049212
500,26,0,-0.0491265
500,27,0,-0.0490406
500,28,0,-0.0489544
500,29,0,-0.0573573
500,30,0,-0.0572795
500,31,0,-0.0571983
500,32,0,-0.0571195
500,33,0,-0.0570402
500,34,0,-0.0569605
500,35,0,-0.0568801
500,36,0,-0.0462207
500,37,0,-0.0461396
500,38,0,-0.0460593
500,39,0,-0.0459785
500,40,0,-0.045897
500,41,0,-0.045815
500,42,0,-0.0457309
500,43,0,-0.0456477
500,44,0,-0.0455639
500,45,0,-0.0454795
500,46,0,-0.0453946
500,47,0,-0.0453091
500,48,0,-0.0452231
500,49,0,-0.0451366
500,50,0,-0.0450482
500,51,0,-0.0449607
500,52,0,-0.0448727
500,53,0,-0.0447843
500,54,0,-0.0446954
500,55,0,-0.0446061
500,56,0,-0.044515
500,57,0,-0.0444249
500,58,0,-0.0443344
500,59,0,-0.0442435
500,60,0,-0.0441523
500,61,0,-0.0440607
500,62,0,-0.0439688
500,63,0,-0.0438767
500,64,0,-0.0437842
500,65,0,-0.0334052
500,66,0,-0.0333124
500,67,0,-0.0420536
500,68,0,-0.0419689
500,69,0,-0.041884
500,70,0,-0.0417987
500,71,0,-0.0417131
500,72,0,-0.0416273
500,73,0,-0.0415413
500,74,0,-0.0414551
500,75,0,-0.0413688
500,76,0,-0.0412823
500,77,0,-0.049851
500,78,0,-0.0393412
