t,unit,input,output
500,1,-0.484521,0.656181
500,2,1.10121,-0.0903704
500,3,0.230957,0.914538
500,4,-0.695625,0.373859
500,5,-0.717994,0.343367
500,6,-0.931319,0.0731747
500,7,0.12998,0.97244
500,8,0.474703,0.668428
500,9,0.13239,0.971417
500,10,0.606593,0.495602
500,11,-0.303078,-0.303078
500,12,-0.730295,0.32668
500,13,-0.100571,-0.100571
500,14,-0.287838,0.869181
500,15,0.67136,0.407066
500,16,-0.262636,0.890336
500,17,0.846791,0.174024
500,18,0.984127,0.0161222
500,19,0.586833,0.522363
500,20,-1.15624,-0.129766
500,21,1.15111,1.15111
500,22,-0.909447,0.0982313
500,23,-0.064232,0.993227
500,24,-0.820597,0.207233
500,25,0.67228,0.405805
500,26,-1.0581,-0.0546035
500,27,-0.647079,0.440333
500,28,0.565593,0.565593
500,29,0.941147,0.941147
500,30,1.23542,-0.173657
500,31,0.586032,0.523443
500,32,-0.324337,-0.324337
500,33,-0.452728,0.695354
500,34,0.423528,0.729982
500,35,-0.237358,0.909869
500,36,-0.419223,0.734967
500,37,-0.218756,0.923121
500,38,-0.460526,0.68588
500,39,1.17504,-0.141571
500,40,-0.0715133,0.991609
500,41,-0.531027,0.596578
500,42,-0.764805,0.280295
500,43,-1.06261,-0.0585422
500,44,0.396141,0.761133
500,45,0.343141,0.817264
500,46,-0.402596,0.753915
500,47,-0.0616773,-0.0616773
500,48,-0.629274,0.46469
500,49,-0.62867,0.465516
500,50,0.0585827,0.994364
500,51,0.582466,0.528249
500,52,0.427819,0.724981
500,53,-0.519481,0.611599
500,54,-0.81251,-0.81251
500,55,0.623295,0.472855
500,56,-0.508331,-0.508331
500,57,-0.254399,-0.254399
500,58,-0.605851,0.496609
500,59,0.316907,0.842796
500,60,-0.291973,0.865555
500,61,-1.17138,-0.139338
500,62,-0.917989,0.0883528
500,63,0.850852,0.168948
500,64,0.527994,0.527994
500,65,-0.822794,-0.822794
500,66,-0.14513,0.965712
500,67,-0.489785,0.649563
500,68,0.42259,0.42259
500,69,0.0109954,0.0109954
500,70,0.677629,0.398479
500,71,0.258394,0.893734
500,72,-0.54624,0.576591
500,73,0.451877,0.451877
500,74,0.663343,0.418051
500,75,0.0589429,0.994295
500,76,-0.0830985,0.98868
500,77,-0.0897366,0.986806
500,78,0.389923,0.768012
500,79,0.470074,0.674158
500,80,0.533288,0.533288
500,81,-1.24501,-0.177928
500,82,-0.526299,0.602745
500,83,-0.571366,-0.571366
500,84,0.16614,0.95521
500,85,0.419896,0.734191
500,86,-0.971539,0.0292553
500,87,-1.11707,-0.102454
500,88,0.815383,0.213936
500,89,0.0278067,0.0278067
500,90,0.975455,0.0251379
500,91,-0.557888,0.561153
500,92,0.0652445,0.993012
500,93,0.491045,0.491045
500,94,0.152506,0.962179
500,95,-0.888757,-0.888757
500,96,-0.619275,0.478339
500,97,-0.223317,0.919962
500,98,0.033487,0.998156
500,99,0.811491,0.218956
500,100,-0.20277,0.933727
501,1,-0.520731,0.60998
501,2,1.13486,-0.115311
501,3,0.208966,0.929703
501,4,-0.72083,0.339514
501,5,-0.700154,0.367673
501,6,-0.916166,0.0904514
501,7,0.14232,0.967014
501,8,0.453931,0.693899
501,9,0.160763,0.958026
501,10,0.62696,0.467851
501,11,-0.274477,-0.274477
501,12,-0.719828,0.340876
501,13,-0.131877,-0.131877
501,14,-0.268251,0.885765
501,15,0.651716,0.433982
501,16,-0.230145,0.915122
501,17,0.825182,0.201363
501,18,0.999965,3.54549e-05
501,19,0.611955,0.488311
501,20,-1.12823,-0.110605
501,21,1.1815,1.1815
501,22,-0.878354,0.135147
501,23,-0.0268621,0.998813
501,24,-0.846638,0.174215
501,25,0.641326,0.448209
501,26,-1.08952,-0.0810825
501,27,-0.630208,0.463415
501,28,0.599632,0.599632
501,29,0.909568,0.909568
501,30,1.25252,-0.181117
501,31,0.549589,0.572163
501,32,-0.345841,-0.345841
501,33,-0.483908,0.656949
501,34,0.431251,0.720959
501,35,-0.271625,0.882979
501,36,-0.435109,0.716415
501,37,-0.187397,0.943227
501,38,-0.446403,0.702971
501,39,1.14713,-0.123739
501,40,-0.0576384,0.994544
501,41,-0.547097,0.575459
501,42,-0.788431,0.249016
501,43,-1.04837,-0.0459589
501,44,0.376699,0.782391
501,45,0.314396,0.845156
501,46,-0.391445,0.766336
501,47,-0.0943287,-0.0943287
501,48,-0.648996,0.437708
501,49,-0.665325,0.415335
501,50,0.0959958,0.98491
501,51,0.565301,0.551273
501,52,0.46058,0.685814
501,53,-0.499998,0.636623
501,54,-0.784102,-0.784102
501,55,0.603209,0.500198
501,56,-0.528122,-0.528122
501,57,-0.281415,-0.281415
501,58,-0.633723,0.45861
501,59,0.286393,0.870437
501,60,-0.265837,0.887741
501,61,-1.14145,-0.119885
501,62,-0.936304,0.0675765
501,63,0.82439,0.202375
501,64,0.558359,0.558359
501,65,-0.841712,-0.841712
501,66,-0.167724,0.954364
501,67,-0.471571,0.672309
501,68,0.397986,0.397986
501,69,0.0325585,0.0325585
501,70,0.654623,0.429999
501,71,0.247666,0.902113
501,72,-0.520935,0.609715
501,73,0.476057,0.476057
501,74,0.682021,0.392465
501,75,0.0778933,0.990049
501,76,-0.052112,0.995539
501,77,-0.0905988,0.986553
501,78,0.410194,0.745318
501,79,0.477817,0.664558
501,80,0.554159,0.554159
501,81,-1.26628,-0.186603
501,82,-0.509209,0.624845
501,83,-0.541793,-0.541793
501,84,0.185088,0.944594
501,85,0.45183,0.696439
501,86,-0.948782,0.0537508
501,87,-1.13948,-0.118526
501,88,0.793727,0.242068
501,89,0.0477607,0.0477607
501,90,0.952142,0.0500738
501,91,-0.539062,0.586048
501,92,0.0362697,0.997838
501,93,0.479559,0.479559
501,94,0.177208,0.949139
501,95,-0.866169,-0.866169
501,96,-0.646003,0.441807
501,97,-0.235379,0.911325
501,98,0.0174034,0.999502
501,99,0.77987,0.260298
501,100,-0.230844,0.91462
502,1,-0.540389,0.584302
502,2,1.14156,-0.119958
502,3,0.190034,0.941646
502,4,-0.74185,0.31107
502,5,-0.661285,0.420871
502,6,-0.877171,0.136579
502,7,0.170835,0.95268
502,8,0.424117,0.729298
502,9,0.195976,0.93801
502,10,0.649216,0.437406
502,11,-0.245441,-0.245441
502,12,-0.699152,0.369041
502,13,-0.141243,-0.141243
502,14,-0.237754,0.909576
502,15,0.630607,0.462869
502,16,-0.207057,0.930954
502,17,0.808777,0.222468
502,18,1.02909,-0.0282238
502,19,0.646771,0.440755
502,20,-1.10649,-0.0944574
502,21,1.21457,1.21457
502,22,-0.852567,0.166811
502,23,-0.0191272,0.999398
502,24,-0.868347,0.147327
502,25,0.622022,0.474592
502,26,-1.11546,-0.101254
502,27,-0.591853,0.515582
502,28,0.625164,0.625164
502,29,0.87966,0.87966
502,30,1.2862,-0.193723
502,31,0.527682,0.600944
502,32,-0.358158,-0.358158
502,33,-0.503003,0.632791
502,34,0.473082,0.670439
502,35,-0.28034,0.875646
502,36,-0.461151,0.685117
502,37,-0.172177,0.951945
502,38,-0.422677,0.73097
502,39,1.12845,-0.110764
502,40,-0.0231959,0.999115
502,41,-0.569239,0.546008
502,42,-0.813499,0.216364
502,43,-1.01336,-0.0131791
502,44,0.338891,0.821507
502,45,0.295196,0.862699
502,46,-0.360884,0.799123
502,47,-0.109442,-0.109442
502,48,-0.684605,0.388929
502,49,-0.676446,0.400099
502,50,0.0962516,0.98483
502,51,0.536254,0.589734
502,52,0.483914,0.656942
502,53,-0.47138,0.672545
502,54,-0.759357,-0.759357
502,55,0.583968,0.526226
502,56,-0.550925,-0.550925
502,57,-0.290258,-0.290258
502,58,-0.667114,0.412883
502,59,0.279324,0.876511
502,60,-0.245638,0.903662
502,61,-1.12523,-0.108443
502,62,-0.955949,0.0459341
502,63,0.807513,0.224106
502,64,0.570235,0.570235
502,65,-0.869169,-0.869169
502,66,-0.193581,0.939488
502,67,-0.444246,0.705554
502,68,0.357096,0.357096
