t,unit,input,output
500,1,0.018589,0.0185869
500,2,0.408739,0.408739
500,3,0.530524,0.485782
500,4,-0.645416,-0.568576
500,5,0.627485,0.556318
500,6,-0.468753,-0.437191
500,7,0.807704,0.668322
500,8,-0.641565,-0.565964
500,9,1.27325,0.854676
500,10,-0.4081,-0.386858
500,11,0.126824,0.126148
500,12,-0.606126,-0.541394
500,13,-0.459835,-0.42995
500,14,0.268645,0.262364
500,15,0.789721,0.658251
500,16,-0.74408,-0.631604
500,17,-0.544886,-0.496678
500,18,-0.647176,-0.569766
500,19,0.0127538,0.0127531
500,20,-0.523732,-0.480576
500,21,1.14775,0.817007
500,22,0.701108,0.605071
500,23,-0.161676,-0.160281
500,24,-0.59441,-0.53306
500,25,0.776202,0.650521
500,26,-0.125456,-0.124802
500,27,-0.429892,-0.405231
500,28,-0.582742,-0.524655
500,29,-0.138892,-0.138006
500,30,-0.385792,-0.367727
500,31,0.956147,0.742553
500,32,-0.656189,-0.575822
500,33,0.18671,0.18457
500,34,-0.530305,-0.485614
500,35,0.0192091,0.0192068
500,36,-0.49354,-0.457022
500,37,-0.00500448,-0.00500444
500,38,0.0483372,0.0482996
500,39,-1.31189,-0.864753
500,40,0.524344,0.481046
500,41,-0.11661,-0.116084
500,42,-0.722798,-0.61864
500,43,0.886437,0.709629
500,44,0.447009,0.419437
500,45,-0.0317042,-0.0316936
500,46,1.08757,0.795988
500,47,-0.932943,-0.731963
500,48,-0.885922,-0.709374
500,49,-0.971465,-0.749348
500,50,-0.312645,-0.302842
500,51,0.574942,0.51898
500,52,-0.552707,-0.502546
500,53,-0.605146,-0.540702
500,54,-0.486817,-0.451687
500,55,0.778854,0.652048
500,56,0.570237,0.515533
500,57,0.385408,0.367395
500,58,0.32858,0.317244
500,59,-1.07257,-0.790428
500,60,-0.962891,-0.745564
500,61,0.266991,0.260823
500,62,-0.440406,-0.413981
500,63,1.1245,0.809127
500,64,0.188183,0.185993
500,65,-0.458891,-0.42918
500,66,0.132159,0.131395
500,67,-1.24628,-0.847236
500,68,-0.130511,-0.129775
500,69,-0.438515,-0.412413
500,70,0.0345893,0.0345755
500,71,-0.749125,-0.634627
500,72,0.654652,0.574793
500,73,-0.273301,-0.266694
500,74,-0.349594,-0.336016
500,75,0.225295,0.221559
500,76,-0.596216,-0.534352
500,77,0.534725,0.488985
500,78,0.375821,0.359073
500,79,0.203957,0.201175
500,80,-0.95746,-0.743142
500,81,1.21982,0.8396
500,82,-0.00596828,-0.00596821
500,83,0.856266,0.694329
500,84,0.259198,0.253546
500,85,-0.873874,-0.703337
500,86,-1.07285,-0.790534
500,87,-0.801743,-0.66501
500,88,0.37634,0.359525
500,89,-0.999877,-0.761542
500,90,-0.818204,-0.674091
500,91,0.415849,0.393428
500,92,0.816276,0.673038
500,93,0.14567,0.144648
500,94,-0.453996,-0.425179
500,95,0.29587,0.287529
500,96,-0.649043,-0.571025
500,97,0.942979,0.736588
500,98,0.414368,0.392175
500,99,0.592413,0.531629
500,100,0.404694,0.383958
501,1,-0.166669,-0.165143
501,2,0.240006,0.240006
501,3,0.417918,0.395175
501,4,-0.470331,-0.438467
501,5,0.449057,0.421123
501,6,-0.363052,-0.347899
501,7,0.604441,0.540202
501,8,-0.577871,-0.521116
501,9,1.24285,0.846265
501,10,-0.346725,-0.333468
501,11,-0.108096,-0.107677
501,12,-0.524152,-0.480899
501,13,-0.639771,-0.564744
501,14,0.141451,0.140515
501,15,0.738514,0.628246
501,16,-0.639434,-0.564514
501,17,-0.44436,-0.417252
501,18,-0.492798,-0.456434
501,19,-0.220222,-0.216729
501,20,-0.404983,-0.384204
501,21,1.0171,0.768683
501,22,0.5878,0.528311
501,23,-0.316555,-0.306388
501,24,-0.471326,-0.43927
501,25,0.583187,0.524978
501,26,0.0472363,0.0472012
501,27,-0.350828,-0.33711
501,28,-0.452231,-0.423731
501,29,-0.0498747,-0.0498333
501,30,-0.328745,-0.317393
501,31,0.888078,0.710443
501,32,-0.577796,-0.521061
501,33,0.046508,0.0464744
501,34,-0.371618,-0.355406
501,35,-0.15254,-0.151368
501,36,-0.359041,-0.344369
501,37,0.123617,0.122991
501,38,0.288985,0.2812
501,39,-1.24763,-0.847616
501,40,0.333883,0.322005
501,41,-0.00533032,-0.00533027
501,42,-0.556176,-0.505135
501,43,0.796923,0.662313
501,44,0.205859,0.203
501,45,0.0794237,0.0792571
501,46,1.00075,0.761907
501,47,-0.796428,-0.662035
501,48,-0.759439,-0.640747
501,49,-0.789664,-0.658219
501,50,-0.51567,-0.474351
501,51,0.42523,0.401327
501,52,-0.461605,-0.431391
501,53,-0.558519,-0.506877
501,54,-0.301044,-0.292268
501,55,0.706574,0.608524
501,56,0.577869,0.521115
501,57,0.244972,0.240186
501,58,0.201063,0.198396
501,59,-0.964344,-0.746208
501,60,-0.863625,-0.69812
501,61,0.13003,0.129302
501,62,-0.280761,-0.273609
501,63,1.04797,0.781016
501,64,0.0265721,0.0265659
501,65,-0.280696,-0.273549
501,66,0.298505,0.289944
501,67,-1.17566,-0.826077
501,68,0.157975,0.156673
501,69,-0.262103,-0.256261
501,70,-0.0491509,-0.0491113
501,71,-0.673121,-0.587029
501,72,0.506117,0.466914
501,73,-0.169199,-0.167602
501,74,-0.293002,-0.284896
501,75,0.339449,0.326986
501,76,-0.469018,-0.437406
501,77,0.384897,0.366952
501,78,0.260601,0.254858
501,79,0.109728,0.10929
501,80,-0.862845,-0.697721
501,81,1.13514,0.812771
501,82,0.0863273,0.0861134
501,83,0.722232,0.61829
501,84,0.405819,0.384917
501,85,-0.728084,-0.621892
501,86,-0.861793,-0.69718
501,87,-0.727679,-0.621643
501,88,0.238271,0.233862
501,89,-0.879331,-0.706084
501,90,-0.6235,-0.55356
501,91,0.228358,0.224469
501,92,0.613959,0.546908
501,93,0.0221609,0.0221572
501,94,-0.311499,-0.3018
501,95,0.0908266,0.0905777
501,96,-0.466666,-0.435502
501,97,0.793077,0.660149
501,98,0.254808,0.249433
501,99,0.405306,0.38448
501,100,0.255195,0.249795
502,1,-0.244254,-0.23951
502,2,0.0439306,0.0439306
502,3,0.369581,0.353626
502,4,-0.287016,-0.279386
502,5,0.334997,0.323003
502,6,-0.19046,-0.188189
502,7,0.507009,0.467611
502,8,-0.37404,-0.357521
502,9,1.0495,0.78161
502,10,-0.22227,-0.218681
502,11,-0.202101,-0.199393
502,12,-0.270447,-0.26404
502,13,-0.802362,-0.665355
502,14,-0.129256,-0.128541
502,15,0.579483,0.52229
502,16,-0.625148,-0.554702
502,17,-0.30553,-0.296365
502,18,-0.273631,-0.267
502,19,-0.314269,-0.304316
502,20,-0.229879,-0.225913
502,21,0.766851,0.645094
502,22,0.474255,0.441631
502,23,-0.403929,-0.383305
502,24,-0.323611,-0.312768
502,25,0.383133,0.365425
