t,unit,input,output
500,1,0,0.0625896
500,2,0,0.0621208
500,3,0,0.0616267
500,4,0,0.0611092
500,5,0,0.0605705
500,6,0,0.0600124
500,7,0,0.0594373
500,8,0,0.0588473
500,9,0,0.0582446
500,10,0,0.0576317
500,11,0,0.0570108
500,12,0,0.0563844
500,13,0,0.0557548
500,14,0,0.0551244
500,15,0,0.0544956
500,16,0,0.0538709
500,17,0,0.0532526
500,18,0,0.0526431
500,19,0,0.0520447
500,20,0,0.0514596
500,21,0,0.0508901
500,22,0,0.0503384
500,23,0,0.0498066
500,24,0,0.0492966
500,25,0,0.0488105
500,26,0,0.0483501
500,27,0,0.0479171
500,28,0,0.0475133
500,29,0,0.04714
500,30,0,0.0467989
500,31,0,0.0464912
500,32,0,0.046218
500,33,0,0.0459805
500,34,0,0.0457796
500,35,0,0.0456161
500,36,0,0.0454905
500,37,0,0.0454034
500,38,0,0.0453553
500,39,0,0.0453461
500,40,0,0.0453762
500,41,0,0.0454453
500,42,0,0.0455532
500,43,0,0.0456995
500,44,0,0.0458837
500,45,0,0.0461051
500,46,0,0.046363
500,47,0,0.0466562
500,48,0,0.0469838
500,49,0,0.0473444
500,50,0,0.0477367
500,51,0,0.0481593
500,52,0,0.0486104
500,53,0,0.0490884
500,54,0,0.0495914
500,55,0,0.0501175
500,56,0,0.0506647
500,57,0,0.0512308
500,58,0,0.0518136
500,59,0,0.0524109
500,60,0,0.0530204
500,61,0,0.0536396
500,62,0,0.0542663
500,63,0,0.0548978
500,64,0,0.0555318
500,65,0,0.0561658
500,66,0,0.0567972
500,67,0,0.0574237
500,68,0,0.0580428
500,69,0,0.058652
500,70,0,0.0592489
500,71,0,0.0598312
500,72,0,0.0603967
500,73,0,0.0609431
500,74,0,0.0614683
500,75,0,0.0619702
500,76,0,0.0624469
500,77,0,0.0628964
500,78,0,0.0633171
500,79,0,0.0637073
500,80,0,0.0640655
500,81,0,0.0643904
500,82,0,0.0646805
500,83,0,0.064935
500,84,0,0.0651526
500,85,0,0.0653328
500,86,0,0.0654747
500,87,0,0.0655778
500,88,0,0.0656418
500,89,0,0.0656665
500,90,0,0.0656517
500,91,0,0.0655976
500,92,0,0.0655045
500,93,0,0.0653726
500,94,0,0.0652026
500,95,0,0.0649952
500,96,0,0.0647512
500,97,0,0.0644715
500,98,0,0.0641574
500,99,0,0.06381
500,100,0,0.0634306
501,1,0,0.0630209
501,2,0,0.0625824
501,3,0,0.0621168
501,4,0,0.061626
501,5,0,0.0611118
501,6,0,0.0605762
501,7,0,0.0600214
501,8,0,0.0594494
501,9,0,0.0588625
501,10,0,0.0582629
501,11,0,0.057653
501,12,0,0.057035
501,13,0,0.0564113
501,14,0,0.0557844
501,15,0,0.0551566
501,16,0,0.0545303
501,17,0,0.0539079
501,18,0,0.0532917
501,19,0,0.0526842
501,20,0,0.0520877
501,21,0,0.0515043
501,22,0,0.0509363
501,23,0,0.050386
501,24,0,0.0498553
501,25,0,0.0493464
501,26,0,0.048861
501,27,0,0.0484012
501,28,0,0.0479687
501,29,0,0.047565
501,30,0,0.0471918
501,31,0,0.0468505
501,32,0,0.0465424
501,33,0,0.0462687
501,34,0,0.0460304
501,35,0,0.0458286
501,36,0,0.0456639
501,37,0,0.045537
501,38,0,0.0454485
501,39,0,0.0453986
501,40,0,0.0453877
501,41,0,0.0454157
501,42,0,0.0454827
501,43,0,0.0455883
501,44,0,0.0457322
501,45,0,0.0459139
501,46,0,0.0461327
501,47,0,0.0463877
501,48,0,0.0466781
501,49,0,0.0470027
501,50,0,0.0473603
501,51,0,0.0477495
501,52,0,0.0481689
501,53,0,0.0486168
501,54,0,0.0490916
501,55,0,0.0495914
501,56,0,0.0501142
501,57,0,0.0506581
501,58,0,0.051221
501,59,0,0.0518007
501,60,0,0.0523948
501,61,0,0.0530012
501,62,0,0.0536175
501,63,0,0.0542412
501,64,0,0.0548699
501,65,0,0.0555012
501,66,0,0.0561325
501,67,0,0.0567615
501,68,0,0.0573857
501,69,0,0.0580025
501,70,0,0.0586097
501,71,0,0.0592048
501,72,0,0.0597854
501,73,0,0.0603494
501,74,0,0.0608945
501,75,0,0.0614185
501,76,0,0.0619195
501,77,0,0.0623954
501,78,0,0.0628444
501,79,0,0.0632648
501,80,0,0.0636549
501,81,0,0.0640131
501,82,0,0.0643383
501,83,0,0.0646289
501,84,0,0.0648841
501,85,0,0.0651026
501,86,0,0.0652839
501,87,0,0.0654271
501,88,0,0.0655317
501,89,0,0.0655973
501,90,0,0.0656238
501,91,0,0.0656111
501,92,0,0.0655591
501,93,0,0.0654683
501,94,0,0.0653389
501,95,0,0.0651715
501,96,0,0.0649667
501,97,0,0.0647255
501,98,0,0.0644487
501,99,0,0.0641376
501,100,0,0.0637932
502,1,0,0.063417
502,2,0,0.0630104
502,3,0,0.0625751
502,4,0,0.0621128
502,5,0,0.0616251
502,6,0,0.0611142
502,7,0,0.0605818
502,8,0,0.0600302
502,9,0,0.0594614
502,10,0,0.0588776
502,11,0,0.058281
502,12,0,0.057674
502,13,0,0.0570589
502,14,0,0.056438
502,15,0,0.0558138
502,16,0,0.0551885
502,17,0,0.0545647
502,18,0,0.0539446
502,19,0,0.0533306
502,20,0,0.0527251
502,21,0,0.0521304
502,22,0,0.0515487
502,23,0,0.0509823
502,24,0,0.0504333
502,25,0,0.0499038
502,26,0,0.0493958
502,27,0,0.0489113
502,28,0,0.0484521
502,29,0,0.04802
502,30,0,0.0476165
502,31,0,0.0472434
502,32,0,0.0469019
502,33,0,0.0465934
502,34,0,0.0463192
502,35,0,0.0460802
502,36,0,0.0458774
502,37,0,0.0457116
502,38,0,0.0455834
502,39,0,0.0454934
502,40,0,0.0454419
502,41,0,0.0454292
502,42,0,0.0454552
502,43,0,0.0455201
502,44,0,0.0456234
502,45,0,0.0457649
502,46,0,0.0459441
502,47,0,0.0461602
502,48,0,0.0464125
502,49,0,0.0467
502,50,0,0.0470216
502,51,0,0.0473762
502,52,0,0.0477624
502,53,0,0.0481786
502,54,0,0.0486234
502,55,0,0.0490949
502,56,0,0.0495915
502,57,0,0.0501111
502,58,0,0.0506518
502,59,0,0.0512115
502,60,0,0.0517879
502,61,0,0.052379
502,62,0,0.0529823
502,63,0,0.0535956
502,64,0,0.0542163
502,65,0,0.0548422
502,66,0,0.0554708
502,67,0,0.0560996
502,68,0,0.0567261
502,69,0,0.0573479
502,70,0,0.0579626
502,71,0,0.0585677
502,72,0,0.0591609
502,73,0,0.0597399
502,74,0,0.0603023
502,75,0,0.0608461
502,76,0,0.061369
502,77,0,0.061869
502,78,0,0.0623441
502,79,0,0.0627926
502,80,0,0.0632126
502,81,0,0.0636026
502,82,0,0.063961
502,83,0,0.0642864
502,84,0,0.0645775
502,85,0,0.0648333
502,86,0,0.0650528
502,87,0,0.0652351
502,88,0,0.0653796
502,89,0,0.0654857
502,90,0,0.065553
502,91,0,0.0655813
502,92,0,0.0655705
502,93,0,0.0655207
502,94,0,0.0654321
502,95,0,0.0653051
502,96,0,0.0651403
502,97,0,0.0649382
502,98,0,0.0646998
502,99,0,0.0644259
502,100,0,0.0641177
503,1,0,0.0637763
503,2,0,0.0634032
503,3,0,0.0629998
503,4,0,0.0625677
503,5,0,0.0621085
503,6,0,0.0616241
503,7,0,0.0611164
503,8,0,0.0605873
503,9,0,0.0600388
503,10,0,0.0594731
503,11,0,0.0588924
503,12,0,0.0582989
503,13,0,0.0576948
503,14,0,0.0570826
503,15,0,0.0564645
503,16,0,0.0558429
503,17,0,0.0552202
503,18,0,0.0545988
503,19,0,0.053981
503,20,0,0.0533692
503,21,0,0.0527657
503,22,0,0.0521729
503,23,0,0.0515929
503,24,0,0.051028
503,25,0,0.0504804
503,26,0,0.049952
503,27,0,0.049445
503,28,0,0.0489613
503,29,0,0.0485028
503,30,0,0.048071
503,31,0,0.0476678
503,32,0,0.0472947
503,33,0,0.0469531
503,34,0,0.0466443
503,35,0,0.0463695
503,36,0,0.0461298
503,37,0,0.045926
503,38,0,0.0457591
503,39,0,0.0456297
503,40,0,0.0455382
503,41,0,0.0454851
503,42,0,0.0454705
503,43,0,0.0454947
503,44,0,0.0455574
503,45,0,0.0456585
503,46,0,0.0457976
503,47,0,0.0459742
503,48,0,0.0461877
503,49,0,0.0464373
503,50,0,0.0467219
503,51,0,0.0470407
503,52,0,0.0473922
503,53,0,0.0477753
503,54,0,0.0481884
503,55,0,0.04863
503,56,0,0.0490984
503,57,0,0.0495917
503,58,0,0.0501081
503,59,0,0.0506456
503,60,0,0.0512021
503,61,0,0.0517754
503,62,0,0.0523633
503,63,0,0.0529636
503,64,0,0.0535739
503,65,0,0.0541918
503,66,0,0.0548148
503,67,0,0.0554407
503,68,0,0.0560669
503,69,0,0.0566909
503,70,0,0.0573104
503,71,0,0.0579229
503,72,0,0.058526
503,73,0,0.0591173
503,74,0,0.0596946
503,75,0,0.0602555
503,76,0,0.0607979
503,77,0,0.0613197
503,78,0,0.0618187
