t,unit,input,output
500,1,6.11352,0.0181782
500,2,5.716,-0.0433506
500,3,1.71877,-0.143153
500,4,6.54361,0.0481886
500,5,6.43396,0.0484124
500,6,-8.04405,0.00545804
500,7,2.84177,0.0534152
500,8,-4.41315,0.0694594
500,9,-0.407272,0.748637
500,10,2.38505,0.124852
500,11,3.91806,-0.0206825
500,12,3.23153,-0.0654941
500,13,-5.37099,-0.0544635
500,14,3.9417,-0.0147081
500,15,3.74951,-0.0601208
500,16,2.87667,0.0418078
500,17,5.25973,-0.0440813
500,18,0.157187,0.95985
500,19,-4.49804,0.0707651
500,20,3.39361,-0.0886063
501,1,6.07583,0.0123631
501,2,5.68061,-0.0472542
501,3,1.75641,-0.12554
501,4,6.50841,0.0488904
501,5,6.46968,0.0489772
501,6,-8.00758,0.000946875
501,7,2.87815,0.0413099
501,8,-4.37945,0.0675322
501,9,-0.4424,0.707758
501,10,2.3496,0.120632
501,11,3.95251,-0.0119701
501,12,3.26688,-0.072453
501,13,-5.33466,-0.0517978
501,14,3.97873,-0.00534086
501,15,3.71344,-0.0671581
501,16,2.84074,0.0537529
501,17,5.29528,-0.0481021
501,18,0.193052,0.939812
501,19,-4.53475,0.0697754
501,20,3.42781,-0.090483
502,1,6.11921,0.0190295
502,2,5.72231,-0.0426021
502,3,1.71309,-0.145705
502,4,6.54997,0.0479996
502,5,6.42774,0.0482506
502,6,-8.05008,0.00619522
502,7,2.83572,0.0553939
502,8,-4.41993,0.0697506
502,9,-0.400898,0.755821
502,10,2.39136,0.12543
502,11,3.91152,-0.0223307
502,12,3.22521,-0.0641464
502,13,-5.37702,-0.0548347
502,14,3.93584,-0.0161902
502,15,3.75564,-0.058859
502,16,2.88284,0.0397285
502,17,5.25344,-0.0433048
502,18,0.151,0.962913
502,19,-4.4921,0.0708381
502,20,3.38698,-0.0881182
503,1,6.10358,0.0166731
503,2,5.70863,-0.044205
503,3,1.72866,-0.138636
503,4,6.53646,0.0483785
503,5,6.44168,0.0485871
503,6,-8.03547,0.00440464
503,7,2.85023,0.0506277
503,8,-4.40768,0.069201
503,9,-0.414358,0.740563
503,10,2.37762,0.124104
503,11,3.92435,-0.0190954
503,12,3.23885,-0.0670164
503,13,-5.36258,-0.0539118
503,14,3.95089,-0.0123814
503,15,3.74138,-0.0617658
503,16,2.8687,0.0444824
503,17,5.26729,-0.0449881
503,18,0.165087,0.955769
503,19,-4.50686,0.0706114
503,20,3.39961,-0.0890134
504,1,6.04436,0.00731519
504,2,5.64877,-0.050307
504,3,1.78794,-0.110023
504,4,6.47653,0.0490147
504,5,6.50145,0.0489593
504,6,-7.97591,-0.00301687
504,7,2.90982,0.0305799
504,8,-4.34737,0.0649619
504,9,-0.474313,0.668913
504,10,2.31778,0.115439
504,11,3.98451,-0.00388672
504,12,3.29872,-0.0778379
504,13,-5.30294,-0.0488853
504,14,4.01031,0.00257072
504,15,3.68171,-0.0727486
504,16,2.809,0.0639895
504,17,5.32708,-0.0511508
504,18,0.224816,0.918911
504,19,-4.56638,0.0681967
504,20,3.45981,-0.0912697
505,1,6.03232,0.0053484
505,2,5.63385,-0.0515778
505,3,1.79992,-0.103986
505,4,6.46138,0.0489013
505,5,6.51598,0.0487892
505,6,-7.9623,-0.00472432
505,7,2.92353,0.0259075
505,8,-4.33025,0.0633017
505,9,-0.489521,0.649895
505,10,2.3029,0.112559
505,11,4.00055,0.000136369
505,12,3.31369,-0.080069
505,13,-5.2893,-0.0474705
505,14,4.02314,0.00574717
505,15,3.66763,-0.0750306
505,16,2.79472,0.0684658
505,17,5.34189,-0.0523867
505,18,0.239158,0.908536
505,19,-4.57958,0.0673451
505,20,3.47625,-0.0913123
506,1,6.11537,0.0184557
506,2,5.71619,-0.0433289
506,3,1.71674,-0.144068
506,4,6.54368,0.0481866
506,5,6.43356,0.0484026
506,6,-8.04494,0.00556734
506,7,2.8409,0.0537002
506,8,-4.41199,0.0694062
506,9,-0.407216,0.7487
506,10,2.38523,0.124869
506,11,3.91844,-0.0205874
506,12,3.23136,-0.0654587
506,13,-5.37203,-0.0545289
506,14,3.94026,-0.0150718
506,15,3.75017,-0.0599857
506,16,2.8772,0.0416288
506,17,5.25958,-0.0440623
506,18,0.156689,0.960101
506,19,-4.49678,0.0707826
506,20,3.39432,-0.0886559
507,1,6.09951,0.0160493
507,2,5.70431,-0.0446959
507,3,1.73271,-0.136763
507,4,6.53213,0.0484819
507,5,6.44599,0.048672
507,6,-8.03128,0.00388901
507,7,2.85447,0.049226
507,8,-4.40316,0.0689714
507,9,-0.418665,0.735612
507,10,2.37331,0.123637
507,11,3.9288,-0.0179722
507,12,3.24318,-0.0678981
507,13,-5.35836,-0.0536195
507,14,3.95506,-0.0113257
507,15,3.73715,-0.0626089
507,16,2.86444,0.0459091
507,17,5.27157,-0.0454901
507,18,0.16935,0.953487
507,19,-4.51108,0.0705191
507,20,3.40411,-0.0892969
508,1,6.02376,0.00394126
508,2,5.62798,-0.0520483
508,3,1.80854,-0.0995952
508,4,6.45573,0.0488304
508,5,6.52222,0.0486851
508,6,-7.95522,-0.00561023
508,7,2.93053,0.0235195
508,8,-4.32644,0.0629045
508,9,-0.495117,0.642823
508,10,2.297,0.111338
508,11,4.00539,0.00134445
508,12,3.31952,-0.0808852
508,13,-5.28223,-0.0466992
508,14,4.03097,0.00767037
508,15,3.66098,-0.0760628
508,16,2.78825,0.0704644
508,17,5.34785,-0.0528498
508,18,0.245563,0.903719
508,19,-4.58707,0.0668128
508,20,3.48071,-0.0912819
509,1,6.06627,0.010845
509,2,5.66673,-0.0486405
509,3,1.76587,-0.120949
509,4,6.49419,0.0490064
509,5,6.48293,0.0490291
509,6,-7.99561,-0.000549356
509,7,2.89019,0.037244
509,8,-4.36229,0.0662461
509,9,-0.45675,0.690479
509,10,2.33577,0.118537
509,11,3.96799,-0.00805338
509,12,3.2808,-0.0749126
509,13,-5.32275,-0.0507674
509,14,3.98943,-0.00264816
509,15,3.7008,-0.0694575
509,16,2.82783,0.0579593
509,17,5.30906,-0.0494884
509,18,0.206076,0.931594
509,19,-4.54598,0.069291
509,20,3.44388,-0.090995
510,1,6.09434,0.0152544
510,2,5.69683,-0.045529
510,3,1.73786,-0.134358
510,4,6.52445,0.0486434
510,5,6.45318,0.0487934
510,6,-8.02489,0.00309819
510,7,2.86098,0.0470629
510,8,-4.39392,0.0684576
510,9,-0.42638,0.726662
510,10,2.36587,0.122773
510,11,3.93725,-0.0158349
510,12,3.25072,-0.0693957
510,13,-5.35183,-0.0531488
510,14,3.9609,-0.00984627
510,15,3.73036,-0.0639434
510,16,2.85748,0.048226
510,17,5.2789,-0.0463281
510,18,0.176365,0.949615
510,19,-4.51725,0.0703621
510,20,3.41287,-0.0897949
511,1,6.06431,0.0105319
511,2,5.6682,-0.0484973
511,3,1.76796,-0.119927
511,4,6.49593,0.0489974
511,5,6.48197,0.0490282
511,6,-7.99561,-0.000548832
511,7,2.89018,0.0372479
511,8,-4.3664,0.0665726
511,9,-0.454887,0.69274
511,10,2.33723,0.11877
511,11,3.96531,-0.00873193
511,12,3.27931,-0.0746562
511,13,-5.32259,-0.0507526
511,14,3.99053,-0.0023721
511,15,3.70131,-0.0693658
511,16,2.82855,0.0577265
511,17,5.30759,-0.0493455
511,18,0.205268,0.932118
511,19,-4.54669,0.0692575
511,20,3.4407,-0.0909123
512,1,6.05093,0.00838128
512,2,5.65344,-0.0498881
512,3,1.78134,-0.11332
512,4,6.48105,0.0490269
512,5,6.49653,0.048994
512,6,-7.98147,-0.00231991
512,7,2.90435,0.0324399
512,8,-4.3506,0.0652525
512,9,-0.469818,0.674474
512,10,2.32249,0.11629
512,11,3.98062,-0.00486623
512,12,3.29409,-0.0771084
512,13,-5.30842,-0.0494264
512,14,4.00429,0.00107091
512,15,3.68695,-0.0718678
512,16,2.8141,0.0623688
512,17,5.3223,-0.0507264
512,18,0.219755,0.922434
512,19,-4.56062,0.0685332
512,20,3.45617,-0.0912273
513,1,6.11709,0.018712
513,2,5.71888,-0.0430112
513,3,1.71513,-0.144794
513,4,6.54644,0.0481067
513,5,6.431,0.0483379
513,6,-8.04723,0.00584711
513,7,2.83862,0.0544482
513,8,-4.41547,0.0695626
513,9,-0.404432,0.751847
513,10,2.38793,0.125122
513,11,3.91543,-0.0213455
513,12,3.22866,-0.0648867
513,13,-5.37421,-0.0546642
513,14,3.93832,-0.0155636
513,15,3.75259,-0.0594889
513,16,2.87969,0.0407909
513,17,5.25685,-0.0437281
513,18,0.154177,0.961355
513,19,-4.49474,0.0708087
513,20,3.39112,-0.0884279
514,1,6.09835,0.0158718
514,2,5.70326,-0.0448142
514,3,1.73388,-0.136219
514,4,6.53108,0.0485055
514,5,6.44705,0.0486914
514,6,-8.03017,0.00375192
514,7,2.85556,0.0488652
514,8,-4.4022,0.0689208
514,9,-0.41972,0.734394
514,10,2.37225,0.123519
514,11,3.92979,-0.0177206
514,12,3.24422,-0.0681082
514,13,-5.35727,-0.0535424
514,14,3.95617,-0.0110429
514,15,3.73606,-0.0628244
514,16,2.86336,0.0462674
514,17,5.27264,-0.0456135
514,18,0.170425,0.952904
514,19,-4.51217,0.0704931
514,20,3.40509,-0.0893556
515,1,6.02965,0.00491025
515,2,5.63382,-0.0515803
515,3,1.80266,-0.102594
515,4,6.46156,0.0489033
515,5,6.51637,0.0487831
515,6,-7.96108,-0.0048764
515,7,2.92467,0.0255179
515,8,-4.33224,0.0635041
515,9,-0.489288,0.650189
515,10,2.30284,0.112546
515,11,3.99957,-0.000107395
515,12,3.31368,-0.0800683
515,13,-5.28808,-0.0473393
515,14,4.0251,0.00622855
515,15,3.66683,-0.0751556
515,16,2.7941,0.0686584
515,17,5.34201,-0.0523958
515,18,0.239716,0.90812
515,19,-4.58121,0.0672327
515,20,3.4749,-0.091318
516,1,6.03661,0.00605198
516,2,5.63738,-0.0512864
516,3,1.79555,-0.106194
516,4,6.46486,0.0489372
516,5,6.51233,0.0488414
516,6,-7.96614,-0.00424253
516,7,2.91967,0.0272223
516,8,-4.33319,0.0636001
516,9,-0.486065,0.654244
516,10,2.30643,0.113268
516,11,3.99725,-0.000687955
516,12,3.31015,-0.0795596
516,13,-5.29324,-0.0478885
516,14,4.01902,0.00472977
516,15,3.67137,-0.0744365
516,16,2.79842,0.0673157
516,17,5.33839,-0.052105
516,18,0.235481,0.91125
516,19,-4.57554,0.0676181
516,20,3.47309,-0.091323
517,1,6.09966,0.0160731
517,2,5.70067,-0.0451044
517,3,1.73245,-0.13688
517,4,6.52818,0.0485685
517,5,6.44912,0.0487278
517,6,-8.02935,0.00364975
517,7,2.85651,0.0485499
517,8,-4.39661,0.0686133
517,9,-0.422701,0.730942
517,10,2.36971,0.123228
517,11,3.9339,-0.0166819
517,12,3.24688,-0.0686391
517,13,-5.35641,-0.0534816
517,14,3.95594,-0.0111031
517,15,3.73461,-0.0631115
517,16,2.86164,0.0468413
517,17,5.27509,-0.0458952
517,18,0.172244,0.951908
517,19,-4.51244,0.0704868
517,20,3.40976,-0.089626
518,1,6.09189,0.0148747
518,2,5.69598,-0.0456213
518,3,1.74035,-0.133191
518,4,6.52374,0.048657
518,5,6.45423,0.0488091
518,6,-8.0233,0.00290199
518,7,2.8625,0.0465563
518,8,-4.39431,0.0684805
518,9,-0.427065,0.725863
518,10,2.365,0.122668
518,11,3.93745,-0.0157847
518,12,3.25153,-0.0695542
518,13,-5.35029,-0.0530344
518,14,3.9629,-0.00934082
518,15,3.72904,-0.0641993
518,16,2.85628,0.0486263
518,17,5.27983,-0.0464316
518,18,0.177529,0.948958
518,19,-4.51903,0.0703119
518,20,3.41284,-0.0897934
519,1,6.06431,0.0105324
519,2,5.66815,-0.0485029
519,3,1.76799,-0.119914
519,4,6.49587,0.0489978
519,5,6.48201,0.0490283
519,6,-7.99557,-0.000553571
519,7,2.8902,0.0372404
519,8,-4.36632,0.066566
519,9,-0.454976,0.692632
519,10,2.33717,0.118761
519,11,3.96538,-0.0087122
519,12,3.27936,-0.0746656
519,13,-5.32255,-0.0507489
519,14,3.99054,-0.00237013
519,15,3.70126,-0.0693745
519,16,2.82851,0.0577396
519,17,5.30765,-0.0493511
519,18,0.205315,0.932087
519,19,-4.5467,0.0692568
519,20,3.44076,-0.090914
520,1,6.0727,0.011868
520,2,5.6752,-0.0478039
520,3,1.75957,-0.124013
520,4,6.50282,0.0489476
520,5,6.47477,0.0490072
520,6,-8.00324,0.000404972
520,7,2.88258,0.0398159
520,8,-4.37236,0.0670257
520,9,-0.448051,0.700992
520,10,2.34425,0.119851
520,11,3.95885,-0.0103651
520,12,3.27233,-0.073434
520,13,-5.33019,-0.0514199
520,14,3.98252,-0.00438696
520,15,3.70871,-0.0680292
520,16,2.83587,0.055347
520,17,5.30053,-0.048642
520,18,0.197988,0.936756
520,19,-4.53886,0.0696081
520,20,3.43441,-0.0907219
521,1,6.12543,0.0199512
521,2,5.7283,-0.0418781
521,3,1.70683,-0.148489
521,4,6.55594,0.0478049
521,5,6.42174,0.0480769
521,6,-8.05618,0.00693734
521,7,2.82965,0.0573683
521,8,-4.42572,0.0699732
521,9,-0.394899,0.762512
521,10,2.39734,0.125931
521,11,3.90563,-0.0238108
521,12,3.21923,-0.0628434
521,13,-5.38312,-0.0551894
521,14,3.9297,-0.017744
521,15,3.76171,-0.0575934
521,16,2.88887,0.0376901
521,17,5.24744,-0.042547
521,18,0.144967,0.965788
521,19,-4.48599,0.0708877
521,20,3.38115,-0.0876564
522,1,6.12778,0.0202964
522,2,5.73309,-0.0412887
522,3,1.70444,-0.149539
522,4,6.56094,0.0476294
522,5,6.41726,0.0479358
522,6,-8.05979,0.00737472
522,7,2.82589,0.0585862
522,8,-4.43233,0.0701988
522,9,-0.389869,0.768071
522,10,2.40207,0.126293
522,11,3.89976,-0.0252804
522,12,3.21438,-0.0617647
522,13,-5.38696,-0.0554018
522,14,3.92661,-0.0185264
522,15,3.76576,-0.056739
522,16,2.8931,0.0362609
522,17,5.24287,-0.0419578
522,18,0.140685,0.967759
522,19,-4.48253,0.0709043
522,20,3.375,-0.0871351
523,1,6.08926,0.0144678
523,2,5.69476,-0.0457547
523,3,1.74298,-0.131949
523,4,6.52262,0.0486778
523,5,6.45559,0.0488286
523,6,-8.02135,0.00265976
523,7,2.86428,0.0459608
523,8,-4.39415,0.0684712
523,9,-0.428222,0.72451
523,10,2.36373,0.122512
523,11,3.93799,-0.0156464
523,12,3.2527,-0.0697812
523,13,-5.34856,-0.0529038
523,14,3.96504,-0.00879857
523,15,3.72736,-0.0645252
523,16,2.85472,0.0491414
523,17,5.28123,-0.0465888
523,18,0.179064,0.948086
523,19,-4.52094,0.0702557
523,20,3.41319,-0.0898119
524,1,6.06031,0.00989277
524,2,5.66407,-0.0488962
524,3,1.77201,-0.117939
