t,unit,input,output
500,1,-1.25912,0.00703433
500,2,-4.25488,2.68299e-25
500,3,0.242858,0.829477
500,4,2.59037,7.80194e-10
500,5,-1.47337,0.00112892
500,6,-1.07512,0.0269219
500,7,-2.0402,2.23734e-06
500,8,0.621313,0.298499
500,9,-1.39763,0.00222747
500,10,2.48804,3.9581e-09
500,11,2.78115,3.17264e-11
500,12,2.81899,1.636e-11
500,13,3.75015,8.16873e-20
500,14,-2.31827,5.0685e-08
500,15,-2.37848,2.09479e-08
500,16,-1.13154,-1.13154
500,17,-0.443051,0.540064
500,18,-0.217936,0.859785
500,19,1.35764,0.00314289
500,20,2.17479,3.80017e-07
501,1,-1.14527,0.0165469
501,2,-4.15711,3.50653e-24
501,3,0.42411,0.568508
501,4,2.72028,9.03474e-11
501,5,-1.39636,0.00225226
501,6,-1.20748,0.0104735
501,7,-2.16706,4.22089e-07
501,8,0.523982,0.422892
501,9,-1.23559,0.00845044
501,10,2.31195,5.55426e-08
501,11,2.91106,3.14675e-12
501,12,2.89755,4.0207e-12
501,13,3.88005,3.68912e-21
501,14,-2.18532,3.29254e-07
501,15,-2.45703,6.39135e-09
501,16,-0.969966,-0.969966
501,17,-0.575405,0.354408
501,18,-0.37997,0.635192
501,19,1.23114,0.00874558
501,20,2.30775,5.90132e-08
502,1,-1.28268,0.00583362
502,2,-4.28497,1.20211e-25
502,3,0.230518,0.844758
502,4,2.56728,1.13194e-09
502,5,-1.50779,0.000819271
502,6,-1.053,0.0311887
502,7,-2.01662,3.01699e-06
502,8,0.656146,0.259747
502,9,-1.41372,0.00193375
502,10,2.49988,3.29103e-09
502,11,2.75806,4.73151e-11
502,12,2.78516,2.9591e-11
502,13,3.72706,1.40108e-19
502,14,-2.34087,3.6475e-08
502,15,-2.34464,3.45186e-08
502,16,-1.14328,-1.14328
502,17,-0.42093,0.573303
502,18,-0.20184,0.878131
502,19,1.3814,0.00256456
502,20,2.1522,5.15822e-07
503,1,-1.24485,0.0078652
503,2,-4.26168,2.23876e-25
503,3,0.323736,0.718806
503,4,2.61753,5.01503e-10
503,5,-1.50153,0.000868917
503,6,-1.10491,0.021977
503,7,-2.06364,1.65648e-06
503,8,0.632948,0.285192
503,9,-1.33652,0.00375469
503,10,2.41185,1.27113e-08
503,11,2.8083,1.97436e-11
503,12,2.79243,2.60692e-11
503,13,3.7773,4.31263e-20
503,14,-2.2874,7.90381e-08
503,15,-2.35191,3.10252e-08
503,16,-1.06664,-1.06664
503,17,-0.472841,0.495925
503,18,-0.279046,0.781937
503,19,1.3346,0.0038152
503,20,2.20566,2.49047e-07
504,1,-1.01436,0.0400343
504,2,-4.03027,8.99905e-23
504,3,0.52363,0.423379
504,4,2.83701,1.18977e-11
504,5,-1.26217,0.00686734
504,6,-1.32409,0.00416346
504,7,-2.28456,8.2315e-08
504,8,0.409186,0.591037
504,9,-1.12895,0.0185823
504,10,2.20732,2.43413e-07
504,11,3.02779,3.60546e-13
504,12,3.03151,3.36059e-13
504,13,3.99679,2.0844e-22
504,14,-2.06935,1.53873e-06
504,15,-2.59099,7.7246e-10
504,16,-0.851397,-0.851397
504,17,-0.692012,0.22332
504,18,-0.486612,0.475866
504,19,1.11367,0.0206824
504,20,2.42372,1.06236e-08
505,1,-0.959818,0.0560475
505,2,-3.94229,8.05809e-22
505,3,0.532176,0.411609
505,4,2.89152,4.48462e-12
505,5,-1.1594,0.0149462
505,6,-1.37358,0.00274303
505,7,-2.34184,3.59637e-08
505,8,0.3021,0.749875
505,9,-1.10793,0.0215233
505,10,2.20043,2.67644e-07
505,11,3.08229,1.27351e-13
505,12,3.13197,4.85371e-14
505,13,4.05129,5.29256e-23
505,14,-2.01762,2.97925e-06
505,15,-2.69145,1.47114e-10
505,16,-0.846779,-0.846779
505,17,-0.741511,0.178906
505,18,-0.50763,0.445782
505,19,1.05546,0.0306871
505,20,2.47545,4.81178e-09
506,1,-1.28184,0.00587313
506,2,-4.24356,3.62424e-25
506,3,0.228354,0.847383
506,4,2.58953,7.90952e-10
506,5,-1.4591,0.00128665
506,6,-1.0691,0.0280307
506,7,-2.04007,2.24124e-06
506,8,0.576891,0.352517
506,9,-1.41064,0.00198705
506,10,2.5071,2.93939e-09
506,11,2.7803,3.21966e-11
506,12,2.83181,1.30475e-11
506,13,3.7493,8.33231e-20
506,14,-2.31983,4.95551e-08
506,15,-2.39129,1.73061e-08
506,16,-1.17394,-1.17394
506,17,-0.437028,0.549084
506,18,-0.204921,0.8747
506,19,1.35598,0.00318753
506,20,2.17324,3.88134e-07
507,1,-1.24293,0.0079836
507,2,-4.25063,3.0038e-25
507,3,0.339964,0.695015
507,4,2.63335,3.86846e-10
507,5,-1.48611,0.00100346
507,6,-1.12073,0.019688
507,7,-2.07995,1.3411e-06
507,8,0.60269,0.320537
507,9,-1.31593,0.00445338
507,10,2.39656,1.59934e-08
507,11,2.82412,1.49451e-11
507,12,2.80784,1.99065e-11
507,13,3.79312,2.96624e-20
507,14,-2.27208,9.83307e-08
507,15,-2.36732,2.47178e-08
507,16,-1.06526,-1.06526
507,17,-0.488654,0.472913
507,18,-0.299635,0.753359
507,19,1.31822,0.00437022
507,20,2.22099,2.01461e-07
508,1,-0.939191,0.0633459
508,2,-3.95384,6.05907e-22
508,3,0.596147,0.328491
508,4,2.91323,3.02451e-12
508,5,-1.18214,0.0126552
508,6,-1.40029,0.00217626
508,7,-2.36114,2.70819e-08
508,8,0.327451,0.713393
508,9,-1.05295,0.0312005
508,10,2.13555,6.4472e-07
508,11,3.10401,8.36918e-14
508,12,3.11143,7.24653e-14
508,13,4.07301,3.04955e-23
508,14,-1.99349,4.03147e-06
508,15,-2.67091,2.07564e-10
508,16,-0.780786,-0.780786
508,17,-0.768212,0.157731
508,18,-0.562615,0.3709
508,19,1.03708,0.0346079
508,20,2.49958,3.30661e-09
509,1,-1.08321,0.0254929
509,2,-4.05199,5.19989e-23
509,3,0.396727,0.609877
509,4,2.77083,3.79476e-11
509,5,-1.26336,0.00680279
509,6,-1.24927,0.00759887
509,7,-2.22146,2.00166e-07
509,8,0.400127,0.604734
509,9,-1.2396,0.00819218
509,10,2.33745,3.83456e-08
509,11,2.96161,1.2444e-12
509,12,3.02604,3.72695e-13
509,13,3.9306,1.07412e-21
509,14,-2.13861,6.18866e-07
509,15,-2.58552,8.43866e-10
509,16,-0.988464,-0.988464
509,17,-0.617196,0.303292
509,18,-0.375958,0.641242
509,19,1.17494,0.0133441
509,20,2.35445,2.98843e-08
510,1,-1.21853,0.00963185
510,2,-4.19446,1.32273e-24
510,3,0.330335,0.709176
510,4,2.66066,2.46184e-10
510,5,-1.42088,0.00181491
510,6,-1.14499,0.01658
510,7,-2.11045,8.99548e-07
510,8,0.533084,0.410366
510,9,-1.31746,0.00439748
510,10,2.40556,1.3973e-08
510,11,2.85144,9.20618e-12
510,12,2.8721,6.36204e-12
510,13,3.82044,1.54857e-20
510,14,-2.24794,1.38285e-07
510,15,-2.43158,9.42872e-09
510,16,-1.07815,-1.07815
510,17,-0.51292,0.438325
510,18,-0.2981,0.755522
510,19,1.28686,0.00564104
510,20,2.24513,1.43838e-07
511,1,-1.10102,0.0225744
511,2,-4.10337,1.4039e-23
511,3,0.450828,0.528458
511,4,2.76571,4.14619e-11
511,5,-1.33187,0.00390288
511,6,-1.25251,0.00740896
511,7,-2.2141,2.21664e-07
511,8,0.460742,0.513742
511,9,-1.19846,0.0112079
511,10,2.28274,8.44876e-08
511,11,2.95649,1.36795e-12
511,12,2.9617,1.24223e-12
511,13,3.92548,1.21796e-21
511,14,-2.14149,5.95492e-07
511,15,-2.52118,2.35611e-09
511,16,-0.942274,-0.942274
511,17,-0.620433,0.299519
511,18,-0.417097,0.579086
511,19,1.18399,0.0124833
511,20,2.35158,3.11765e-08
512,1,-1.0356,0.0349402
512,2,-4.02817,9.48779e-23
512,3,0.476772,0.490173
512,4,2.81977,1.6139e-11
512,5,-1.24864,0.00763608
512,6,-1.30455,0.00488819
512,7,-2.26958,1.01876e-07
512,8,0.388591,0.622177
512,9,-1.16554,0.0142937
512,10,2.25613,1.23228e-07
512,11,3.01054,4.99236e-13
512,12,3.04387,2.65749e-13
512,13,3.97954,3.20396e-22
512,14,-2.08886,1.1941e-06
512,15,-2.60335,6.31997e-10
512,16,-0.905358,-0.905358
512,17,-0.672477,0.242719
512,18,-0.450017,0.529666
512,19,1.12818,0.0186834
512,20,2.40421,1.42604e-08
513,1,-1.2848,0.00573541
513,2,-4.26245,2.19372e-25
513,3,0.230801,0.844413
513,4,2.57975,9.2624e-10
513,5,-1.48222,0.00104032
513,6,-1.06261,0.0292692
513,7,-2.02996,2.54872e-06
513,8,0.609814,0.312
513,9,-1.4113,0.00197548
513,10,2.50383,3.09406e-09
513,11,2.77053,3.81454e-11
513,12,2.80981,1.92284e-11
513,13,3.73953,1.04739e-19
513,14,-2.32927,4.32037e-08
513,15,-2.36929,2.40059e-08
513,16,-1.16272,-1.16272
513,17,-0.430538,0.558832
513,18,-0.204259,0.87544
513,19,1.36722,0.00289663
513,20,2.1638,4.41114e-07
514,1,-1.23288,0.00862889
514,2,-4.24503,3.4856e-25
514,3,0.343361,0.689992
514,4,2.6372,3.63026e-10
514,5,-1.48179,0.00104447
514,6,-1.12461,0.0191593
514,7,-2.08362,1.27864e-06
514,8,0.605156,0.317567
514,9,-1.31381,0.00453141
514,10,2.39259,1.69734e-08
514,11,2.82798,1.39605e-11
514,12,2.81216,1.84519e-11
514,13,3.79698,2.70682e-20
514,14,-2.26803,1.04148e-07
514,15,-2.37164,2.31858e-08
514,16,-1.0551,-1.0551
514,17,-0.492534,0.46732
514,18,-0.301749,0.750372
514,19,1.31459,0.00450262
514,20,2.22504,1.90435e-07
515,1,-0.959665,0.0560988
515,2,-3.97366,3.70818e-22
515,3,0.573965,0.356246
515,4,2.89183,4.45927e-12
515,5,-1.20275,0.0108534
515,6,-1.37878,0.00262306
515,7,-2.33982,3.7042e-08
515,8,0.349214,0.681307
515,9,-1.07593,0.0267769
515,10,2.15742,4.80811e-07
515,11,3.08261,1.26583e-13
515,12,3.09081,1.08068e-13
515,13,4.05161,5.25069e-23
515,14,-2.01497,3.08028e-06
515,15,-2.65029,2.92458e-10
515,16,-0.801738,-0.801738
515,17,-0.74671,0.174632
515,18,-0.539633,0.401456
515,19,1.05839,0.0300999
515,20,2.4781,4.61866e-09
516,1,-0.975327,0.05103
516,2,-3.9476,7.06816e-22
516,3,0.508691,0.444283
516,4,2.87848,5.6735e-12
516,5,-1.16072,0.0148035
516,6,-1.35804,0.00313217
516,7,-2.32903,4.33528e-08
516,8,0.2986,0.754818
516,9,-1.1287,0.0186154
516,10,2.22505,1.90417e-07
516,11,3.06925,1.63638e-13
516,12,3.12937,5.10682e-14
516,13,4.03825,7.35946e-23
516,14,-2.0309,2.51845e-06
516,15,-2.68885,1.53682e-10
516,16,-0.875138,-0.875138
516,17,-0.72597,0.192122
516,18,-0.486864,0.475501
