t,unit,input,output
500,1,0.554707,0.704301
500,2,0.556022,0.705874
500,3,0.556352,0.706269
500,4,-0.556316,-0.706226
500,5,0.552728,0.701928
500,6,-0.554707,-0.704301
500,7,0.550746,0.699545
500,8,-0.552224,-0.701323
500,9,0.552727,0.701927
500,10,0.55269,0.701882
500,11,-0.556689,-0.706671
500,12,-0.556689,-0.706672
500,13,-0.554371,-0.703898
500,14,-0.556651,-0.706626
500,15,-0.556517,-0.706466
500,16,0.556689,0.706672
500,17,-0.55239,-0.701522
500,18,-0.55652,-0.55652
500,19,-0.549105,-0.697567
500,20,-0.556517,-0.706466
501,1,0.0585433,0.0618338
501,2,0.0486866,0.0509789
501,3,0.0486143,0.0509
501,4,-0.0507035,-0.0531861
501,5,0.0685313,0.0730063
501,6,-0.0585461,-0.0618368
501,7,0.0785281,0.0843584
501,8,-0.068635,-0.0731232
501,9,0.0685336,0.0730089
501,10,0.0685405,0.0730167
501,11,-0.0485495,-0.0508292
501,12,-0.0485472,-0.0508267
501,13,-0.0586081,-0.0619057
501,14,-0.0485585,-0.0508391
501,15,-0.0485914,-0.050875
501,16,0.0485472,0.0508267
501,17,-0.0686013,-0.0730852
501,18,-0.0485801,-0.0485801
501,19,-0.0884434,-0.0957809
501,20,-0.0485913,-0.0508749
502,1,0.638069,0.798031
502,2,0.636713,0.796614
502,3,0.637037,0.796953
502,4,-0.637227,-0.797151
502,5,0.638789,0.798782
502,6,-0.638068,-0.798031
502,7,0.639507,0.79953
502,8,-0.638314,-0.798287
502,9,0.638788,0.798781
502,10,0.638755,0.798747
502,11,-0.63735,-0.79728
502,12,-0.63735,-0.797281
502,13,-0.637755,-0.797704
502,14,-0.637316,-0.797245
502,15,-0.637193,-0.797116
502,16,0.63735,0.797281
502,17,-0.638474,-0.798454
502,18,-0.637195,-0.637195
502,19,-0.640542,-0.800606
502,20,-0.637193,-0.797116
503,1,0.440241,0.558664
503,2,0.428926,0.543551
503,3,0.428943,0.543574
503,4,-0.431217,-0.546619
503,5,0.451512,0.573621
503,6,-0.440244,-0.558667
503,7,0.46279,0.58848
503,8,-0.451483,-0.573582
503,9,0.451514,0.573623
503,10,0.451516,0.573626
503,11,-0.428966,-0.543605
503,12,-0.428964,-0.543603
503,13,-0.440218,-0.558633
503,14,-0.42897,-0.54361
503,15,-0.428963,-0.5436
503,16,0.428964,0.543603
503,17,-0.451493,-0.573596
503,18,-0.428953,-0.428953
503,19,-0.474077,-0.603234
503,20,-0.428963,-0.5436
504,1,-0.374263,-0.469522
504,2,-0.382794,-0.481158
504,3,-0.382376,-0.480589
504,4,0.380543,0.47809
504,5,-0.366576,-0.459018
504,6,0.374263,0.469522
504,7,-0.358888,-0.448502
504,8,0.36721,0.459886
504,9,-0.366575,-0.459018
504,10,-0.366618,-0.459077
504,11,0.381951,0.48001
504,12,0.381951,0.48001
504,13,0.374688,0.470102
504,14,0.381993,0.480068
504,15,0.382163,0.480299
504,16,-0.381951,-0.48001
504,17,0.367,0.459599
504,18,0.382164,0.382164
504,19,0.350776,0.437396
504,20,0.382163,0.480299
505,1,-0.562931,-0.714096
505,2,-0.556733,-0.706724
505,3,-0.556443,-0.706377
505,4,0.557679,0.707853
505,5,-0.569727,-0.722108
505,6,0.562927,0.714091
505,7,-0.576512,-0.730029
505,8,0.570169,0.722626
505,9,-0.569724,-0.722104
505,10,-0.569751,-0.722135
505,11,0.556143,0.706019
505,12,0.556146,0.706022
505,13,0.563231,0.714451
505,14,0.556166,0.706046
505,15,0.556279,0.706181
505,16,-0.556146,-0.706022
505,17,0.57002,0.722452
505,18,0.556295,0.556295
505,19,0.58302,0.737552
505,20,0.556279,0.706181
506,1,0.565867,0.717567
506,2,0.576305,0.729789
506,3,0.576077,0.729524
506,4,-0.573846,-0.726926
506,5,0.555878,0.705702
506,6,-0.56587,-0.71757
506,7,0.545896,0.693688
506,8,-0.55622,-0.706111
506,9,0.55588,0.705704
506,10,0.555906,0.705736
506,11,-0.575852,-0.729262
506,12,-0.57585,-0.729259
506,13,-0.566093,-0.717833
506,14,-0.57588,-0.729295
506,15,-0.575974,-0.729403
506,16,0.57585,0.729259
506,17,-0.556108,-0.705977
506,18,-0.575964,-0.575964
506,19,-0.535674,-0.68123
506,20,-0.575974,-0.729403
507,1,0.382235,0.480397
507,2,0.372595,0.467245
507,3,0.372256,0.466781
507,4,-0.374257,-0.469514
507,5,0.392552,0.49444
507,6,-0.382233,-0.480395
507,7,0.402864,0.508432
507,8,-0.393053,-0.495121
507,9,0.392551,0.494438
507,10,0.392583,0.494482
507,11,-0.371922,-0.466324
507,12,-0.371923,-0.466326
507,13,-0.38257,-0.480853
507,14,-0.371953,-0.466367
507,15,-0.372082,-0.466543
507,16,0.371923,0.466326
507,17,-0.392883,-0.49489
507,18,-0.372089,-0.372089
507,19,-0.412852,-0.521937
507,20,-0.372082,-0.466543
508,1,-0.657259,-0.817664
508,2,-0.66465,-0.82501
508,3,-0.664249,-0.824615
508,4,0.662717,0.823101
508,5,-0.650658,-0.811001
508,6,0.657262,0.817668
508,7,-0.644066,-0.804252
508,8,0.651256,0.811609
508,9,-0.65066,-0.811004
508,10,-0.650706,-0.81105
508,11,0.663854,0.824225
508,12,0.663851,0.824222
508,13,0.657654,0.81806
508,14,0.663902,0.824273
508,15,0.664062,0.824431
508,16,-0.663851,-0.824222
508,17,0.651058,0.811408
508,18,0.66405,0.66405
508,19,0.637061,0.796978
508,20,0.664063,0.824431
509,1,-0.108227,-0.119037
509,2,-0.0969479,-0.105704
509,3,-0.09676,-0.105483
509,4,0.0989317,0.108035
509,5,-0.119889,-0.133023
509,6,0.108224,0.119034
509,7,-0.131543,-0.147192
509,8,0.120169,0.13336
509,9,-0.119887,-0.13302
509,10,-0.119902,-0.133038
509,11,0.0965708,0.105261
509,12,0.0965731,0.105264
509,13,0.108416,0.119262
509,14,0.0965841,0.105277
509,15,0.0966554,0.105361
509,16,-0.0965731,-0.105264
509,17,0.120073,0.133245
509,18,0.0966665,0.0966665
509,19,0.143023,0.161334
509,20,0.0966553,0.10536
510,1,0.292218,0.357268
510,2,0.294505,0.360385
510,3,0.294098,0.359831
510,4,-0.293779,-0.359395
510,5,0.290727,0.355235
510,6,-0.29222,-0.35727
510,7,0.289239,0.353209
510,8,-0.291321,-0.356045
510,9,0.290728,0.355237
510,10,0.290767,0.355291
510,11,-0.293707,-0.359297
510,12,-0.293706,-0.359295
510,13,-0.29261,-0.357801
510,14,-0.293748,-0.359353
510,15,-0.293907,-0.359569
510,16,0.293706,0.359295
510,17,-0.291121,-0.355772
510,18,-0.2939,-0.2939
510,19,-0.287352,-0.35064
510,20,-0.293906,-0.359569
511,1,-0.105891,-0.11626
511,2,-0.110862,-0.122179
511,3,-0.110912,-0.122239
511,4,0.110015,0.121168
511,5,-0.100802,-0.110238
511,6,0.105895,0.116264
511,7,-0.0957249,-0.10427
511,8,0.10072,0.110141
511,9,-0.100805,-0.110242
511,10,-0.100807,-0.110244
511,11,0.110972,0.122311
511,12,0.110969,0.122308
511,13,0.105831,0.116188
511,14,0.110977,0.122317
511,15,0.110955,0.12229
511,16,-0.110969,-0.122308
511,17,0.100749,0.110175
511,18,0.11094,0.11094
511,19,0.0906858,0.0983862
511,20,0.110955,0.122291
512,1,-0.300561,-0.368649
512,2,-0.299171,-0.366751
512,3,-0.299002,-0.36652
512,4,0.299077,0.366623
512,5,-0.30229,-0.37101
512,6,0.300562,0.36865
512,7,-0.30402,-0.373373
512,8,0.302545,0.371359
512,9,-0.30229,-0.371011
512,10,-0.302307,-0.371033
512,11,0.298831,0.366287
512,12,0.298831,0.366287
512,13,0.300731,0.368881
512,14,0.298848,0.366311
512,15,0.298918,0.366407
512,16,-0.298831,-0.366287
512,17,0.302461,0.371244
512,18,0.298916,0.298916
512,19,0.305577,0.375502
512,20,0.298918,0.366406
513,1,0.597494,0.754015
513,2,0.602809,0.759964
513,3,0.602739,0.759887
513,4,-0.601753,-0.758786
513,5,0.592311,0.748163
513,6,-0.597496,-0.754017
513,7,0.587132,0.742268
513,8,-0.592412,-0.748279
513,9,0.592312,0.748165
513,10,0.592317,0.748171
513,11,-0.602674,-0.759814
513,12,-0.602673,-0.759812
513,13,-0.597559,-0.754089
513,14,-0.60268,-0.759821
513,15,-0.602712,-0.759856
513,16,0.602673,0.759812
513,17,-0.592379,-0.748241
513,18,-0.602706,-0.602706
513,19,-0.581879,-0.736238
513,20,-0.602712,-0.759856
514,1,0.367423,0.460176
514,2,0.357009,0.44593
514,3,0.356842,0.445702
514,4,-0.358982,-0.44863
514,5,0.378169,0.474853
514,6,-0.367422,-0.460176
514,7,0.388914,0.489492
514,8,-0.378417,-0.475191
514,9,0.378169,0.474852
514,10,0.378183,0.474872
514,11,-0.356677,-0.445476
514,12,-0.356678,-0.445477
514,13,-0.367588,-0.460402
514,14,-0.356691,-0.445495
514,15,-0.356758,-0.445586
514,16,0.356678,0.445477
514,17,-0.378333,-0.475077
514,18,-0.35676,-0.35676
514,19,-0.399497,-0.503869
514,20,-0.356758,-0.445586
515,1,-0.577194,-0.730821
515,2,-0.584325,-0.739052
515,3,-0.583908,-0.738574
515,4,0.582446,0.736892
515,5,-0.570891,-0.723472
515,6,0.577196,0.730823
515,7,-0.564592,-0.716062
515,8,0.571515,0.724203
515,9,-0.570892,-0.723473
515,10,-0.570937,-0.723526
515,11,0.583494,0.738098
515,12,0.583493,0.738096
515,13,0.577608,0.731301
515,14,0.58354,0.738151
515,15,0.583707,0.738342
515,16,-0.583493,-0.738096
515,17,0.571308,0.72396
515,18,0.5837,0.5837
515,19,0.557871,0.708082
515,20,0.583707,0.738342
516,1,-0.510673,-0.650139
516,2,-0.500649,-0.637446
516,3,-0.500444,-0.637185
516,4,0.502524,0.63983
516,5,-0.521118,-0.663231
516,6,0.510669,0.650135
516,7,-0.531553,-0.676164
516,8,0.521426,0.663615
516,9,-0.521115,-0.663228
516,10,-0.521131,-0.663248
516,11,0.500234,0.636918
516,12,0.500237,0.636922
516,13,0.510882,0.650403
516,14,0.500248,0.636936
516,15,0.500327,0.637036
516,16,-0.500237,-0.636922
516,17,0.521321,0.663485
516,18,0.500341,0.500341
516,19,0.541798,0.688713
516,20,0.500327,0.637036
517,1,0.352743,0.440089
517,2,0.362488,0.453428
517,3,0.362121,0.452926
517,4,-0.360004,-0.450029
517,5,0.343732,0.427745
517,6,-0.352745,-0.440092
517,7,0.334726,0.415405
517,8,-0.344288,-0.428508
517,9,0.343733,0.427747
517,10,0.343775,0.427804
517,11,-0.36175,-0.452418
517,12,-0.361749,-0.452417
517,13,-0.353113,-0.440596
517,14,-0.361793,-0.452478
517,15,-0.361943,-0.452682
517,16,0.361749,0.452417
517,17,-0.344106,-0.428257
517,18,-0.361935,-0.361935
517,19,-0.32534,-0.402545
517,20,-0.361943,-0.452682
518,1,0.272435,0.330377
518,2,0.266731,0.322656
518,3,0.266388,0.322192
518,4,-0.267494,-0.323688
518,5,0.27884,0.339067
518,6,-0.272431,-0.330372
518,7,0.285235,0.347758
518,8,-0.27936,-0.339772
518,9,0.278837,0.339063
518,10,0.27887,0.339107
518,11,-0.266037,-0.321717
518,12,-0.266039,-0.321721
518,13,-0.272787,-0.330854
518,14,-0.266067,-0.321758
518,15,-0.2662,-0.321938
518,16,0.266039,0.321721
518,17,-0.279186,-0.339535
518,18,-0.266215,-0.266215
518,19,-0.291299,-0.356014
518,20,-0.2662,-0.321938
519,1,-0.106176,-0.116598
519,2,-0.111221,-0.122608
519,3,-0.110968,-0.122306
519,4,0.11006,0.121222
519,5,-0.10162,-0.111203
519,6,0.106179,0.116602
519,7,-0.0970731,-0.105851
519,8,0.101991,0.111641
519,9,-0.101622,-0.111206
519,10,-0.101651,-0.111239
519,11,0.110726,0.122016
519,12,0.110723,0.122013
519,13,0.106419,0.116886
519,14,0.110757,0.122054
519,15,0.110858,0.122175
519,16,-0.110723,-0.122013
519,17,0.101868,0.111496
519,18,0.110845,0.110845
519,19,0.0922649,0.100226
519,20,0.110858,0.122175
520,1,-0.00308144,-0.00309092
520,2,-0.00165791,-0.00166066
520,3,-0.00151052,-0.0015128
520,4,0.00159267,0.0015952
520,5,-0.00481154,-0.00483462
520,6,0.00307958,0.00308904
520,7,-0.00653478,-0.0065773
520,8,0.00503783,0.00506312
520,9,-0.00480977,-0.00483283
520,10,-0.00482049,-0.00484366
520,11,0.00135587,0.0013577
520,12,0.00135762,0.00135946
520,13,0.00323609,0.00324654
520,14,0.00136525,0.00136711
520,15,0.00142656,0.00142859
520,16,-0.00135762,-0.00135946
520,17,0.00496214,0.00498668
520,18,0.00143472,0.00143472
520,19,0.00811591,0.00818143
520,20,0.00142631,0.00142835
521,1,0.720731,0.876558
521,2,0.72085,0.876659
521,3,0.720799,0.876615
521,4,-0.720775,-0.876595
521,5,0.72071,0.87654
521,6,-0.720732,-0.876559
521,7,0.720692,0.876524
521,8,-0.720785,-0.876603
521,9,0.720711,0.87654
521,10,0.720714,0.876543
521,11,-0.72075,-0.876574
521,12,-0.720749,-0.876573
521,13,-0.720779,-0.876599
521,14,-0.720755,-0.876578
521,15,-0.720778,-0.876598
521,16,0.720749,0.876573
521,17,-0.72076,-0.876582
521,18,-0.720774,-0.720774
521,19,-0.720619,-0.876463
521,20,-0.720778,-0.876598
522,1,0.773375,0.917633
522,2,0.760979,0.908637
522,3,0.760979,0.908637
522,4,-0.763182,-0.910267
522,5,0.785772,0.926199
522,6,-0.773374,-0.917633
522,7,0.798168,0.934326
522,8,-0.785772,-0.9262
522,9,0.785772,0.926199
522,10,0.785771,0.926199
522,11,-0.760978,-0.908637
522,12,-0.760978,-0.908637
522,13,-0.773375,-0.917634
522,14,-0.760977,-0.908636
522,15,-0.760977,-0.908636
522,16,0.760978,0.908637
522,17,-0.785772,-0.926199
522,18,-0.760979,-0.760979
522,19,-0.810566,-0.942007
522,20,-0.760977,-0.908636
523,1,0.248985,0.298743
523,2,0.235663,0.280919
523,3,0.235887,0.281217
523,4,-0.238096,-0.284165
523,5,0.261835,0.316041
523,6,-0.248985,-0.298743
523,7,0.274685,0.333428
523,8,-0.261472,-0.315551
523,9,0.261835,0.316041
523,10,0.261812,0.31601
523,11,-0.236135,-0.281548
523,12,-0.236135,-0.281548
523,13,-0.248737,-0.298409
523,14,-0.236112,-0.281517
523,15,-0.236008,-0.281378
523,16,0.236135,0.281548
523,17,-0.261587,-0.315706
523,18,-0.236008,-0.236008
523,19,-0.287784,-0.351227
523,20,-0.236008,-0.281378
524,1,-0.16128,-0.18417
524,2,-0.16624,-0.190445
524,3,-0.165751,-0.189825
524,4,0.164863,0.1887
524,5,-0.157303,-0.17916
524,6,0.161277,0.184167
524,7,-0.153319,-0.174161
524,8,0.158034,0.18008
524,9,-0.157301,-0.179158
524,10,-0.157337,-0.179204
524,11,0.165261,0.189204
524,12,0.165263,0.189207
524,13,0.161769,0.184788
524,14,0.165296,0.189248
524,15,0.165497,0.189504
524,16,-0.165263,-0.189207
524,17,0.157788,0.179771
524,18,0.165507,0.165507
524,19,0.148858,0.168587
524,20,0.165498,0.189504
525,1,0.386125,0.485696
525,2,0.388522,0.488959
525,3,0.388655,0.48914
525,4,-0.38839,-0.488779
525,5,0.38344,0.48204
525,6,-0.386129,-0.485702
525,7,0.380769,0.478398
525,8,-0.383232,-0.481756
525,9,0.383444,0.482045
525,10,0.383437,0.482036
525,11,-0.3888,-0.489338
525,12,-0.388797,-0.489333
525,13,-0.385979,-0.485497
525,14,-0.388798,-0.489334
525,15,-0.388742,-0.489259
525,16,0.388797,0.489333
525,17,-0.383303,-0.481852
525,18,-0.388725,-0.388725
525,19,-0.378218,-0.474919
525,20,-0.388742,-0.489259
526,1,-0.0242013,-0.0247776
526,2,-0.0309134,-0.0318494
526,3,-0.0310194,-0.0319618
526,4,0.0296484,0.0305101
526,5,-0.0172832,-0.0175785
526,6,0.0241996,0.0247758
526,7,-0.0103619,-0.0104685
526,8,0.0171275,0.0174175
526,9,-0.0172822,-0.0175775
526,10,-0.0172742,-0.0175692
526,11,0.0311216,0.0320701
526,12,0.0311226,0.0320711
526,13,0.0240991,0.0246706
526,14,0.031112,0.0320599
526,15,0.0310656,0.0320107
526,16,-0.0311226,-0.0320711
526,17,0.017179,0.0174708
526,18,0.0310712,0.0310712
526,19,0.00354989,0.00356246
526,20,0.0310659,0.0320111
527,1,0.413414,0.522696
527,2,0.413462,0.522761
527,3,0.413664,0.523032
527,4,-0.413751,-0.523151
527,5,0.412963,0.522086
527,6,-0.413414,-0.522695
527,7,0.412508,0.521473
527,8,-0.412656,-0.521673
527,9,0.412962,0.522085
527,10,0.41294,0.522055
527,11,-0.413868,-0.523308
527,12,-0.413869,-0.523309
527,13,-0.41321,-0.52242
527,14,-0.413845,-0.523277
527,15,-0.413763,-0.523166
527,16,0.413869,0.523309
527,17,-0.412757,-0.521809
527,18,-0.413766,-0.413766
527,19,-0.412263,-0.521142
527,20,-0.413762,-0.523166
528,1,-0.570343,-0.72283
528,2,-0.577707,-0.731416
528,3,-0.577728,-0.73144
528,4,0.576188,0.729652
528,5,-0.562946,-0.714114
528,6,0.570341,0.722828
528,7,-0.555544,-0.705302
528,8,0.562918,0.714081
528,9,-0.562945,-0.714112
528,10,-0.562942,-0.714109
528,11,0.577744,0.731459
528,12,0.577745,0.73146
528,13,0.570327,0.722812
528,14,0.57774,0.731454
528,15,0.577729,0.731442
528,16,-0.577745,-0.73146
528,17,0.562927,0.714091
528,18,0.577737,0.577737
528,19,0.548168,0.696437
528,20,0.577729,0.731442
529,1,-0.348408,-0.434151
529,2,-0.338559,-0.420657
529,3,-0.338308,-0.420314
529,4,0.340359,0.423124
529,5,-0.358751,-0.448315
529,6,0.348408,0.434151
529,7,-0.369096,-0.462464
529,8,0.359122,0.448822
529,9,-0.358752,-0.448316
529,10,-0.358777,-0.448351
529,11,0.338063,0.419978
529,12,0.338063,0.419978
529,13,0.348653,0.434487
529,14,0.338089,0.420013
529,15,0.338185,0.420145
529,16,-0.338063,-0.419978
529,17,0.358997,0.448651
529,18,0.338185,0.338185
529,19,0.379194,0.476251
529,20,0.338186,0.420146
530,1,-0.442236,-0.561319
530,2,-0.435494,-0.552334
530,3,-0.435898,-0.552874
530,4,0.437256,0.554685
530,5,-0.44818,-0.56921
530,6,0.442234,0.561315
530,7,-0.454117,-0.577063
530,8,0.447577,0.56841
530,9,-0.448179,-0.569208
530,10,-0.448134,-0.569148
530,11,0.436297,0.553406
530,12,0.436299,0.553409
530,13,0.441837,0.560788
530,14,0.43625,0.553344
530,15,0.436089,0.553129
530,16,-0.436299,-0.553409
530,17,0.447777,0.568676
530,18,0.436099,0.436099
530,19,0.460467,0.585429
530,20,0.436089,0.553129
531,1,0.788439,0.927985
531,2,0.796707,0.933391
531,3,0.796492,0.933253
531,4,-0.794722,-0.932111
531,5,0.78062,0.922693
531,6,-0.788435,-0.927982
531,7,0.77279,0.917218
531,8,-0.780951,-0.92292
531,9,0.780617,0.92269
531,10,0.780634,0.922702
531,11,-0.796265,-0.933107
531,12,-0.796268,-0.933109
531,13,-0.788665,-0.928136
531,14,-0.79628,-0.933116
531,15,-0.796366,-0.933172
531,16,0.796268,0.933109
531,17,-0.78084,-0.922843
531,18,-0.796381,-0.796381
531,19,-0.764755,-0.911423
531,20,-0.796366,-0.933172
532,1,0.232592,0.276828
532,2,0.2197,0.25973
532,3,0.219544,0.259524
532,4,-0.221403,-0.261981
532,5,0.24579,0.294458
532,6,-0.232591,-0.276826
532,7,0.258986,0.312197
532,8,-0.246014,-0.294758
532,9,0.24579,0.294457
532,10,0.245804,0.294475
532,11,-0.219396,-0.259329
532,12,-0.219397,-0.25933
532,13,-0.232741,-0.277025
532,14,-0.219409,-0.259346
532,15,-0.219466,-0.25942
532,16,0.219397,0.25933
532,17,-0.245937,-0.294654
532,18,-0.21947,-0.21947
532,19,-0.272039,-0.32984
532,20,-0.219466,-0.25942
533,1,-0.460449,-0.585405
533,2,-0.465118,-0.591533
533,3,-0.464612,-0.59087
533,4,0.463799,0.589804
533,5,-0.456779,-0.580574
533,6,0.46045,0.585407
533,7,-0.453113,-0.575736
533,8,0.457528,0.581561
533,9,-0.45678,-0.580575
533,10,-0.456817,-0.580625
533,11,0.464116,0.59022
533,12,0.464115,0.590219
533,13,0.460944,0.586056
533,14,0.464155,0.590271
533,15,0.464368,0.59055
533,16,-0.464115,-0.590219
533,17,0.457277,0.58123
533,18,0.464362,0.464362
533,19,0.448943,0.57022
533,20,0.464368,0.59055
534,1,-0.41718,-0.527772
534,2,-0.409102,-0.516873
534,3,-0.408973,-0.516699
534,4,0.410686,0.519012
534,5,-0.425536,-0.539006
534,6,0.417175,0.527766
534,7,-0.433878,-0.550177
534,8,0.425736,0.539275
534,9,-0.425532,-0.539001
534,10,-0.425537,-0.539008
534,11,0.408833,0.516509
534,12,0.408837,0.516515
534,13,0.41732,0.527961
534,14,0.408834,0.516511
534,15,0.408887,0.516583
534,16,-0.408837,-0.516515
534,17,0.425668,0.539183
534,18,0.408906,0.408906
534,19,0.442108,0.561147
534,20,0.408887,0.516582
535,1,0.179371,0.207192
535,2,0.187311,0.217409
535,3,0.186993,0.216999
535,4,-0.185312,-0.214831
535,5,0.172064,0.197849
535,6,-0.179373,-0.207194
535,7,0.164761,0.188571
535,8,-0.172541,-0.198457
535,9,0.172065,0.19785
535,10,0.172101,0.197896
535,11,-0.186675,-0.216589
535,12,-0.186675,-0.216588
535,13,-0.179688,-0.207598
535,14,-0.186713,-0.216637
535,15,-0.186839,-0.2168
535,16,0.186675,0.216588
535,17,-0.172383,-0.198256
535,18,-0.186834,-0.186834
535,19,-0.157133,-0.178947
535,20,-0.186839,-0.2168
536,1,0.607064,0.764688
536,2,0.604525,0.761873
536,3,0.604268,0.761588
536,4,-0.604558,-0.76191
536,5,0.610133,0.768074
536,6,-0.607061,-0.764685
536,7,0.613193,0.771431
536,8,-0.610526,-0.768506
536,9,0.610131,0.768071
536,10,0.610155,0.768098
536,11,-0.604001,-0.761291
536,12,-0.604003,-0.761294
536,13,-0.607332,-0.764984
536,14,-0.604023,-0.761316
536,15,-0.604125,-0.761429
536,16,0.604003,0.761294
