t,unit,input,output
500,1,-1.70271,-0.1503
500,2,-3.92281,-0.0194845
500,3,-0.421221,0.732658
500,4,1.49757,-0.212544
500,5,2.4812,0.128065
500,6,-0.574644,0.538765
500,7,-2.32083,0.115994
500,8,-4.01897,0.00471684
500,9,3.812,-0.0465009
500,10,0.800898,0.232702
500,11,-3.40861,-0.0895613
500,12,0.924143,0.0813083
500,13,-1.91478,-0.043979
500,14,0.541115,0.583348
500,15,3.58054,-0.0860695
500,16,-3.40843,-0.0895512
500,17,0.556704,0.562727
500,18,0.0576087,0.99455
500,19,2.98633,0.00457664
500,20,-1.12139,-0.105648
500,21,3.79475,-0.050417
500,22,-0.081786,0.989033
500,23,1.3511,-0.210283
500,24,-3.58048,-0.086075
500,25,1.47803,-0.214848
500,26,-2.73074,0.0872572
500,27,-1.86954,-0.0678457
500,28,2.26246,0.103301
500,29,2.03974,0.0194302
500,30,-0.610793,0.489891
500,31,2.54119,0.124213
500,32,-3.06009,-0.0195193
500,33,3.42722,-0.0904598
500,34,-3.49435,-0.0910784
500,35,-3.75091,-0.0598356
500,36,-0.56437,0.552517
500,37,-3.23722,-0.0666812
500,38,-0.854548,0.164348
500,39,0.571394,0.543122
500,40,1.83823,1.83823
500,41,2.20351,0.0861939
500,42,-1.16285,-0.134016
500,43,-0.0328061,0.998231
500,44,-0.708461,0.356343
500,45,-2.49709,0.127467
500,46,-0.602065,0.501751
500,47,2.53715,0.124606
500,48,-3.26926,-0.0728841
500,49,0.378751,0.780183
500,50,-1.10547,-0.0936714
501,1,-1.72531,-0.140175
501,2,-3.89897,-0.0254791
501,3,-0.396978,0.760201
501,4,1.52298,-0.208461
501,5,2.45819,0.128374
501,6,-0.599118,0.505747
501,7,-2.3452,0.119991
501,8,-3.99749,-0.000628404
501,9,3.83435,-0.0412786
501,10,0.776986,0.264112
501,11,-3.38565,-0.0880157
501,12,0.94786,0.0547629
501,13,-1.891,-0.0565223
501,14,0.564629,0.552171
501,15,3.6053,-0.0835024
501,16,-3.38551,-0.0880049
501,17,0.532428,0.594746
501,18,0.0326372,0.998249
501,19,2.96304,0.0124466
501,20,-1.09844,-0.088195
501,21,3.8173,-0.0452753
501,22,-0.0587554,0.994331
501,23,1.37393,-0.213744
501,24,-3.60444,-0.0835994
501,25,1.50134,-0.212015
501,26,-2.75536,0.0803005
501,27,-1.84581,-0.0803045
501,28,2.23841,0.0968266
501,29,2.0626,0.0301567
501,30,-0.587049,0.522071
501,31,2.56442,0.121592
501,32,-3.03536,-0.0116245
501,33,3.45082,-0.0911431
501,34,-3.46925,-0.091324
501,35,-3.7255,-0.0648826
501,36,-0.587796,0.521063
501,37,-3.21236,-0.061311
501,38,-0.830807,0.194194
501,39,0.595255,0.51098
501,40,1.8616,1.8616
501,41,2.17983,0.0781786
501,42,-1.14044,-0.119187
501,43,-0.00951514,0.999851
501,44,-0.732773,0.323326
501,45,-2.51992,0.12607
501,46,-0.624971,0.470568
501,47,2.51402,0.126491
501,48,-3.24448,-0.0681593
501,49,0.356137,0.804043
501,50,-1.12774,-0.110252
502,1,-1.69823,-0.152251
502,2,-3.92694,-0.0184413
502,3,-0.425263,0.727964
502,4,1.49385,-0.21304
502,5,2.48556,0.127932
502,6,-0.570671,0.544091
502,7,-2.31683,0.115264
502,8,-4.02374,0.00589364
502,9,3.80746,-0.0475414
502,10,0.805012,0.22735
502,11,-3.41298,-0.0898011
502,12,0.919971,0.0860777
502,13,-1.91893,-0.041793
502,14,0.536893,0.588896
502,15,3.57665,-0.0864291
502,16,-3.41281,-0.0897918
502,17,0.56073,0.55737
502,18,0.0614568,0.993799
502,19,2.9906,0.00314188
502,20,-1.12577,-0.108838
502,21,3.79028,-0.0514149
502,22,-0.0861344,0.987841
502,23,1.34669,-0.209475
502,24,-3.57637,-0.0864546
502,25,1.47375,-0.215252
502,26,-2.72682,0.0883307
502,27,-1.87371,-0.0656482
502,28,2.26654,0.104329
502,29,2.03533,0.0173249
502,30,-0.614952,0.48423
502,31,2.53688,0.124632
502,32,-3.06398,-0.0207397
502,33,3.42301,-0.0902846
502,34,-3.49816,-0.090992
502,35,-3.75465,-0.0590657
502,36,-0.560119,0.558183
502,37,-3.24109,-0.0674756
502,38,-0.858704,0.159194
502,39,0.56726,0.548655
502,40,1.83396,1.83396
502,41,2.20769,0.0875414
502,42,-1.16737,-0.136857
502,43,-0.037082,0.99774
502,44,-0.704449,0.361812
502,45,-2.49268,0.127664
502,46,-0.597691,0.507681
502,47,2.54147,0.124185
502,48,-3.27315,-0.0735795
502,49,0.383216,0.775348
502,50,-1.10091,-0.0901318
503,1,-1.70649,-0.14864
503,2,-3.91762,-0.0207931
503,3,-0.415583,0.739158
503,4,1.50452,-0.211548
