t,unit,input,output
500,1,0.639859,0.450217
500,2,-0.403056,0.753397
500,3,0.743406,0.308974
500,4,-0.775449,0.266147
500,5,-0.377861,0.781142
500,6,-0.425387,0.72782
500,7,0.750195,0.299844
500,8,-0.549965,0.571666
500,9,-0.933956,0.0702076
500,10,0.577452,0.534993
500,11,0.593883,0.512837
500,12,0.619049,0.478647
500,13,0.60918,0.492085
500,14,-0.607248,0.494712
500,15,-0.610387,0.490444
500,16,-0.593589,0.513234
500,17,-0.785477,0.252902
500,18,-0.411062,0.744329
500,19,-0.593875,0.512848
500,20,0.570101,0.544855
501,1,-0.219468,0.922632
501,2,0.39149,0.766285
501,3,-0.19755,0.93703
501,4,0.172675,0.95167
501,5,0.442236,0.707955
501,6,0.353441,0.806816
501,7,-0.194029,0.939213
501,8,0.252323,0.898514
501,9,0.0919981,0.986136
501,10,-0.324513,0.835556
501,11,-0.270885,0.883593
501,12,-0.226454,0.917755
501,13,-0.223462,0.919861
501,14,0.252721,0.898204
501,15,0.219314,0.922738
501,16,0.269604,0.884652
501,17,0.148861,0.963945
501,18,0.365622,0.794165
501,19,0.271051,0.883455
501,20,-0.29457,0.863256
502,1,0.128608,0.973014
502,2,0.0347435,0.998016
502,3,0.324326,0.835736
502,4,-0.314514,0.845045
502,5,0.0123439,0.999749
502,6,0.0428426,0.996983
502,7,0.316043,0.843609
502,8,-0.0264057,0.998853
502,9,-0.494138,0.644063
502,10,0.170161,0.953047
502,11,0.139135,0.968459
502,12,0.125292,0.974377
502,13,0.118092,0.977218
502,14,-0.127528,0.973462
502,15,-0.11085,0.97991
502,16,-0.133111,0.971108
502,17,-0.31074,0.848565
502,18,0.0479353,0.996225
502,19,-0.141233,0.96751
502,20,0.143478,0.96648
503,1,-0.378136,0.780845
503,2,0.611307,0.489192
503,3,-0.246802,0.902774
503,4,0.221233,0.921413
503,5,0.625402,0.469979
503,6,0.594208,0.512397
503,7,-0.24508,0.904086
503,8,0.475333,0.667646
503,9,0.0468192,0.996398
503,10,-0.417072,0.737446
503,11,-0.412493,0.742696
503,12,-0.397394,0.759738
503,13,-0.40643,0.74959
503,14,0.398747,0.758227
503,15,0.408757,0.746953
503,16,0.412419,0.742781
503,17,0.214714,0.925872
503,18,0.608852,0.492532
503,19,0.411098,0.744289
503,20,-0.432971,0.718936
504,1,0.129823,0.972506
504,2,-0.0376701,0.997667
504,3,0.316062,0.843592
504,4,-0.317195,0.842524
504,5,-0.0810542,0.989228
504,6,0.00170629,0.999995
504,7,0.32799,0.832202
504,8,-0.0374838,0.99769
504,9,-0.470747,0.673327
504,10,0.215261,0.925502
504,11,0.163095,0.956816
504,12,0.123186,0.975225
504,13,0.112298,0.979385
504,14,-0.148381,0.964175
504,15,-0.112319,0.979377
504,16,-0.162453,0.957151
504,17,-0.288331,0.868751
504,18,-0.0107665,0.999809
504,19,-0.161376,0.957709
504,20,0.17259,0.951717
505,1,0.508968,0.625154
505,2,-0.275937,0.879376
505,3,0.647407,0.439884
505,4,-0.664449,0.416536
505,5,-0.264814,0.888574
505,6,-0.297562,0.860585
505,7,0.643203,0.445641
505,8,-0.410102,0.745422
505,9,-0.841968,0.180077
505,10,0.47193,0.671864
505,11,0.476174,0.666602
505,12,0.490358,0.64884
505,13,0.484652,0.656017
505,14,-0.487226,0.652785
505,15,-0.479699,0.662213
505,16,-0.475251,0.667749
505,17,-0.674047,0.403385
505,18,-0.279286,0.876543
505,19,-0.478539,0.663659
505,20,0.459306,0.687368
506,1,0.451009,0.697429
506,2,-0.242374,0.906131
506,3,0.496042,0.64165
506,4,-0.521622,0.608824
506,5,-0.196306,0.937805
506,6,-0.283317,0.873096
506,7,0.495119,0.64282
506,8,-0.399095,0.757839
506,9,-0.63164,0.461457
506,10,0.35124,0.809068
506,11,0.395342,0.762021
506,12,0.438994,0.711813
506,13,0.437854,0.713165
506,14,-0.414781,0.740078
506,15,-0.437941,0.713062
506,16,-0.394474,0.762985
506,17,-0.547544,0.574868
506,18,-0.265033,0.888396
506,19,-0.396235,0.761029
506,20,0.368642,0.79098
507,1,0.18129,0.946808
507,2,0.005229,0.999955
507,3,0.27559,0.879667
507,4,-0.302698,0.855951
507,5,0.041087,0.997225
507,6,-0.00836175,0.999885
507,7,0.291741,0.865759
507,8,-0.123146,0.975241
507,9,-0.436953,0.714233
507,10,0.113166,0.979067
507,11,0.150311,0.963247
507,12,0.176571,0.949499
507,13,0.178998,0.948123
507,14,-0.162288,0.957237
507,15,-0.187204,0.943342
507,16,-0.152646,0.96211
507,17,-0.30972,0.84951
507,18,-0.0113763,0.999787
507,19,-0.14869,0.964027
507,20,0.132767,0.971256
508,1,0.0465971,0.996432
508,2,0.173771,0.951064
508,3,0.187282,0.943295
508,4,-0.20973,0.929199
508,5,0.190037,0.941644
508,6,0.164455,0.956102
508,7,0.196113,0.937926
508,8,0.0471514,0.996347
508,9,-0.385972,0.772344
508,10,0.00867849,0.999876
508,11,0.0185738,0.999433
508,12,0.0327681,0.998235
508,13,0.0263608,0.998857
508,14,-0.0255634,0.998925
508,15,-0.0298055,0.998539
508,16,-0.0183452,0.999446
508,17,-0.212817,0.927146
508,18,0.169499,0.953406
508,19,-0.0174001,0.999502
508,20,0.00389083,0.999975
509,1,0.584042,0.526125
509,2,-0.366271,0.793481
509,3,0.733336,0.322565
509,4,-0.761298,0.284974
509,5,-0.36472,0.795112
509,6,-0.367299,0.792399
509,7,0.745203,0.306555
509,8,-0.479325,0.662679
509,9,-0.941789,0.0614648
509,10,0.571008,0.54364
509,11,0.561231,0.556703
509,12,0.563881,0.553169
509,13,0.551679,0.569397
509,14,-0.565242,0.551351
509,15,-0.552144,0.56878
509,16,-0.560111,0.558195
509,17,-0.756249,0.291726
509,18,-0.361485,0.798496
509,19,-0.560792,0.557287
509,20,0.54517,0.578003
510,1,0.308663,0.850488
510,2,-0.111126,0.97981
510,3,0.331185,0.829095
510,4,-0.351232,0.809076
510,5,-0.0628087,0.993523
510,6,-0.160647,0.958086
510,7,0.322825,0.837175
510,8,-0.263704,0.889473
510,9,-0.439629,0.711059
510,10,0.200384,0.935246
510,11,0.247515,0.902229
510,12,0.296654,0.861398
510,13,0.294835,0.86302
510,14,-0.266958,0.886826
510,15,-0.293334,0.864352
510,16,-0.246419,0.903066
510,17,-0.383133,0.775438
510,18,-0.135339,0.970141
510,19,-0.249006,0.901083
510,20,0.222067,0.920833
511,1,0.220861,0.92167
511,2,-0.0233803,0.999101
511,3,0.363472,0.79642
511,4,-0.383573,0.77496
511,5,-0.000864548,0.999999
511,6,-0.027261,0.998778
511,7,0.377316,0.781728
511,8,-0.143434,0.9665
511,9,-0.550483,0.57098
511,10,0.181242,0.946835
511,11,0.203058,0.933542
511,12,0.21801,0.923633
511,13,0.218996,0.922956
511,14,-0.208305,0.930137
511,15,-0.225043,0.918751
511,16,-0.203575,0.93321
511,17,-0.385737,0.772601
511,18,-0.0326787,0.998244
511,19,-0.201816,0.934336
511,20,0.190392,0.94143
512,1,-0.219369,0.9227
512,2,0.451105,0.697314
512,3,-0.105984,0.981625
512,4,0.0772805,0.990205
512,5,0.474679,0.668459
512,6,0.432534,0.71945
512,7,-0.0993475,0.983844
512,8,0.309959,0.849289
512,9,-0.0876303,0.987416
512,10,-0.276029,0.879298
512,11,-0.260983,0.891666
512,12,-0.238763,0.908829
512,13,-0.247635,0.902137
512,14,0.24769,0.902095
512,15,0.244841,0.904268
512,16,0.260608,0.891967
512,17,0.069031,0.99218
512,18,0.444209,0.705599
512,19,0.261806,0.891005
512,20,-0.281635,0.87454
513,1,0.171212,0.952474
513,2,-0.0233065,0.999107
513,3,0.358889,0.801197
513,4,-0.367182,0.792521
513,5,-0.0542791,0.995161
