t,unit,input,output
500,1,6.82575,0.0242723
500,2,-3.55852,-0.0879424
500,3,-2.80339,-2.80339
500,4,10.6947,10.6947
500,5,5.54429,5.54429
500,6,8.21427,0.0241592
500,7,-1.70198,-1.70198
500,8,10.2334,0.0208187
500,9,-11.1981,-11.1981
500,10,4.18864,0.0424452
500,11,-5.271,-5.271
500,12,7.76646,7.76646
500,13,-0.812559,-0.812559
500,14,-10.4687,-10.4687
500,15,3.47203,3.47203
500,16,7.52555,-0.0421611
500,17,-0.0792933,0.98969
500,18,3.12031,3.12031
500,19,6.46796,6.46796
500,20,0.852732,0.166606
501,1,8.03629,0.00450555
501,2,-2.34658,0.120195
501,3,-1.593,-1.593
501,4,9.4857,9.4857
501,5,4.32361,4.32361
501,6,6.99138,0.00123253
501,7,-0.480823,-0.480823
501,8,9.0226,-0.0025029
501,9,-9.98753,-9.98753
501,10,5.40007,-0.0560643
501,11,-4.02577,-4.02577
501,12,6.52932,6.52932
501,13,0.424854,0.424854
501,14,-9.23517,-9.23517
501,15,2.24865,2.24865
501,16,8.72617,0.0276509
501,17,-1.35129,-0.210317
501,18,4.34342,4.34342
501,19,7.70245,7.70245
501,20,-0.369362,0.790218
502,1,6.08129,0.0132231
502,2,-4.29283,0.0589914
502,3,-3.53253,-3.53253
502,4,11.428,11.428
502,5,6.28862,6.28862
502,6,8.95974,0.00448153
502,7,-2.44379,-2.44379
502,8,10.9668,0.00302143
502,9,-11.9275,-11.9275
502,10,3.45746,-0.0912437
502,11,-6.04089,-6.04089
502,12,8.52443,8.52443
502,13,-1.57263,-1.57263
502,14,-11.2254,-11.2254
502,15,4.21601,4.21601
502,16,6.80684,0.0266676
502,17,0.713582,0.349368
502,18,2.3754,2.3754
502,19,5.7126,5.7126
502,20,1.59333,-0.19125
503,1,10.2814,0.0239412
503,2,-0.0843074,0.988349
503,3,0.64681,0.64681
503,4,7.21942,7.21942
503,5,2.0687,2.0687
503,6,4.74147,0.0487256
503,7,1.77553,1.77553
503,8,6.78722,0.0290672
503,9,-7.74721,-7.74721
503,10,7.63567,-0.0379579
503,11,-1.74208,-1.74208
503,12,4.2646,4.2646
503,13,2.68728,2.68728
503,14,-6.96775,-6.96775
503,15,-0.00504286,-0.00504286
503,16,10.9473,0.00479536
503,17,-3.66412,-0.0755784
503,18,6.5958,6.5958
503,19,9.94263,9.94263
503,20,-2.6245,0.112125
504,1,7.83045,-0.0206426
504,2,-2.55171,0.123101
504,3,-1.72521,-1.72521
504,4,9.67029,9.67029
504,5,4.5286,4.5286
504,6,7.19734,-0.025696
504,7,-0.665217,-0.665217
504,8,9.1601,-0.0167507
504,9,-10.1208,-10.1208
504,10,5.26532,-0.0447543
504,11,-4.37095,-4.37095
504,12,6.82528,6.82528
504,13,0.126823,0.126823
504,14,-9.50907,-9.50907
504,15,2.45449,2.45449
504,16,8.66005,0.0322067
504,17,-0.867797,0.148001
504,18,4.1366,4.1366
504,19,7.47612,7.47612
504,20,-0.186957,0.943488
505,1,7.28475,-0.0340794
505,2,-3.09972,-0.0316463
505,3,-2.33994,-2.33994
505,4,10.2322,10.2322
505,5,5.08534,5.08534
505,6,7.75938,-0.0281398
505,7,-1.23931,-1.23931
505,8,9.7677,-0.0217269
505,9,-10.7321,-10.7321
505,10,4.64985,0.0610088
505,11,-4.8279,-4.8279
505,12,7.32007,7.32007
505,13,-0.365327,-0.365327
505,14,-10.0214,-10.0214
505,15,3.01111,3.01111
505,16,7.99804,-0.000244769
505,17,-0.505825,0.629183
505,18,3.5789,3.5789
505,19,6.9208,6.9208
505,20,0.394,0.76351
506,1,7.26565,-0.0324638
506,2,-3.12124,-0.0379113
506,3,-2.36516,-2.36516
506,4,10.2578,10.2578
506,5,5.10223,5.10223
506,6,7.77158,-0.0269333
506,7,-1.25986,-1.25986
506,8,9.7934,-0.0196454
506,9,-10.7594,-10.7594
506,10,4.62723,0.0633683
506,11,-4.82239,-4.82239
506,12,7.32027,7.32027
506,13,-0.365399,-0.365399
506,14,-10.0239,-10.0239
506,15,3.02871,3.02871
506,16,7.96209,-0.00475049
506,17,-0.534319,0.592271
506,18,3.56328,3.56328
506,19,6.91551,6.91551
506,20,0.411385,0.743962
507,1,7.12253,-0.0167808
507,2,-3.26278,-0.0716974
507,3,-2.50774,-2.50774
507,4,10.4001,10.4001
507,5,5.2453,5.2453
507,6,7.91425,-0.0107043
507,7,-1.40334,-1.40334
507,8,9.93668,-0.00633061
507,9,-10.9024,-10.9024
507,10,4.48508,0.0708929
507,11,-4.96503,-4.96503
507,12,7.4625,7.4625
507,13,-0.508036,-0.508036
507,14,-10.1661,-10.1661
507,15,3.17227,3.17227
507,16,7.81901,-0.0219205
507,17,-0.392367,0.765317
507,18,3.42014,3.42014
507,19,6.77208,6.77208
507,20,0.553993,0.566327
508,1,7.36953,-0.0396149
508,2,-3.01561,-0.00517467
508,3,-2.26077,-2.26077
508,4,10.154,10.154
508,5,4.99597,4.99597
508,6,7.66414,-0.0361317
508,7,-1.15405,-1.15405
508,8,9.68944,-0.0272028
508,9,-10.6554,-10.6554
508,10,4.73255,0.0500937
508,11,-4.70991,-4.70991
508,12,7.20898,7.20898
508,13,-0.25438,-0.25438
508,14,-9.91356,-9.91356
508,15,2.9223,2.9223
508,16,8.06388,0.00786853
508,17,-0.653788,0.431143
508,18,3.67015,3.67015
508,19,7.02522,7.02522
508,20,0.30434,0.854456
509,1,6.9041,0.013681
509,2,-3.48044,-0.0912842
509,3,-2.72553,-2.72553
509,4,10.6171,10.6171
509,5,5.46525,5.46525
509,6,8.13483,0.0160829
509,7,-1.62317,-1.62317
509,8,10.1552,0.0146843
509,9,-11.1203,-11.1203
509,10,4.26687,0.0554707
509,11,-5.18946,-5.18946
509,12,7.68559,7.68559
509,13,-0.731516,-0.731516
509,14,-10.3883,-10.3883
509,15,3.39281,3.39281
509,16,7.6026,-0.0397124
509,17,-0.163366,0.956674
509,18,3.19963,3.19963
509,19,6.54872,6.54872
509,20,0.773784,0.268355
510,1,7.84329,-0.0191824
510,2,-2.54048,0.124283
510,3,-1.7863,-1.7863
510,4,9.67959,9.67959
510,5,4.51812,4.51812
510,6,7.1858,-0.0244126
510,7,-0.675645,-0.675645
510,8,9.21546,-0.0216354
510,9,-10.1809,-10.1809
510,10,5.20701,-0.0370123
510,11,-4.22335,-4.22335
510,12,6.72551,6.72551
510,13,0.228867,0.228867
510,14,-9.43118,-9.43118
510,15,2.44343,2.44343
510,16,8.53449,0.0370781
510,17,-1.15021,-0.125798
510,18,4.14878,4.14878
510,19,7.50725,7.50725
510,20,-0.174464,0.950679
511,1,6.25663,0.0367157
511,2,-4.12165,0.0288017
511,3,-3.3639,-3.3639
511,4,11.2562,11.2562
511,5,6.1149,6.1149
511,6,8.78641,0.0225257
511,7,-2.27068,-2.27068
511,8,10.7973,0.0175284
511,9,-11.7588,-11.7588
511,10,3.62626,-0.0809638
511,11,-5.8592,-5.8592
511,12,8.34764,8.34764
511,13,-1.39543,-1.39543
511,14,-11.048,-11.048
511,15,4.04297,4.04297
511,16,6.97143,0.00409229
511,17,0.524987,0.604452
511,18,2.54874,2.54874
511,19,5.88764,5.88764
511,20,1.42081,-0.217137
512,1,9.67553,-0.0280218
512,2,-0.694847,0.374921
512,3,0.0442338,0.0442338
512,4,7.83107,7.83107
512,5,2.6757,2.6757
512,6,5.34728,-0.0528063
512,7,1.16866,1.16866
512,8,7.38969,-0.0405141
512,9,-8.34996,-8.34996
512,10,7.03376,-0.00479012
512,11,-2.35604,-2.35604
512,12,4.87358,4.87358
512,13,2.07844,2.07844
512,14,-7.57766,-7.57766
512,15,0.601274,0.601274
512,16,10.3489,0.0273573
512,17,-3.04404,-0.0144222
512,18,5.98966,5.98966
512,19,9.34136,9.34136
512,20,-2.01823,0.00902908
513,1,6.67207,0.0409054
513,2,-3.69435,-0.0705939
513,3,-2.89213,-2.89213
513,4,10.8233,10.8233
513,5,5.67993,5.67993
513,6,8.35066,0.0339991
513,7,-1.83125,-1.83125
513,8,10.3253,0.0263013
513,9,-11.2876,-11.2876
513,10,4.09873,0.0237035
513,11,-5.49801,-5.49801
513,12,7.95474,7.95474
513,13,-1.00196,-1.00196
513,14,-10.6498,-10.6498
513,15,3.60836,3.60836
513,16,7.47999,-0.0424708
513,17,0.237613,0.909681
513,18,2.98426,2.98426
513,19,6.32495,6.32495
513,20,0.981306,0.0190387
514,1,9.03406,-0.00376294
514,2,-1.34533,-0.209217
514,3,-0.597826,-0.597826
514,4,8.48311,8.48311
514,5,3.32258,3.32258
514,6,5.99229,-0.00128732
514,7,0.521782,0.521782
514,8,8.02437,0.00303459
514,9,-8.99053,-8.99053
514,10,6.39476,0.047081
514,11,-3.01867,-3.01867
514,12,5.52694,5.52694
514,13,1.4282,1.4282
514,14,-8.23359,-8.23359
514,15,1.24622,1.24622
514,16,9.72022,-0.025218
514,17,-2.3635,0.122482
514,18,5.3446,5.3446
514,19,8.70087,8.70087
514,20,-1.36929,-0.213138
515,1,6.05838,0.00958256
515,2,-4.29577,0.0593634
515,3,-3.51712,-3.51712
515,4,11.4375,11.4375
515,5,6.29256,6.29256
515,6,8.96032,0.00441708
515,7,-2.45328,-2.45328
515,8,10.9476,0.00476851
515,9,-11.9122,-11.9122
515,10,3.47585,-0.0913141
515,11,-6.08381,-6.08381
515,12,8.54067,8.54067
515,13,-1.58684,-1.58684
515,14,-11.2479,-11.2479
515,15,4.21888,4.21888
515,16,6.8453,0.0217207
515,17,0.796462,0.238491
515,18,2.37365,2.37365
515,19,5.71635,5.71635
515,20,1.60278,-0.188335
516,1,10.5907,0.0288447
516,2,0.227417,0.917071
516,3,0.954817,0.954817
516,4,6.90753,6.90753
516,5,1.75918,1.75918
516,6,4.43272,0.0702109
516,7,2.08542,2.08542
516,8,6.47776,0.049019
516,9,-7.43838,-7.43838
516,10,7.9439,-0.00702606
516,11,-1.43187,-1.43187
516,12,3.95504,3.95504
516,13,2.99681,2.99681
516,14,-6.65862,-6.65862
516,15,-0.314754,-0.314754
516,16,11.2561,-0.0203781
516,17,-3.97389,-0.00656275
516,18,6.90539,6.90539
516,19,10.2498,10.2498
516,20,-2.93336,0.0225523
517,1,8.63408,0.0336442
517,2,-1.74684,-0.130122
517,3,-0.914676,-0.914676
517,4,8.86717,8.86717
517,5,3.72465,3.72465
517,6,6.39177,0.0469489
517,7,0.138262,0.138262
517,8,8.34842,0.0338859
517,9,-9.31028,-9.31028
517,10,6.07689,0.01253
517,11,-3.57893,-3.57893
517,12,6.02512,6.02512
517,13,0.927596,0.927596
517,14,-8.71045,-8.71045
517,15,1.64955,1.64955
517,16,9.47825,-0.0335048
517,17,-1.64799,-0.172647
517,18,4.94161,4.94161
517,19,8.28197,8.28197
517,20,-0.990868,0.00921452
518,1,7.06362,-0.00894684
518,2,-3.29272,-0.0768892
518,3,-2.52991,-2.52991
518,4,10.4316,10.4316
518,5,5.29253,5.29253
518,6,7.96292,-0.0046464
518,7,-1.4487,-1.4487
518,8,9.95491,-0.00451436
518,9,-10.9219,-10.9219
518,10,4.46238,0.0708343
518,11,-5.06648,-5.06648
518,12,7.53558,7.53558
518,13,-0.579671,-0.579671
518,14,-10.2433,-10.2433
518,15,3.21547,3.21547
518,16,7.8279,-0.0209297
518,17,-0.237017,0.91012
518,18,3.37432,3.37432
518,19,6.70888,6.70888
518,20,0.602277,0.501462
519,1,7.87159,-0.0158737
519,2,-2.51587,0.126364
519,3,-1.76013,-1.76013
519,4,9.65318,9.65318
519,5,4.49249,4.49249
519,6,7.16144,-0.0215884
519,7,-0.649913,-0.649913
519,8,9.18699,-0.0192028
519,9,-10.1537,-10.1537
519,10,5.23276,-0.0406218
519,11,-4.20404,-4.20404
519,12,6.70471,6.70471
519,13,0.250325,0.250325
519,14,-9.41042,-9.41042
519,15,2.41774,2.41774
519,16,8.56466,0.0364014
519,17,-1.16154,-0.133178
519,18,4.174,4.174
519,19,7.53102,7.53102
519,20,-0.198167,0.936644
520,1,6.28702,0.0397132
520,2,-4.09104,0.0219508
520,3,-3.3329,-3.3329
520,4,11.2255,11.2255
520,5,6.0844,6.0844
520,6,8.75593,0.0252226
520,7,-2.23995,-2.23995
520,8,10.7663,0.0198114
520,9,-11.7277,-11.7277
520,10,3.65711,-0.0766507
520,11,-5.82966,-5.82966
520,12,8.31764,8.31764
520,13,-1.36541,-1.36541
520,14,-11.0181,-11.0181
520,15,4.01228,4.01228
520,16,7.00298,-0.000426038
520,17,0.496346,0.641264
520,18,2.5793,2.5793
520,19,5.91799,5.91799
520,20,1.39025,-0.215484
521,1,9.59044,-0.0318597
521,2,-0.780684,0.259222
521,3,-0.040502,-0.040502
521,4,7.91708,7.91708
521,5,2.76107,2.76107
521,6,5.43243,-0.0572791
521,7,1.08331,1.08331
521,8,7.47421,-0.0424481
521,9,-8.43467,-8.43467
521,10,6.94919,0.00728048
521,11,-2.44258,-2.44258
521,12,4.95929,4.95929
521,13,1.99284,1.99284
521,14,-7.66357,-7.66357
521,15,0.686478,0.686478
521,16,10.265,0.0229369
521,17,-2.95638,0.0147083
521,18,5.90448,5.90448
521,19,9.25682,9.25682
521,20,-1.9329,-0.0344557
522,1,6.55035,0.0479875
522,2,-3.81332,-0.0461967
522,3,-3.01485,-3.01485
522,4,10.9445,10.9445
522,5,5.80065,5.80065
522,6,8.47116,0.0374216
522,7,-1.95428,-1.95428
522,8,10.4475,0.0300539
522,9,-11.4103,-11.4103
522,10,3.97636,-0.00593979
522,11,-5.61519,-5.61519
522,12,8.07145,8.07145
522,13,-1.11842,-1.11842
522,14,-10.7687,-10.7687
522,15,3.72908,3.72908
522,16,7.35589,-0.0389132
522,17,0.351523,0.808779
522,18,2.8637,2.8637
522,19,6.20485,6.20485
522,20,1.10445,-0.0928868
523,1,9.31381,-0.0284944
523,2,-1.062,-0.0580144
523,3,-0.317762,-0.317762
523,4,8.19942,8.19942
523,5,3.04084,3.04084
523,6,5.71111,-0.0439201
523,7,0.803925,0.803925
523,8,7.74572,-0.0294465
523,9,-8.71053,-8.71053
523,10,6.67417,0.0407297
