t,unit,input,output
500,1,-6.09598,0.0155071
500,2,17.3114,-0.015254
500,3,4.02596,0.0064412
500,4,-4.27122,0.0560906
500,5,-26.2473,-26.2473
500,6,-43.847,-0.00335681
500,7,-4.32432,0.0626794
500,8,27.9028,-0.00342934
500,9,-8.57232,0.0361781
500,10,8.24365,0.0267537
500,11,-13.943,-13.943
500,12,-27.826,-27.826
500,13,12.8232,12.8232
500,14,-12.4458,0.0252063
500,15,24.5342,0.0128992
500,16,-13.474,-0.0235453
500,17,36.5833,0.00840503
500,18,14.9725,0.00183484
500,19,0.88484,0.127327
500,20,-31.5397,-0.0100141
500,21,17.1993,17.1993
500,22,-34.0834,0.002418
500,23,-7.84181,-0.0193522
500,24,-8.57317,0.0361519
500,25,22.0136,0.000615383
500,26,-21.9411,-21.9411
500,27,-26.6152,0.0111855
500,28,4.38859,4.38859
500,29,30.8105,30.8105
500,30,19.194,19.194
500,31,14.0944,14.0944
500,32,-10.9858,-10.9858
500,33,-3.89041,-0.0276164
500,34,3.29958,-0.0779703
500,35,-11.1143,-0.0100646
500,36,-9.66871,-0.0284047
500,37,-13.2865,-0.0187673
500,38,-33.041,-0.00123754
500,39,28.9026,0.00331619
500,40,-7.10841,-0.0149585
500,41,-9.78284,-0.0205153
500,42,-11.9198,-0.00666054
500,43,-35.3293,-0.00774551
500,44,10.6981,0.0241735
500,45,19.479,-0.0163057
500,46,-26.7211,0.00915249
500,47,9.48767,9.48767
500,48,-14.0337,0.00239346
500,49,-5.72178,-0.0426654
500,50,-10.9338,-10.9338
500,51,33.5941,-0.00906412
500,52,-5.82458,-0.0286152
500,53,-11.2972,-0.0226462
500,54,-37.5508,-37.5508
500,55,19.1945,-0.00951501
500,56,-6.34272,-6.34272
500,57,2.82919,2.82919
500,58,0.67384,0.67384
500,59,-0.190856,0.941149
500,60,-29.4168,-0.010453
500,61,-38.0026,6.77305e-05
500,62,-17.0405,-0.00236874
500,63,30.6745,0.00885656
500,64,9.42498,9.42498
500,65,-16.8479,-16.8479
500,66,3.03451,-0.0113518
500,67,-6.90187,-6.90187
500,68,25.6633,25.6633
500,69,-4.89679,-4.89679
500,70,22.4691,0.0140998
500,71,21.8499,21.8499
500,72,-24.3695,0.0119794
500,73,-0.126894,-0.126894
500,74,8.66412,0.0319627
500,75,-6.30949,0.0416802
500,76,0.883338,0.129133
500,77,12.8721,0.0096693
500,78,-4.32724,0.0629883
500,79,8.99329,0.0007463
500,80,15.9238,15.9238
500,81,-18.5888,0.0164622
500,82,-27.1931,-0.00667254
500,83,-27.7437,-27.7437
500,84,-8.95476,0.00503478
500,85,9.80502,-0.0186656
500,86,-39.5882,-0.00773362
500,87,-9.17153,-0.01781
500,88,20.5718,0.0150806
500,89,-0.339178,-0.339178
500,90,27.1791,27.1791
500,91,-26.7376,0.00873985
500,92,11.6209,-0.0254396
500,93,20.4838,20.4838
500,94,-2.2377,0.0966231
500,95,-39.8621,-39.8621
500,96,-8.06126,0.00755294
500,97,-1.60533,-0.187527
500,98,30.9964,0.000116088
500,99,28.3945,0.0105997
500,100,5.52134,-0.0575214
501,1,-13.9915,-0.000607974
501,2,24.8956,0.00411987
501,3,-4.2549,0.053707
501,4,-11.9815,-0.00154249
501,5,-19.5254,-19.5254
501,6,-36.799,0.00510555
501,7,2.96692,0.0111294
501,8,19.998,-9.76524e-05
501,9,-0.881391,0.131478
501,10,15.9383,-0.00384797
501,11,-6.42555,-6.42555
501,12,-20.5141,-20.5141
501,13,4.72577,4.72577
501,14,-4.74528,0.0481309
501,15,16.9942,0.000341804
501,16,-6.37186,0.0459623
501,17,28.817,0.00600696
501,18,23.0349,-0.00151117
501,19,8.98458,0.00171596
501,20,-23.6202,-0.0125262
501,21,25.1017,25.1017
501,22,-25.9978,-8.62499e-05
501,23,0.41553,0.739219
501,24,-16.1434,0.00858646
501,25,14.1213,0.00838457
501,26,-30.0473,-30.0473
501,27,-19.1141,-0.00584152
501,28,11.9042,11.9042
501,29,22.9097,22.9097
501,30,26.8929,26.8929
501,31,5.78692,5.78692
501,32,-18.722,-18.722
501,33,-11.3593,-0.0253287
501,34,10.4276,0.0297386
501,35,-19.8072,-0.00914799
501,36,-17.1864,-0.0102354
501,37,-5.77045,-0.0364213
501,38,-25.102,-0.00399412
501,39,21.1593,-0.00721894
501,40,0.593461,0.513408
501,41,-17.3302,-0.0158148
501,42,-19.8178,-0.00869904
501,43,-27.6227,-0.0106782
501,44,3.15633,-0.0475619
501,45,12.1307,0.0104769
501,46,-19.4994,-0.0163241
501,47,1.99516,1.99516
501,48,-20.9658,0.00162702
501,49,-13.4391,-0.0232533
501,50,-2.67191,-2.67191
501,51,26.0714,0.00271608
501,52,2.07107,0.0340332
501,53,-3.39014,-0.088356
501,54,-29.4627,-29.4627
501,55,11.8838,-0.00956032
501,56,-13.843,-13.843
501,57,-5.65569,-5.65569
501,58,-6.91861,-6.91861
501,59,-8.32278,0.0324694
501,60,-21.1252,-0.00577522
501,61,-29.5341,-0.0107158
501,62,-24.9438,0.00224048
501,63,22.5437,0.0139871
501,64,16.9806,16.9806
501,65,-24.7451,-24.7451
501,66,-4.32352,0.0625946
501,67,0.801206,0.801206
501,68,18.5288,18.5288
501,69,2.65511,2.65511
501,70,14.3549,0.0199112
501,71,14.5185,14.5185
501,72,-16.6614,0.0166999
501,73,7.31259,7.31259
501,74,16.3866,0.018206
501,75,1.57141,-0.197487
501,76,9.17067,-0.017731
501,77,5.17579,-0.0322636
501,78,3.01524,-0.00505236
501,79,16.4979,0.0192935
