t,unit,input,output
500,1,13.7787,1
500,2,23.6222,23.6222
500,3,14.9848,1
500,4,-41.8785,-1
500,5,45.2455,1
500,6,-13.15,-1
500,7,43.6256,1
500,8,-40.6767,-1
500,9,61.1177,1
500,10,15.2578,1
500,11,15.0304,1
500,12,-15.1012,-1
500,13,-15.4944,-1
500,14,-10.4526,-1
500,15,5.38601,0.999958
500,16,-61.4862,-1
500,17,-26.5142,-1
500,18,-22.6086,-1
500,19,3.60734,0.99853
500,20,-6.49672,-0.999995
500,21,51.7378,1
500,22,37.6931,1
500,23,-8.01685,-1
500,24,-15.699,-1
500,25,44.8352,1
500,26,11.625,1
500,27,-9.56665,-1
500,28,-22.6269,-1
500,29,16.1627,1
500,30,-12.8554,-1
500,31,45.0454,1
500,32,-29.6644,-1
500,33,1.34276,0.872332
500,34,-41.6029,-1
500,35,-7.69438,-1
500,36,-24.79,-1
500,37,15.6867,1
500,38,-22.455,-1
500,39,-46.633,-1
500,40,48.8489,1
500,41,-21.5263,-1
500,42,-43.7373,-1
500,43,14.3178,1
500,44,13.5103,1
500,45,-2.52422,-0.987243
500,46,37.2737,1
500,47,-21.0957,-1
500,48,-15.9495,-1
500,49,-60.2703,-1
500,50,-6.6137,-0.999996
500,51,41.2401,1
500,52,-19.9163,-1
500,53,-6.32808,-0.999994
500,54,1.34208,0.87217
500,55,17.9546,1
500,56,-10.7082,-1
500,57,-11.5587,-1
500,58,3.59163,0.998483
500,59,-28.2043,-1
500,60,-44.9304,-1
500,61,10.7566,1
500,62,-10.6791,-1
500,63,42.2755,1
500,64,-4.14376,-0.999497
500,65,-44.7704,-1
500,66,15.5453,1
500,67,-57.1675,-1
500,68,0.268269,0.262013
500,69,14.6128,1
500,70,0.279942,0.272852
500,71,-22.9637,-1
500,72,50.5577,1
500,73,-31.6677,-1
500,74,2.87525,0.993658
500,75,13.6177,1
500,76,-27.2482,-1
500,77,11.6429,1
500,78,18.9852,1
500,79,1.34431,0.872705
500,80,-43.9597,-1
500,81,62.0306,1
500,82,11.8226,1
500,83,33.4922,1
500,84,17.2824,1
500,85,-38.3452,-1
500,86,-59.6961,-1
500,87,-2.91129,-0.994098
500,88,19.5372,1
500,89,-50.9265,-1
500,90,-58.8004,-1
500,91,26.1374,1
500,92,54.9553,1
500,93,15.2421,1
500,94,-13.8114,-1
500,95,21.5852,1
500,96,-39.8597,-1
500,97,50.0558,1
500,98,31.8086,1
500,99,25.9228,1
500,100,-7.36959,-0.999999
501,1,-2.26071,-0.978487
501,2,7.85264,7.85264
501,3,-1.61136,-0.923361
501,4,-25.7363,-1
501,5,29.3364,1
501,6,3.13813,0.996246
501,7,27.0474,1
501,8,-25.1759,-1
501,9,45.0782,1
501,10,31.1308,1
501,11,-1.28781,-0.858552
501,12,0.938261,0.734422
501,13,-31.5253,-1
501,14,-26.3895,-1
501,15,-10.2651,-1
501,16,-45.706,-1
501,17,-10.2975,-1
501,18,-6.56912,-0.999996
501,19,-12.4331,-1
501,20,9.79537,1
501,21,35.6703,1
501,22,21.5509,1
501,23,-24.0576,-1
501,24,1.38846,0.882831
501,25,28.7677,1
501,26,27.5635,1
501,27,7.52142,0.999999
501,28,-6.58673,-0.999996
501,29,32.2022,1
501,30,2.56987,0.98835
501,31,28.9034,1
501,32,-13.0769,-1
501,33,-14.4364,-1
501,34,-25.2924,-1
501,35,-24.0582,-1
501,36,-8.74958,-1
501,37,31.9868,1
501,38,-6.13714,-0.999991
501,39,-30.2584,-1
501,40,33.0874,1
501,41,-5.48684,-0.999966
501,42,-27.2499,-1
501,43,-1.70395,-0.935902
501,44,-2.52925,-0.98737
501,45,13.5175,1
501,46,21.496,1
501,47,-5.0562,-0.999919
501,48,-0.290885,-0.282949
501,49,-44.6099,-1
501,50,-23.0338,-1
501,51,25.4686,1
501,52,-3.87391,-0.999137
501,53,9.43252,1
501,54,17.659,1
501,55,1.91509,0.957511
501,56,-26.7477,-1
501,57,-27.2175,-1
501,58,-12.1734,-1
501,59,-11.9042,-1
501,60,-28.9923,-1
501,61,-5.56093,-0.99997
501,62,5.36039,0.999956
501,63,26.7914,1
501,64,-20.1462,-1
501,65,-28.4525,-1
501,66,32.6429,1
501,67,-41.2262,-1
501,68,16.2977,1
501,69,31.0898,1
501,70,-14.9546,-1
501,71,-6.64618,-0.999997
501,72,34.2211,1
501,73,-15.6282,-1
501,74,18.9895,1
501,75,29.9045,1
501,76,-11.2936,-1
501,77,-3.84802,-0.999091
501,78,3.74421,0.998882
501,79,-14.1429,-1
501,80,-28.727,-1
501,81,45.9911,1
501,82,27.6017,1
501,83,16.9068,1
501,84,33.3499,1
501,85,-22.3057,-1
501,86,-43.6566,-1
501,87,12.0522,1
501,88,3.4989,0.998174
501,89,-34.8871,-1
501,90,-43.8369,-1
501,91,9.84936,1
501,92,39.7214,1
501,93,-0.018315,-0.018313
501,94,2.40521,0.983843
