t,unit,input,output
500,1,-1.94315,-0.0290999
500,2,-0.408429,0.747325
500,3,1.92871,-0.0366547
500,4,-1.06891,-0.0639652
500,5,0.625235,0.625235
500,6,-3.72905,-0.0641966
500,7,-1.80343,-0.102201
500,8,3.05496,3.05496
500,9,-1.56945,-0.198007
500,10,-0.656462,0.42748
500,11,1.43282,1.43282
500,12,-4.66455,-4.66455
500,13,0.812034,0.812034
500,14,0.72742,0.330574
500,15,2.23318,0.095324
500,16,-2.55,0.12329
500,17,3.72417,-0.0651377
500,18,1.38389,1.38389
500,19,0.704662,0.361521
500,20,-5.90692,-5.90692
500,21,1.42094,1.42094
500,22,-3.07845,-0.0252255
500,23,-2.52717,0.125496
500,24,0.129539,0.972625
500,25,0.703554,0.363033
500,26,-1.40096,-1.40096
500,27,-2.65398,0.106175
500,28,-0.455223,-0.455223
500,29,-1.99519,-1.99519
500,30,2.29811,2.29811
500,31,2.36627,2.36627
500,32,0.78435,0.78435
500,33,1.73221,-0.136992
500,34,-0.183331,-0.183331
500,35,-0.0321326,0.998302
500,36,1.74329,1.74329
500,37,-0.631265,-0.631265
500,38,-1.74735,-0.129881
500,39,0.994867,0.00515956
500,40,0.477919,0.664431
500,41,-0.196176,0.937886
500,42,2.03876,0.0189649
500,43,-1.7747,-0.116613
500,44,2.78408,2.78408
500,45,3.08341,-0.0267422
500,46,-4.12138,-4.12138
500,47,1.49852,1.49852
500,48,-2.26605,-2.26605
500,49,-1.49644,-1.49644
500,50,-1.68631,-1.68631
500,51,3.0241,-0.00796135
500,52,-0.516116,0.615951
500,53,-0.858894,-0.858894
500,54,-2.89924,-2.89924
500,55,2.73069,0.0872702
500,56,1.76907,1.76907
500,57,1.23733,1.23733
500,58,-1.81636,-1.81636
500,59,3.25116,3.25116
500,60,-3.31646,-0.0804604
500,61,-2.53942,0.124387
500,62,-0.0375976,0.997676
500,63,2.73685,0.0855662
500,64,1.29335,1.29335
500,65,-4.37352,-4.37352
500,66,0.255821,0.895772
500,67,-1.09814,-1.09814
500,68,3.16603,3.16603
500,69,1.00972,1.00972
500,70,0.374813,0.784414
500,71,4.16278,4.16278
500,72,-4.01539,0.00383008
500,73,0.919363,0.919363
500,74,0.542934,0.580953
500,75,-1.33558,-1.33558
500,76,-0.481099,0.660465
500,77,-0.0494191,-0.0494191
500,78,-2.44586,-2.44586
500,79,-0.93578,0.0681621
500,80,-0.338443,-0.338443
500,81,-1.12337,-0.107094
500,82,-3.46857,-0.0913228
500,83,-2.06293,-2.06293
500,84,-1.45248,-1.45248
500,85,-3.54351,-3.54351
500,86,-4.7074,0.0537668
500,87,-1.36864,-1.36864
500,88,3.11873,-0.0371941
500,89,-0.651978,-0.651978
500,90,5.85311,5.85311
500,91,-2.17094,0.0750111
500,92,-0.559525,0.558975
500,93,2.04896,2.04896
500,94,-0.715604,0.346617
500,95,-2.19102,-2.19102
500,96,-2.02553,0.012589
500,97,1.95883,-0.0209607
500,98,2.13865,0.062798
500,99,5.43887,5.43887
500,100,0.648747,0.648747
501,1,-2.29866,0.111687
501,2,-0.648709,0.438101
501,3,1.9068,-0.0481802
501,4,-1.82045,-0.0934792
501,5,0.792019,0.792019
501,6,-2.9511,0.0165066
501,7,-1.44591,-0.216974
501,8,2.96657,2.96657
501,9,-0.791066,0.245555
501,10,0.318619,0.841179
501,11,2.00637,2.00637
501,12,-4.27601,-4.27601
501,13,-0.00499447,-0.00499447
501,14,1.45052,-0.2168
501,15,1.93199,-0.0349338
501,16,-2.19721,0.0841206
501,17,3.23697,-0.0666293
501,18,2.00715,2.00715
501,19,1.2795,-0.191437
501,20,-5.9261,-5.9261
501,21,1.55287,1.55287
501,22,-3.20612,-0.0598907
501,23,-2.15542,0.0692754
501,24,-0.320414,0.839475
501,25,0.521993,0.608342
501,26,-1.54159,-1.54159
501,27,-1.81561,-0.0959704
501,28,-0.575709,-0.575709
501,29,-3.52482,-3.52482
501,30,3.04206,3.04206
501,31,2.06027,2.06027
501,32,0.421386,0.421386
501,33,1.02839,-0.0275672
501,34,0.0159763,0.0159763
501,35,-0.768864,0.27489
501,36,1.43163,1.43163
501,37,-0.253238,-0.253238
501,38,-0.842355,0.179591
501,39,0.497564,0.639717
501,40,0.963869,0.0374053
501,41,-0.0387289,0.997535
501,42,2.14781,0.0663712
501,43,-1.31003,-0.200976
501,44,2.36841,2.36841
501,45,3.05248,-0.0171142
501,46,-3.9402,-3.9402
501,47,1.10906,1.10906
501,48,-2.44387,-2.44387
501,49,-2.2519,-2.2519
501,50,-0.99729,-0.99729
501,51,2.74403,0.0835492
501,52,-0.238236,0.90922
501,53,0.00426433,0.00426433
501,54,-2.61143,-2.61143
501,55,2.25915,0.102452
501,56,0.932231,0.932231
501,57,0.787357,0.787357
501,58,-2.48676,-2.48676
501,59,3.48004,3.48004
501,60,-3.03281,-0.0107981
501,61,-2.15844,0.0704125
501,62,-0.0813473,0.98915
501,63,2.30923,0.113819
501,64,1.57349,1.57349
501,65,-4.87206,-4.87206
501,66,0.0708472,0.991764
501,67,0.0486114,0.0486114
501,68,3.00239,3.00239
501,69,0.984653,0.984653
501,70,-0.259174,0.893113
501,71,3.29416,3.29416
501,72,-3.46305,-0.0912974
501,73,1.85318,1.85318
501,74,1.18953,-0.150082
501,75,-1.09562,-1.09562
501,76,-0.383547,0.774988
501,77,-0.500013,-0.500013
501,78,-2.10296,-2.10296
501,79,-0.334037,0.826302
501,80,0.534518,0.534518
501,81,-1.75613,-0.125676
501,82,-2.88948,0.0374862
501,83,-2.34133,-2.34133
501,84,-1.4399,-1.4399
501,85,-3.58354,-3.58354
501,86,-4.14178,0.0331106
501,87,-1.69942,-1.69942
501,88,2.82396,0.0592083
501,89,-1.16882,-1.16882
501,90,5.46463,5.46463
501,91,-2.18402,0.0796411
501,92,-0.957063,0.0447278
501,93,1.64069,1.64069
501,94,-0.556339,0.563213
501,95,-1.80074,-1.80074
501,96,-2.43555,0.128023
501,97,1.35819,-0.211487
501,98,2.13998,0.0633243
501,99,5.94343,5.94343
501,100,-0.3881,-0.3881
502,1,-3.25954,-0.0710906
502,2,-0.251478,0.899171
502,3,2.016,0.0079327
502,4,-1.68357,-0.158489
502,5,1.89506,1.89506
502,6,-2.29147,0.110152
502,7,-0.764867,0.280212
502,8,2.53693,2.53693
502,9,-0.254662,0.896684
502,10,1.20366,-0.157889
502,11,1.78519,1.78519
502,12,-3.0598,-3.0598
502,13,-0.17396,-0.17396
502,14,2.42724,0.12773
502,15,1.26544,-0.186283
502,16,-2.00116,0.00057735
502,17,2.89875,0.0343441
502,18,2.3138,2.3138
502,19,1.39923,-0.216184
502,20,-5.50281,-5.50281
502,21,1.83242,1.83242
502,22,-3.13819,-0.0426648
502,23,-1.95294,-0.0240112
502,24,-0.524782,0.604719
502,25,-0.0769813,0.99028
502,26,-1.65397,-1.65397
502,27,-0.858557,0.159377
502,28,-0.161363,-0.161363
502,29,-4.20816,-4.20816
502,30,3.67215,3.67215
502,31,1.58447,1.58447
502,32,0.124376,0.124376
502,33,0.282698,0.873628
502,34,0.830086,0.830086
502,35,-0.431313,0.720887
502,36,0.762676,0.762676
502,37,0.991775,0.991775
502,38,-0.486784,0.653341
502,39,-0.532282,0.594937
502,40,1.32862,-0.205686
502,41,-0.115735,0.978112
502,42,1.64432,-0.174024
502,43,-1.43321,-0.217225
502,44,1.08926,1.08926
502,45,1.63234,-0.178392
502,46,-3.46219,-3.46219
502,47,1.12609,1.12609
502,48,-2.75212,-2.75212
502,49,-2.4897,-2.4897
502,50,-0.683423,-0.683423
502,51,2.41238,0.126981
502,52,-0.358199,0.801911
502,53,-0.401978,-0.401978
502,54,-2.49712,-2.49712
502,55,2.14168,0.063989
502,56,0.318828,0.318828
502,57,1.6737,1.6737
502,58,-2.73221,-2.73221
502,59,2.94782,2.94782
502,60,-3.0979,-0.0311048
502,61,-1.81086,-0.0984082
502,62,-0.448304,0.700688
502,63,2.35209,0.120981
502,64,2.18439,2.18439
502,65,-4.92786,-4.92786
502,66,-0.633355,0.459113
502,67,1.18305,1.18305
502,68,2.27755,2.27755
502,69,1.66574,1.66574
502,70,-0.601078,0.503089
502,71,2.5972,2.5972
502,72,-2.82636,0.0584342
502,73,2.51806,2.51806
502,74,1.51844,-0.209279
502,75,-0.431379,-0.431379
502,76,-0.523006,0.607027
502,77,-0.489618,-0.489618
502,78,-1.95297,-1.95297
502,79,0.720963,0.339334
502,80,1.24699,1.24699
502,81,-1.90939,-0.0468185
502,82,-3.27836,-0.0744931
502,83,-2.38179,-2.38179
502,84,-0.836499,-0.836499
