t,unit,input,output
500,1,0.0103383,0.999824
500,2,0.0739668,0.0739668
500,3,0.823093,0.204034
500,4,0.982841,0.982841
500,5,-0.659036,-0.659036
500,6,-0.299853,0.858526
500,7,0.748507,0.748507
500,8,-0.512834,-0.512834
500,9,1.19511,1.19511
500,10,-0.640997,-0.640997
500,11,-0.252676,-0.252676
500,12,0.901293,0.901293
500,13,-0.725123,-0.725123
500,14,1.23888,-0.175221
500,15,-0.553779,-0.553779
500,16,-0.700974,-0.700974
500,17,0.620233,0.477032
500,18,0.791266,0.245293
500,19,-0.640105,-0.640105
500,20,0.517363,0.517363
501,1,-0.0595398,0.994179
501,2,-0.00245163,-0.00245163
501,3,0.770048,0.273316
501,4,0.914619,0.914619
501,5,-0.726539,-0.726539
501,6,-0.2199,0.922335
501,7,0.666984,0.666984
501,8,-0.585325,-0.585325
501,9,1.10529,1.10529
501,10,-0.565507,-0.565507
501,11,-0.307527,-0.307527
501,12,0.843925,0.843925
501,13,-0.637137,-0.637137
501,14,1.15787,-0.130825
501,15,-0.472155,-0.472155
501,16,-0.773185,-0.773185
501,17,0.700615,0.367043
501,18,0.70784,0.357188
501,19,-0.569747,-0.569747
501,20,0.575613,0.575613
502,1,-0.147598,0.964548
502,2,-0.0798718,-0.0798718
502,3,0.672438,0.405589
502,4,0.830061,0.830061
502,5,-0.798585,-0.798585
502,6,-0.144064,0.966208
502,7,0.583077,0.583077
502,8,-0.673211,-0.673211
502,9,1.05212,1.05212
502,10,-0.492021,-0.492021
502,11,-0.408988,-0.408988
502,12,0.753535,0.753535
502,13,-0.581034,-0.581034
502,14,1.09618,-0.0864138
502,15,-0.39801,-0.39801
502,16,-0.845742,-0.845742
502,17,0.772185,0.270477
502,18,0.627392,0.467262
502,19,-0.478492,-0.478492
502,20,0.668996,0.668996
503,1,-0.187038,0.94344
503,2,-0.108128,-0.108128
503,3,0.610658,0.490076
503,4,0.787029,0.787029
503,5,-0.834289,-0.834289
503,6,-0.11728,0.977528
503,7,0.556108,0.556108
503,8,-0.714397,-0.714397
503,9,1.04347,1.04347
503,10,-0.464293,-0.464293
503,11,-0.472063,-0.472063
503,12,0.698935,0.698935
503,13,-0.571061,-0.571061
503,14,1.07735,-0.0710936
503,15,-0.373903,-0.373903
503,16,-0.878358,-0.878358
503,17,0.798193,0.23623
503,18,0.602815,0.500733
503,19,-0.434565,-0.434565
503,20,0.726411,0.726411
504,1,-0.183372,0.945599
504,2,-0.10046,-0.10046
504,3,0.598305,0.506849
504,4,0.784768,0.784768
504,5,-0.836174,-0.836174
504,6,-0.125413,0.974328
504,7,0.568854,0.568854
504,8,-0.712401,-0.712401
504,9,1.05752,1.05752
504,10,-0.469629,-0.469629
504,11,-0.482884,-0.482884
504,12,0.689635,0.689635
504,13,-0.584844,-0.584844
504,14,1.08473,-0.0771959
504,15,-0.384106,-0.384106
504,16,-0.875836,-0.875836
504,17,0.790648,0.246105
504,18,0.616007,0.482792
504,19,-0.434774,-0.434774
504,20,0.735641,0.735641
505,1,-0.135385,0.970121
505,2,-0.0533172,-0.0533172
505,3,0.642667,0.446373
505,4,0.830903,0.830903
505,5,-0.793696,-0.793696
505,6,-0.173222,0.951368
505,7,0.619561,0.619561
505,8,-0.663446,-0.663446
505,9,1.10331,1.10331
505,10,-0.514703,-0.514703
505,11,-0.436422,-0.436422
505,12,0.733877,0.733877
505,13,-0.630261,-0.630261
505,14,1.12861,-0.110876
505,15,-0.432241,-0.432241
505,16,-0.830674,-0.830674
505,17,0.743373,0.309018
505,18,0.666674,0.413487
505,19,-0.482842,-0.482842
505,20,0.689754,0.689754
506,1,-0.0378186,0.997649
506,2,0.0379451,0.0379451
506,3,0.751045,0.298702
506,4,0.931219,0.931219
506,5,-0.701267,-0.701267
506,6,-0.265344,0.888142
506,7,0.71273,0.71273
506,8,-0.562533,-0.562533
506,9,1.18352,1.18352
506,10,-0.605357,-0.605357
506,11,-0.325737,-0.325737
506,12,0.837947,0.837947
506,13,-0.711087,-0.711087
506,14,1.21411,-0.16335
506,15,-0.522914,-0.522914
506,16,-0.738759,-0.738759
506,17,0.652218,0.433295
506,18,0.758899,0.28818
506,19,-0.58588,-0.58588
506,20,0.582949,0.582949
507,1,0.0161718,0.99957
507,2,0.079078,0.079078
507,3,0.829946,0.195289
507,4,0.988593,0.988593
507,5,-0.653926,-0.653926
507,6,-0.304847,0.853993
507,7,0.753834,0.753834
507,8,-0.507029,-0.507029
507,9,1.19862,1.19862
507,10,-0.645951,-0.645951
507,11,-0.245697,-0.245697
507,12,0.907644,0.907644
