t,unit,input,output
500,1,1.23759,0.844767
500,2,0.705338,0.705338
500,3,0.816956,0.816956
500,4,0.696907,0.602401
500,5,-0.13155,-0.13155
500,6,0.392273,0.373318
500,7,1.52537,1.52537
500,8,1.28989,0.859097
500,9,0.759315,0.759315
500,10,-0.0163707,-0.0163707
500,11,0.515012,0.515012
500,12,0.305963,0.305963
500,13,1.08034,0.793325
500,14,1.86807,0.953419
500,15,-1.12038,-0.807701
500,16,-0.190969,-0.188681
500,17,-1.17689,-1.17689
500,18,-1.26013,-1.26013
500,19,-0.48638,-0.451338
500,20,0.90281,0.90281
500,21,0.840816,0.686241
500,22,-0.874606,-0.874606
500,23,1.10157,1.10157
500,24,0.603407,0.603407
500,25,0.658919,0.658919
500,26,-2.19342,-2.19342
500,27,0.859669,0.859669
500,28,0.979397,0.979397
500,29,-0.42081,-0.397613
500,30,0.135895,0.135065
500,31,0.9581,0.743428
500,32,0.719528,0.616617
500,33,0.316419,0.306266
500,34,-0.034588,-0.0345742
500,35,1.08805,0.796165
500,36,-0.251171,-0.246019
500,37,1.04591,0.780211
500,38,0.408271,0.408271
500,39,0.415957,0.415957
500,40,-1.0291,-1.0291
500,41,1.06811,0.78875
500,42,0.20141,0.19873
500,43,1.20851,0.836232
500,44,-0.339867,-0.327359
500,45,-0.2252,-0.2252
500,46,1.0272,1.0272
500,47,0.18979,0.187544
500,48,1.18837,0.830073
500,49,-0.292264,-0.292264
500,50,-0.671317,-0.585845
500,51,-1.06123,-0.786136
500,52,1.09357,0.798179
500,53,-1.10745,-1.10745
500,54,0.371951,0.355697
500,55,0.306879,0.306879
500,56,0.531597,0.486601
500,57,0.103741,0.103741
500,58,0.110622,0.110622
500,59,0.81198,0.670681
500,60,-0.723556,-0.723556
500,61,0.973198,0.973198
500,62,-1.66927,-1.66927
500,63,0.862301,0.862301
500,64,0.065597,0.065597
500,65,-0.579675,-0.52243
500,66,-1.46655,-0.898917
500,67,-0.340802,-0.328193
500,68,0.396158,0.396158
500,69,-1.15436,-1.15436
500,70,0.193408,0.193408
500,71,0.325499,0.314471
500,72,0.594057,0.532807
500,73,0.52684,0.52684
500,74,1.3775,0.88039
500,75,-0.038759,-0.038759
500,76,-0.752336,-0.752336
500,77,0.184732,0.182659
500,78,-0.281739,-0.274514
500,79,-0.619783,-0.550977
500,80,0.96704,0.96704
500,81,-0.159472,-0.158133
500,82,0.491042,0.491042
500,83,0.769518,0.646649
500,84,-0.404076,-0.383431
500,85,-0.454047,-0.42522
500,86,1.50879,1.50879
500,87,-0.107136,-0.107136
500,88,-0.675173,-0.675173
500,89,1.10127,1.10127
500,90,-0.243733,-0.243733
500,91,-1.4857,-0.902531
500,92,0.249929,0.244852
500,93,-0.461934,-0.461934
500,94,0.560839,0.560839
500,95,-1.72323,-1.72323
500,96,1.31801,0.866289
500,97,-0.179269,-0.177372
500,98,-1.51231,-1.51231
500,99,1.29793,1.29793
500,100,-0.68976,-0.597828
501,1,1.04389,0.779419
501,2,0.501959,0.501959
501,3,0.56167,0.56167
501,4,0.446241,0.418804
501,5,0.0696102,0.0696102
501,6,0.848374,0.690219
501,7,1.34033,1.34033
501,8,1.21945,0.839492
501,9,0.604061,0.604061
501,10,0.278307,0.278307
501,11,0.2545,0.2545
501,12,0.165816,0.165816
501,13,1.03498,0.775897
501,14,1.68138,0.93304
501,15,-1.01729,-0.768762
501,16,-0.496846,-0.459633
501,17,-1.11283,-1.11283
501,18,-1.10121,-1.10121
501,19,-0.221228,-0.217688
501,20,0.815128,0.815128
501,21,0.626585,0.555697
501,22,-0.651692,-0.651692
501,23,0.934047,0.934047
501,24,0.470395,0.470395
501,25,0.338894,0.338894
501,26,-2.21345,-2.21345
501,27,0.531984,0.531984
501,28,0.909062,0.909062
501,29,-0.154774,-0.153549
501,30,0.000971645,0.000971645
501,31,0.833138,0.682157
501,32,0.623049,0.553247
501,33,0.142835,0.141872
501,34,0.297114,0.28867
501,35,0.855107,0.693728
501,36,0.120338,0.119761
501,37,0.930172,0.730674
501,38,0.0587399,0.0587399
501,39,0.305421,0.305421
501,40,-0.910532,-0.910532
501,41,0.919141,0.725491
501,42,-0.0961728,-0.0958774
501,43,1.00519,0.763765
501,44,-0.140346,-0.139431
501,45,0.0168954,0.0168954
501,46,0.922968,0.922968
501,47,0.0404597,0.0404377
501,48,0.97379,0.750365
501,49,-0.0656748,-0.0656748
