t,unit,input,output
500,1,0.816245,0.945375
500,2,-1.39457,-0.762881
500,3,0.990848,0.999862
500,4,0.773612,0.917801
500,5,0.80535,0.938831
500,6,0.438111,0.555826
500,7,1.68721,0.385359
500,8,-0.230178,-0.273617
500,9,0.547144,0.695199
500,10,1.09691,0.984622
500,11,1.30321,0.855486
500,12,-1.08969,-0.986821
500,13,-0.785,-0.925678
500,14,1.95806,0.0436491
500,15,-0.996767,-0.999983
500,16,-0.231216,-0.274996
500,17,-0.259802,-0.313297
500,18,-0.937211,-0.993528
500,19,-0.532618,-0.677476
500,20,-0.239753,-0.286377
500,21,1.38528,0.773095
500,22,-0.447467,-0.447467
500,23,0.577952,0.7317
500,24,-0.0722797,-0.0772432
500,25,0.25727,0.309885
500,26,-1.53109,-0.596496
500,27,1.03856,0.997556
500,28,0.0179925,0.0183124
500,29,0.424372,0.537444
500,30,-2.10505,0.0933467
500,31,1.53125,0.596285
500,32,-0.361929,-0.452663
500,33,-1.64625,-0.441474
500,34,0.0467402,0.048856
500,35,0.603786,0.761052
500,36,-0.215163,-0.253745
500,37,0.115127,0.127287
500,38,0.385088,0.484284
500,39,-1.61937,-0.478214
500,40,-0.214912,-0.253414
500,41,-0.875379,-0.974649
500,42,-0.302271,-0.370984
500,43,1.33441,0.825939
500,44,1.0895,0.986875
500,45,0.958964,0.997232
500,46,0.0510857,0.0536052
500,47,-1.88074,-0.132259
500,48,0.375611,0.471362
500,49,0.835445,0.956049
500,50,0.780773,0.922798
500,51,-0.663089,-0.823469
500,52,-0.503412,-0.640958
500,53,-0.297994,-0.365145
500,54,0.583607,0.738228
500,55,0.987399,0.999739
500,56,0.376876,0.473089
500,57,-0.875869,-0.974846
500,58,-0.270734,-0.328073
500,59,1.0734,0.991161
500,60,-0.348303,-0.434008
500,61,-0.585895,-0.740852
500,62,-1.43945,-0.711272
500,63,-0.207137,-0.2432
500,64,0.383916,0.482688
500,65,0.0407153,0.0423277
500,66,-1.41362,-0.741406
500,67,1.6587,0.424408
500,68,1.43711,0.714044
500,69,-0.267979,-0.324344
500,70,-0.19456,-0.226795
500,71,-0.735471,-0.888804
500,72,0.568899,0.721136
500,73,0.717831,0.874082
500,74,0.383916,0.482688
500,75,0.0346371,0.0358091
500,76,-0.064699,-0.0686992
